teacherextuserid,classtitle,classcode,category
tch_20230824-181153_41,class_20230824-181153_41,3X6z-Hi2K,3B8PE
tch_20230824-181153_42,class_20230824-181153_42,Er7f-DagU,3B8PE
tch_20230824-181153_44,class_20230824-181153_44,Gc7m-Qdkx,3B8PE
tch_20230824-181153_43,class_20230824-181153_43,Ev6F-cmK9,3B8PE
tch_20230824-181153_45,class_20230824-181153_45,ZGL4-7fbs,3B8PE
tch_20230824-181153_46,class_20230824-181153_46,3WmW-gXdc,3B8PE
tch_20230824-181153_47,class_20230824-181153_47,z2Zc-9Z7e,3B8PE
tch_20230824-181153_48,class_20230824-181153_48,aG2y-4cV9,3B8PE
tch_20230824-181153_49,class_20230824-181153_49,kzKi-W26h,3B8PE
tch_20230824-181153_50,class_20230824-181153_50,8d83-2f74,3B8PE
tch_20230824-181153_51,class_20230824-181153_51,rPNC-9un9,3B8PE
tch_20230824-181153_52,class_20230824-181153_52,ZLze-cLWB,3B8PE
tch_20230824-181153_53,class_20230824-181153_53,wRKP-oCdK,3B8PE
tch_20230824-181153_54,class_20230824-181153_54,6AMq-tRF3,3B8PE
tch_20230824-181153_56,class_20230824-181153_56,vkZB-giZ4,3B8PE
tch_20230824-181153_55,class_20230824-181153_55,TR8J-4Ard,3B8PE
tch_20230824-181153_57,class_20230824-181153_57,hQU9-T73i,3B8PE
tch_20230824-181153_59,class_20230824-181153_59,2Amj-y63C,3B8PE
tch_20230824-181153_58,class_20230824-181153_58,on3u-zvJw,3B8PE
tch_20230824-181153_60,class_20230824-181153_60,jep2-uh29,3B8PE
tch_20230824-181153_61,class_20230824-181153_61,osJc-uMNE,3B8PE
tch_20230824-181153_62,class_20230824-181153_62,YrZW-BhAV,3B8PE
tch_20230824-181153_63,class_20230824-181153_63,3by6-3eaV,3B8PE
tch_20230824-181153_64,class_20230824-181153_64,vACT-42n8,3B8PE
tch_20230824-181153_65,class_20230824-181153_65,fKW7-93zy,3B8PE
tch_20230824-181153_66,class_20230824-181153_66,6kM7-moQw,3B8PE
tch_20230824-181153_67,class_20230824-181153_67,HMZY-iv2B,3B8PE
tch_20230824-181153_68,class_20230824-181153_68,A72B-EmMe,3B8PE
tch_20230824-181153_69,class_20230824-181153_69,L47q-3rHk,3B8PE
tch_20230824-181153_70,class_20230824-181153_70,fm2s-n2G4,3B8PE
tch_20230824-181153_71,class_20230824-181153_71,M2L7-v8eB,3B8PE
tch_20230824-181153_72,class_20230824-181153_72,e8Vx-2wdE,3B8PE
tch_20230824-181153_73,class_20230824-181153_73,Uc3d-Jk4u,3B8PE
tch_20230824-181153_75,class_20230824-181153_75,HNwd-sA4x,3B8PE
tch_20230824-181153_74,class_20230824-181153_74,fTWh-Vui6,3B8PE
