extuserid,classcode,category
std_BF8M-d9Rs_1692886011309_76,BF8M-d9Rs,3B8PE
std_Cba9-jnYr_1692886002086_94,Cba9-jnYr,3B8PE
std_Cd67-82fg_1692886002426_97,Cd67-82fg,3B8PE
std_x6ae-qCv3_1692886006728_82,x6ae-qCv3,3B8PE
std_oyU2-Fitp_1692886007045_79,oyU2-Fitp,3B8PE
std_F8e4-HnCF_1692885999109_81,F8e4-HnCF,3B8PE
std_Dm67-sX4N_1692886005149_96,Dm67-sX4N,3B8PE
std_eJ69-DW32_1692885997371_80,eJ69-DW32,3B8PE
std_RU8G-TjnN_1692886001483_77,RU8G-TjnN,3B8PE
std_Tipi-8kiH_1692885997288_93,Tipi-8kiH,3B8PE
std_Pg24-cYpJ_1692885995921_86,Pg24-cYpJ,3B8PE
std_pEe9-6n2B_1692885998805_78,pEe9-6n2B,3B8PE
std_fTWh-Vui6_1692885993613_74,fTWh-Vui6,3B8PE
std_myjw-Rx7z_1692885994033_88,myjw-Rx7z,3B8PE
std_4PLz-QNZY_1692885992203_90,4PLz-QNZY,3B8PE
std_vGNx-2krv_1692885990309_95,vGNx-2krv,3B8PE
std_24aw-8xsY_1692885989791_99,24aw-8xsY,3B8PE
std_ag8T-4qv4_1692885993960_83,ag8T-4qv4,3B8PE
std_wRvY-4T6M_1692885989022_100,wRvY-4T6M,3B8PE
std_HNwd-sA4x_1692885988259_75,HNwd-sA4x,3B8PE
std_FdZk-Posb_1692885984571_91,FdZk-Posb,3B8PE
std_BF8M-d9Rs_1692885983368_76,BF8M-d9Rs,3B8PE
std_hBE6-Z2Lf_1692885980707_85,hBE6-Z2Lf,3B8PE
std_mZDc-xkwe_1692885986230_98,mZDc-xkwe,3B8PE
std_ucMP-9Y9e_1692885984850_92,ucMP-9Y9e,3B8PE
std_zKc8-n96F_1692885981413_87,zKc8-n96F,3B8PE
std_tgad-8x3g_1692885977306_89,tgad-8x3g,3B8PE
std_oyU2-Fitp_1692885980398_79,oyU2-Fitp,3B8PE
std_x6ae-qCv3_1692885982933_82,x6ae-qCv3,3B8PE
std_36QH-n6q2_1692885980755_84,36QH-n6q2,3B8PE
std_Dm67-sX4N_1692885975652_96,Dm67-sX4N,3B8PE
std_Cd67-82fg_1692885974800_97,Cd67-82fg,3B8PE
std_Cba9-jnYr_1692885969450_94,Cba9-jnYr,3B8PE
std_RU8G-TjnN_1692885976054_77,RU8G-TjnN,3B8PE
std_F8e4-HnCF_1692885968501_81,F8e4-HnCF,3B8PE
std_pEe9-6n2B_1692885975272_78,pEe9-6n2B,3B8PE
std_eJ69-DW32_1692885969035_80,eJ69-DW32,3B8PE
std_Tipi-8kiH_1692885966829_93,Tipi-8kiH,3B8PE
std_Pg24-cYpJ_1692885970411_86,Pg24-cYpJ,3B8PE
std_myjw-Rx7z_1692885969644_88,myjw-Rx7z,3B8PE
