tch,class title,classcode,ap1,ap2,ap3,ap4,ap5
tch_20200630-172229_16,class_20200630-172229_16,t9nF-c4Vm,c5aaf63a-4cf6-4185-bf41-6fb96c571684,8825574c-7c5b-40e9-aaaf-16274fcb6cd9,bcc73bcb-4686-405d-aa7f-54798bba0fbd,649fa80a-f37f-40af-8942-6b57dc707d0c,c30e992a-c6e5-4bfd-a3bb-51fdef1330c1,
tch_20200630-172229_17,class_20200630-172229_17,itiA-mom7,ce4da868-c79c-4954-8d80-65ef8edb5e62,65beb058-00c4-4b69-8c6e-a5c56dbf7a00,9d164cf9-799b-45f5-9b64-621060cbe59f,9b7da298-ea33-4106-8b4d-b000fbc98409,227dff1f-3f9a-4293-a6e0-b50fefccf39d,
tch_20200630-172229_18,class_20200630-172229_18,cbpQ-p2ny,9d8aa45c-7387-430e-b269-5dfbf5ab6dc1,8690ea33-e29a-4bb3-b9f3-58aa94226002,90813904-c4a2-4094-9614-e0b636298288,2ecd9c5b-e102-43e4-b245-5402178af448,b1cd32b4-b30b-44d6-8e13-e708efc55640,
tch_20200630-172229_19,class_20200630-172229_19,p8Ri-86X3,583a042f-e021-4be6-bc2b-1df078e5f730,e4725815-7f2d-44e1-9b78-c7ad761dd20d,54269265-1318-4046-9402-2571a7343289,f723ca3a-b205-4f6c-94e6-bcac6b9ba35d,07f213e0-7cf0-4b0d-90cd-5bc093df3ea2,
tch_20200630-172229_20,class_20200630-172229_20,49e3-ynBc,c8b1b6c2-6a98-4c65-960d-5684e0a72d50,1542faf0-b0c0-4932-b683-cd6e01432ee0,de3972a0-e739-4519-80d5-be82c5070b46,845b6dc4-ade4-44c6-9ca2-baa0f3e805c8,683d029f-e3e4-459c-bd2e-11c1be24065f,
tch_20200630-172229_21,class_20200630-172229_21,C7xk-3rcK,d65723e5-d11a-4ff5-a07b-14d032098475,97cde07a-e39e-447a-a037-2420ccd02dc9,7874b973-6fe6-48d1-86c7-d1450ae81d15,be7287c7-c1e8-4ba6-abd4-6e26c9048f7c,054b89c0-be26-44b0-9c6b-a0e838008f76,
tch_20200630-172229_22,class_20200630-172229_22,K7Xc-4qr2,2c133b18-8f67-4ebc-b0a8-b2f9eec153a2,0d3518c1-9e2e-4042-8694-ad23eac7e8ba,aee4039d-79d0-492e-bc45-9a9544103ced,fdca9c94-1392-4a66-9a9a-606e5aa5cace,813a09d2-7677-461a-8677-ab584127fa97,
tch_20200630-172229_23,class_20200630-172229_23,CJVm-vcGK,0789c7da-e62a-43ad-9b80-b70e1e7f461b,a14be13e-b598-4678-9de1-f2df644fde36,024bac4d-6a91-4d62-b7ec-e4291cc10a83,27a0c591-6b6d-42a6-b4b4-a419db9f3b00,98555914-b8cd-47c2-a77a-e2207281c85d,
tch_20200630-172229_24,class_20200630-172229_24,kM83-2X7z,8d70eeef-4369-4441-b579-f22ce146ba04,7ec29137-71ac-449e-bfdc-61abc9b82d94,15181efc-df91-4d3e-8851-79e67994f613,e2cef578-0393-4cba-bfe8-65b57f988de9,f971fd9e-8fe3-4556-ae00-2fff0698e84e,
tch_20200630-172229_25,class_20200630-172229_25,ymdD-2c8g,b98245c8-ae57-4059-b104-ed1e5d616ed0,0a7603cd-5ced-4a5c-8323-039de8ef468e,c33302d0-91cb-4b35-9ccf-5f1a900060bc,844fd84a-33b4-4280-a93a-e4c47ad0a1e1,35877cc2-0512-4324-a49c-f8fe67b85795,
tch_20200630-172229_26,class_20200630-172229_26,e9JK-jHod,27d81571-3e1b-4ee1-959b-74c836338215,24402a91-9237-4da6-85ed-3979718b4b51,48aca9b4-d238-4a4f-950f-4f19323b09d6,cf6f15e8-7293-4430-82cb-4bb6e7319f84,992063e4-cfdc-431e-8408-0f657eb72c52,
tch_20200630-172229_27,class_20200630-172229_27,k9G8-Z76D,dc4b38f5-3238-47fe-8ad6-968b26347d13,7871b221-2cdf-422e-898d-e2dcb0c6c372,72ac0708-83e9-4b91-8e67-e2faf3112505,d3f65958-298b-4812-8fbf-d6eadb580bc1,ea299784-f8a5-43d3-b86d-82441686cdcf,
tch_20200630-172229_28,class_20200630-172229_28,68h7-AmwM,1396f395-6b78-42b3-b983-06a7716991fe,e9c5ac59-987f-42d7-a22d-8bcd129a7b3d,c7817183-ee3d-4303-92c6-e22fe3b50a49,760a9bad-e8fc-423f-9ba9-820dd3da5497,a4a504c2-1e2d-4d48-bb12-e0e56935c31b,
tch_20200630-172229_29,class_20200630-172229_29,BCfL-nZD7,689e5b78-2e33-46b3-aebd-e8b904db6185,e0f75579-2803-480c-ae4d-3cfeae6f6448,00a7ac69-8c9e-461e-937e-0a6bdf4578dd,2914290b-886a-44e4-bf11-0d76f2a76289,f91fc788-c84a-4163-875b-091891aaba8b,
tch_20200630-172229_30,class_20200630-172229_30,AtDi-9Af6,aa109ef9-3170-41d2-8ed5-726b7f416870,6fc77315-f7dc-4f11-852e-5413aff485d7,39a40e00-3410-4461-be24-553fabd38b6f,c8bd3246-94af-4193-b2a5-e22bf61c4f95,5a2b6056-c55e-4862-b36f-4f6d4280c625,
