tch,classtitle,classcode,ap1,ap2,ap3,ap4,ap5
tch_20200714-194906_37,class_20200714-194906_37,nJ9c-U8iG,4f149d1a-1629-4cba-9dfd-b4b6fb289891,2be8001a-7e6e-4037-8dbb-6633c3183953,e08919ab-e47b-4138-a1b5-1045d4b1f2a0,5269b81f-bb4f-4022-ba3f-1f89461f7cbc,900fe467-85a7-4e12-8260-eb3dfa73c823
tch_20200714-194906_38,class_20200714-194906_38,7pe7-Bp8H,bd35d645-a202-4840-99ad-bbd76fce6254,aa5d89c0-3a6c-4a33-99cf-d47abda332dd,7fae453a-b405-49e3-ab88-cfcedb4ad5b5,020939b5-30a7-464a-b9f2-5dfa59ddbca6,3efdd5d1-5f2d-4e27-96d5-d65d74d161f5
tch_20200714-194906_39,class_20200714-194906_39,7c26-7sN7,e59ba6ca-a086-4c91-ac37-60587ad551d2,fafc7d61-aa8b-4d28-9097-74ef157ab92d,7c5c3e80-1a63-43ef-8ffe-1731a61822b4,8bb0e051-78a0-4308-bbfe-58786b929425,c5ebe869-f3ca-4710-9519-5268b5631a47
tch_20200714-194906_41,class_20200714-194906_41,Wg8z-Ru6Z,4514784c-2d68-4abd-a326-b7cced34486a,cafd71da-51ca-4962-b8b4-8789378d2daa,3d0db9e4-201d-4c0b-9e0b-194cd22c351f,15415cc9-5e7f-4199-a147-e1e8681682ef,430629bb-4883-4440-8f06-162eda62af0f
tch_20200714-194906_40,class_20200714-194906_40,h3xK-v4t7,a86dfab8-74d0-4203-b6be-9b195e6fd8a3,cc803ab1-e80e-4b7b-9571-449808977e29,efc0bc2d-cf5c-4200-8b86-aba214e7030d,4de99fa8-8233-4ba4-a39a-ba2ddd22d48f,81d75cb8-8c74-4e1a-898a-bff42b2c591b
tch_20200714-194906_42,class_20200714-194906_42,yRoV-Ac8r,4f76fac1-1ae4-419e-ae37-81d2e5d875bd,a0d994d7-1410-4161-92c4-b6126103e689,9f736026-5e2a-407a-944b-070f57baaa16,dcb3c491-97d9-4050-bf38-fb9e92af5635,5d322f4e-cef0-4ed0-b194-6af21ae19ade
tch_20200714-194906_43,class_20200714-194906_43,h37K-rvZ2,f2ee2fc9-75d8-4e9f-ad2a-f3c4e6e25b75,02287a3f-5763-4cb9-888b-5f3d0485fc13,99a6cfb7-f0a1-430f-b237-04c4a7ddd9c1,f1eab0e7-a60f-43c5-b448-f0cf9481218c,4c8f0162-df19-4aec-95c2-22a49ee52f94
tch_20200714-194906_44,class_20200714-194906_44,hTQL-nzco,217fb19d-5da5-4c48-8437-9dbe34a0ffbb,9e7e9a49-e7f4-4859-bbfd-df6bfc9c57ea,b5af9ee0-4928-4849-8274-ac5cfb2bf5ac,ea6bbbf4-591b-4e6d-9793-6e9a516b9138,043c5ca5-894d-4414-8793-297af59135f6
tch_20200714-194906_45,class_20200714-194906_45,YA3E-DgCq,4a8dde2c-eb5b-4480-967e-6442ff7aa951,b5ec70b8-9d82-40e7-b447-749e755225d3,7ef898bb-6284-4db8-8856-f957b6907368,13e31795-d154-48b3-88ff-000edc4f722e,6e7783f5-cf3b-4360-9127-cc33f0c0231a
tch_20200714-194906_46,class_20200714-194906_46,ELD3-VwJQ,07d40fce-336f-47d6-b03d-35df41eb6249,f55e2e40-8398-4cf4-a68f-2c7d37864bfb,f37fe3d4-febb-4c3c-9989-c6fed806b753,7ec37f23-a38a-43d5-87f2-0c97b4e05f10,d1a8f4f3-501b-486c-bcef-5c32cc7ad287
tch_20200714-194906_47,class_20200714-194906_47,X7es-d46b,bc10c8e1-3812-486f-8c7a-7f5c204ae499,66bddad3-ef55-4bf2-ac6e-68e708197bdf,9db53269-68bf-49a1-a7c7-2c1d66d71c63,cf7eea92-a647-4932-bca6-6795f6a18bac,9b1dba9e-9bff-4166-a42a-f3928ea4f1d2
tch_20200714-194906_48,class_20200714-194906_48,26nv-Y6qi,0f664d2d-69cb-42f0-b397-9d2c5f8eae65,633d211f-2420-47da-b157-fe9846bf41b7,06720753-6361-486f-8be5-8e83a321d31f,2dd0fddc-c3f7-4497-9b6e-c60baa2c00dc,37984a0a-ff68-47cb-84ef-38f122ec46f4
