teacherextuserid,classcode,classid,invitationid,tch
t145_1594828541908_32,W2R8-uX29,21aa0e75-c6b3-11ea-acee-0242ac110002,0d618e54-3832-433b-83fa-d9092effe0b9,t245_20200715-210618_32
t145_1594828543831_30,ibEx-723h,01a2bfd1-c6b3-11ea-89f8-0242ac110002,7c7f3f30-8452-42d6-a38c-4d420e90d0c3,t245_20200715-210618_30
t145_1594828547782_34,3xs4-FvsE,458d3968-c6b3-11ea-acee-0242ac110002,220ec5c1-2a34-4e24-8ac1-ce1d844f34be,t245_20200715-210618_34
t145_1594828547956_37,DWc9-RiRm,7cc40d0e-c6b3-11ea-af23-0242ac110002,313fbd1d-f1d6-4b8e-a44d-e534b1f10b25,t245_20200715-210618_37
t145_1594828549246_31,bsYZ-2Mgn,11d85fe5-c6b3-11ea-af23-0242ac110002,0299947a-020a-4f47-aa4b-a6aa1facdfdb,t245_20200715-210618_31
t145_1594828547939_35,X989-2X82,5a6c8b97-c6b3-11ea-acee-0242ac110002,33a753eb-de58-48f7-96af-4a5a81488a9a,t245_20200715-210618_35
t145_1594828558122_32,W2R8-uX29,21aa0e75-c6b3-11ea-acee-0242ac110002,219dd992-78d6-4592-95ba-387f0f7369b7,t245_20200715-210618_32
t145_1594828557252_33,utzJ-86rg,36332abe-c6b3-11ea-96b3-0242ac110002,ad56d7a3-fab0-49b0-a974-5fcfe915764c,t245_20200715-210618_33
t145_1594828555277_36,WViX-dCdu,6a3dc511-c6b3-11ea-af23-0242ac110002,7cd0d475-649f-4958-8a41-8947555cf0da,t245_20200715-210618_36
t145_1594828556091_38,6QCo-zVb9,8cab8d9e-c6b3-11ea-96b3-0242ac110002,41453e4e-6de1-4104-8c68-2e6d36947a27,t245_20200715-210618_38
t145_1594828562064_37,DWc9-RiRm,7cc40d0e-c6b3-11ea-af23-0242ac110002,40c04241-3928-4dec-bd71-35aeec8f4d5c,t245_20200715-210618_37
t145_1594828561958_39,cmt8-AFyQ,a0c40d42-c6b3-11ea-acee-0242ac110002,69e2a4a6-e20d-4327-971f-2184b10e4ba8,t245_20200715-210618_39
t145_1594828560910_34,3xs4-FvsE,458d3968-c6b3-11ea-acee-0242ac110002,c0389e7a-df51-4dc2-bbfb-34b9891897d3,t245_20200715-210618_34
t145_1594828562072_31,bsYZ-2Mgn,11d85fe5-c6b3-11ea-af23-0242ac110002,1c8796c4-a5e8-4626-8f8e-1893be6e7f0e,t245_20200715-210618_31
t145_1594828570342_32,W2R8-uX29,21aa0e75-c6b3-11ea-acee-0242ac110002,2a7f2dc4-0366-4740-963b-fe159169b8ba,t245_20200715-210618_32
t145_1594828565135_35,X989-2X82,5a6c8b97-c6b3-11ea-acee-0242ac110002,3a11ec29-dc6e-47c7-91a3-ed567c0d7fb8,t245_20200715-210618_35
