teacvherextuserid,classcode,classid,invitationid,tch
t144_1593704211034_20,4EGX-ue7Y,9f979f52-bc79-11ea-840b-0242ac110002,3303abc2-f991-4ac1-87ec-c36643ad168f,t244_20200702-204900_20
t144_1593704205066_16,4T6n-Dey9,232910f6-bc79-11ea-840b-0242ac110002,9c3ac64d-4c96-4716-9352-bbeb27fc5e48,t244_20200702-204900_16
t144_1593704211042_13,Y48a-vd6T,cdf9f7c2-bc78-11ea-94cc-0242ac110002,ede8586b-a75f-499c-aa8c-594e0eb185b6,t244_20200702-204900_13
t144_1593704215381_17,zQ4e-NXDv,44db51c7-bc79-11ea-94cc-0242ac110002,576af074-3f25-463b-a1ca-71864344306a,t244_20200702-204900_17
t144_1593704217344_15,3Zbg-vPas,055a4c9a-bc79-11ea-94cc-0242ac110002,8c3d9dfb-f265-447a-9746-38ddea716fe0,t244_20200702-204900_15
t144_1593704218382_14,7PJ6-LD7J,e8f4b59b-bc78-11ea-94cc-0242ac110002,c5fdd963-37c4-4a9e-adb5-8e92096209c4,t244_20200702-204900_14
t144_1593704219606_19,xk2M-z3iV,7f6436a8-bc79-11ea-94cc-0242ac110002,25aa1a9d-04ec-4476-922a-c9cb0e4fc62a,t244_20200702-204900_19
t144_1593704230230_20,4EGX-ue7Y,9f979f52-bc79-11ea-840b-0242ac110002,4b5006d1-d0fa-41a7-b7f1-f39d828cf7a8,t244_20200702-204900_20
t144_1593704233042_16,4T6n-Dey9,232910f6-bc79-11ea-840b-0242ac110002,0690b3fe-3c23-41b4-bb38-b030f862265d,t244_20200702-204900_16
t144_1593704236081_13,Y48a-vd6T,cdf9f7c2-bc78-11ea-94cc-0242ac110002,af4d0833-b842-4312-bc20-91b1e9086856,t244_20200702-204900_13
t144_1593704239515_17,zQ4e-NXDv,44db51c7-bc79-11ea-94cc-0242ac110002,64a0df5c-c97d-4ab4-9dfd-1c385cc90d3b,t244_20200702-204900_17
t144_1593704240900_15,3Zbg-vPas,055a4c9a-bc79-11ea-94cc-0242ac110002,770fd725-4a9c-480f-b524-d9ad9cd2a43c,t244_20200702-204900_15
t144_1593704241426_14,7PJ6-LD7J,e8f4b59b-bc78-11ea-94cc-0242ac110002,e13bca39-ce56-4497-8328-e1dabaf2a74b,t244_20200702-204900_14
t144_1593704245979_19,xk2M-z3iV,7f6436a8-bc79-11ea-94cc-0242ac110002,03f767c0-efd4-43ac-bb69-67567a570ae0,t244_20200702-204900_19
t144_1593704259116_17,zQ4e-NXDv,44db51c7-bc79-11ea-94cc-0242ac110002,a0fb0349-bab3-4dbd-9d6b-3b302cb8da96,t244_20200702-204900_17
t144_1593704256253_16,4T6n-Dey9,232910f6-bc79-11ea-840b-0242ac110002,c02fc697-8521-40c2-9d62-6425577b5271,t244_20200702-204900_16
t144_1593704255835_20,4EGX-ue7Y,9f979f52-bc79-11ea-840b-0242ac110002,d28a180f-7065-41cd-b9ba-0957a0f31bf1,t244_20200702-204900_20
t144_1593704265037_14,7PJ6-LD7J,e8f4b59b-bc78-11ea-94cc-0242ac110002,e93a0d53-4629-4cd7-b991-b0804675bde7,t244_20200702-204900_14
t144_1593704260784_15,3Zbg-vPas,055a4c9a-bc79-11ea-94cc-0242ac110002,dbd55723-a95a-4376-96d9-54a979456518,t244_20200702-204900_15
t144_1593704272111_19,xk2M-z3iV,7f6436a8-bc79-11ea-94cc-0242ac110002,2fa0b3a3-7a20-4a02-8ae2-96133af4753e,t244_20200702-204900_19
t144_1593704279153_16,4T6n-Dey9,232910f6-bc79-11ea-840b-0242ac110002,d5c7939a-c08e-442f-94d2-64c2c202a91e,t244_20200702-204900_16
t144_1593704278654_17,zQ4e-NXDv,44db51c7-bc79-11ea-94cc-0242ac110002,1e89e9a1-deb6-44f0-a0fc-57cbff5fcfe3,t244_20200702-204900_17
t144_1593704280339_20,4EGX-ue7Y,9f979f52-bc79-11ea-840b-0242ac110002,4b4ea1de-b76e-4c3a-8aa7-6bff5b740da5,t244_20200702-204900_20
t144_1593704291031_15,3Zbg-vPas,055a4c9a-bc79-11ea-94cc-0242ac110002,8a6298df-b742-43d9-a7f1-56b841fc9ad4,t244_20200702-204900_15
t144_1593704300861_16,4T6n-Dey9,232910f6-bc79-11ea-840b-0242ac110002,16fc394d-4414-46f0-a855-941e60859ad9,t244_20200702-204900_16
t144_1593704298812_19,xk2M-z3iV,7f6436a8-bc79-11ea-94cc-0242ac110002,639e2fe6-149c-4ed3-a521-4402a4bd7b61,t244_20200702-204900_19
t144_1593704303084_17,zQ4e-NXDv,44db51c7-bc79-11ea-94cc-0242ac110002,538a9ed5-926e-406a-a966-728b02eb255d,t244_20200702-204900_17
t144_1593704304750_20,4EGX-ue7Y,9f979f52-bc79-11ea-840b-0242ac110002,1ef686e9-851c-46aa-af3c-45a2e41b02a2,t244_20200702-204900_20
t144_1593704311718_15,3Zbg-vPas,055a4c9a-bc79-11ea-94cc-0242ac110002,42b64874-8ef8-4b7b-af5c-7f4356cf2a5b,t244_20200702-204900_15
t144_1593704326629_19,xk2M-z3iV,7f6436a8-bc79-11ea-94cc-0242ac110002,951d0583-f5b4-48e2-a829-af9865fc1e41,t244_20200702-204900_19
t144_1593704324207_16,4T6n-Dey9,232910f6-bc79-11ea-840b-0242ac110002,fec03e22-95d7-4cf4-b8e5-eba2c7acbd89,t244_20200702-204900_16
t144_1593704332565_20,4EGX-ue7Y,9f979f52-bc79-11ea-840b-0242ac110002,e7d1d41f-9625-4a51-928d-4ddc79cc4b57,t244_20200702-204900_20
t144_1593704327284_17,zQ4e-NXDv,44db51c7-bc79-11ea-94cc-0242ac110002,f3483e30-a7b0-4a32-9826-41b4381be3e0,t244_20200702-204900_17
t144_1593704339365_15,3Zbg-vPas,055a4c9a-bc79-11ea-94cc-0242ac110002,9d2149df-c313-447a-98c7-65a1858fa998,t244_20200702-204900_15
t144_1593704350560_16,4T6n-Dey9,232910f6-bc79-11ea-840b-0242ac110002,fd06f24a-6e8e-4d28-9ec4-78e7ae145fd1,t244_20200702-204900_16
t144_1593704350221_19,xk2M-z3iV,7f6436a8-bc79-11ea-94cc-0242ac110002,0283676e-ae73-40b5-8d7f-87ed284d6adb,t244_20200702-204900_19
t144_1593704355336_17,zQ4e-NXDv,44db51c7-bc79-11ea-94cc-0242ac110002,7afd06c3-937a-4ba4-8d1a-966641825ddb,t244_20200702-204900_17
t144_1593704353601_20,4EGX-ue7Y,9f979f52-bc79-11ea-840b-0242ac110002,a230c039-44e7-4a11-9093-4248c1e0971c,t244_20200702-204900_20
t144_1593704378080_17,zQ4e-NXDv,44db51c7-bc79-11ea-94cc-0242ac110002,1bea2c10-ad21-470c-af3f-da80070e7e8b,t244_20200702-204900_17
t144_1593704374096_16,4T6n-Dey9,232910f6-bc79-11ea-840b-0242ac110002,01e213fe-67cb-4c70-b575-a208fdc29d92,t244_20200702-204900_16
t144_1593704377661_19,xk2M-z3iV,7f6436a8-bc79-11ea-94cc-0242ac110002,896dc384-17fc-4fee-b0e0-0c5d86e27214,t244_20200702-204900_19
t144_1593704379877_20,4EGX-ue7Y,9f979f52-bc79-11ea-840b-0242ac110002,4566474a-0157-43d9-9e80-c03334122c30,t244_20200702-204900_20
t144_1593704398347_17,zQ4e-NXDv,44db51c7-bc79-11ea-94cc-0242ac110002,9fa67055-7031-4b57-856f-a2148a47cdbb,t244_20200702-204900_17
t144_1593704400785_20,4EGX-ue7Y,9f979f52-bc79-11ea-840b-0242ac110002,56b48ffe-d3d8-46d7-a835-f0e5dffed377,t244_20200702-204900_20
t144_1593704400781_19,xk2M-z3iV,7f6436a8-bc79-11ea-94cc-0242ac110002,74e33657-e273-46ef-b296-e4fa3df15eed,t244_20200702-204900_19
t144_1593704398758_16,4T6n-Dey9,232910f6-bc79-11ea-840b-0242ac110002,d6e87ceb-b9c4-4b73-affd-fe75a52e68f5,t244_20200702-204900_16
