classcodetecher,classtitle,classcode
tch_20200604-132042_1,class_20200604-132042_1,QYjo-yU7d
tch_20200604-132042_2,class_20200604-132042_2,nAo7-c9Xx
tch_20200604-132042_3,class_20200604-132042_3,uo6c-fib6
tch_20200604-132042_4,class_20200604-132042_4,EqP4-N4nH
tch_20200604-132042_6,class_20200604-132042_6,n4LX-TVx3
tch_20200604-132042_5,class_20200604-132042_5,sqAB-HV84
tch_20200604-132042_7,class_20200604-132042_7,69Mv-pHiG
tch_20200604-132042_8,class_20200604-132042_8,KNq8-XZp6
tch_20200604-132042_9,class_20200604-132042_9,zmVX-FTKk
tch_20200604-132042_10,class_20200604-132042_10,Fpf6-ugQ6
tch_20200604-132042_11,class_20200604-132042_11,Mc7J-D8F8
tch_20200604-132042_12,class_20200604-132042_12,bi9E-DY8a
tch_20200604-132042_14,class_20200604-132042_14,V786-scp7
tch_20200604-132042_13,class_20200604-132042_13,tJ7A-Zox6
tch_20200604-132042_15,class_20200604-132042_15,L7k8-JQ68
tch_20200604-132042_16,class_20200604-132042_16,c7mh-H2an
tch_20200604-132042_17,class_20200604-132042_17,3Evz-g7Rp
tch_20200604-132042_18,class_20200604-132042_18,VTJo-9k3m
tch_20200604-132042_20,class_20200604-132042_20,VpK7-nu42
tch_20200604-132042_19,class_20200604-132042_19,Xbt2-WC4z
tch_20200604-132042_21,class_20200604-132042_21,4G34-7Kna
tch_20200604-132042_22,class_20200604-132042_22,o2HT-2Jy4
tch_20200604-132042_23,class_20200604-132042_23,3B7Y-9yCD
tch_20200604-132042_24,class_20200604-132042_24,B3Eq-CrmF
tch_20200604-132042_25,class_20200604-132042_25,K9HW-CDCa
