teacher,classtitle,classcode
perf_prod_teacher_133749_2,perf_class_133749_2,fLdg-YN6c
perf_prod_teacher_133749_1,perf_class_133749_1,jfVj-eDB8
perf_prod_teacher_133749_3,perf_class_133749_3,782J-V46j
perf_prod_teacher_133749_5,perf_class_133749_5,GfZd-j6iL
perf_prod_teacher_133749_4,perf_class_133749_4,WgdC-fJDb
perf_prod_teacher_133749_6,perf_class_133749_6,PUDA-dCNE
perf_prod_teacher_133749_7,perf_class_133749_7,Uje2-he34
perf_prod_teacher_133749_8,perf_class_133749_8,Ceb2-PNYi
perf_prod_teacher_133749_9,perf_class_133749_9,U4bH-2ifB
perf_prod_teacher_133749_10,perf_class_133749_10,gMf3-iGdU
perf_prod_teacher_133749_11,perf_class_133749_11,KP7N-PhW6
perf_prod_teacher_133749_12,perf_class_133749_12,fji4-6hB2
perf_prod_teacher_133749_13,perf_class_133749_13,JNdU-bi2K
perf_prod_teacher_133749_14,perf_class_133749_14,UdiW-JW6i
perf_prod_teacher_133749_15,perf_class_133749_15,V732-hcij
perf_prod_teacher_133749_16,perf_class_133749_16,9Ue2-Labh
perf_prod_teacher_133749_17,perf_class_133749_17,Be8i-Th92
perf_prod_teacher_133749_18,perf_class_133749_18,JKdg-8cWj
perf_prod_teacher_133749_19,perf_class_133749_19,2bej-iVRK
perf_prod_teacher_133749_20,perf_class_133749_20,Bc7Q-D72a
perf_prod_teacher_133749_21,perf_class_133749_21,8YEW-HRbR
perf_prod_teacher_133749_22,perf_class_133749_22,c7Q4-34JU
perf_prod_teacher_133749_24,perf_class_133749_24,eAaQ-bLde
perf_prod_teacher_133749_23,perf_class_133749_23,FdCa-3TjH
perf_prod_teacher_133749_25,perf_class_133749_25,EFiQ-8e6P
perf_prod_teacher_133749_26,perf_class_133749_26,U38g-73H7
perf_prod_teacher_133749_27,perf_class_133749_27,H3Ad-Gh37
perf_prod_teacher_133749_28,perf_class_133749_28,9f84-Yhi6
perf_prod_teacher_133749_29,perf_class_133749_29,EbMK-a4W8
perf_prod_teacher_133749_30,perf_class_133749_30,LC2e-3fBi
perf_prod_teacher_133749_31,perf_class_133749_31,h47i-GdQg
perf_prod_teacher_133749_33,perf_class_133749_33,3bK8-bfd2
perf_prod_teacher_133749_34,perf_class_133749_34,idVK-6a8d
perf_prod_teacher_133749_32,perf_class_133749_32,Udbc-ij8e
perf_prod_teacher_133749_35,perf_class_133749_35,g4Rf-ePEj
perf_prod_teacher_133749_37,perf_class_133749_37,3iM3-dfjH
perf_prod_teacher_133749_36,perf_class_133749_36,ajcF-hd96
perf_prod_teacher_133749_38,perf_class_133749_38,Ag3H-aTfW
perf_prod_teacher_133749_39,perf_class_133749_39,bf6M-49cd
perf_prod_teacher_133749_40,perf_class_133749_40,4fd2-ajMJ
perf_prod_teacher_133749_41,perf_class_133749_41,P7TY-ih7f
perf_prod_teacher_133749_42,perf_class_133749_42,Y8a2-KPD7
perf_prod_teacher_133749_43,perf_class_133749_43,e9FJ-CEfd
perf_prod_teacher_133749_45,perf_class_133749_45,L3e3-Racg
perf_prod_teacher_133749_44,perf_class_133749_44,fWEf-9jfT
perf_prod_teacher_133749_46,perf_class_133749_46,8i9c-LTiE
perf_prod_teacher_133749_47,perf_class_133749_47,93bW-FW4h
perf_prod_teacher_133749_49,perf_class_133749_49,DLdD-6QV8
perf_prod_teacher_133749_48,perf_class_133749_48,AUYX-Pi2C
perf_prod_teacher_133749_50,perf_class_133749_50,9fY9-fF6Z
perf_prod_teacher_133749_51,perf_class_133749_51,fT9d-edQE
perf_prod_teacher_133749_52,perf_class_133749_52,XfR7-4eh9
perf_prod_teacher_133749_53,perf_class_133749_53,Ra4N-6Cae
perf_prod_teacher_133749_55,perf_class_133749_55,f8Ni-3a6E
perf_prod_teacher_133749_54,perf_class_133749_54,WjA6-2ZjV
perf_prod_teacher_133749_56,perf_class_133749_56,bh8H-QcAf
perf_prod_teacher_133749_57,perf_class_133749_57,jZ46-aH3a
perf_prod_teacher_133749_59,perf_class_133749_59,ZDHK-2JAP
perf_prod_teacher_133749_58,perf_class_133749_58,873f-i6JV
perf_prod_teacher_133749_60,perf_class_133749_60,JWAb-jghj
perf_prod_teacher_133749_61,perf_class_133749_61,9aYN-deaJ
perf_prod_teacher_133749_62,perf_class_133749_62,F6h6-bJdh
perf_prod_teacher_133749_63,perf_class_133749_63,gN3Y-G36h
perf_prod_teacher_133749_64,perf_class_133749_64,46CF-hWQ6
perf_prod_teacher_133749_65,perf_class_133749_65,3jXa-ih94
perf_prod_teacher_133749_67,perf_class_133749_67,Bgbd-XcM9
perf_prod_teacher_133749_66,perf_class_133749_66,Jgaj-7bKg
perf_prod_teacher_133749_68,perf_class_133749_68,VMZh-Vhja
perf_prod_teacher_133749_69,perf_class_133749_69,WdQX-7TGf
perf_prod_teacher_133749_70,perf_class_133749_70,dGL9-27ce
