tchextid,studuuid,stdextid,classtitle,classcode,ag1,ag2,ag3,ag4,ag5,groupid
tch_20200628-214431_21,395c5c5e-b95e-11ea-94cc-0242ac110002,std_1593362508345_21,class_20200628-214431_21,Tozf-3K9h,8a56b5fb-412c-433d-8320-b1db098de0f6,a4f22800-88cb-4a35-9dcb-9204755825c6,c1fd85ab-5e5b-46a4-857d-fa5393151b61,4637fc25-4e95-4602-be73-d72a8322979c,3a5c6500-9cc9-4063-b9ac-4d5a29a3fbf8,d3731c2b-74e6-42e0-b3ea-a4c3f6c0a713
tch_20200628-214431_30,3e0e9a1f-b95e-11ea-94cc-0242ac110002,std_1593362516208_30,class_20200628-214431_30,3P6V-L7B8,d4b1837c-c549-4dbb-9274-62851ecd1afc,7a570000-ff81-4641-a1dc-e83e03fcf0ad,06b253ce-b30a-4d58-acf1-13b93d9a593e,7f73558a-b78d-431f-b017-9404ae92a940,a24fc027-8330-4eef-a64a-2dc84528e47d,0b833f49-0b0f-45a2-a72a-4373f08a3229
tch_20200628-214431_31,4067a559-b95e-11ea-840b-0242ac110002,std_1593362520152_31,class_20200628-214431_31,9sm9-Mrpq,94148229-9e1a-4741-b7db-3d2cdba97a8f,c2db62de-2556-4231-8b85-c7ac5b5b650f,d2ba03c4-639d-4fd5-8980-29f0c988ca0c,51ed79e7-5f7c-4dfa-b7c8-98a481f42ccf,8394cb04-d9c4-4bd9-9ba2-1d46ab90d022,dc297c57-6324-44a9-b6af-e1b26e23334d
tch_20200628-214431_22,3e628695-b95e-11ea-840b-0242ac110002,std_1593362516774_22,class_20200628-214431_22,J9h6-WTDm,d31f5d0e-25d0-4d5a-b346-1332938e162c,17ee72b7-04fd-4aa0-b58a-2203072b5f0d,a95e3855-daf9-4dfd-8819-337d115fb56f,e92c8ccf-6941-4608-97b6-ba66cbf73740,1dc6a4fb-5370-4088-ad9c-5c24c2e7b4c4,a1252860-fd07-412e-9a54-9cdfa1260ad0
tch_20200628-214431_27,3e913724-b95e-11ea-840b-0242ac110002,std_1593362517050_27,class_20200628-214431_27,9X4t-M8AD,52b3274f-bdd8-4aea-8938-ea317fae3ac8,3a37d3f0-a8cb-4125-a62a-b701494149c7,454f6892-f34a-4850-85d4-72996a482b9c,cc60b37f-93cb-4524-b53b-27e74081beca,bac8878a-05d8-42c0-8e90-415c38dd0a5e,b1c18f39-aca2-44a2-be7a-1d50b497a0dd
tch_20200628-214431_26,3f4a755b-b95e-11ea-94cc-0242ac110002,std_1593362518255_26,class_20200628-214431_26,s4Lb-dC48,0b716089-8f02-4d3d-8d4a-243fa6ad5859,e802da7d-2696-46d3-882a-075f3144b402,e3cf0c68-1183-48eb-a336-e46c6c12cd6e,c38fc009-febe-4645-8984-16553fa0e197,994b4bc5-bcc7-4367-98da-9e5425dbbcd7,52ca8e1a-2463-4a76-b5d6-913c63e45883
tch_20200628-214431_32,41309a7b-b95e-11ea-840b-0242ac110002,std_1593362521482_32,class_20200628-214431_32,HhMX-Vy47,252ea10a-53b3-4cd2-b165-f887fc0aa0ae,f5c1743d-b424-424a-9fe2-e715628c89c6,318dc4be-87cf-43f1-8b56-1c3e24b07003,2921732f-da7b-4e22-942b-9cf90a5312ae,58df30d0-be74-4877-8cb5-d061f04cd35e,cf29143b-f2d5-4163-ac99-867abfc69b0c
tch_20200628-214431_34,4686b88e-b95e-11ea-94cc-0242ac110002,std_1593362530434_34,class_20200628-214431_34,CQBd-gyay,a9829918-ec24-4c15-86c2-a63e959b1c0c,fa70bbb8-8a81-4260-b13e-ce864dc45259,c8469c55-9d3f-4657-a3ff-acfe87e44a85,4846f792-1838-40f4-a23d-b24b577b900c,fe273620-e627-4d2a-a73c-984b43f28187,7d2881ee-d1c6-404b-b70c-b2e0fdd2334a
tch_20200628-214431_28,47697765-b95e-11ea-840b-0242ac110002,std_1593362531925_28,class_20200628-214431_28,6pTw-Hev6,c7c8f79b-3ae7-4d57-bb1b-d9c3fbdef8a7,212846e6-5be8-425d-a84a-8ffe261855fb,034767b3-67d4-4414-a21d-4cec1ec154d0,a32e366c-8b8a-4c0b-b25b-94993913c2b6,c83d0a5f-35c5-4dd5-8bc8-fcf5caa9f090,62022d18-b401-4f47-8fa2-43b83fd1f510
tch_20200628-214431_36,471d05fd-b95e-11ea-94cc-0242ac110002,std_1593362531411_36,class_20200628-214431_36,Bed6-kofq,d16ba14d-7716-4162-9e65-b7dc6553e776,953e933e-6f14-48dc-890c-1d96c4e4a166,793cd724-f896-493f-9f5c-652bfecf882f,cab4743d-60d5-487a-bc49-a56ea692bc61,5cc205c1-40fd-4ef2-85dd-5086b511fa32,cd73a646-2b2a-46ba-a791-40a0afa2b96f
