teacvherextuserid,classcode,classid,invitationid,tch
t144_1594825448772_3,79kW-9fL8,576cda16-c6ab-11ea-af23-0242ac110002,16a215a5-452e-4c8f-afe5-b9b7b2c5a104,t244_20200715-202501_3
t144_1594825454339_11,9j8a-vRVh,e7f064b3-c6ab-11ea-89f8-0242ac110002,1ee13538-afcb-465f-8dd5-1aa8174e2de0,t244_20200715-202501_11
t144_1594825457578_18,gjWk-2K6R,66d7e213-c6ac-11ea-af23-0242ac110002,26b10d93-1f8d-47ae-830a-0425c13c5b0e,t244_20200715-202501_18
t144_1594825455187_4,2QY6-otL9,6975dab3-c6ab-11ea-acee-0242ac110002,4ab0d66e-2b08-4a23-9c38-0d9bdaf56f0f,t244_20200715-202501_4
t144_1594825459046_5,r389-29u4,7d395d77-c6ab-11ea-89f8-0242ac110002,184ada44-793c-483e-ab74-4f59dbfb761c,t244_20200715-202501_5
t144_1594825456531_15,sc6p-B9Nn,2d9fe764-c6ac-11ea-96b3-0242ac110002,411ec571-f5f7-4a4d-9adc-61d49ad3319b,t244_20200715-202501_15
t144_1594825461067_16,2R6V-BmRf,3f40b07f-c6ac-11ea-96b3-0242ac110002,f75c15ed-3847-455b-8ee4-3156c658e8af,t244_20200715-202501_16
t144_1594825463926_12,ybj4-qiHz,fa2e7fd1-c6ab-11ea-acee-0242ac110002,19971e66-3891-4523-b179-9a392c2f61cf,t244_20200715-202501_12
t144_1594825459486_6,A3JK-Qa38,8e3338c4-c6ab-11ea-af23-0242ac110002,b294f3bf-4a27-419a-94e8-b19e9d8560ff,t244_20200715-202501_6
t144_1594825466988_9,6vW4-cGwh,c462871f-c6ab-11ea-89f8-0242ac110002,12f0ebc2-da1a-4cd1-a337-a27bc2397e21,t244_20200715-202501_9
t144_1594825468832_8,4QFd-bnzf,b101be43-c6ab-11ea-89f8-0242ac110002,f2cdd5d4-0b36-43f0-89b2-be9f221fb531,t244_20200715-202501_8
t144_1594825462404_13,4942-wPL3,099166e4-c6ac-11ea-89f8-0242ac110002,4acaab97-cd3a-4c83-8f3d-b33b5229f189,t244_20200715-202501_13
t144_1594825470481_10,uh3X-jbJc,d32cd7d8-c6ab-11ea-89f8-0242ac110002,fc5cd08b-ee21-493a-8b8c-e8388b53feb1,t244_20200715-202501_10
t144_1594825464984_17,32fd-e3V4,5263fb6d-c6ac-11ea-af23-0242ac110002,f5d14793-d334-4c6a-a277-5e77343730b0,t244_20200715-202501_17
t144_1594825470228_14,daA7-Xpfw,1a523110-c6ac-11ea-af23-0242ac110002,6bed6882-5190-4cdf-8205-da648a11673c,t244_20200715-202501_14
t144_1594825469942_7,z9H3-wboL,a17a85e9-c6ab-11ea-af23-0242ac110002,cc20f50e-291f-4b79-86ef-28a6f6efcf44,t244_20200715-202501_7
t144_1594825477835_11,9j8a-vRVh,e7f064b3-c6ab-11ea-89f8-0242ac110002,b52b2efa-27bb-4a39-a789-0f14efd58766,t244_20200715-202501_11
t144_1594825481682_18,gjWk-2K6R,66d7e213-c6ac-11ea-af23-0242ac110002,1767c1fb-ba7e-4a68-8cd1-875a38d929fe,t244_20200715-202501_18
t144_1594825481968_4,2QY6-otL9,6975dab3-c6ab-11ea-acee-0242ac110002,108c166a-bb1e-43e0-88d1-dbcd75898dfd,t244_20200715-202501_4
t144_1594825484143_15,sc6p-B9Nn,2d9fe764-c6ac-11ea-96b3-0242ac110002,6ccd0dd5-8e63-4480-a100-cd554d0ec57e,t244_20200715-202501_15
t144_1594825486477_6,A3JK-Qa38,8e3338c4-c6ab-11ea-af23-0242ac110002,4f6fff16-6869-4d0f-b341-44d4620465a4,t244_20200715-202501_6
t144_1594825487444_8,4QFd-bnzf,b101be43-c6ab-11ea-89f8-0242ac110002,592784ff-6f62-41c8-acfc-5e18104350b2,t244_20200715-202501_8
t144_1594825488562_13,4942-wPL3,099166e4-c6ac-11ea-89f8-0242ac110002,e83cda5e-9fcf-478c-9099-bbd9083f86f8,t244_20200715-202501_13
t144_1594825483624_19,pyM3-Zg3Q,77826423-c6ac-11ea-96b3-0242ac110002,b2f03a4d-d127-413e-9752-1dca49a88307,t244_20200715-202501_19
t144_1594825482905_5,r389-29u4,7d395d77-c6ab-11ea-89f8-0242ac110002,740fcc19-0f80-4e75-9f2d-726fd3cae860,t244_20200715-202501_5
t144_1594825484574_16,2R6V-BmRf,3f40b07f-c6ac-11ea-96b3-0242ac110002,8e389da1-4ffa-4af0-8fb3-80822df2d42f,t244_20200715-202501_16
t144_1594825486130_12,ybj4-qiHz,fa2e7fd1-c6ab-11ea-acee-0242ac110002,073d6f00-fa9b-4945-83ea-d01816a5cc14,t244_20200715-202501_12
t144_1594825487031_9,6vW4-cGwh,c462871f-c6ab-11ea-89f8-0242ac110002,7bf8781a-02bf-4655-a4b2-24645ba605b0,t244_20200715-202501_9
t144_1594825491358_17,32fd-e3V4,5263fb6d-c6ac-11ea-af23-0242ac110002,3fa9d038-3891-4e6d-a16a-3047f1d38922,t244_20200715-202501_17
t144_1594825491015_10,uh3X-jbJc,d32cd7d8-c6ab-11ea-89f8-0242ac110002,f487ec8a-d5e8-4b1b-b605-41b369cb00b4,t244_20200715-202501_10
t144_1594825494045_7,z9H3-wboL,a17a85e9-c6ab-11ea-af23-0242ac110002,a5b4c7dd-9d13-471b-9e72-1d25dc6e8fda,t244_20200715-202501_7
t144_1594825491610_14,daA7-Xpfw,1a523110-c6ac-11ea-af23-0242ac110002,3b3afb7b-3450-4e55-861b-1fb3f5a1b86c,t244_20200715-202501_14
t144_1594825497514_11,9j8a-vRVh,e7f064b3-c6ab-11ea-89f8-0242ac110002,446aa53b-c7aa-4f2e-8533-996b33d73cc2,t244_20200715-202501_11
t144_1594825506839_13,4942-wPL3,099166e4-c6ac-11ea-89f8-0242ac110002,d927f081-451e-497b-9eca-8226b1a4bf1a,t244_20200715-202501_13
t144_1594825503719_18,gjWk-2K6R,66d7e213-c6ac-11ea-af23-0242ac110002,db219fa3-982e-441b-ba12-21de0525f92b,t244_20200715-202501_18
t144_1594825506065_8,4QFd-bnzf,b101be43-c6ab-11ea-89f8-0242ac110002,e7629bd9-cf1c-4abc-b52c-8a0c78eaf0ce,t244_20200715-202501_8
t144_1594825505703_15,sc6p-B9Nn,2d9fe764-c6ac-11ea-96b3-0242ac110002,8476ec62-72ec-4a8e-ae51-4d48001c7c59,t244_20200715-202501_15
t144_1594825507415_19,pyM3-Zg3Q,77826423-c6ac-11ea-96b3-0242ac110002,9d8f7822-9085-4506-8b59-a5b30c7694aa,t244_20200715-202501_19
t144_1594825505983_6,A3JK-Qa38,8e3338c4-c6ab-11ea-af23-0242ac110002,1cbda33b-bda4-4e53-8cb1-abb4b16dba6e,t244_20200715-202501_6
t144_1594825508903_9,6vW4-cGwh,c462871f-c6ab-11ea-89f8-0242ac110002,85e5c845-4e8c-4667-9792-a382d5fbd84c,t244_20200715-202501_9
t144_1594825511863_10,uh3X-jbJc,d32cd7d8-c6ab-11ea-89f8-0242ac110002,7b378e71-cfee-426e-82ea-c6b54b33c31c,t244_20200715-202501_10
t144_1594825508406_12,ybj4-qiHz,fa2e7fd1-c6ab-11ea-acee-0242ac110002,390cfb6d-dcde-466a-8d63-dc949feea1b9,t244_20200715-202501_12
t144_1594825507745_5,r389-29u4,7d395d77-c6ab-11ea-89f8-0242ac110002,dc29c412-fc94-4e5b-85b7-ebce15bd50b6,t244_20200715-202501_5
t144_1594825505436_20,4Bsg-AUW7,857a97fe-c6ac-11ea-89f8-0242ac110002,03744768-e52b-4390-9e84-8efb7500de0e,t244_20200715-202501_20
t144_1594825511521_17,32fd-e3V4,5263fb6d-c6ac-11ea-af23-0242ac110002,3fafb369-a0c6-40f8-bda1-485e84611ae5,t244_20200715-202501_17
t144_1594825508217_16,2R6V-BmRf,3f40b07f-c6ac-11ea-96b3-0242ac110002,057c5326-dec1-4cef-b797-7808e7691cca,t244_20200715-202501_16
t144_1594825515735_14,daA7-Xpfw,1a523110-c6ac-11ea-af23-0242ac110002,63355635-715e-4cb4-9cbb-df0183185387,t244_20200715-202501_14
t144_1594825515695_7,z9H3-wboL,a17a85e9-c6ab-11ea-af23-0242ac110002,a8ac4fb4-4857-499f-a7e2-9a2f53abfe00,t244_20200715-202501_7
t144_1594825517540_11,9j8a-vRVh,e7f064b3-c6ab-11ea-89f8-0242ac110002,7fe0f32e-fda6-4061-a52c-b56e421fe310,t244_20200715-202501_11
t144_1594825527487_18,gjWk-2K6R,66d7e213-c6ac-11ea-af23-0242ac110002,838b083a-431d-49b9-8588-80adba0fe945,t244_20200715-202501_18
t144_1594825526820_13,4942-wPL3,099166e4-c6ac-11ea-89f8-0242ac110002,0f7d906e-e129-4f95-b404-ece85912e7ac,t244_20200715-202501_13
t144_1594825528838_15,sc6p-B9Nn,2d9fe764-c6ac-11ea-96b3-0242ac110002,8383f45f-1ca7-439a-8275-6819505ba2fd,t244_20200715-202501_15
