tchextid,stduuid,stdextid,classcode
tch_20200713-103946_1,40dfb440-cb0c-11ea-89f8-0242ac110002,std_1595306407848_1,9G9P-KY4s
tch_20200713-103946_2,42efa906-cb0c-11ea-af23-0242ac110002,std_1595306411856_2,UjYu-3o7L
tch_20200713-103946_3,4567ae15-cb0c-11ea-89f8-0242ac110002,std_1595306415947_3,hwq6-doQN
tch_20200713-103946_4,47c9923f-cb0c-11ea-89f8-0242ac110002,std_1595306419988_4,Nv7K-X7X6
tch_20200713-103946_5,4a33b4e1-cb0c-11ea-89f8-0242ac110002,std_1595306424028_5,3Rb2-mNMC
tch_20200713-103946_6,4c980b05-cb0c-11ea-acee-0242ac110002,std_1595306428078_6,B72r-yTiN
tch_20200713-103946_7,4f18c22a-cb0c-11ea-89f8-0242ac110002,std_1595306432125_7,K84W-oGLy
tch_20200713-103946_1,4fac9d74-cb0c-11ea-96b3-0242ac110002,std_1595306433585_1,9G9P-KY4s
tch_20200713-103946_3,5349c111-cb0c-11ea-89f8-0242ac110002,std_1595306439647_3,hwq6-doQN
tch_20200713-103946_8,5177c0a5-cb0c-11ea-89f8-0242ac110002,std_1595306436194_8,BFav-2HX8
tch_20200713-103946_2,533dda73-cb0c-11ea-96b3-0242ac110002,std_1595306439580_2,UjYu-3o7L
tch_20200713-103946_9,53d2a0d5-cb0c-11ea-89f8-0242ac110002,std_1595306440220_9,HsPT-U3e9
tch_20200713-103946_10,563bb117-cb0c-11ea-89f8-0242ac110002,std_1595306444245_10,PpmF-XQW7
tch_20200713-103946_11,589fe01a-cb0c-11ea-acee-0242ac110002,std_1595306448277_11,H374-yriK
tch_20200713-103946_4,583f9755-cb0c-11ea-acee-0242ac110002,std_1595306447995_4,Nv7K-X7X6
tch_20200713-103946_5,5a8cbbab-cb0c-11ea-acee-0242ac110002,std_1595306451827_5,3Rb2-mNMC
tch_20200713-103946_6,5b2e2c02-cb0c-11ea-89f8-0242ac110002,std_1595306452903_6,B72r-yTiN
tch_20200713-103946_12,5b04d200-cb0c-11ea-96b3-0242ac110002,std_1595306452292_12,t9gV-fzW3
tch_20200713-103946_13,5d6afcc0-cb0c-11ea-af23-0242ac110002,std_1595306456306_13,zeMk-6MTk
tch_20200713-103946_7,5e0eddf4-cb0c-11ea-89f8-0242ac110002,std_1595306457707_7,K84W-oGLy
tch_20200713-103946_1,604a00e6-cb0c-11ea-96b3-0242ac110002,std_1595306461440_1,9G9P-KY4s
tch_20200713-103946_14,5fcf523b-cb0c-11ea-96b3-0242ac110002,std_1595306460323_14,w4VG-6qMt
tch_20200713-103946_3,6194f6f7-cb0c-11ea-96b3-0242ac110002,std_1595306463628_3,hwq6-doQN
tch_20200713-103946_15,623a37ff-cb0c-11ea-acee-0242ac110002,std_1595306464337_15,sDud-t7R9
tch_20200713-103946_8,62d8c191-cb0c-11ea-96b3-0242ac110002,std_1595306465754_8,BFav-2HX8
tch_20200713-103946_2,6456615d-cb0c-11ea-96b3-0242ac110002,std_1595306468247_2,UjYu-3o7L
tch_20200713-103946_9,648adf44-cb0c-11ea-96b3-0242ac110002,std_1595306468609_9,HsPT-U3e9
tch_20200713-103946_10,6626b407-cb0c-11ea-96b3-0242ac110002,std_1595306471303_10,PpmF-XQW7
tch_20200713-103946_16,649d06e6-cb0c-11ea-96b3-0242ac110002,std_1595306468361_16,y9x7-jg6w
tch_20200713-103946_4,66ed86dc-cb0c-11ea-acee-0242ac110002,std_1595306472623_4,Nv7K-X7X6
tch_20200713-103946_11,66a7f1f6-cb0c-11ea-af23-0242ac110002,std_1595306472153_11,H374-yriK
tch_20200713-103946_17,6700c12b-cb0c-11ea-96b3-0242ac110002,std_1595306472378_17,bgaA-RyEY
tch_20200713-103946_5,684e00ec-cb0c-11ea-af23-0242ac110002,std_1595306474928_5,3Rb2-mNMC
tch_20200713-103946_18,69684b4b-cb0c-11ea-af23-0242ac110002,std_1595306476394_18,v6aY-X6Pq
tch_20200713-103946_6,6aa007f6-cb0c-11ea-89f8-0242ac110002,std_1595306478805_6,B72r-yTiN
tch_20200713-103946_12,6c18eb9a-cb0c-11ea-af23-0242ac110002,std_1595306481302_12,t9gV-fzW3
tch_20200713-103946_19,6bd26ce5-cb0c-11ea-96b3-0242ac110002,std_1595306480410_19,8V9c-9mpy
tch_20200713-103946_20,6e270bc4-cb0c-11ea-89f8-0242ac110002,std_1595306484433_20,8bPJ-6NyQ
tch_20200713-103946_21,7091f142-cb0c-11ea-af23-0242ac110002,std_1595306488443_21,8v9m-8i8a
tch_20200713-103946_13,6db9f20b-cb0c-11ea-acee-0242ac110002,std_1595306484026_13,zeMk-6MTk
tch_20200713-103946_7,6e13d187-cb0c-11ea-af23-0242ac110002,std_1595306484620_7,K84W-oGLy
tch_20200713-103946_8,72539e78-cb0c-11ea-96b3-0242ac110002,std_1595306491761_8,BFav-2HX8
tch_20200713-103946_1,702ec29e-cb0c-11ea-96b3-0242ac110002,std_1595306488145_1,9G9P-KY4s
tch_20200713-103946_14,7159fc70-cb0c-11ea-acee-0242ac110002,std_1595306490090_14,w4VG-6qMt
tch_20200713-103946_15,71ed3b8d-cb0c-11ea-acee-0242ac110002,std_1595306491052_15,sDud-t7R9
tch_20200713-103946_3,71788083-cb0c-11ea-89f8-0242ac110002,std_1595306490302_3,hwq6-doQN
tch_20200713-103946_16,75918ad0-cb0c-11ea-96b3-0242ac110002,std_1595306497195_16,y9x7-jg6w
tch_20200713-103946_2,741328ec-cb0c-11ea-af23-0242ac110002,std_1595306494654_2,UjYu-3o7L
tch_20200713-103946_22,72f953cb-cb0c-11ea-96b3-0242ac110002,std_1595306492466_22,f7A2-i2G3
tch_20200713-103946_4,75adc5ba-cb0c-11ea-96b3-0242ac110002,std_1595306497381_4,Nv7K-X7X6
tch_20200713-103946_23,7560deac-cb0c-11ea-af23-0242ac110002,std_1595306496482_23,8sco-gX6E
tch_20200713-103946_9,7532544b-cb0c-11ea-acee-0242ac110002,std_1595306496530_9,HsPT-U3e9
tch_20200713-103946_10,755dd0a5-cb0c-11ea-89f8-0242ac110002,std_1595306496837_10,PpmF-XQW7
tch_20200713-103946_17,76f512e1-cb0c-11ea-96b3-0242ac110002,std_1595306499488_17,bgaA-RyEY
tch_20200713-103946_5,7816fd01-cb0c-11ea-89f8-0242ac110002,std_1595306501394_5,3Rb2-mNMC
tch_20200713-103946_24,77c1b169-cb0c-11ea-acee-0242ac110002,std_1595306500498_24,U4pK-wJs7
tch_20200713-103946_6,7a66e075-cb0c-11ea-af23-0242ac110002,std_1595306505263_6,B72r-yTiN
tch_20200713-103946_11,769406d7-cb0c-11ea-acee-0242ac110002,std_1595306498871_11,H374-yriK
tch_20200713-103946_18,78a693b7-cb0c-11ea-af23-0242ac110002,std_1595306502346_18,v6aY-X6Pq
tch_20200713-103946_25,7a293be0-cb0c-11ea-96b3-0242ac110002,std_1595306504513_25,gi4L-98Wi
tch_20200713-103946_26,7c85c9ab-cb0c-11ea-af23-0242ac110002,std_1595306508537_26,4TH9-L7N3
tch_20200713-103946_12,7cc0fd34-cb0c-11ea-96b3-0242ac110002,std_1595306509188_12,t9gV-fzW3
tch_20200713-103946_13,7de0ec70-cb0c-11ea-af23-0242ac110002,std_1595306511130_13,zeMk-6MTk
tch_20200713-103946_20,7d200d9c-cb0c-11ea-acee-0242ac110002,std_1595306509834_20,8bPJ-6NyQ
tch_20200713-103946_27,7eef28a6-cb0c-11ea-acee-0242ac110002,std_1595306512555_27,A2du-ECqZ
tch_20200713-103946_21,7ddef08e-cb0c-11ea-af23-0242ac110002,std_1595306511093_21,8v9m-8i8a
tch_20200713-103946_19,7ceb1b44-cb0c-11ea-89f8-0242ac110002,std_1595306509496_19,8V9c-9mpy
tch_20200713-103946_7,7f8e0096-cb0c-11ea-af23-0242ac110002,std_1595306513924_7,K84W-oGLy
tch_20200713-103946_8,7fee96b5-cb0c-11ea-96b3-0242ac110002,std_1595306514549_8,BFav-2HX8
tch_20200713-103946_28,8156b1f2-cb0c-11ea-96b3-0242ac110002,std_1595306516589_28,pY7i-9mWX
tch_20200713-103946_14,81bfadab-cb0c-11ea-acee-0242ac110002,std_1595306517598_14,w4VG-6qMt
tch_20200713-103946_16,8371f0ef-cb0c-11ea-af23-0242ac110002,std_1595306520423_16,y9x7-jg6w
tch_20200713-103946_29,83c20c9d-cb0c-11ea-89f8-0242ac110002,std_1595306520618_29,Mivj-f9Ff
tch_20200713-103946_15,81fbcbfd-cb0c-11ea-af23-0242ac110002,std_1595306517962_15,sDud-t7R9
tch_20200713-103946_30,862a5a9b-cb0c-11ea-89f8-0242ac110002,std_1595306524634_30,h3hG-ejd8
tch_20200713-103946_23,854b9312-cb0c-11ea-acee-0242ac110002,std_1595306523550_23,8sco-gX6E
tch_20200713-103946_22,8422ca60-cb0c-11ea-af23-0242ac110002,std_1595306521588_22,f7A2-i2G3
tch_20200713-103946_9,8650f512-cb0c-11ea-acee-0242ac110002,std_1595306525271_9,HsPT-U3e9
tch_20200713-103946_17,870948f4-cb0c-11ea-89f8-0242ac110002,std_1595306526480_17,bgaA-RyEY
tch_20200713-103946_24,881735e9-cb0c-11ea-af23-0242ac110002,std_1595306528247_24,U4pK-wJs7
tch_20200713-103946_10,8681065d-cb0c-11ea-af23-0242ac110002,std_1595306525578_10,PpmF-XQW7
tch_20200713-103946_32,8ae8576b-cb0c-11ea-acee-0242ac110002,std_1595306532658_32,EVN4-9L84
tch_20200713-103946_31,88895909-cb0c-11ea-96b3-0242ac110002,std_1595306528649_31,y8cm-nstL
tch_20200713-103946_18,89754029-cb0c-11ea-acee-0242ac110002,std_1595306530539_18,v6aY-X6Pq
tch_20200713-103946_25,89e147fe-cb0c-11ea-af23-0242ac110002,std_1595306531258_25,gi4L-98Wi
tch_20200713-103946_26,8b680f5e-cb0c-11ea-96b3-0242ac110002,std_1595306533769_26,4TH9-L7N3
tch_20200713-103946_11,894a117b-cb0c-11ea-96b3-0242ac110002,std_1595306530254_11,H374-yriK
tch_20200713-103946_20,8d0c6ff8-cb0c-11ea-89f8-0242ac110002,std_1595306536572_20,8bPJ-6NyQ
tch_20200713-103946_13,8c4cc9cc-cb0c-11ea-89f8-0242ac110002,std_1595306535314_13,zeMk-6MTk
tch_20200713-103946_19,8e411f3b-cb0c-11ea-af23-0242ac110002,std_1595306538613_19,8V9c-9mpy
tch_20200713-103946_27,8d78ed7b-cb0c-11ea-acee-0242ac110002,std_1595306537270_27,A2du-ECqZ
tch_20200713-103946_33,8d4cfbb8-cb0c-11ea-96b3-0242ac110002,std_1595306536673_33,ECHx-J8gF
tch_20200713-103946_12,8c3dd5a7-cb0c-11ea-96b3-0242ac110002,std_1595306535201_12,t9gV-fzW3
tch_20200713-103946_34,8fb633af-cb0c-11ea-89f8-0242ac110002,std_1595306540690_34,GktZ-84ho
tch_20200713-103946_21,8e0c2cd8-cb0c-11ea-96b3-0242ac110002,std_1595306538220_21,8v9m-8i8a
tch_20200713-103946_16,92218e19-cb0c-11ea-acee-0242ac110002,std_1595306545094_16,y9x7-jg6w
tch_20200713-103946_28,90618e2a-cb0c-11ea-96b3-0242ac110002,std_1595306542050_28,pY7i-9mWX
tch_20200713-103946_14,91bcb158-cb0c-11ea-acee-0242ac110002,std_1595306544428_14,w4VG-6qMt
tch_20200713-103946_29,92916682-cb0c-11ea-acee-0242ac110002,std_1595306545802_29,Mivj-f9Ff
tch_20200713-103946_35,92161c34-cb0c-11ea-96b3-0242ac110002,std_1595306544697_35,jVv7-kCF4
tch_20200713-103946_15,92f2e7d7-cb0c-11ea-89f8-0242ac110002,std_1595306546457_15,sDud-t7R9
tch_20200713-103946_37,96e5f447-cb0c-11ea-96b3-0242ac110002,std_1595306552729_37,3oq6-Gupj
tch_20200713-103946_36,947eb7a9-cb0c-11ea-acee-0242ac110002,std_1595306548721_36,uCrq-B9mR
tch_20200713-103946_22,9635dd80-cb0c-11ea-96b3-0242ac110002,std_1595306551952_22,f7A2-i2G3
tch_20200713-103946_30,9555906f-cb0c-11ea-89f8-0242ac110002,std_1595306550463_30,h3hG-ejd8
tch_20200713-103946_23,9596def1-cb0c-11ea-96b3-0242ac110002,std_1595306550906_23,8sco-gX6E
tch_20200713-103946_18,997cf29b-cb0c-11ea-89f8-0242ac110002,std_1595306557457_18,v6aY-X6Pq
tch_20200713-103946_24,98060a29-cb0c-11ea-96b3-0242ac110002,std_1595306554994_24,U4pK-wJs7
tch_20200713-103946_26,9a446109-cb0c-11ea-acee-0242ac110002,std_1595306558756_26,4TH9-L7N3
tch_20200713-103946_38,9943e171-cb0c-11ea-acee-0242ac110002,std_1595306556746_38,8NYm-a4y9
tch_20200713-103946_17,97c2bf81-cb0c-11ea-89f8-0242ac110002,std_1595306554550_17,bgaA-RyEY
tch_20200713-103946_32,98e546de-cb0c-11ea-af23-0242ac110002,std_1595306556421_32,EVN4-9L84
tch_20200713-103946_31,996a0652-cb0c-11ea-acee-0242ac110002,std_1595306557316_31,y8cm-nstL
tch_20200713-103946_19,9cdbfbe9-cb0c-11ea-96b3-0242ac110002,std_1595306563089_19,8V9c-9mpy
tch_20200713-103946_25,99f704af-cb0c-11ea-96b3-0242ac110002,std_1595306558257_25,gi4L-98Wi
tch_20200713-103946_39,9bab6b0c-cb0c-11ea-af23-0242ac110002,std_1595306560761_39,mdco-mdeD
tch_20200713-103946_20,9bf6cbe8-cb0c-11ea-89f8-0242ac110002,std_1595306561581_20,8bPJ-6NyQ
tch_20200713-103946_27,9d390fe0-cb0c-11ea-acee-0242ac110002,std_1595306563686_27,A2du-ECqZ
tch_20200713-103946_21,9f808f9c-cb0c-11ea-89f8-0242ac110002,std_1595306567482_21,8v9m-8i8a
tch_20200713-103946_33,9d9d028f-cb0c-11ea-af23-0242ac110002,std_1595306564344_33,ECHx-J8gF
tch_20200713-103946_40,9e10d27f-cb0c-11ea-af23-0242ac110002,std_1595306564777_40,xfjU-yqpz
tch_20200713-103946_28,a04eb4cb-cb0c-11ea-89f8-0242ac110002,std_1595306568889_28,pY7i-9mWX
tch_20200713-103946_34,9ef20abc-cb0c-11ea-89f8-0242ac110002,std_1595306566584_34,GktZ-84ho
tch_20200713-103946_41,a0748c97-cb0c-11ea-89f8-0242ac110002,std_1595306568802_41,43i8-9BxE
tch_20200713-103946_42,a2d9cc22-cb0c-11ea-af23-0242ac110002,std_1595306572818_42,3svK-Vj4L
