tchextid,stduuid,stdextid,classcode
tch_20200713-160744_40,ad6bdfa7-cb0e-11ea-acee-0242ac110002,std_1595307449906_240,P4VC-YTN8
tch_20200713-160744_55,b067456c-cb0e-11ea-96b3-0242ac110002,std_1595307454896_255,aKcA-DZtM
tch_20200713-160744_61,af17bb61-cb0e-11ea-96b3-0242ac110002,std_1595307452337_261,cF7q-3n7v
tch_20200713-160744_43,b2a32b7e-cb0e-11ea-acee-0242ac110002,std_1595307458577_243,h6YC-Tijm
tch_20200713-160744_44,b3021490-cb0e-11ea-af23-0242ac110002,std_1595307459278_244,6Gwq-ZngK
tch_20200713-160744_42,b30c26f2-cb0e-11ea-96b3-0242ac110002,std_1595307459341_242,qhB6-93ez
tch_20200713-160744_41,b07639a0-cb0e-11ea-af23-0242ac110002,std_1595307454988_241,D23X-GYUV
tch_20200713-160744_62,b1818ef6-cb0e-11ea-96b3-0242ac110002,std_1595307456352_262,r2a6-WCGq
tch_20200713-160744_56,b3d283cc-cb0e-11ea-af23-0242ac110002,std_1595307460632_256,V36W-4kb9
tch_20200713-160744_49,b279ab3b-cb0e-11ea-89f8-0242ac110002,std_1595307458366_249,YvUt-VcCe
tch_20200713-160744_63,b3dc20e1-cb0e-11ea-af23-0242ac110002,std_1595307460363_263,BmAa-9JBh
tch_20200713-160744_64,b63c30cc-cb0e-11ea-96b3-0242ac110002,std_1595307464376_264,2jpM-36o9
tch_20200713-160744_48,b3ea792a-cb0e-11ea-acee-0242ac110002,std_1595307460791_248,2qWH-7sta
tch_20200713-160744_57,b53b3be3-cb0e-11ea-96b3-0242ac110002,std_1595307463002_257,L7mr-kvdV
tch_20200713-160744_45,b82d0452-cb0e-11ea-89f8-0242ac110002,std_1595307467949_245,TBoz-9wcP
tch_20200713-160744_50,b76e484c-cb0e-11ea-89f8-0242ac110002,std_1595307466686_250,2h49-pLgt
tch_20200713-160744_52,b7bdc85d-cb0e-11ea-af23-0242ac110002,std_1595307467199_252,2zLJ-V8xh
tch_20200713-160744_51,b8792857-cb0e-11ea-acee-0242ac110002,std_1595307468437_251,28Bz-CPT6
tch_20200713-160744_65,b8a51abd-cb0e-11ea-acee-0242ac110002,std_1595307468384_265,dXqA-Vstd
tch_20200713-160744_59,bab228c8-cb0e-11ea-89f8-0242ac110002,std_1595307472172_259,LKPn-mqBt
tch_20200713-160744_66,bb0810ce-cb0e-11ea-af23-0242ac110002,std_1595307472401_266,msoL-NLET
tch_20200713-160744_58,b902cb80-cb0e-11ea-acee-0242ac110002,std_1595307469346_258,CRcA-o2Xm
tch_20200713-160744_47,b9d22961-cb0e-11ea-af23-0242ac110002,std_1595307470712_247,7fRc-9J3c
tch_20200713-160744_53,ba97c309-cb0e-11ea-af23-0242ac110002,std_1595307472000_253,tLXJ-uR8f
tch_20200713-160744_46,bbe92259-cb0e-11ea-96b3-0242ac110002,std_1595307474200_246,2Q9J-Z84u
tch_20200713-160744_54,bc53caa1-cb0e-11ea-acee-0242ac110002,std_1595307474888_254,8H9p-sTX8
tch_20200713-160744_55,bf06403a-cb0e-11ea-acee-0242ac110002,std_1595307479417_255,aKcA-DZtM
tch_20200713-160744_67,bd6b06d9-cb0e-11ea-af23-0242ac110002,std_1595307476408_267,H98X-yY8x
tch_20200713-160744_60,bd5dc138-cb0e-11ea-acee-0242ac110002,std_1595307476637_260,wpqD-sDLY
tch_20200713-160744_62,c203a252-cb0e-11ea-af23-0242ac110002,std_1595307484451_262,r2a6-WCGq
tch_20200713-160744_69,c236c04c-cb0e-11ea-96b3-0242ac110002,std_1595307484440_269,9dmb-2F3e
tch_20200713-160744_68,bfd1f578-cb0e-11ea-89f8-0242ac110002,std_1595307480424_268,E2sh-A6VW
tch_20200713-160744_61,bfaba88a-cb0e-11ea-acee-0242ac110002,std_1595307480514_261,cF7q-3n7v
tch_20200713-160744_63,c3c130af-cb0e-11ea-acee-0242ac110002,std_1595307487350_263,BmAa-9JBh
tch_20200713-160744_49,c371d861-cb0e-11ea-af23-0242ac110002,std_1595307486855_249,YvUt-VcCe
tch_20200713-160744_70,c4994158-cb0e-11ea-96b3-0242ac110002,std_1595307488449_270,uv6v-9fne
tch_20200713-160744_64,c4274534-cb0e-11ea-96b3-0242ac110002,std_1595307488033_264,2jpM-36o9
tch_20200713-160744_56,c361f9c5-cb0e-11ea-af23-0242ac110002,std_1595307486729_256,V36W-4kb9
tch_20200713-160744_57,c65325a4-cb0e-11ea-96b3-0242ac110002,std_1595307491677_257,L7mr-kvdV
tch_20200713-160744_71,c6fafec4-cb0e-11ea-96b3-0242ac110002,std_1595307492465_271,e7s4-2TUt
tch_20200713-160744_48,c5a8dcbc-cb0e-11ea-acee-0242ac110002,std_1595307490565_248,2qWH-7sta
tch_20200713-160744_50,c7705590-cb0e-11ea-89f8-0242ac110002,std_1595307493549_250,2h49-pLgt
tch_20200713-160744_52,c7dd4873-cb0e-11ea-acee-0242ac110002,std_1595307494258_252,2zLJ-V8xh
tch_20200713-160744_66,ca18e052-cb0e-11ea-96b3-0242ac110002,std_1595307498006_266,msoL-NLET
tch_20200713-160744_51,c963e8d2-cb0e-11ea-af23-0242ac110002,std_1595307496818_251,28Bz-CPT6
tch_20200713-160744_54,cc6393c1-cb0e-11ea-acee-0242ac110002,std_1595307501854_254,8H9p-sTX8
tch_20200713-160744_59,c9dc9b28-cb0e-11ea-af23-0242ac110002,std_1595307497578_259,LKPn-mqBt
tch_20200713-160744_65,c991aefd-cb0e-11ea-af23-0242ac110002,std_1595307497118_265,dXqA-Vstd
tch_20200713-160744_58,ca289838-cb0e-11ea-89f8-0242ac110002,std_1595307498114_258,CRcA-o2Xm
tch_20200713-160744_72,c963731c-cb0e-11ea-acee-0242ac110002,std_1595307496472_272,2648-cXzN
tch_20200713-160744_67,ce1da079-cb0e-11ea-af23-0242ac110002,std_1595307504760_267,H98X-yY8x
tch_20200713-160744_73,cbc9500b-cb0e-11ea-acee-0242ac110002,std_1595307500489_273,fQjL-8KsL
tch_20200713-160744_53,cb976a24-cb0e-11ea-96b3-0242ac110002,std_1595307500516_253,tLXJ-uR8f
tch_20200713-160744_62,cfc6bc07-cb0e-11ea-acee-0242ac110002,std_1595307507534_262,r2a6-WCGq
tch_20200713-160744_55,cdec56ea-cb0e-11ea-af23-0242ac110002,std_1595307504410_255,aKcA-DZtM
tch_20200713-160744_74,ce295f9b-cb0e-11ea-89f8-0242ac110002,std_1595307504505_274,R8Ft-6283
tch_20200713-160744_60,cf114f44-cb0e-11ea-96b3-0242ac110002,std_1595307506349_260,wpqD-sDLY
tch_20200713-160744_75,d09a1225-cb0e-11ea-96b3-0242ac110002,std_1595307508521_275,VCNJ-Bz2B
tch_20200713-160744_68,d0e26503-cb0e-11ea-af23-0242ac110002,std_1595307509392_268,E2sh-A6VW
tch_20200713-160744_69,d0c00fe1-cb0e-11ea-96b3-0242ac110002,std_1595307509163_269,9dmb-2F3e
tch_20200713-160744_61,d1c41310-cb0e-11ea-acee-0242ac110002,std_1595307510884_261,cF7q-3n7v
tch_20200713-160744_63,d42e5bba-cb0e-11ea-96b3-0242ac110002,std_1595307514913_263,BmAa-9JBh
tch_20200713-160744_76,d2f4ca8c-cb0e-11ea-acee-0242ac110002,std_1595307512537_276,HvqC-dgyQ
tch_20200713-160744_64,d4c19ae8-cb0e-11ea-89f8-0242ac110002,std_1595307515899_264,2jpM-36o9
tch_20200713-160744_70,d4311ae9-cb0e-11ea-96b3-0242ac110002,std_1595307514924_270,uv6v-9fne
tch_20200713-160744_57,d5084126-cb0e-11ea-96b3-0242ac110002,std_1595307516376_257,L7mr-kvdV
tch_20200713-160744_56,d504be9b-cb0e-11ea-96b3-0242ac110002,std_1595307516329_256,V36W-4kb9
tch_20200713-160744_77,d5566179-cb0e-11ea-af23-0242ac110002,std_1595307516545_277,vLJz-buNQ
tch_20200713-160744_78,d7bdebe5-cb0e-11ea-acee-0242ac110002,std_1595307520552_278,7jA4-Q9L8
tch_20200713-160744_71,d5f56060-cb0e-11ea-89f8-0242ac110002,std_1595307517893_271,e7s4-2TUt
tch_20200713-160744_58,db2cac98-cb0e-11ea-96b3-0242ac110002,std_1595307526659_258,CRcA-o2Xm
tch_20200713-160744_79,da265fe5-cb0e-11ea-89f8-0242ac110002,std_1595307524568_279,2Hzs-P2dN
tch_20200713-160744_72,db837ee1-cb0e-11ea-af23-0242ac110002,std_1595307527223_272,2648-cXzN
tch_20200713-160744_65,da821415-cb0e-11ea-96b3-0242ac110002,std_1595307525515_265,dXqA-Vstd
tch_20200713-160744_66,d9d3d2a9-cb0e-11ea-96b3-0242ac110002,std_1595307524400_266,msoL-NLET
tch_20200713-160744_59,da5167d5-cb0e-11ea-89f8-0242ac110002,std_1595307525174_259,LKPn-mqBt
tch_20200713-160744_73,dc766a67-cb0e-11ea-acee-0242ac110002,std_1595307528791_273,fQjL-8KsL
tch_20200713-160744_74,df72e1d8-cb0e-11ea-96b3-0242ac110002,std_1595307533815_274,R8Ft-6283
tch_20200713-160744_80,dc85109e-cb0e-11ea-acee-0242ac110002,std_1595307528584_280,c2o9-8xbZ
tch_20200713-160744_81,deebfe27-cb0e-11ea-96b3-0242ac110002,std_1595307532605_281,2u6u-YHX4
tch_20200713-160744_82,e1566ed5-cb0e-11ea-acee-0242ac110002,std_1595307536620_282,Bcp3-YJ4D
tch_20200713-160744_68,e0d6b72d-cb0e-11ea-acee-0242ac110002,std_1595307536121_268,E2sh-A6VW
tch_20200713-160744_69,e1a0e57d-cb0e-11ea-96b3-0242ac110002,std_1595307537495_269,9dmb-2F3e
tch_20200713-160744_62,dec11d5a-cb0e-11ea-89f8-0242ac110002,std_1595307532660_262,r2a6-WCGq
tch_20200713-160744_75,dfe8fc15-cb0e-11ea-af23-0242ac110002,std_1595307534604_275,VCNJ-Bz2B
tch_20200713-160744_63,e325feb3-cb0e-11ea-af23-0242ac110002,std_1595307540046_263,BmAa-9JBh
tch_20200713-160744_61,e2929835-cb0e-11ea-96b3-0242ac110002,std_1595307539084_261,cF7q-3n7v
tch_20200713-160744_76,e421ead2-cb0e-11ea-af23-0242ac110002,std_1595307541677_276,HvqC-dgyQ
tch_20200713-160744_70,e49cbfa3-cb0e-11ea-89f8-0242ac110002,std_1595307542471_270,uv6v-9fne
tch_20200713-160744_83,e3b7419f-cb0e-11ea-af23-0242ac110002,std_1595307540635_283,9uRq-f383
tch_20200713-160744_77,e5399c94-cb0e-11ea-af23-0242ac110002,std_1595307543526_277,vLJz-buNQ
tch_20200713-160744_84,e6181557-cb0e-11ea-89f8-0242ac110002,std_1595307544650_284,HY8W-gvat
tch_20200713-160744_64,e463fc5a-cb0e-11ea-96b3-0242ac110002,std_1595307542095_264,2jpM-36o9
tch_20200713-160744_78,e5d00fb9-cb0e-11ea-96b3-0242ac110002,std_1595307544472_278,7jA4-Q9L8
tch_20200713-160744_71,e68110a0-cb0e-11ea-acee-0242ac110002,std_1595307545632_271,e7s4-2TUt
tch_20200713-160744_85,e8898ae9-cb0e-11ea-96b3-0242ac110002,std_1595307548664_285,P3CX-KrHN
tch_20200713-160744_66,eb14f0b5-cb0e-11ea-af23-0242ac110002,std_1595307553339_266,msoL-NLET
tch_20200713-160744_86,eae8fe72-cb0e-11ea-af23-0242ac110002,std_1595307552678_286,UAzJ-Qs83
tch_20200713-160744_65,ea1bea76-cb0e-11ea-af23-0242ac110002,std_1595307551708_265,dXqA-Vstd
tch_20200713-160744_79,ea0d442b-cb0e-11ea-acee-0242ac110002,std_1595307551601_279,2Hzs-P2dN
tch_20200713-160744_72,ea12e9e8-cb0e-11ea-96b3-0242ac110002,std_1595307551640_272,2648-cXzN
tch_20200713-160744_74,edf0e722-cb0e-11ea-af23-0242ac110002,std_1595307558138_274,R8Ft-6283
tch_20200713-160744_73,ecea7405-cb0e-11ea-96b3-0242ac110002,std_1595307556428_273,fQjL-8KsL
tch_20200713-160744_81,ee923088-cb0e-11ea-89f8-0242ac110002,std_1595307559142_281,2u6u-YHX4
tch_20200713-160744_80,ee1dc35d-cb0e-11ea-acee-0242ac110002,std_1595307558450_280,c2o9-8xbZ
tch_20200713-160744_69,f01e4e2b-cb0e-11ea-89f8-0242ac110002,std_1595307561770_269,9dmb-2F3e
tch_20200713-160744_89,f210f6ec-cb0e-11ea-acee-0242ac110002,std_1595307564720_289,c6RV-7EGu
tch_20200713-160744_82,ef18c557-cb0e-11ea-acee-0242ac110002,std_1595307560079_282,Bcp3-YJ4D
tch_20200713-160744_87,ed548029-cb0e-11ea-acee-0242ac110002,std_1595307556692_287,8R72-C3kY
tch_20200713-160744_68,f0085569-cb0e-11ea-af23-0242ac110002,std_1595307561646_268,E2sh-A6VW
tch_20200713-160744_67,ef03b67e-cb0e-11ea-acee-0242ac110002,std_1595307559924_267,H98X-yY8x
tch_20200713-160744_88,efac2b56-cb0e-11ea-acee-0242ac110002,std_1595307560706_288,BTFi-6bCL
tch_20200713-160744_77,f436bc81-cb0e-11ea-89f8-0242ac110002,std_1595307568635_277,vLJz-buNQ
tch_20200713-160744_75,f1081254-cb0e-11ea-96b3-0242ac110002,std_1595307563323_275,VCNJ-Bz2B
tch_20200713-160744_90,f4728d58-cb0e-11ea-af23-0242ac110002,std_1595307568732_290,EbUN-tm2A
tch_20200713-160744_70,f3eedec9-cb0e-11ea-acee-0242ac110002,std_1595307568191_270,uv6v-9fne
tch_20200713-160744_83,f3f98cae-cb0e-11ea-96b3-0242ac110002,std_1595307568260_283,9uRq-f383
tch_20200713-160744_76,f31a9e32-cb0e-11ea-89f8-0242ac110002,std_1595307566786_276,HvqC-dgyQ
tch_20200713-160744_84,f50c0ec2-cb0e-11ea-af23-0242ac110002,std_1595307570028_284,HY8W-gvat
tch_20200713-160744_91,f6d9c955-cb0e-11ea-acee-0242ac110002,std_1595307572748_291,DnW9-Dcjd
tch_20200713-160744_85,f837ab53-cb0e-11ea-acee-0242ac110002,std_1595307575360_285,P3CX-KrHN
tch_20200713-160744_78,f66424a3-cb0e-11ea-acee-0242ac110002,std_1595307572312_278,7jA4-Q9L8
tch_20200713-160744_71,f665ab23-cb0e-11ea-af23-0242ac110002,std_1595307572331_271,e7s4-2TUt
tch_20200713-160744_92,f939d923-cb0e-11ea-96b3-0242ac110002,std_1595307576763_292,b39r-4c3P
tch_20200713-160744_86,f9abd59b-cb0e-11ea-af23-0242ac110002,std_1595307577838_286,UAzJ-Qs83
tch_20200713-160744_73,fc606d65-cb0e-11ea-af23-0242ac110002,std_1595307582359_273,fQjL-8KsL
tch_20200713-160744_74,fc129c04-cb0e-11ea-af23-0242ac110002,std_1595307581851_274,R8Ft-6283
tch_20200713-160744_93,fba4beb5-cb0e-11ea-acee-0242ac110002,std_1595307580780_293,xo8T-MrbM
tch_20200713-160744_72,fb8af5e3-cb0e-11ea-af23-0242ac110002,std_1595307580952_272,2648-cXzN
tch_20200713-160744_79,fa246103-cb0e-11ea-89f8-0242ac110002,std_1595307578617_279,2Hzs-P2dN
tch_20200713-160744_94,fe0d5ab0-cb0e-11ea-acee-0242ac110002,std_1595307584795_294,b23z-R4MW
tch_20200713-160744_81,fcb0b13b-cb0e-11ea-96b3-0242ac110002,std_1595307582900_281,2u6u-YHX4
tch_20200713-160744_82,ff68564a-cb0e-11ea-af23-0242ac110002,std_1595307587449_282,Bcp3-YJ4D
tch_20200713-160744_80,fdd2e950-cb0e-11ea-acee-0242ac110002,std_1595307584784_280,c2o9-8xbZ
tch_20200713-160744_89,ff2affb6-cb0e-11ea-af23-0242ac110002,std_1595307587054_289,c6RV-7EGu
tch_20200713-160744_87,ffa44e9d-cb0e-11ea-89f8-0242ac110002,std_1595307587827_287,8R72-C3kY
tch_20200713-160744_88,00b940f0-cb0f-11ea-89f8-0242ac110002,std_1595307589655_288,BTFi-6bCL
tch_20200713-160744_75,020325e3-cb0f-11ea-acee-0242ac110002,std_1595307591822_275,VCNJ-Bz2B
