studentextuserid,classcode
std_1590470625754_44,b6dM-LeCV
std_1590470627568_45,iMwv-NPLj
std_1590470629382_46,TMgN-fQ24
std_1590470631195_47,fJBY-jgKk
std_1590470633007_48,uiwn-G8T8
std_1590470634820_49,8kf3-R87t
std_1590470636635_50,9d9L-ycN4
std_1590470638447_51,39R6-26UV
std_1590470640261_52,4Nu4-V27o
std_1590470642094_53,GDEw-tNWd
std_1590470643926_54,U8vZ-T8qc
std_1590470645753_55,j8HB-H2ie
std_1590470647567_56,Rw6J-mQ39
std_1590470649380_57,2aw6-ibvC
std_1590470651194_58,yu6R-4svF
std_1590470653008_59,3U2b-7E98
std_1590470654821_60,tgw3-g673
std_1590470656635_61,QmDw-3cYZ
std_1590470658450_62,kZE4-o3LG
std_1590470660264_63,cV4L-keTC
std_1590470662085_64,rfqY-B98W
std_1590470663894_65,VgRd-Jzv4
std_1590470665710_66,Xz9f-oviA
std_1590470667523_67,c4tL-Vh7C
std_1590470669337_68,dL9p-jxsf
std_1590470671152_69,L24v-B6oV
std_1590470672966_70,vDm3-a8vi
std_1590470674778_71,zWDw-pyC6
std_1590470676595_72,th48-k9B4
std_1590470678407_73,oAgT-2QqU
std_1590470680218_74,VmRt-zyKv
std_1590470682032_75,Zgs7-3ci9
std_1590470683845_76,M7nk-4GyC
std_1590470685659_77,R27A-F4WN
std_1590470687472_78,B3G8-VUvz
std_1590470689284_79,Ywu2-Z6hv
std_1590470691099_80,TcUN-n9Pz
std_1590470692913_81,kK8N-t2L2
std_1590470694727_82,yYV2-7bMc
std_1590470696542_83,3pxL-Da8r
std_1590470698354_84,DXnm-f329
std_1590470700169_85,Yfed-2Nai
std_1590470701982_86,4a28-38YJ
std_1590470703795_87,wcvd-zo6H
std_1590470705608_88,KtYF-2a4P
std_1590470707420_89,c2Y9-o8R4
std_1590470709233_90,9GQU-2Ki6
std_1590470711046_91,Mh3M-CKuE
std_1590470712860_92,KbUi-9o3M
std_1590470714673_93,2Wk8-jEDb
std_1590470716486_94,fDGi-TJdj
std_1590470718300_95,ABi6-QUi8
std_1590470720114_96,Nm8C-6wbT
std_1590470721927_97,J7Le-fUEJ
std_1590470723743_98,RK42-i6wT
std_1590470725558_99,aH8M-yYRK
std_1590470727371_100,76Gp-jq3Z
std_1590470729191_101,3u9F-4UdB
std_1590470731006_102,oidz-3mfg
std_1590470732819_103,8nFW-hRh4
std_1590470734632_104,8MXB-7Upr
std_1590470736444_105,x2m3-meB9
std_1590470738257_106,MvP2-HB4x
std_1590470740070_107,ukbg-C8u3
std_1590470741884_108,r3XH-AwsE
std_1590470743697_109,Kect-CHog
std_1590470745510_110,746a-Hg9h
std_1590470747322_111,JA76-VyLb
std_1590470749135_112,kYmo-kA2g
std_1590470750966_113,GcgC-d2g4
std_1590470752780_114,3tf8-Tika
std_1590470754591_115,PNW6-zYQb
std_1590470756402_116,fPZj-E62f
std_1590470758215_117,Vw48-GB7W
std_1590470760026_118,J7fq-V8zi
std_1590470761838_119,F6yH-m3v9
std_1590470763650_120,j8NL-7ckf
std_1590470765462_121,3AwE-cjmF
std_1590470767274_122,Tq4v-8p96
std_1590470769085_123,oe38-c8Z3
std_1590470770898_124,K232-QT6p
std_1590470772710_125,9twj-K379
std_1590470774526_126,A82N-p8wa
std_1590470776337_127,6t32-iuX4
std_1590470778152_128,6Lkh-CtrR
std_1590470779963_129,xbLR-Mmgu
std_1590470781775_130,7fNt-y9W9
std_1590470783587_131,4sQK-WUpH
std_1590470785399_132,KuP4-mx4R
std_1590470787209_133,Ffq9-hoz7
std_1590470789021_134,MX74-Yzob
std_1590470790832_135,LfBp-39tM
std_1590470792644_136,9emo-Peq2
std_1590470794455_137,6h3X-WYyU
std_1590470796267_138,7W8i-9BJV
