a,b,c,d,e,f,g,h
43d2a7162683416594dcf12639e23e29,Class 1028,7nKk-Kgmg,na,na,na,na,na
tch_20200525-160714_2,class_20200525-160714_2,CZ7x-J6TB,96bb10ab-be3f-4515-8f0b-11ba868034f0,3c78cf2d-54d3-43d2-b20b-b242b83bdff3,cffb8a54-ef58-4a06-9ed8-a57034efdc99,ec73b077-2cea-4c3c-b181-5aaf4a6aad81,4b594f60-7171-40b4-8e33-0dbf29abeafd
tch_20200525-160714_1,class_20200525-160714_1,aTE6-4nuB,c4626db9-9130-48e7-9a79-8d39f005445b,dfddc246-3202-49dd-b45a-65c0699a90b5,cc459a9a-c268-4931-978c-a762d6461c6f,b1494bcd-863e-4fa3-8a24-d6cfba7d3e3f,8c3c3e35-8f1b-41f7-80e7-bb788ac8b9a4
tch_20200525-160714_3,class_20200525-160714_3,9NhU-GVRK,536fa15c-9b6c-43bc-9aac-5dd4c3d2f61a,4e061bb9-8ac1-4d23-9fde-96d625d095d0,bd6f5262-6dce-4e56-ae92-fa37b63855da,9724de04-d4a2-46da-a4db-e2d74b6e8513,18025e91-3d13-4a8b-a73d-7dc6b3406a43
tch_20200525-160714_4,class_20200525-160714_4,R48E-juH2,3bcb57a2-62a5-470d-b40c-aa03b7df01b9,44a5b9a1-6301-44d7-8cb7-84ef0048b3d0,9d60469d-68fb-4f5c-b9ff-de4d79e492d0,e731a876-3024-4524-805d-a8b0e2b3d364,dc303d39-61c7-417d-8d8a-5c0f1fa48cec
tch_20200525-160714_5,class_20200525-160714_5,Dk9F-2b4t,58dbf18a-24b0-45a3-b2fc-53402d526e49,022ad5e8-07fa-46da-b523-815251ece457,aa8c1005-eb53-407b-ac42-af1aa0bb00c2,83669447-02e8-43cf-986f-30f1ea8384ee,06961f98-f83b-4a82-8f54-add652271e2a
tch_20200525-160714_6,class_20200525-160714_6,2QRo-KEgv,d7290a03-bfe9-4c58-acf9-9a4855b982d7,87ef3f37-490a-4f24-8bc3-857eb539fad9,11f7de68-ee5f-43b6-a8a1-f7da7a5c1e04,a5d96190-a888-415c-bbe3-57c3c2011b92,f97bc122-df74-4e07-9de9-6450395b2eb2
tch_20200525-160714_7,class_20200525-160714_7,3Zz3-cw63,46ef1b30-2e05-493a-b900-4f1daef0bcc5,f782cd0f-f859-41e1-b9e6-cbcd85c2d0f2,bb456497-8bb8-41e6-a39b-523841fdc263,ba05fe77-161e-4258-a669-f6b2eef7d35a,f03364e6-f1e2-4c99-bde0-1e574d872421
tch_20200525-160714_8,class_20200525-160714_8,U7iW-v2L8,b8be5db8-bf4d-4417-9ca1-f97cf9c67847,4106deab-c7fc-4760-a5c6-b11062683df3,0ba82f3c-6ee5-4150-97cc-013283767cdf,f3f97198-29fc-44d5-9a23-1ad5596f6fce,fcb9cfcb-6dc4-4bca-ba3e-745982b450d4
tch_20200525-160714_9,class_20200525-160714_9,YEsW-et47,597e1630-1249-48e8-bb79-07554374ef8b,f21a1710-a4c0-4a6b-a741-42923e7e1d7b,43b8aacb-a544-4da7-850b-70b5efc3d4f0,1087e698-061c-46f6-8d9b-7bd72ab5dc2a,cc33c0cb-b43d-4ba4-ac29-7cea45807f77
tch_20200525-160714_10,class_20200525-160714_10,EYwU-46xN,91431843-f560-46b0-8847-e29e3f41b9b6,548aec35-bf3a-4190-b4a5-7c38adf95ca4,9459de8d-a087-4b40-93c6-2f9a1d371cc1,d244f85d-4d73-405b-ad33-adfc817a15be,3abaf359-5c7e-4dbe-bf2a-c9385f1bf954
tch_20200525-160714_11,class_20200525-160714_11,b7QN-4ND4,3bca03ee-423a-4ede-9143-ef949b503d56,8d8e0f75-f2ec-45ab-b554-0ae08c78d620,af341a65-663b-4ac3-9766-5bcfae67ab9f,a5f0088a-c2a1-4b1b-a8e1-eb64ec5c404a,6a5471b0-e0f8-45a7-9953-5c8370dd0ffb
tch_20200525-160714_12,class_20200525-160714_12,37mu-tehN,ca8d9ae9-6b0c-40be-874c-47798a719855,fa5d91ce-dada-4b07-9ceb-82d786698227,feedb3f9-4aa8-48cb-ba35-5ffaf0d40062,41fe7dab-578e-456f-afef-eca2be232528,0b6a8865-2b4e-401a-ba16-a151d6dc2f45
tch_20200525-160714_13,class_20200525-160714_13,Q3s9-7Yde,c852976c-d74a-4947-aa55-db2be3f14c9b,de7cb77f-712a-4057-9458-5dfe614a367f,dd78e3f0-03f5-45df-88cd-8761d5b7a11f,2599265d-b2c6-40d7-80b3-a34800f7ebbc,e99c1666-5ee3-455c-bc62-93c3e06ddfed
tch_20200525-160714_14,class_20200525-160714_14,39Ng-XYR8,00d5704d-cade-4bc4-9297-7e2afe88e1f8,a210cc24-0d75-47a3-aba8-41c698b0ca7e,8d1d4aa7-da91-46bf-a897-d7a07e450dc0,0b77b4fe-7e72-454d-8885-1aa1e67107c7,9d069081-c832-4232-988d-553b297fbcab
tch_20200525-160714_15,class_20200525-160714_15,3Y8J-3t6V,6d780955-2e87-4ac5-9cb1-97e0cf9645b4,ef3d5932-1d22-4583-97ba-4c6c1139b12c,5633c41e-7139-4e21-a78c-ae851979e19a,0248e156-a02a-4248-8820-4360935e163e,cf7d6621-62fa-4531-87e5-8d75ea2bbdd7
tch_20200525-160714_17,class_20200525-160714_17,btb6-qP2T,9889d57f-7899-488e-a0fb-5298da3a28a2,520751d8-7a50-4ec7-9ecf-0efeadb42d30,d69225d8-d442-4daa-8997-47873d801d39,812467fc-eae5-436c-8a66-f0e1c7bf9fe5,a0a64a70-345a-4945-addc-74e758df4c73
tch_20200525-160714_16,class_20200525-160714_16,64tu-4oa3,716b6bf3-7753-408c-a089-c567ce57b3dd,eaebade0-3653-468e-b59f-ed8dc2c4c12a,f1f6d78e-9583-4290-bcf3-09f73f832813,660bace6-3b81-40ee-84a0-c69bf66605cc,ab42f258-a497-4779-93f3-aa4b77256356
tch_20200525-160714_18,class_20200525-160714_18,Wcnw-QP84,0e2256f1-6192-478b-a7b9-c04322b2399c,b9196215-1cf5-4f80-8275-b547a4fd2a87,c88d452e-e8c3-452f-9225-eef092705e9b,85489404-cada-4205-874e-bd506a74618f,b9cac0bd-77e1-4bfe-b47e-b79670a63df9
tch_20200525-160714_19,class_20200525-160714_19,is8D-A9Lb,74a26b6a-dd6e-4fe9-990c-90ab115b6785,925cadfc-8af4-4815-8a4d-d04b4362b701,19d5b81b-62f1-42dd-becd-75932ebd1d83,cbd13e20-734d-4d3a-b0ba-7e6026c40158,97544d9c-89a6-4275-89c7-47aea0e0ca8e
tch_20200525-160714_21,class_20200525-160714_21,GZT4-2R24,0322fdf0-82f4-4e8b-b7f8-ea5886a8d23f,30f731ed-65fe-4307-b552-f9965dbc26e6,ece5bebb-7601-41df-9454-4309a7a3271c,896d50aa-3eed-4b09-993a-83565c24f1b7,e2531a06-0a15-4bc2-a197-2e45c408385e
tch_20200525-160714_20,class_20200525-160714_20,q2mQ-4mt9,d5dcfc94-cf2c-4410-a9cb-75d7d928d930,65a7e2ae-f389-4a70-8ddd-5c4843f45c20,cec4ae9d-b619-49a7-8561-609e9c83d30a,726e869d-fd9e-4d65-9fe7-93d2be0c7e56,0b3e254c-3ead-4a6c-9518-720e2339d7bd
