stdextuserid,classcode
std_1589260439827_1150,VkLN-GJp8
std_1589260441831_1151,Hpx7-6HLt
std_1589260443837_1152,9KCg-qfGE
std_1589260445842_1153,Q38d-8zQG
std_1589260447846_1154,X4FU-e42K
std_1589260449849_1155,3c3N-MxcN
std_1589260451854_1156,J6ru-xavD
std_1589260453863_1157,UxM6-VeC4
std_1589260455868_1158,Z4DK-d62r
std_1589260457873_1159,93U8-38df
std_1589260459889_1160,78Hc-W3Z9
std_1589260461895_1161,6Ua7-ubhE
std_1589260463900_1162,Jdj4-F87b
std_1589260465904_1163,2w8i-2y27
std_1589260467912_1164,3Zo4-GCrN
std_1589260469915_1165,jP9Y-zU4u
std_1589260471921_1166,7Bi4-E3Wp
std_1589260473925_1167,fBZn-DyP9
std_1589260475932_1168,M272-363X
std_1589260477936_1169,8HQe-h63n
std_1589260479941_1170,BxW4-u4ha
std_1589260481958_1171,p9N8-CiVr
std_1589260483985_1172,3979-HF6c
std_1589260485989_1173,w6hd-9m68
std_1589260487995_1174,9b97-zXtJ
std_1589260490000_1175,4PDv-w38y
std_1589260492004_1176,FG8w-Wsof
std_1589260494009_1177,fXpk-n6TY
std_1589260496014_1178,duL2-Y6fa
std_1589260498019_1179,h4rc-Pr7V
std_1589260500024_1180,n6dc-DCyU
std_1589260502028_1181,R92f-N6kH
std_1589260504033_1182,H83p-2tv6
std_1589260506038_1183,r8q6-N964
std_1589260508043_1184,mf4j-9q6X
std_1589260510048_1185,sLQZ-cxXj
std_1589260512052_1186,xKnK-Lwd8
std_1589260514057_1187,wyMm-w4sb
std_1589260516062_1188,da78-9iJ6
std_1589260518066_1189,n6xd-qjTp
std_1589260520071_1190,GP2u-4aK7
std_1589260526129_1193,iMtZ-XqdR
std_1589260528134_1194,MkTJ-mpMa
std_1589260530139_1195,cA4g-H28Q
std_1589260532143_1196,QRkj-X47M
std_1589260534148_1197,R4rp-Poyo
std_1589260536153_1198,3Uuz-7Fui
std_1589260538160_1199,NYLp-Y32Z
std_1589260540175_1200,xg2U-6kVX
std_1589260542182_1201,7hHU-3nC8
std_1589260544189_1202,F6RC-duYr
std_1589260546190_1203,mj6Q-tx6h
std_1589260548196_1204,bTKp-iTVH
std_1589260550200_1205,VfDK-278H
std_1589260552206_1206,TgZF-93Rf
std_1589260556217_1208,Kry9-7P4p
std_1589260558222_1209,9ny7-sh2N
std_1589260560226_1210,hebs-3T6j
std_1589260562231_1211,4D3W-6B9Y
std_1589260564237_1212,TKv4-WUm7
std_1589260566243_1213,86h6-Trwg
std_1589260570253_1215,9gWA-zovs
std_1589260572259_1216,Xwjm-T9KR
std_1589260574263_1217,uZmF-skW4
std_1589260576267_1218,f3gR-coRB
std_1589260578273_1219,8D38-eUiC
std_1589260580279_1220,NV7i-uRMU
std_1589260582283_1221,2pC3-dVYv
std_1589260584288_1222,4Csv-9KDv
std_1589260586294_1223,TrP8-LH4Q
std_1589260588299_1224,Lkf8-nqK2
std_1589260590305_1225,Vn2Q-7qeP
std_1589260592311_1226,oZ64-3Hd6
std_1589260594317_1227,c6hW-z2jp
std_1589260596322_1228,a246-7wpg
std_1589260598327_1229,mu2Y-vGDB
std_1589260600332_1230,96xp-3B43
std_1589260602336_1231,yhjH-M6Rs
std_1589260604342_1232,MkH6-dyzh
std_1589260606348_1233,8hLE-C9RQ
std_1589260608352_1234,6eJv-oMDX
std_1589260610358_1235,QkQb-Ned2
std_1589260612364_1236,yqZw-o7aA
std_1589260614368_1237,XiWB-27sZ
std_1589260616374_1238,8jvi-GgAK
std_1589260618380_1239,XcJm-c9s7
std_1589260620386_1240,C6K9-tqTC
std_1589260622391_1241,6c7u-furH
std_1589260624398_1242,F3cV-i4eQ
std_1589260626402_1243,jHfm-eTDE
std_1589260628407_1244,CyzB-97Kx
std_1589260630414_1245,n9w9-D8w8
std_1589260632419_1246,hAMa-fQik
std_1589260634424_1247,J9xt-g98X
std_1589260636430_1248,sp2n-4gTK
std_1589260638434_1249,Mu73-N67i
std_1589260642446_1251,guKp-Qe86
std_1589260644451_1252,n9tk-tTRJ
std_1589260646473_1253,JC7k-Ue4o
std_1589260648482_1254,C43h-vsdQ
std_1589260650490_1255,8sRA-2VRg
std_1589260652497_1256,GNt8-KY8x
std_1589260654504_1257,i2Us-MXVB
std_1589260656508_1258,7g8o-gyG8
std_1589260658514_1259,Uu7h-rf7W
std_1589260660518_1260,Yfx6-N3n4
std_1589260662523_1261,onPo-x4zG
std_1589260664528_1262,Y3p2-4qjb
std_1589260666533_1263,jeT4-jKpc
std_1589260668537_1264,64hG-4CNh
std_1589260670542_1265,U9Ch-XUrd
std_1589260672547_1266,e62Z-6poz
std_1589260674551_1267,VnLp-s9nU
std_1589260676557_1268,AcxZ-bY37
std_1589260678561_1269,6NXR-ie9W
std_1589260680567_1270,9B9g-HFUX
