extuserid,groupid,tchextuserid
std_1593428156987_79,c35813ec-759c-4d3a-bba8-8dcc32fcb715,tch_20200629-152842_79
std_1593427979236_77,15c9d0a7-52c7-44cb-a88b-7d37a01598dd,tch_20200629-152842_77
std_1593427666002_76,37728fed-f367-4af1-ab4c-757e1d34d839,tch_20200629-152842_76
std_1593427852945_78,d20448f2-d979-4e6a-871c-5eefc6f4c1d9,tch_20200629-152842_78
std_1593428184659_81,e073922f-4b4a-406c-b27a-40c51076230e,tch_20200629-152842_81
std_1593428191690_80,ce48103d-9b10-48cd-bf78-b87c9be7e038,tch_20200629-152842_80
std_1593427846838_77,86ae1827-d171-4bf0-abe8-dc63a6165a21,tch_20200629-152842_77
std_1593428024192_79,954a0169-5a5b-48f8-b569-5c10553ae17a,tch_20200629-152842_79
std_1593427725767_78,a58e1223-d716-433b-ac1e-313515261ed3,tch_20200629-152842_78
std_1593428056674_81,05e9e9d7-631b-43ff-9a66-6744591e2350,tch_20200629-152842_81
std_1593428056540_80,c9d52f74-b167-4815-8468-ab305010f96a,tch_20200629-152842_80
std_1593427890844_79,91606b12-ea93-471b-80e1-8bb14bc32a4d,tch_20200629-152842_79
std_1593427713554_77,2c74cc3d-7169-4fbf-a1b2-c97cc3ea23f1,tch_20200629-152842_77
std_1593428253451_82,ea86e871-77ab-4233-96b6-f794c13a4e4a,tch_20200629-152842_82
std_1593427928193_81,41799d91-cb5b-4461-be24-3344ede3aeb9,tch_20200629-152842_81
std_1593427915614_80,f81a7846-f3f3-44eb-b46c-fd6912eb42c0,tch_20200629-152842_80
std_1593427757606_79,de3a59e9-5c2a-4797-8d11-ef005b51ca88,tch_20200629-152842_79
std_1593428275345_83,462371a6-9456-495f-b5fa-513535069ddb,tch_20200629-152842_83
std_1593428123380_82,248a74e6-2af8-412a-8fa7-c7fd74a84d76,tch_20200629-152842_82
std_1593427799046_81,0a167c2e-cc95-47e0-b9bc-2b97c2844453,tch_20200629-152842_81
std_1593427786690_80,c8bb5daa-f8f0-44e1-9bdb-974660ab2cac,tch_20200629-152842_80
std_1593428141918_83,97623411-842d-4b22-8928-7588ab5388f8,tch_20200629-152842_83
std_1593428315485_84,224c62a7-94ce-4447-816d-0cd73b13c5ba,tch_20200629-152842_84
std_1593427985386_82,b1f67117-04f6-45bf-b3ac-55de43c8e6fe,tch_20200629-152842_82
std_1593428337961_86,02d528b8-4bc9-43f9-a466-6f6ebd4a4894,tch_20200629-152842_86
std_1593428009923_83,de9b6a3a-7c7c-4811-8939-375d5d114a68,tch_20200629-152842_83
std_1593428348837_85,383df643-a6fa-4479-8619-b628b8693b3a,tch_20200629-152842_85
std_1593428180227_84,f9c5be97-ae0b-461c-bdfb-b8445aa6a8f5,tch_20200629-152842_84
std_1593427846911_82,5e240320-eb77-4bc2-8f63-effbf78793b0,tch_20200629-152842_82
std_1593428205051_86,2e340d29-29fa-4cfa-be7c-dc327a19dd36,tch_20200629-152842_86
std_1593427873278_83,b577e9d7-fb37-4a66-b42f-3429b36cb302,tch_20200629-152842_83
std_1593428217527_85,0df11d59-11a5-4c12-afe2-379449ad99db,tch_20200629-152842_85
std_1593428044499_84,c1ec38ef-2e1b-4fdf-8b38-5c8cb811127c,tch_20200629-152842_84
std_1593428391810_87,7291f04a-ecb2-4cdf-ac47-196aef22152a,tch_20200629-152842_87
std_1593428077662_86,86241c6e-fb22-4a80-ab39-d60084b3db1d,tch_20200629-152842_86
std_1593427910009_84,18797141-a42f-43c7-b24f-9c9b4e0e0bb8,tch_20200629-152842_84
std_1593428077563_85,bc9ed1fd-d5f6-421e-be7a-7e85d94e1261,tch_20200629-152842_85
std_1593428251046_87,c34963cd-0fa2-4eb8-af68-cb714bcdc9e4,tch_20200629-152842_87
std_1593428426702_88,29e30c62-103d-48a7-8939-08a066cb7df1,tch_20200629-152842_88
std_1593428440650_89,7fa73b14-3698-4fad-9441-389b03529224,tch_20200629-152842_89
std_1593427947212_86,24f3d660-8e42-4bf5-894e-4342a284d67d,tch_20200629-152842_86
std_1593428295313_88,4e2431e4-8f4e-43e1-9e9c-9bf2ba277934,tch_20200629-152842_88
std_1593428114155_87,5831dfcb-aeac-4834-8427-cab16e6f1da4,tch_20200629-152842_87
std_1593427948821_85,22ed1b09-fee8-476c-81af-ac5ebaffc185,tch_20200629-152842_85
std_1593428304768_89,996ef432-fd4a-40f7-9ac4-03be32cbb74a,tch_20200629-152842_89
std_1593428490610_91,d8cf94ea-b77e-4dc8-8078-0f032c8c89de,tch_20200629-152842_91
std_1593428167046_88,ad2e6e86-07f2-4399-95cc-26f24bd4fe93,tch_20200629-152842_88
std_1593427983925_87,b633f7c7-87bf-442d-acd2-21f64fcab088,tch_20200629-152842_87
std_1593428166797_89,8be7266a-def7-4c0b-a8cc-72529c3ece77,tch_20200629-152842_89
std_1593428510334_90,54589a3b-044d-406c-94fe-d737ae1d27b2,tch_20200629-152842_90
std_1593428358598_91,1f9e40cc-9efa-4d30-a6f6-23ab1c9e5197,tch_20200629-152842_91
std_1593428529251_92,dc7dc36a-e884-4558-abe5-faab934c1f72,tch_20200629-152842_92
std_1593428035582_88,4e341a13-c540-4acf-b055-b10df104e380,tch_20200629-152842_88
std_1593428040263_89,0c08c54e-f845-4196-b86a-8906fd463a47,tch_20200629-152842_89
std_1593428371288_90,2dbc63ac-e204-4df6-878a-0d6a4f9e029b,tch_20200629-152842_90
std_1593428228336_91,12078bca-9f7a-4be6-a733-c5cb00ae2055,tch_20200629-152842_91
std_1593428390350_92,28fcec5e-7b15-44b3-a2bc-c82fde88fe29,tch_20200629-152842_92
std_1593428576331_93,a97e6185-7b56-4317-a14f-963ae90cefd9,tch_20200629-152842_93
std_1593428230721_90,82af5a10-e602-40e5-ab51-95dac7d8a054,tch_20200629-152842_90
std_1593428104829_91,4f387d7d-bfac-4c72-a22e-2306e775835a,tch_20200629-152842_91
std_1593428258568_92,e27fdf99-b216-49c1-8053-bc0c16f96817,tch_20200629-152842_92
std_1593428440136_93,c09b5dd8-c6b2-4d9f-b543-c8980599b5ed,tch_20200629-152842_93
std_1593428618998_94,6da24c28-7e27-41c5-b139-6d6e07c8d043,tch_20200629-152842_94
std_1593428098867_90,a5ba9ddd-e50c-4fee-904b-fcd9c9bd1875,tch_20200629-152842_90
std_1593428634129_95,a48a1913-28c2-40d3-baa0-f3ca5b428275,tch_20200629-152842_95
std_1593428123137_92,7598c694-5071-4bc4-b136-4e3c38beb0ba,tch_20200629-152842_92
std_1593428645152_96,b38cb346-7ead-4c19-8917-38345469df71,tch_20200629-152842_96
std_1593428311999_93,e3397d2c-87a9-475c-b5d7-44914883dd7e,tch_20200629-152842_93
std_1593428481441_94,654eaf5c-a22b-470c-8130-a89ae52af0e6,tch_20200629-152842_94
std_1593428498381_95,6b1f2fd5-860e-4d9e-bdfa-eed8a2b5ace6,tch_20200629-152842_95
std_1593428515355_96,2233df5a-3d34-4b69-b0cd-61fffbbb21ae,tch_20200629-152842_96
std_1593428175992_93,cd5858ad-57d1-46f8-823b-38567e306245,tch_20200629-152842_93
std_1593428344349_94,e8169eb5-3a20-4086-b510-c52dd3e06e4e,tch_20200629-152842_94
std_1593428693390_97,04a6db93-98e6-4767-a07b-bd518a348964,tch_20200629-152842_97
std_1593428369342_95,67052556-0213-45bd-b492-041275db984f,tch_20200629-152842_95
std_1593428729937_98,ae7e2199-2847-4fbc-8d42-82cb1e466ca9,tch_20200629-152842_98
std_1593428386709_96,9377ae3c-21e8-40fa-a346-33d22ab010b3,tch_20200629-152842_96
std_1593428213612_94,997ee17c-8bc0-4b33-9ea0-9776173d3c09,tch_20200629-152842_94
std_1593428560301_97,c82776df-c44a-4d77-a7ce-defb4c05cd92,tch_20200629-152842_97
std_1593428745335_99,9ea0646f-1c42-446c-9b75-0d8cbeef302f,tch_20200629-152842_99
std_1593428235582_95,f5182b9c-ab66-495d-a6f3-9e5f1543bc3c,tch_20200629-152842_95
std_1593428258321_96,40477696-7570-451d-990d-0a337948a200,tch_20200629-152842_96
std_1593428601546_98,88795fee-b77e-49d8-9918-ef0cae3ac17e,tch_20200629-152842_98
std_1593428435251_97,c11be243-6c9c-4429-aaaa-1ed2a7c45e54,tch_20200629-152842_97
std_1593428615967_99,7e369af1-c4a2-4b4b-b58a-434e63075dab,tch_20200629-152842_99
std_1593428782442_100,af1d2e18-841e-4f9d-9337-f755215cd4ad,tch_20200629-152842_100
std_1593428469892_98,5d8ca7de-fe80-423f-86c6-640dee303435,tch_20200629-152842_98
std_1593428302439_97,83e3ea82-7c7d-4d66-af16-6849885049db,tch_20200629-152842_97
std_1593428490776_99,c37b78bd-c885-4610-ae46-be1074e37023,tch_20200629-152842_99
std_1593428648651_100,d414338d-8605-498e-9c93-818d303d0263,tch_20200629-152842_100
std_1593428334523_98,521f1f87-88d6-4524-9e48-c179df86b183,tch_20200629-152842_98
std_1593428353172_99,a8b8b590-0337-4da6-bb18-f355e3b13347,tch_20200629-152842_99
std_1593428515522_100,1cdf0eff-939f-4ac6-bd75-33a55499cfd4,tch_20200629-152842_100
std_1593428384678_100,2f8b2669-abe5-4f5b-a143-684f598055d0,tch_20200629-152842_100
std_1593440244346_1,f03dd0fb-6470-4eeb-b6d3-f775d0527c8c,tch_20200629-192939_1
std_1593440117220_1,891a97f1-497d-42b9-8107-25e3f80ce0df,tch_20200629-192939_1
std_1593440293242_2,1c3e35ff-1851-4df9-b869-7efd2066148c,tch_20200629-192939_2
std_1593440302027_3,88cf3901-728a-4bc7-a972-022971f04a60,tch_20200629-192939_3
std_1593439979987_1,17a2524a-0e87-4c8d-8708-e493b94765af,tch_20200629-192939_1
