tch,classtitle,classcode,ap1,ap2,ap3,ap4,ap5
tch_20200715-213354_123,class_20200715-213354_123,VDHR-icrm,569bb4e1-c1da-4328-ac71-0950db7de2f7,0a92ae76-c378-4233-a97f-3279e31ce54d,85e64caf-f0f9-4e22-8bc9-3d5d76eeea30,fc406129-b47d-4a5a-aa5f-e57285bdae6b,59683af7-0014-440e-a5cd-8de1905d60b5
tch_20200715-213354_120,class_20200715-213354_120,u9se-G762,b4f3ee1d-ddc1-4c65-ac7e-b634d54c8358,04331527-c606-49fc-a1e3-e83e8da99c25,6c699b59-2d01-4f17-b6bd-61990a191bb2,591b5c7c-4974-4fe5-ad7f-cc48582553ef,cf29473b-3b0d-4486-a504-354fd7fec6f1
tch_20200715-213354_121,class_20200715-213354_121,6eY4-bfoq,b05fef3d-7af3-485b-b3ed-7efcd46067f4,8f89643c-7548-4aab-8d07-37b3baa5e581,a613fbae-1533-435f-b477-46f15eb7d5e9,c87473e0-cd63-48c0-945a-7040af26e94c,57de5121-607d-4927-a079-f99538fcafa1
tch_20200715-213354_124,class_20200715-213354_124,Cuf2-4u7H,11559de5-baed-4ab2-b908-96a651f75d5c,99b04950-dd14-443a-9e50-95ae7dba985e,965a8ca7-99f9-4d72-8c40-b5df55e38471,a6478c31-236e-4c71-b9c0-cb1117221d42,364c9de3-00aa-40ea-8bb8-9d96f469305f
tch_20200715-213354_125,class_20200715-213354_125,cQJT-463W,0a44ddd1-6cd6-42b8-8ffa-9b9ccb79b782,f65540d9-0ffa-4101-ad68-ca69add8081f,0dba6666-1a53-4df0-b313-69b00ec0002b,2da8bcdb-051c-44c6-88bd-f1fd71a441d4,8493ac91-7bc1-4b17-ae69-dcae9f363873
tch_20200715-213354_129,class_20200715-213354_129,k7ya-cQ42,04d0ca41-ebe1-4f2c-8db8-9ce7f20bfb69,da4d26c4-f510-471d-b297-2529fe417579,4c4090b6-55a1-4807-ae14-f1e95beee571,aa526c04-9993-47e6-8429-6729ba7b79d0,7e8a476f-815a-42c8-91dd-d4c88b1660b8
tch_20200715-213354_126,class_20200715-213354_126,Wk4w-THtK,b0227668-4440-4259-87e7-0d4e23067fa5,e284c199-da74-4d78-9d55-a323e75e0b39,3727f4c7-8115-4671-b071-bccfd7f5ae50,0a10e3cf-6dba-4618-8624-f09fca03a71b,d5b26a4b-dc9d-416f-8fb4-4afeb1dc046b
tch_20200715-213354_128,class_20200715-213354_128,c6u8-EGA9,d2984bbc-064c-4a3e-848b-2d79a3a17af7,cde092f3-db6a-4ff7-8a2b-2456eb5088d1,ce25138d-5def-4211-b6eb-5cbfd190454d,860ccd13-ea79-4a89-8b4f-1e5294db1f43,865eddcb-71cf-4597-9060-f1822f4b6983
tch_20200715-213354_132,class_20200715-213354_132,4Uow-Bay7,76a1e85c-704c-42db-ab5f-fb9cceddd305,f2951dfe-5921-4c6d-9e3f-36a501638c5a,a9107da6-e20d-415b-8b79-491e08914de8,ae419295-7380-457b-951d-b5fafb7f9acc,593bddb9-8b36-42a6-be16-3c0bc1649983
tch_20200715-213354_131,class_20200715-213354_131,cjXv-tNun,1b460d01-92fc-4847-876d-cd6afa4f6b01,55b7afa9-8d5c-415f-9c5f-3bcec930a724,c2984018-bf72-46aa-af9f-3229f59b245a,dd693fc6-2d05-4f2d-8062-36a78e3eff20,b0fc8b7c-fe29-4e94-801c-a07a764e4293
