studentextuserid,classcode
std_1590567048678_423,eBZy-NW4X
std_1590567049690_424,yChr-BDPx
std_1590567050700_425,8P4f-nPwf
std_1590567051708_426,QTcB-H8PT
std_1590567052718_427,jtCh-Wnab
std_1590567053726_428,9D4C-W427
std_1590567054737_429,2Rt6-8pPn
std_1590567055745_430,B3Mp-WJiz
std_1590567056755_431,RK2E-dtFs
std_1590567057764_432,msZ6-Gdak
std_1590567058773_433,Ehmv-Y3xb
std_1590567059781_434,tdU6-8yr8
std_1590567060790_435,3Gc2-XgT7
std_1590567061798_436,DbCa-B8vy
std_1590567062807_437,j49g-pKx9
std_1590567063815_438,Xyvt-XF3x
std_1590567064828_439,2U9Q-3inY
std_1590567065838_440,ETC9-3p9b
std_1590567066875_441,MBEm-zhFp
std_1590567067880_442,2Pk9-4Woa
std_1590567068896_443,R9yi-2zmH
std_1590567069923_444,9vJz-thJP
std_1590567070939_445,cmsv-pU9L
std_1590567071948_446,p98N-tG3L
std_1590567072958_447,VmzJ-72h6
std_1590567073970_448,KQmP-JYw6
std_1590567074978_449,9AB4-NbRD
std_1590567075990_450,wPXJ-tmxj
std_1590567077002_451,yv73-xJzm
std_1590567078011_452,fm8K-BA27
std_1590567079020_453,238p-2EPV
std_1590567080029_454,Nc3x-VBV4
std_1590567081039_455,FWCx-vP28
std_1590567082049_456,w74B-8bp3
std_1590567083061_457,2aQi-U7Dk
std_1590567084076_458,Yc28-62Du
std_1590567085086_459,xU8H-QTZo
std_1590567086094_460,G4Nv-axR7
std_1590567087104_461,n97m-jFgW
std_1590567088112_462,YTh9-8UYb
std_1590567089122_463,3ULW-9k7k
std_1590567090131_464,BjAQ-j3fA
std_1590567091140_465,2T92-t2No
std_1590567092151_466,yEWn-W4wE
std_1590567093158_467,G3f4-m2Uh
std_1590567094168_468,HufJ-bQZ8
std_1590567095177_469,d8Wk-HcD8
std_1590567096185_470,Yerj-94uY
std_1590567097192_471,hEqh-Mrc7
std_1590567098201_472,Q8bN-genD
std_1590567099209_473,7G7H-3dsd
std_1590567100218_474,9ZWB-Hm9V
std_1590567101226_475,Wk23-J9Jk
std_1590567102234_476,3d68-6UX4
std_1590567103242_477,9ZC9-4T7X
std_1590567104248_478,Rr2B-k2v8
std_1590567105257_479,3ARV-axB9
std_1590567106265_480,h9P6-9mrx
std_1590567107274_481,j2Ld-t42M
std_1590567108281_482,V7EH-9TJn
std_1590567109289_483,8FeF-gQjK
std_1590567110297_484,2dnL-UWQg
std_1590567111305_485,C4ex-MB7E
std_1590567112313_486,yrFT-8EsA
std_1590567113320_487,iJ3w-76Rt
std_1590567114329_488,fH8p-bo2C
std_1590567115336_489,Rm2y-9rdY
std_1590567116346_490,w98X-JziZ
std_1590567117355_491,YkQM-zpfV
std_1590567118363_492,G3Kt-6ua4
std_1590567119376_493,k3Xs-ytd7
std_1590567120385_494,v6Hn-7opv
std_1590567121393_495,3xf4-j8HC
std_1590567122402_496,Dq76-nz8K
std_1590567123411_497,Nvce-PDfM
std_1590567124419_498,U89X-bg7y
std_1590567125427_499,oTDi-HT3N
std_1590567126435_500,XQWp-o89c
std_1590567127443_501,U32f-U7fb
std_1590567128453_502,gha3-w7X8
std_1590567129466_503,fskq-z4B7
std_1590567130474_504,67tx-BuJQ
std_1590567131483_505,ky8h-3L9w
std_1590567132492_506,Z2Lc-gAuC
std_1590567133500_507,J6J6-tLUy
std_1590567134508_508,VNf8-J4Ks
std_1590567135515_509,9XEV-64Kp
std_1590567136524_510,Q7dQ-btFx
std_1590567137533_511,kC3T-sh9y
std_1590567138541_512,4Czs-t2Ft
std_1590567139549_513,7Agz-93wd
std_1590567140561_514,nW4r-nxJN
std_1590567141573_515,g4TU-JHgR
std_1590567142583_516,YT28-ptqN
std_1590567143592_517,qmj4-PtV8
std_1590567144603_518,uvmv-4bjX
std_1590567145612_519,C3En-YHAH
std_1590567146621_520,Lfqh-pk6P
std_1590567147630_521,r4v4-MWL6
std_1590567148640_522,cH8U-7QFx
std_1590567149649_523,nf2w-jC9k
std_1590567150657_524,qo28-2Y2v
std_1590567151666_525,UiWx-ZPAp
std_1590567152675_526,FVw4-o7F9
std_1590567153684_527,uAZy-49e8
std_1590567154692_528,74Ub-6PyN
std_1590567155702_529,Ytg2-efPD
std_1590567156711_530,AztL-QRLG
std_1590567157719_531,7Gi7-xHNL
std_1590567158728_532,PiJ8-RnYR
std_1590567159738_533,428m-QC6H
std_1590567160746_534,AZ39-gsUu
std_1590567161755_535,9n3J-n48i
std_1590567162766_536,uZ29-L3Xn
std_1590567163774_537,9qT6-egxd
std_1590567164846_538,UyWB-9h26
std_1590567165855_539,C9L3-hqM3
std_1590567166870_540,7f9r-4dAN
std_1590567167877_541,PAx3-74K3
std_1590567168888_542,XJcn-8QT9
std_1590567169897_543,2wC9-r2Q7
