teacherextuserid,classtitle,classcode,category,pe_category,pe_end_index,category_type
tch_M5_20240111-185155_35,class_M5_20240111-185155_35,Kx82-4uQw,M5,m5pe,4,M
tch_L7_20240119-103128_41,class_L7_20240119-103128_41,8rG9-4xc8,L7,l7pe,3,L
tch_L9_20240117-195400_22,class_L9_20240117-195400_22,7Bqf-3pv3,L9,l9pe,3,L
tch_L7_20240201-182440_39,class_L7_20240201-182440_39,A6nG-DuNA,L7,l7pe,3,L
tch_L9_20240117-195400_43,class_L9_20240117-195400_43,J49H-QFZ3,L9,l9pe,3,L
tch_H1_20240131-174940_87,context_class_H1_20240131-174940_87,wgKE-ZUft,H1,h1pe,7,H
tch_L3_20240103-170558_24,class_L3_20240103-170558_24,JD2A-iJYf,L3,l3pe,7,L
tch_M2_20240201-190951_71,class_M2_20240201-190951_71,n9A2-Nteb,M2,m2pe,11,M
tch_L3_20240130-184533_30,class_L3_20240130-184533_30,8L73-62wu,L3,l3pe,7,L
tch_L7_20240119-103128_88,class_L7_20240119-103128_88,3CsP-7tP2,L7,l7pe,3,L
tch_H1_20240131-174940_86,context_class_H1_20240131-174940_86,6mN7-Kx3P,H1,h1pe,7,H
tch_L7_20240130-184533_36,class_L7_20240130-184533_36,b3Zy-KgaH,L7,l7pe,3,L
tch_L8_20240120-145701_40,class_L8_20240120-145701_40,9U7V-6w64,L8,l8pe,4,L
tch_M3_20240131-174940_78,context_class_M3_20240131-174940_78,3WZ7-D4wJ,M3,m3pe,5,M
tch_M5_20240130-202449_82,class_M5_20240130-202449_82,uBm2-tmKv,M5,m5pe,4,M
tch_L7_20240201-182440_48,class_L7_20240201-182440_48,B7rQ-2pcP,L7,l7pe,3,L
tch_L7_20240201-182440_42,class_L7_20240201-182440_42,67yW-a9Qe,L7,l7pe,3,L
tch_L8_20240130-202449_51,class_L8_20240130-202449_51,83Gq-s3sk,L8,l8pe,4,L
tch_L9_20240201-182440_60,class_L9_20240201-182440_60,LfW8-usLB,L9,l9pe,3,L
tch_M3_20240130-202449_74,class_M3_20240130-202449_74,K4Xh-p96n,M3,m3pe,5,M
tch_L2_20240105-183209_19,class_L2_20240105-183209_19,qDPa-wrnA,L2,l2pe,5,L
tch_M3_20240130-184533_75,class_M3_20240130-184533_75,W3h4-jgJM,M3,m3pe,5,M
tch_L2_20240130-202449_17,class_L2_20240130-202449_17,CwCy-AB2x,L2,l2pe,5,L
tch_L7_20240131-171252_37,context_class_L7_20240131-171252_37,6adX-6ejQ,L7,l7pe,3,L
tch_L2_20240131-171252_27,context_class_L2_20240131-171252_27,brNh-QZKX,L2,l2pe,5,L
tch_L9_20240130-184533_68,class_L9_20240130-184533_68,s4ZE-z3hc,L9,l9pe,3,L
tch_L9_20240130-184533_62,class_L9_20240130-184533_62,J7CV-Cnsz,L9,l9pe,3,L
tch_M3_20240201-190951_74,class_M3_20240201-190951_74,96VJ-rLBM,M3,m3pe,5,M
tch_H1_20240201-182440_87,class_H1_20240201-182440_87,4J2i-mbkh,H1,h1pe,7,H
tch_L7_20240131-171252_43,context_class_L7_20240131-171252_43,EJc7-eJt2,L7,l7pe,3,L
tch_L2_20240130-184533_26,class_L2_20240130-184533_26,RWT7-AC6m,L2,l2pe,5,L
tch_L1_20240201-182440_8,class_L1_20240201-182440_8,8rvq-ov87,L1,l1pe,3,L
tch_L1_20240130-184533_7,class_L1_20240130-184533_7,37sU-43th,L1,l1pe,3,L
tch_L7_20240119-103128_100,class_L7_20240119-103128_100,ciRN-2odr,L7,l7pe,3,L
tch_M3_20240105-161058_65,class_M3_20240105-161058_65,uAeZ-z2C2,M3,m3pe,5,M
tch_L2_20240131-174940_25,context_class_L2_20240131-174940_25,K7b6-2ELr,L2,l2pe,5,L
tch_L2_20240201-182440_21,class_L2_20240201-182440_21,q283-jTYB,L2,l2pe,5,L
tch_L9_20240201-190951_60,class_L9_20240201-190951_60,tjDL-9gLd,L9,l9pe,3,L
tch_L8_20240130-202449_52,class_L8_20240130-202449_52,fXV7-ncZ3,L8,l8pe,4,L
tch_L1_20240131-174940_3,context_class_L1_20240131-174940_3,iVE9-buQt,L1,l1pe,3,L
tch_M3_20240105-161058_63,class_M3_20240105-161058_63,8bGb-QmXN,M3,m3pe,5,M
tch_L9_20240131-174940_60,context_class_L9_20240131-174940_60,6THj-vCr8,L9,l9pe,3,L
tch_L7_20240119-103128_97,class_L7_20240119-103128_97,6rHo-h3qa,L7,l7pe,3,L
tch_L2_20240131-171252_21,context_class_L2_20240131-171252_21,6PeD-zsRF,L2,l2pe,5,L
tch_H3_20240109-104910_84,class_H3_20240109-104910_84,HTy2-HLyL,H3,h3pe,9,H
tch_L1_20240130-184533_11,class_L1_20240130-184533_11,xRna-TE2h,L1,l1pe,3,L
tch_L9_20240130-202449_66,class_L9_20240130-202449_66,EXGJ-49Vm,L9,l9pe,3,L
tch_M3_20240201-182440_76,class_M3_20240201-182440_76,ekh3-Cv3k,M3,m3pe,5,M
tch_M5_20240111-185155_44,class_M5_20240111-185155_44,VXc3-KbyR,M5,m5pe,4,M
tch_M3_20240109-122144_63,class_M3_20240109-122144_63,Y4mF-xQfm,M3,m3pe,5,M
tch_M5_20240201-190951_82,class_M5_20240201-190951_82,P83C-9vLV,M5,m5pe,4,M
tch_M4_20240201-190951_80,class_M4_20240201-190951_80,rmjw-apt8,M4,m4pe,13,M
tch_L2_20240105-173130_16,class_L2_20240105-173130_16,P732-kU2C,L2,l2pe,5,L
tch_H5_20240123-124557_10,class_H5_20240123-124557_10,3mnJ-67n8,H5,h5pe,7,H
tch_L9_20240117-195400_36,class_L9_20240117-195400_36,TRCJ-Kbjo,L9,l9pe,3,L
tch_L2_20240105-161058_12,class_L2_20240105-161058_12,zE7a-h48Z,L2,l2pe,5,L
tch_L9_20240117-181958_92,class_L9_20240117-181958_92,XW7b-Nq9m,L9,l9pe,3,L
tch_L8_20240201-182440_56,class_L8_20240201-182440_56,g2Hj-M723,L8,l8pe,4,L
tch_H3_20240130-202449_95,class_H3_20240130-202449_95,73tA-k4L4,H3,h3pe,9,H
tch_L7_20240130-202449_44,class_L7_20240130-202449_44,7rxZ-nPFa,L7,l7pe,3,L
tch_M5_20240131-174940_82,context_class_M5_20240131-174940_82,JBLT-kGMm,M5,m5pe,4,M
tch_L1_20240105-151148_3,class_L1_20240105-151148_3,7Zj6-KRUT,L1,l1pe,3,L
tch_L1_20240105-183209_7,class_L1_20240105-183209_7,82Dp-4vHe,L1,l1pe,3,L
tch_L8_20240201-190951_54,class_L8_20240201-190951_54,aM9y-7pmp,L8,l8pe,4,L
tch_L3_20240105-151148_30,class_L3_20240105-151148_30,r3qT-e7hp,L3,l3pe,7,L
tch_M5_20240111-185155_34,class_M5_20240111-185155_34,d7q7-r6BA,M5,m5pe,4,M
tch_H3_20240131-174940_95,context_class_H3_20240131-174940_95,FBdL-x7er,H3,h3pe,9,H
tch_L7_20240131-174940_44,context_class_L7_20240131-174940_44,jpNQ-7QqH,L7,l7pe,3,L
tch_M3_20240131-171252_78,context_class_M3_20240131-171252_78,38oD-tkK4,M3,m3pe,5,M
tch_L7_20240119-103128_51,class_L7_20240119-103128_51,zacY-q8jh,L7,l7pe,3,L
tch_H3_20240130-202449_92,class_H3_20240130-202449_92,f6K2-p8Q4,H3,h3pe,9,H
tch_L2_20240105-183209_18,class_L2_20240105-183209_18,8hw4-jB8a,L2,l2pe,5,L
tch_L9_20240117-195400_20,class_L9_20240117-195400_20,XpsF-7o3d,L9,l9pe,3,L
tch_M2_20240130-202449_72,class_M2_20240130-202449_72,YgZc-2y7v,M2,m2pe,11,M
tch_L8_20240131-174940_56,context_class_L8_20240131-174940_56,QaZ7-f2FX,L8,l8pe,4,L
tch_H2_20240201-182440_90,class_H2_20240201-182440_90,726k-wroT,H2,h2pe,17,H
tch_L2_20240130-184533_21,class_L2_20240130-184533_21,7xfK-G3Go,L2,l2pe,5,L
tch_M3_20240130-202449_76,class_M3_20240130-202449_76,t8k9-vu3k,M3,m3pe,5,M
tch_L7_20240119-103128_57,class_L7_20240119-103128_57,iYsT-9XZR,L7,l7pe,3,L
tch_L8_20240120-145701_77,class_L8_20240120-145701_77,aMug-7Nmg,L8,l8pe,4,L
tch_H1_20240131-174940_89,context_class_H1_20240131-174940_89,8QDH-wWsE,H1,h1pe,7,H
tch_L9_20240117-195400_10,class_L9_20240117-195400_10,2t3F-EgeB,L9,l9pe,3,L
tch_L8_20240120-145701_65,class_L8_20240120-145701_65,6FKZ-JdUN,L8,l8pe,4,L
tch_L9_20240131-174940_64,context_class_L9_20240131-174940_64,Cxy2-aZ6k,L9,l9pe,3,L
tch_H2_20240130-202449_91,class_H2_20240130-202449_91,yFgT-2hQb,H2,h2pe,17,H
tch_M3_20240131-171252_76,context_class_M3_20240131-171252_76,e96s-42wc,M3,m3pe,5,M
tch_L8_20240120-145701_3,class_L8_20240120-145701_3,8t46-YLAV,L8,l8pe,4,L
tch_M2_20240131-174940_73,context_class_M2_20240131-174940_73,m3hu-Xe2V,M2,m2pe,11,M
tch_L7_20240119-103128_18,class_L7_20240119-103128_18,4DmJ-ftpv,L7,l7pe,3,L
tch_L9_20240131-171252_63,context_class_L9_20240131-171252_63,RV4Y-2Et4,L9,l9pe,3,L
tch_L8_20240120-145701_1,class_L8_20240120-145701_1,9KxF-DfGs,L8,l8pe,4,L
tch_L9_20240117-195400_61,class_L9_20240117-195400_61,y2pM-mMiE,L9,l9pe,3,L
