studentextuserid,firstname,classcode
std_1589258963266_415,200716_std_1589258963266_415,9gWA-zovs
std_1589258965273_416,200716_std_1589258965273_416,Xwjm-T9KR
std_1589258967278_417,200716_std_1589258967278_417,uZmF-skW4
std_1589258969282_418,200716_std_1589258969282_418,f3gR-coRB
std_1589258971287_419,200716_std_1589258971287_419,8D38-eUiC
std_1589258973292_420,200716_std_1589258973292_420,NV7i-uRMU
std_1589258975296_421,200716_std_1589258975296_421,2pC3-dVYv
std_1589258977301_422,200716_std_1589258977301_422,4Csv-9KDv
std_1589258979305_423,200716_std_1589258979305_423,TrP8-LH4Q
std_1589258981310_424,200716_std_1589258981310_424,Lkf8-nqK2
std_1589258983323_425,200716_std_1589258983323_425,Vn2Q-7qeP
std_1589258985328_426,200716_std_1589258985328_426,oZ64-3Hd6
std_1589258987333_427,200716_std_1589258987333_427,c6hW-z2jp
std_1589258989339_428,200716_std_1589258989339_428,a246-7wpg
std_1589258993389_430,200716_std_1589258993389_430,96xp-3B43
std_1589258995395_431,200716_std_1589258995395_431,yhjH-M6Rs
std_1589258997399_432,200716_std_1589258997399_432,MkH6-dyzh
std_1589258999405_433,200716_std_1589258999405_433,8hLE-C9RQ
std_1589259001409_434,200716_std_1589259001409_434,6eJv-oMDX
std_1589259003414_435,200716_std_1589259003414_435,QkQb-Ned2
std_1589259005419_436,200716_std_1589259005419_436,yqZw-o7aA
std_1589259007425_437,200716_std_1589259007425_437,XiWB-27sZ
std_1589259009429_438,200716_std_1589259009429_438,8jvi-GgAK
std_1589259011433_439,200716_std_1589259011433_439,XcJm-c9s7
std_1589259013439_440,200716_std_1589259013439_440,C6K9-tqTC
std_1589259015443_441,200716_std_1589259015443_441,6c7u-furH
std_1589259017449_442,200716_std_1589259017449_442,F3cV-i4eQ
std_1589259021461_444,200716_std_1589259021461_444,CyzB-97Kx
std_1589259023468_445,200716_std_1589259023468_445,n9w9-D8w8
std_1589259029486_448,200716_std_1589259029486_448,sp2n-4gTK
std_1589259031490_449,200716_std_1589259031490_449,Mu73-N67i
std_1589259033498_450,200716_std_1589259033498_450,9yoZ-t3PT
std_1589259035503_451,200716_std_1589259035503_451,guKp-Qe86
std_1589259037509_452,200716_std_1589259037509_452,n9tk-tTRJ
std_1589259039513_453,200716_std_1589259039513_453,JC7k-Ue4o
std_1589259041518_454,200716_std_1589259041518_454,C43h-vsdQ
std_1589259047533_457,200716_std_1589259047533_457,i2Us-MXVB
std_1589259049537_458,200716_std_1589259049537_458,7g8o-gyG8
std_1589259051543_459,200716_std_1589259051543_459,Uu7h-rf7W
std_1589259053547_460,200716_std_1589259053547_460,Yfx6-N3n4
std_1589259055553_461,200716_std_1589259055553_461,onPo-x4zG
std_1589259057559_462,200716_std_1589259057559_462,Y3p2-4qjb
std_1589259059563_463,200716_std_1589259059563_463,jeT4-jKpc
std_1589259061577_464,200716_std_1589259061577_464,64hG-4CNh
std_1589259063586_465,200716_std_1589259063586_465,U9Ch-XUrd
std_1589259065593_466,200716_std_1589259065593_466,e62Z-6poz
std_1589259067599_467,200716_std_1589259067599_467,VnLp-s9nU
std_1589259069604_468,200716_std_1589259069604_468,AcxZ-bY37
std_1589259071609_469,200716_std_1589259071609_469,6NXR-ie9W
std_1589259073613_470,200716_std_1589259073613_470,9B9g-HFUX
std_1589259075619_471,200716_std_1589259075619_471,jhtk-up3o
std_1589259077625_472,200716_std_1589259077625_472,cKkq-9XUJ
std_1589259079629_473,200716_std_1589259079629_473,F4YJ-gced
std_1589259081634_474,200716_std_1589259081634_474,3BWt-oz2B
std_1589259083639_475,200716_std_1589259083639_475,z4Hm-ZNWU
std_1589259085644_476,200716_std_1589259085644_476,YpLf-pA2x
std_1589259087649_477,200716_std_1589259087649_477,CHnd-iVMp
