teacher,classtitle,classcode
R-3_teacher_1018_20181123-133147_83,R-3_perf_class_20181123-133147_83,JjDN-C2c8
R-3_teacher_1018_20181123-133147_81,R-3_perf_class_20181123-133147_81,4gjQ-8Tbh
R-3_teacher_1018_20181123-133147_82,R-3_perf_class_20181123-133147_82,67Ng-cJg9
R-3_teacher_1018_20181123-133147_84,R-3_perf_class_20181123-133147_84,e394-686e
R-3_teacher_1018_20181123-133147_86,R-3_perf_class_20181123-133147_86,7LHX-a7T9
R-3_teacher_1018_20181123-133147_85,R-3_perf_class_20181123-133147_85,bEKg-LFQC
R-3_teacher_1018_20181123-133147_87,R-3_perf_class_20181123-133147_87,D8LN-JdTf
R-3_teacher_1018_20181123-133147_88,R-3_perf_class_20181123-133147_88,cg42-6dbT
R-3_teacher_1018_20181123-133147_89,R-3_perf_class_20181123-133147_89,h3ab-fJRg
R-3_teacher_1018_20181123-133147_92,R-3_perf_class_20181123-133147_92,b48g-HWVj
R-3_teacher_1018_20181123-133147_94,R-3_perf_class_20181123-133147_94,CXfQ-6fb8
R-3_teacher_1018_20181123-133147_93,R-3_perf_class_20181123-133147_93,93Th-Tja7
R-3_teacher_1018_20181123-133147_91,R-3_perf_class_20181123-133147_91,9hi7-jWMc
R-3_teacher_1018_20181123-133147_90,R-3_perf_class_20181123-133147_90,fdV2-ic3W
R-3_teacher_1018_20181123-133147_96,R-3_perf_class_20181123-133147_96,aX43-WdKD
R-3_teacher_1018_20181123-133147_95,R-3_perf_class_20181123-133147_95,BHeb-A6cZ
R-3_teacher_1018_20181123-133147_97,R-3_perf_class_20181123-133147_97,Y9GL-K8YP
R-3_teacher_1018_20181123-133147_98,R-3_perf_class_20181123-133147_98,7bPj-2Uef
R-3_teacher_1018_20181123-133147_100,R-3_perf_class_20181123-133147_100,hgfZ-h2Ti
R-3_teacher_1018_20181123-133147_99,R-3_perf_class_20181123-133147_99,d34g-AagG
R-3_teacher_1018_20181123-133147_103,R-3_perf_class_20181123-133147_103,cXEK-BjdU
R-3_teacher_1018_20181123-133147_102,R-3_perf_class_20181123-133147_102,W2Ka-j36H
R-3_teacher_1018_20181123-133147_101,R-3_perf_class_20181123-133147_101,eRiH-XRWe
R-3_teacher_1018_20181123-133147_105,R-3_perf_class_20181123-133147_105,982h-L4E8
R-3_teacher_1018_20181123-133147_104,R-3_perf_class_20181123-133147_104,6Hi3-L4d3
R-3_teacher_1018_20181123-133147_107,R-3_perf_class_20181123-133147_107,afC7-Rd8G
R-3_teacher_1018_20181123-133147_108,R-3_perf_class_20181123-133147_108,a32d-2A64
R-3_teacher_1018_20181123-133147_106,R-3_perf_class_20181123-133147_106,2Kj9-VfPj
R-3_teacher_1018_20181123-133147_109,R-3_perf_class_20181123-133147_109,Y4ZY-fRLj
R-3_teacher_1018_20181123-133147_110,R-3_perf_class_20181123-133147_110,Eeb2-ZfYR
R-3_teacher_1018_20181123-133147_111,R-3_perf_class_20181123-133147_111,e2da-eHcF
R-3_teacher_1018_20181123-133147_112,R-3_perf_class_20181123-133147_112,e8gU-6efA
R-3_teacher_1018_20181123-133147_113,R-3_perf_class_20181123-133147_113,XaUc-3RBj
