stdextuserid,classcode
std_1589263377807_2613,86h6-Trwg
std_1589263379813_2614,69Bx-9RNc
std_1589263381816_2615,9gWA-zovs
std_1589263383821_2616,Xwjm-T9KR
std_1589263385827_2617,uZmF-skW4
std_1589263388585_2618,f3gR-coRB
std_1589263389856_2619,8D38-eUiC
std_1589263391859_2620,NV7i-uRMU
std_1589263393865_2621,2pC3-dVYv
std_1589263395869_2622,4Csv-9KDv
std_1589263397875_2623,TrP8-LH4Q
std_1589263399879_2624,Lkf8-nqK2
std_1589263401885_2625,Vn2Q-7qeP
std_1589263403890_2626,oZ64-3Hd6
std_1589263405896_2627,c6hW-z2jp
std_1589263407909_2628,a246-7wpg
std_1589263409908_2629,mu2Y-vGDB
std_1589263411914_2630,96xp-3B43
std_1589263413921_2631,yhjH-M6Rs
std_1589263415925_2632,MkH6-dyzh
std_1589263417932_2633,8hLE-C9RQ
std_1589263419936_2634,6eJv-oMDX
std_1589263421942_2635,QkQb-Ned2
std_1589263423948_2636,yqZw-o7aA
std_1589263425953_2637,XiWB-27sZ
std_1589263427960_2638,8jvi-GgAK
std_1589263429967_2639,XcJm-c9s7
std_1589263431973_2640,C6K9-tqTC
std_1589263435987_2642,F3cV-i4eQ
std_1589263437993_2643,jHfm-eTDE
std_1589263439997_2644,CyzB-97Kx
std_1589263442003_2645,n9w9-D8w8
std_1589263444008_2646,hAMa-fQik
std_1589263446013_2647,J9xt-g98X
std_1589263448019_2648,sp2n-4gTK
std_1589263452028_2650,9yoZ-t3PT
std_1589263454032_2651,guKp-Qe86
std_1589263456036_2652,n9tk-tTRJ
std_1589263458042_2653,JC7k-Ue4o
std_1589263460046_2654,C43h-vsdQ
std_1589263462052_2655,8sRA-2VRg
std_1589263464062_2656,GNt8-KY8x
std_1589263466066_2657,i2Us-MXVB
std_1589263468074_2658,7g8o-gyG8
std_1589263470079_2659,Uu7h-rf7W
std_1589263472083_2660,Yfx6-N3n4
std_1589263474088_2661,onPo-x4zG
std_1589263476093_2662,Y3p2-4qjb
std_1589263478099_2663,jeT4-jKpc
std_1589263480104_2664,64hG-4CNh
std_1589263482108_2665,U9Ch-XUrd
std_1589263484114_2666,e62Z-6poz
std_1589263486119_2667,VnLp-s9nU
std_1589263488124_2668,AcxZ-bY37
std_1589263490128_2669,6NXR-ie9W
std_1589263492134_2670,9B9g-HFUX
std_1589263494139_2671,jhtk-up3o
std_1589263496143_2672,cKkq-9XUJ
std_1589263498148_2673,F4YJ-gced
std_1589263500154_2674,3BWt-oz2B
std_1589263502159_2675,z4Hm-ZNWU
std_1589263504164_2676,YpLf-pA2x
std_1589263506168_2677,CHnd-iVMp
std_1589263508173_2678,7Ndx-Udb7
std_1589263510178_2679,dFYf-2QC7
std_1589263512182_2680,yfv6-ipK2
std_1589263514188_2681,348T-zH97
std_1589263516191_2682,A28Z-3i6o
std_1589263518197_2683,ZpNL-NK2w
std_1589263520201_2684,Fy2v-jPc9
std_1589263522206_2685,TMNK-iDa8
std_1589263524212_2686,xKzn-9w38
std_1589263526216_2687,NB3m-T7Qn
std_1589263528220_2688,m89j-wt2f
std_1589263530225_2689,GBbW-bT38
std_1589263532230_2690,YN4U-Zd8X
std_1589263534235_2691,taWJ-Qc2N
std_1589263536240_2692,Fra3-mkYh
std_1589263540249_2694,V28u-AnQE
std_1589263542254_2695,R34k-JHfk
std_1589263544260_2696,Yqzd-L7gp
std_1589263546266_2697,Nq2E-7v9Z
std_1589263548270_2698,tA2k-j6DH
std_1589263550275_2699,Xt72-kveA
std_1589263552280_2700,74Z4-7946
std_1589263554285_2701,YVi4-iZ6R
std_1589263556290_2702,vrut-Nu2L
std_1589263558297_2703,439a-rWvP
std_1589263560302_2704,8Y3d-rdxW
std_1589263562307_2705,nYyt-37be
std_1589263564312_2706,6wiC-nT98
std_1589263566318_2707,7a8h-BZMP
std_1589263568322_2708,CEaB-Z6Y4
std_1589263570329_2709,f392-Yc6Z
std_1589263572333_2710,JxTM-4v6m
std_1589263574338_2711,2Y7g-38JY
std_1589263576344_2712,DHiG-Xx4p
std_1589263578349_2713,Wnor-R74t
std_1589263580354_2714,87AY-vnuo
std_1589263582359_2715,Gjqk-vQpv
std_1589263584363_2716,fK6v-RJvo
std_1589263586369_2717,R97i-7mhr
std_1589263588375_2718,9kuq-2cTm
std_1589263590380_2719,Vtaw-rMZf
std_1589263592385_2720,fWhy-zQ6k
std_1589263594390_2721,rExW-Ut37
std_1589263596395_2722,qR4K-HBR4
std_1589263598401_2723,itap-g6mv
