studentextuserjid,classcode,classid,invitationid,tch
s42_1594913917004_51,dVhe-ET8i,29977307-c77a-11ea-acee-0242ac110002,23e1f53d-92cf-4432-a1f4-cec5a62cf465,t42_20200716-205339_51
s42_1594913919676_48,Y3Xy-4dbL,0d342564-c77a-11ea-af23-0242ac110002,39ed3433-2c83-4230-9223-39374b6b609c,t42_20200716-205339_48
s42_1594913917424_52,Du6a-6kiD,33b356ce-c77a-11ea-af23-0242ac110002,99ddf58a-f7ee-48d4-92f0-ee79c3ed1aff,t42_20200716-205339_52
s42_1594913918171_55,CjXG-nLW6,4a375822-c77a-11ea-af23-0242ac110002,35bcdb9e-c57b-4f38-92a3-4f0a194dcc02,t42_20200716-205339_55
s42_1594913921655_54,NpJT-sGfi,44580c62-c77a-11ea-96b3-0242ac110002,e2f1071d-537f-4cc9-89e2-ea8053e119d1,t42_20200716-205339_54
s42_1594913922712_41,ZTme-VXo4,cd691e55-c779-11ea-89f8-0242ac110002,92238f01-cb48-4c9a-9528-280689f662a0,t42_20200716-205339_41
s42_1594913922988_44,XWu7-jYzy,e5b18d2e-c779-11ea-acee-0242ac110002,6a2e3a10-f0a7-4776-aab4-d366bf4f4506,t42_20200716-205339_44
s42_1594913921318_47,vG8X-dq7o,053e07aa-c77a-11ea-acee-0242ac110002,b9add185-8e46-42f2-9221-5adc4f208ee3,t42_20200716-205339_47
s42_1594913921757_45,G3D7-47WQ,f0b18faf-c779-11ea-af23-0242ac110002,d0532a18-2c48-413b-95df-aa9ea31fdd37,t42_20200716-205339_45
s42_1594913924828_39,2328-Y26z,bc7314bb-c779-11ea-96b3-0242ac110002,4663ede7-3112-4770-bf52-7cb1794915b1,t42_20200716-205339_39
s42_1594913928897_43,i9oL-XZ7A,e140028b-c779-11ea-89f8-0242ac110002,4ba4e3bd-0cf1-4b68-b7a2-5198e7ac879a,t42_20200716-205339_43
s42_1594913924815_50,oVDp-XEx4,202821e6-c77a-11ea-89f8-0242ac110002,f240268e-cdaa-4884-a69e-4008080ba8f9,t42_20200716-205339_50
s42_1594913924488_42,jz8M-YfK4,d51254fb-c779-11ea-89f8-0242ac110002,b7558ac5-9359-46f0-a128-678938fa0c93,t42_20200716-205339_42
s42_1594913932372_40,7xza-9BhX,c888cc9b-c779-11ea-89f8-0242ac110002,a30073dc-2b8c-46ff-9f7c-9f019ad999b7,t42_20200716-205339_40
s42_1594913927623_46,74ua-mH7b,f5db9580-c779-11ea-af23-0242ac110002,6c2c00bc-505c-4e18-ba8d-9baf3bb83d90,t42_20200716-205339_46
s42_1594913930875_57,7fLo-7y39,5b4a39e2-c77a-11ea-acee-0242ac110002,7adaf50a-fdc6-457a-a197-441e89384fe8,t42_20200716-205339_57
s42_1594913935185_54,NpJT-sGfi,44580c62-c77a-11ea-96b3-0242ac110002,c72ddb2c-dfe5-4afb-a08e-be0df700c678,t42_20200716-205339_54
s42_1594913932197_56,9Ywt-nj3D,556262b9-c77a-11ea-89f8-0242ac110002,632517eb-1aa7-41a8-bc10-cb33df835bcf,t42_20200716-205339_56
s42_1594913932711_51,dVhe-ET8i,29977307-c77a-11ea-acee-0242ac110002,aa0cdaad-bbb9-4016-a8c3-55d93af405b1,t42_20200716-205339_51
s42_1594913931491_53,7FRL-nr2a,3c6e9913-c77a-11ea-96b3-0242ac110002,a790da73-f82b-41b7-ac80-ff8048975030,t42_20200716-205339_53
s42_1594913930845_49,vmt7-6Hz8,147e7288-c77a-11ea-89f8-0242ac110002,03a0e494-67ae-4189-abac-908162fa362f,t42_20200716-205339_49
s42_1594913934166_55,CjXG-nLW6,4a375822-c77a-11ea-af23-0242ac110002,e325cbd4-7dd9-4868-8545-a46ef64a0c06,t42_20200716-205339_55
