studentextuserid,classcode
std_1588426229286_1,ChiP-c83R
std_1588426279295_2,9j96-HPVx
std_1588426329304_3,uTHX-8u3p
std_1588426379313_4,738y-K38j
std_1588426429322_5,QFR4-6n9q
std_1588426479331_6,VM4y-o8r2
std_1588426529340_7,7hg2-Jo9a
std_1588426579348_8,3iHd-BNZT
std_1588426629358_9,Nkvm-36f9
std_1588426679365_10,wF94-q2J9
std_1588429565047_1,ChiP-c83R
std_1588429605063_2,9j96-HPVx
std_1588429645072_3,uTHX-8u3p
std_1588429685088_4,738y-K38j
std_1588429725088_5,QFR4-6n9q
std_1588429765103_6,VM4y-o8r2
std_1588429805119_7,7hg2-Jo9a
std_1588429845134_8,3iHd-BNZT
std_1588429885155_9,Nkvm-36f9
std_1588429925169_10,wF94-q2J9
std_1588429965183_11,ChiP-c83R
std_1588430005195_12,9j96-HPVx
std_1588430045209_13,uTHX-8u3p
std_1588430085223_14,738y-K38j
std_1588430125234_15,QFR4-6n9q
std_1588430165246_16,VM4y-o8r2
std_1588430205259_17,7hg2-Jo9a
std_1588430245270_18,3iHd-BNZT
std_1588430285282_19,Nkvm-36f9
std_1588430325292_20,wF94-q2J9
std_1588430365304_21,ChiP-c83R
std_1588430405315_22,9j96-HPVx
std_1588430445328_23,uTHX-8u3p
std_1588430485340_24,738y-K38j
std_1588430525352_25,QFR4-6n9q
std_1588430565364_26,VM4y-o8r2
std_1588430605375_27,7hg2-Jo9a
std_1588430645387_28,3iHd-BNZT
std_1588430685399_29,Nkvm-36f9
std_1588430725411_30,wF94-q2J9
std_1588430765424_31,ChiP-c83R
std_1588430805436_32,9j96-HPVx
std_1588430845449_33,uTHX-8u3p
std_1588430885462_34,738y-K38j
std_1588430925476_35,QFR4-6n9q
std_1588430965488_36,VM4y-o8r2
std_1588431005501_37,7hg2-Jo9a
std_1588431045512_38,3iHd-BNZT
std_1588431125536_40,wF94-q2J9
std_1588433548839_1,ChiP-c83R
std_1588433598856_2,9j96-HPVx
std_1588433648856_3,uTHX-8u3p
std_1588433698871_4,738y-K38j
std_1588433748887_5,QFR4-6n9q
std_1588433798903_6,VM4y-o8r2
std_1588433848903_7,7hg2-Jo9a
std_1588433898918_8,3iHd-BNZT
std_1588433948934_9,Nkvm-36f9
std_1588433998952_10,wF94-q2J9
std_1588434048948_11,ChiP-c83R
std_1588434098964_12,9j96-HPVx
std_1588434148980_13,uTHX-8u3p
std_1588434198996_14,738y-K38j
std_1588434248996_15,QFR4-6n9q
std_1588434299018_16,VM4y-o8r2
std_1588434349027_17,7hg2-Jo9a
std_1588434399027_18,3iHd-BNZT
std_1588434449042_19,Nkvm-36f9
std_1588434499058_20,wF94-q2J9
std_1588434549075_21,ChiP-c83R
std_1588434599074_22,9j96-HPVx
std_1588434649089_23,uTHX-8u3p
std_1588434699105_24,738y-K38j
std_1588434749105_25,QFR4-6n9q
std_1588434799120_26,VM4y-o8r2
std_1588434849137_27,7hg2-Jo9a
std_1588434899155_28,3iHd-BNZT
std_1588434949167_29,Nkvm-36f9
std_1588434999179_30,wF94-q2J9
std_1588435049193_31,ChiP-c83R
std_1588435099205_32,9j96-HPVx
std_1588435149217_33,uTHX-8u3p
std_1588435199229_34,738y-K38j
std_1588435249241_35,QFR4-6n9q
std_1588435299253_36,VM4y-o8r2
std_1588435349264_37,7hg2-Jo9a
std_1588435399276_38,3iHd-BNZT
std_1588435449288_39,Nkvm-36f9
std_1588435499301_40,wF94-q2J9
std_1588435549315_41,ChiP-c83R
std_1588435599325_42,9j96-HPVx
std_1588435649340_43,uTHX-8u3p
std_1588435699352_44,738y-K38j
std_1588435749366_45,QFR4-6n9q
std_1588435799380_46,VM4y-o8r2
std_1588435849393_47,7hg2-Jo9a
std_1588435899406_48,3iHd-BNZT
std_1588435949419_49,Nkvm-36f9
std_1588435999432_50,wF94-q2J9
std_1588594731527_1,ChiP-c83R
std_1588594732455_2,9j96-HPVx
std_1588594733514_3,uTHX-8u3p
std_1588594734528_4,738y-K38j
std_1588594735542_5,QFR4-6n9q
std_1588594736554_6,VM4y-o8r2
std_1588594737569_7,7hg2-Jo9a
std_1588594738585_8,3iHd-BNZT
std_1588594739599_9,Nkvm-36f9
std_1588680221568_1,8kZ6-F4VM
std_1588680226655_2,QP4c-g2QX
std_1588680231800_3,gCaC-G2C7
std_1588680236640_4,Js79-7jyb
std_1588680241677_5,ALmY-mesi
std_1588680246678_6,sWgT-H8Ms
std_1588680251693_7,9joF-dk24
std_1588680256709_8,xa4k-pUDc
std_1588680261728_9,Jqbt-23tw
std_1588680266741_10,3nCw-DyTp
std_1588680271740_11,cX2n-kgEk
std_1588680276756_12,J73r-xTu3
std_1588680281785_13,HLJR-MQZp
std_1588680286805_14,869K-hiUs
std_1588680291813_15,gcNs-aGw3
std_1588680296834_16,67g8-Hpea
std_1588680301848_17,h2e3-UKpa
std_1588680306861_18,o8z7-Z76P
std_1588680311873_19,e23C-GLVv
std_1588680316890_20,x8kv-mhad
std_1588680321915_21,8kZ6-F4VM
std_1588680326939_22,QP4c-g2QX
std_1588680331954_23,gCaC-G2C7
std_1588680336970_24,Js79-7jyb
std_1588680341989_25,ALmY-mesi
std_1588680347009_26,sWgT-H8Ms
std_1588680352022_27,9joF-dk24
std_1588680357039_28,xa4k-pUDc
std_1588680362058_29,Jqbt-23tw
std_1588680367075_30,3nCw-DyTp
std_1588680372090_31,cX2n-kgEk
std_1588680377101_32,J73r-xTu3
std_1588680382180_33,HLJR-MQZp
std_1588680387134_34,869K-hiUs
std_1588680392150_35,gcNs-aGw3
std_1588680397162_36,67g8-Hpea
std_1588680402179_37,h2e3-UKpa
std_1588680407194_38,o8z7-Z76P
std_1588680412211_39,e23C-GLVv
std_1588680417226_40,x8kv-mhad
std_1588680422246_41,8kZ6-F4VM
std_1588680427270_42,QP4c-g2QX
std_1588680432306_43,gCaC-G2C7
std_1588680437338_44,Js79-7jyb
std_1588680442370_45,ALmY-mesi
std_1588680447408_46,sWgT-H8Ms
std_1588680452434_47,9joF-dk24
std_1588680457465_48,xa4k-pUDc
std_1588680462502_49,Jqbt-23tw
std_1588680467539_50,3nCw-DyTp
std_1588680472579_51,cX2n-kgEk
std_1588680477609_52,J73r-xTu3
std_1588680482681_53,HLJR-MQZp
std_1588680487757_54,869K-hiUs
std_1588680492829_55,gcNs-aGw3
std_1588680497865_56,67g8-Hpea
std_1588680502906_57,h2e3-UKpa
