studentextuserid,classcode
std_1588936236369_1150,F8vT-8u3E
std_1588936238887_1151,bG9p-w32N
std_1588936241403_1152,rZx9-wWUs
std_1588936243918_1153,edxP-9xjM
std_1588936246432_1154,9r76-974Q
std_1588936248946_1155,ro8y-34Ux
std_1588936251463_1156,qA9d-Y39c
std_1588936253977_1157,9g4e-dUE7
std_1588936256494_1158,rsWV-3zhM
std_1588936259008_1159,f94t-2C8d
std_1588936261525_1160,YR6F-HEu9
std_1588936264042_1161,L743-246p
std_1588936266558_1162,4a84-M82L
std_1588936269076_1163,vPZn-8GTL
std_1588936271593_1164,v7s7-43qy
std_1588936274109_1165,xJoJ-oE9w
std_1588936276628_1166,9cgA-mqA9
std_1588936279143_1167,2ABj-b83Z
std_1588936281659_1168,p872-8CrV
std_1588936284180_1169,fr6H-dpmq
std_1588936286703_1170,9kWb-G3GE
std_1588936289280_1171,VK3d-iDpy
std_1588936291797_1172,89Ap-67Lm
std_1588936294312_1173,rcMg-oGn7
std_1588936296827_1174,uXy3-7FLZ
std_1588936299341_1175,p742-azBR
std_1588936301856_1176,Ejdu-3VXH
std_1588936304372_1177,yxBp-2JuX
std_1588936306888_1178,7U9G-6Yv3
std_1588936309403_1179,RV9R-etXb
std_1588936311917_1180,C2Af-3iJx
std_1588936314440_1181,e3i2-YyR2
std_1588936316955_1182,aZ68-Byxk
std_1588936319473_1183,Z2Zk-689v
std_1588936321988_1184,TPL6-R7dP
std_1588936324513_1185,HnUH-oMZP
std_1588936327018_1186,7XpH-72cr
std_1588936329535_1187,9g6a-eQ6E
std_1588936332047_1188,c72f-QEG4
std_1588936334564_1189,NMAf-dPBw
std_1588936337078_1190,8XGr-y4D9
std_1588936339593_1191,Xrey-CkaD
std_1588936342108_1192,9Yba-M26g
std_1588936347145_1194,8GP6-7TBW
std_1588936349660_1195,XkE9-82Co
std_1588936352179_1196,6f2g-Xgeg
std_1588936354693_1197,uz7e-U4zj
std_1588936357205_1198,prd9-476g
std_1588936359720_1199,NoV3-9QW8
std_1588936362234_1200,Q8J4-Tn4X
std_1588936364747_1201,yEam-pTrR
std_1588936367263_1202,9jB9-63yC
std_1588936369777_1203,7gtn-KUfy
std_1588936372293_1204,EbvE-BurR
std_1588936374809_1205,GT48-6t2H
std_1588936377327_1206,D29v-ZJ2Y
std_1588936379858_1207,Kcfx-kM9A
std_1588936382377_1208,Xn42-9yN3
std_1588936384897_1209,b6Yq-7smp
std_1588936387416_1210,KFaK-zaoQ
std_1588936389926_1211,dLcf-XdAm
std_1588936392441_1212,8VTW-r6JL
std_1588936394957_1213,72Ap-FHab
std_1588936397469_1214,F32e-u4mU
std_1588936399985_1215,ba23-vV76
std_1588936402501_1216,Tj2G-ojZ4
std_1588936405013_1217,dvCP-cMo8
std_1588936407540_1218,mGgE-7p9K
std_1588936410044_1219,bWDe-CNAE
std_1588936412558_1220,9gu6-ULzC
std_1588936415074_1221,kHuk-qLRC
std_1588936417589_1222,4Vxy-2ubr
std_1588936420107_1223,L7J3-8TKV
std_1588936422617_1224,7xhU-u2dE
std_1588936425135_1225,3ALu-i9DF
std_1588936427649_1226,zD8z-Yz82
std_1588936430164_1227,624R-Bty7
std_1588936432679_1228,9Y3e-qEp7
std_1588936435195_1229,wp4B-K7N2
std_1588936437711_1230,F8vT-8u3E
std_1588936440227_1231,bG9p-w32N
std_1588936442742_1232,rZx9-wWUs
std_1588936445258_1233,edxP-9xjM
std_1588936447773_1234,9r76-974Q
std_1588936450289_1235,ro8y-34Ux
std_1588936452805_1236,qA9d-Y39c
std_1588936455319_1237,9g4e-dUE7
std_1588936457835_1238,rsWV-3zhM
std_1588936460363_1239,f94t-2C8d
std_1588936462868_1240,YR6F-HEu9
std_1588936465383_1241,L743-246p
std_1588936467900_1242,4a84-M82L
std_1588936470415_1243,vPZn-8GTL
std_1588936475457_1245,xJoJ-oE9w
std_1588936477974_1246,9cgA-mqA9
std_1588936480490_1247,2ABj-b83Z
std_1588936483010_1248,p872-8CrV
std_1588936485527_1249,fr6H-dpmq
std_1588936488042_1250,9kWb-G3GE
std_1588936490560_1251,VK3d-iDpy
std_1588936493074_1252,89Ap-67Lm
std_1588936495591_1253,rcMg-oGn7
std_1588936498110_1254,uXy3-7FLZ
std_1588936500628_1255,p742-azBR
std_1588936503145_1256,Ejdu-3VXH
std_1588936505657_1257,yxBp-2JuX
std_1588936508173_1258,7U9G-6Yv3
std_1588936510688_1259,RV9R-etXb
std_1588936513207_1260,C2Af-3iJx
std_1588936515722_1261,e3i2-YyR2
std_1588936518237_1262,aZ68-Byxk
std_1588936520753_1263,Z2Zk-689v
std_1588936523269_1264,TPL6-R7dP
std_1588936525781_1265,HnUH-oMZP
std_1588936528297_1266,7XpH-72cr
std_1588936530817_1267,9g6a-eQ6E
std_1588936533337_1268,c72f-QEG4
std_1588936535852_1269,NMAf-dPBw
std_1588936538371_1270,8XGr-y4D9
std_1588936540890_1271,Xrey-CkaD
std_1588936543409_1272,9Yba-M26g
std_1588936545929_1273,Y2E7-Bqi2
std_1588936548445_1274,8GP6-7TBW
std_1588936550961_1275,XkE9-82Co
std_1588936553477_1276,6f2g-Xgeg
std_1588936555992_1277,uz7e-U4zj
std_1588936558509_1278,prd9-476g
std_1588936561021_1279,NoV3-9QW8
std_1588936563537_1280,Q8J4-Tn4X
std_1588936566053_1281,yEam-pTrR
std_1588936568580_1282,9jB9-63yC
std_1588936571094_1283,7gtn-KUfy
std_1588936573618_1284,EbvE-BurR
std_1588936576120_1285,GT48-6t2H
std_1588936578637_1286,D29v-ZJ2Y
std_1588936581152_1287,Kcfx-kM9A
std_1588936583669_1288,Xn42-9yN3
std_1588936586174_1289,b6Yq-7smp
std_1588936588704_1290,KFaK-zaoQ
std_1588936591222_1291,dLcf-XdAm
std_1588936593736_1292,8VTW-r6JL
std_1588936596252_1293,72Ap-FHab
std_1588936598772_1294,F32e-u4mU
std_1588936601283_1295,ba23-vV76
std_1588936603820_1296,Tj2G-ojZ4
std_1588936606316_1297,dvCP-cMo8
std_1588936608832_1298,mGgE-7p9K
std_1588936611346_1299,bWDe-CNAE
std_1588936613863_1300,9gu6-ULzC
std_1588936616376_1301,kHuk-qLRC
std_1588936618892_1302,4Vxy-2ubr
std_1588936621408_1303,L7J3-8TKV
std_1588936623924_1304,7xhU-u2dE
std_1588936626439_1305,3ALu-i9DF
std_1588936628956_1306,zD8z-Yz82
std_1588936631471_1307,624R-Bty7
std_1588936634034_1308,9Y3e-qEp7
std_1588936636549_1309,wp4B-K7N2
std_1588936639073_1310,F8vT-8u3E
std_1588936641597_1311,bG9p-w32N
std_1588936644114_1312,rZx9-wWUs
std_1588936646633_1313,edxP-9xjM
std_1588936649141_1314,9r76-974Q
std_1588936651657_1315,ro8y-34Ux
std_1588936654172_1316,qA9d-Y39c
std_1588936656690_1317,9g4e-dUE7
std_1588936659219_1318,rsWV-3zhM
std_1588936661750_1319,f94t-2C8d
std_1588936664266_1320,YR6F-HEu9
std_1588936666781_1321,L743-246p
std_1588936669312_1322,4a84-M82L
std_1588936671829_1323,vPZn-8GTL
std_1588936674354_1324,v7s7-43qy
std_1588936676886_1325,xJoJ-oE9w
std_1588936679402_1326,9cgA-mqA9
std_1588936681925_1327,2ABj-b83Z
std_1588936684441_1328,p872-8CrV
std_1588936686955_1329,fr6H-dpmq
std_1588936689470_1330,9kWb-G3GE
std_1588936691990_1331,VK3d-iDpy
std_1588936694507_1332,89Ap-67Lm
std_1588936697023_1333,rcMg-oGn7
std_1588936699539_1334,uXy3-7FLZ
std_1588936702057_1335,p742-azBR
std_1588936704569_1336,Ejdu-3VXH
std_1588936707084_1337,yxBp-2JuX
std_1588936709647_1338,7U9G-6Yv3
std_1588936714632_1340,C2Af-3iJx
std_1588936717147_1341,e3i2-YyR2
std_1588936724696_1344,TPL6-R7dP
std_1588936727215_1345,HnUH-oMZP
std_1588936729751_1346,7XpH-72cr
std_1588936734769_1348,c72f-QEG4
std_1588936737270_1349,NMAf-dPBw
std_1588936739785_1350,8XGr-y4D9
std_1588936742316_1351,Xrey-CkaD
std_1588936744831_1352,9Yba-M26g
std_1588936747347_1353,Y2E7-Bqi2
std_1588936749863_1354,8GP6-7TBW
std_1588936752379_1355,XkE9-82Co
std_1588936754896_1356,6f2g-Xgeg
std_1588936759926_1358,prd9-476g
std_1588936762442_1359,NoV3-9QW8
std_1588936764957_1360,Q8J4-Tn4X
std_1588936767473_1361,yEam-pTrR
std_1588936769989_1362,9jB9-63yC
std_1588936772504_1363,7gtn-KUfy
std_1588936775020_1364,EbvE-BurR
std_1588936777534_1365,GT48-6t2H
std_1588936780051_1366,D29v-ZJ2Y
std_1588936782566_1367,Kcfx-kM9A
std_1588936785086_1368,Xn42-9yN3
std_1588936787587_1369,b6Yq-7smp
std_1588936790102_1370,KFaK-zaoQ
std_1588936792619_1371,dLcf-XdAm
std_1588936795154_1372,8VTW-r6JL
std_1588936797650_1373,72Ap-FHab
std_1588936800165_1374,F32e-u4mU
std_1588936802682_1375,ba23-vV76
std_1588936805204_1376,Tj2G-ojZ4
std_1588936807728_1377,dvCP-cMo8
std_1588936812759_1379,bWDe-CNAE
std_1588936815275_1380,9gu6-ULzC
std_1588936817823_1381,kHuk-qLRC
std_1588936820290_1382,4Vxy-2ubr
std_1588936822822_1383,L7J3-8TKV
std_1588936825337_1384,7xhU-u2dE
std_1588936827854_1385,3ALu-i9DF
std_1588936830368_1386,zD8z-Yz82
std_1588936832886_1387,624R-Bty7
std_1588936835397_1388,9Y3e-qEp7
std_1588936837914_1389,wp4B-K7N2
std_1588936840429_1390,F8vT-8u3E
std_1588936842944_1391,bG9p-w32N
std_1588936845460_1392,rZx9-wWUs
std_1588936847976_1393,edxP-9xjM
std_1588936850490_1394,9r76-974Q
std_1588936853007_1395,ro8y-34Ux
std_1588936856767_1396,qA9d-Y39c
std_1588936858037_1397,9g4e-dUE7
std_1588936860553_1398,rsWV-3zhM
std_1588936863069_1399,f94t-2C8d
std_1588936865585_1400,YR6F-HEu9
std_1588936868100_1401,L743-246p
std_1588936870616_1402,4a84-M82L
std_1588936873132_1403,vPZn-8GTL
std_1588936875647_1404,v7s7-43qy
std_1588936878162_1405,xJoJ-oE9w
std_1588936880680_1406,9cgA-mqA9
std_1588936883201_1407,2ABj-b83Z
std_1588936885716_1408,p872-8CrV
std_1588936888225_1409,fr6H-dpmq
