teacher,class,classcode
tch_20200715-202126_120,class_20200715-202126_120,qfkD-iGmM
tch_20200715-202126_122,class_20200715-202126_122,gbX8-sCRK
tch_20200715-202126_123,class_20200715-202126_123,Lxw9-unLa
tch_20200715-202126_124,class_20200715-202126_124,Vpcm-6tVv
tch_20200715-202126_125,class_20200715-202126_125,8bYz-qFtT
tch_20200715-202126_127,class_20200715-202126_127,TJ7p-C2oc
tch_20200715-202126_126,class_20200715-202126_126,4N8y-honk
tch_20200715-202126_128,class_20200715-202126_128,pHpN-MRNv
tch_20200715-202126_129,class_20200715-202126_129,7426-w8b7
tch_20200715-202126_130,class_20200715-202126_130,WHYF-MU9v
tch_20200715-202126_131,class_20200715-202126_131,3myt-Wq2r
tch_20200715-202126_132,class_20200715-202126_132,dm9c-f9Kt
tch_20200715-202126_133,class_20200715-202126_133,7JoP-8t9C
tch_20200715-202126_134,class_20200715-202126_134,rV26-9Y29
tch_20200715-202126_135,class_20200715-202126_135,ouxs-Vp73
tch_20200715-202126_136,class_20200715-202126_136,TF4e-d632
tch_20200715-202126_137,class_20200715-202126_137,f4BU-QMta
tch_20200715-202126_138,class_20200715-202126_138,847Z-8ymp
tch_20200715-202126_139,class_20200715-202126_139,Y9GK-e7i7
tch_20200715-202126_140,class_20200715-202126_140,ZNM2-oLi3
tch_20200715-202126_141,class_20200715-202126_141,aUPc-83aX
tch_20200715-202126_143,class_20200715-202126_143,gvqA-dhHi
tch_20200715-202126_142,class_20200715-202126_142,y3Wy-G6yV
tch_20200715-202126_144,class_20200715-202126_144,L8j4-Kz2w
tch_20200715-202126_145,class_20200715-202126_145,kERo-fpgE
tch_20200715-202126_146,class_20200715-202126_146,m7mC-zJ9T
tch_20200715-202126_147,class_20200715-202126_147,C9q9-sdWy
tch_20200715-202126_149,class_20200715-202126_149,WmKi-3e4o
tch_20200715-202126_148,class_20200715-202126_148,otHx-dRoY
tch_20200715-202126_150,class_20200715-202126_150,43K3-9TY4
tch_20200715-202126_151,class_20200715-202126_151,ncPb-X3bY
tch_20200715-202126_153,class_20200715-202126_153,UW84-HiJm
tch_20200715-202126_152,class_20200715-202126_152,u2Zu-Ybqt
tch_20200715-202126_154,class_20200715-202126_154,93wu-3BNo
tch_20200715-202126_155,class_20200715-202126_155,29rs-9LVR
tch_20200715-202126_156,class_20200715-202126_156,8BZc-sQ8g
tch_20200715-202126_158,class_20200715-202126_158,C4j8-64RW
tch_20200715-202126_157,class_20200715-202126_157,knhY-qZWK
tch_20200715-202126_159,class_20200715-202126_159,r9c3-Mr92
tch_20200715-202126_160,class_20200715-202126_160,j37y-xr7p
tch_20200710-200314_541,class_20200710-200314_541,vDVu-9f8p
tch_20200710-200314_542,class_20200710-200314_542,4g2Z-3b24
tch_20200710-200314_543,class_20200710-200314_543,BdYt-H27Y
tch_20200710-200314_544,class_20200710-200314_544,82hi-hK9c
tch_20200710-200314_545,class_20200710-200314_545,2pc9-78Yh
tch_20200710-200314_546,class_20200710-200314_546,8L4J-c7oh
tch_20200710-200314_547,class_20200710-200314_547,u3tW-8pfA
tch_20200710-200314_548,class_20200710-200314_548,GVpH-3osy
tch_20200710-200314_549,class_20200710-200314_549,F49x-buCX
tch_20200710-200314_550,class_20200710-200314_550,6Lxy-Ap7w
tch_20200710-200314_552,class_20200710-200314_552,gqGj-8pry
tch_20200710-200314_551,class_20200710-200314_551,Tn6g-6czg
tch_20200710-200314_553,class_20200710-200314_553,7M2z-vQ97
tch_20200710-200314_554,class_20200710-200314_554,s8vZ-Wcmb
tch_20200710-200314_555,class_20200710-200314_555,Zw8y-QwiU
tch_20200710-200314_557,class_20200710-200314_557,4b4D-p7Vr
tch_20200710-200314_556,class_20200710-200314_556,fxXr-V3Cs
tch_20200710-200314_560,class_20200710-200314_560,kR3w-4vHD
tch_20200710-200314_558,class_20200710-200314_558,LmgU-6y4n
tch_20200710-200314_559,class_20200710-200314_559,W6Vo-4Jd7
tch_20200710-200314_561,class_20200710-200314_561,o4N8-92Wf
tch_20200710-200314_562,class_20200710-200314_562,8XV7-D8f9
tch_20200710-200314_563,class_20200710-200314_563,J983-8Jg6
tch_20200710-200314_564,class_20200710-200314_564,rHB9-m47c
tch_20200710-200314_565,class_20200710-200314_565,3X6d-T6gK
tch_20200710-200314_566,class_20200710-200314_566,zf2n-C3jT
tch_20200710-200314_568,class_20200710-200314_568,9d3V-X8hr
tch_20200710-200314_567,class_20200710-200314_567,o96W-ij6C
tch_20200710-200314_569,class_20200710-200314_569,W93t-LHfX
tch_20200710-200314_570,class_20200710-200314_570,Urxi-e3rM
tch_20200710-200314_571,class_20200710-200314_571,9WxH-8aMH
tch_20200710-200314_572,class_20200710-200314_572,Wovw-Z4mY
tch_20200710-200314_573,class_20200710-200314_573,y473-2inW
tch_20200710-200314_574,class_20200710-200314_574,m2zU-hLvb
tch_20200710-200314_575,class_20200710-200314_575,WC67-4K6E
tch_20200710-200314_576,class_20200710-200314_576,vkYp-492V
tch_20200710-200314_577,class_20200710-200314_577,Gq73-f8E2
tch_20200710-200314_579,class_20200710-200314_579,Z2Lw-Rpet
tch_20200710-200314_578,class_20200710-200314_578,BFxB-4sq8
tch_20200710-200314_581,class_20200710-200314_581,uYVo-s43s
tch_20200710-200314_580,class_20200710-200314_580,chfj-HKQt
tch_20200710-200314_582,class_20200710-200314_582,wu79-jNP6
tch_20200710-200314_583,class_20200710-200314_583,gHNw-VDiR
tch_20200710-200314_584,class_20200710-200314_584,T86G-y2BX
tch_20200710-200314_585,class_20200710-200314_585,yh7K-3yHR
tch_20200710-200314_586,class_20200710-200314_586,aqZ2-nx6q
tch_20200710-200314_587,class_20200710-200314_587,49cU-93h6
tch_20200710-200314_588,class_20200710-200314_588,6PfD-H24j
tch_20200710-200314_590,class_20200710-200314_590,476h-8ob2
tch_20200710-200314_589,class_20200710-200314_589,47xv-giL3
tch_20200710-200314_591,class_20200710-200314_591,qVoY-W2rg
tch_20200710-200314_592,class_20200710-200314_592,viw6-CWrN
tch_20200710-200314_593,class_20200710-200314_593,X8gM-k9Wc
tch_20200710-200314_594,class_20200710-200314_594,3M27-3Te3
tch_20200710-200314_596,class_20200710-200314_596,Rf68-onrN
tch_20200710-200314_595,class_20200710-200314_595,Vx3e-tiNF
tch_20200710-200314_597,class_20200710-200314_597,9czn-3wCb
tch_20200710-200314_598,class_20200710-200314_598,tVci-8CvF
tch_20200710-200314_600,class_20200710-200314_600,o2wN-mxU9
tch_20200710-200314_599,class_20200710-200314_599,M32H-Y2HR
tch_20200710-200314_602,class_20200710-200314_602,cYzi-oQc4
tch_20200710-200314_601,class_20200710-200314_601,e4BE-e73F
tch_20200710-200314_603,class_20200710-200314_603,2o98-DJLv
tch_20200710-200314_604,class_20200710-200314_604,Jdt4-ubXF
tch_20200710-200314_606,class_20200710-200314_606,J9bF-J3YF
tch_20200710-200314_605,class_20200710-200314_605,XKrc-x6Lv
tch_20200710-200314_608,class_20200710-200314_608,JWwp-TX9x
tch_20200710-200314_607,class_20200710-200314_607,7M7H-4G2e
tch_20200710-200314_610,class_20200710-200314_610,YEKk-6BG3
tch_20200710-200314_609,class_20200710-200314_609,X2ai-zjKJ
tch_20200710-200314_611,class_20200710-200314_611,oMo7-c68b
tch_20200710-200314_612,class_20200710-200314_612,FRLG-P3T4
tch_20200710-200314_613,class_20200710-200314_613,emr3-j96X
tch_20200710-200314_614,class_20200710-200314_614,hkw7-v3DX
tch_20200710-200314_616,class_20200710-200314_616,awn4-Tc7t
tch_20200710-200314_615,class_20200710-200314_615,AL4k-deUo
tch_20200710-200314_617,class_20200710-200314_617,kefK-wfF8
tch_20200710-200314_618,class_20200710-200314_618,6b8m-gRYb
tch_20200710-200314_619,class_20200710-200314_619,XeG4-xkVH
tch_20200710-200314_620,class_20200710-200314_620,6ui4-hx6k
tch_20200710-200314_622,class_20200710-200314_622,7r4q-akoj
tch_20200710-200314_621,class_20200710-200314_621,RHcR-Yu23
tch_20200710-200314_625,class_20200710-200314_625,46Kz-gm8m
tch_20200710-200314_623,class_20200710-200314_623,4Gb3-uxXo
tch_20200710-200314_624,class_20200710-200314_624,rwfC-gqEn
tch_20200710-200314_627,class_20200710-200314_627,CuwZ-PDHP
tch_20200710-200314_626,class_20200710-200314_626,DLAT-9f8o
tch_20200710-200314_628,class_20200710-200314_628,Pa6r-YwVc
tch_20200710-200314_630,class_20200710-200314_630,7h4Z-3tPx
tch_20200710-200314_629,class_20200710-200314_629,UWX7-nPEJ
tch_20200710-200314_631,class_20200710-200314_631,zC2Z-nm7e
tch_20200710-200314_632,class_20200710-200314_632,ZdFz-MQC8
tch_20200710-200314_633,class_20200710-200314_633,E7M3-rj7k
tch_20200710-200314_634,class_20200710-200314_634,v789-3Kbf
tch_20200710-200314_635,class_20200710-200314_635,dqa9-2HCc
tch_20200710-200314_636,class_20200710-200314_636,ik8g-3276
tch_20200710-200314_638,class_20200710-200314_638,9V9V-6486
tch_20200710-200314_637,class_20200710-200314_637,4fTu-4C6p
tch_20200710-200314_639,class_20200710-200314_639,9LdV-RuFq
tch_20200710-200314_640,class_20200710-200314_640,cDNq-B9Wd
