studentextuserid,firstname,classcode
std_1589169985875_86,200716_std_1589169985875_86,dwkR-K43T
std_1589169987880_87,200716_std_1589169987880_87,xbLA-Yje4
std_1589169989885_88,200716_std_1589169989885_88,yUEb-923e
std_1589169991892_89,200716_std_1589169991892_89,4hqV-E8ox
std_1589169993897_90,200716_std_1589169993897_90,6sE7-9c64
std_1589169995901_91,200716_std_1589169995901_91,KrW7-2934
std_1589169997907_92,200716_std_1589169997907_92,Q6xh-fisr
std_1589169999911_93,200716_std_1589169999911_93,NxuU-iwrf
std_1589170001917_94,200716_std_1589170001917_94,XkT9-NZvT
std_1589170003921_95,200716_std_1589170003921_95,63t6-VXQ2
std_1589170005926_96,200716_std_1589170005926_96,6u6D-Tpfc
std_1589170007930_97,200716_std_1589170007930_97,wmga-8X9J
std_1589170009936_98,200716_std_1589170009936_98,v698-pW37
std_1589170011940_99,200716_std_1589170011940_99,tCnt-p3VQ
std_1589170013946_100,200716_std_1589170013946_100,7Nzs-Wke7
std_1589170015975_101,200716_std_1589170015975_101,JQtH-2pTN
std_1589170017955_102,200716_std_1589170017955_102,BnmB-DECL
std_1589170019960_103,200716_std_1589170019960_103,yW4q-uFfy
std_1589170021965_104,200716_std_1589170021965_104,sd46-9gPQ
std_1589170023994_105,200716_std_1589170023994_105,v4ta-PhQH
std_1589170026000_106,200716_std_1589170026000_106,A4Zx-WHv9
std_1589170028003_107,200716_std_1589170028003_107,yty8-qF6V
std_1589170030008_108,200716_std_1589170030008_108,zE2W-XEiv
std_1589170032014_109,200716_std_1589170032014_109,86Vt-Qtus
std_1589170034018_110,200716_std_1589170034018_110,pejx-dDvf
std_1589170036025_111,200716_std_1589170036025_111,t9X3-VHwk
std_1589170038030_112,200716_std_1589170038030_112,72u3-HUeJ
std_1589170040034_113,200716_std_1589170040034_113,B7MT-9mg9
std_1589170042038_114,200716_std_1589170042038_114,JPYJ-MhHZ
std_1589170044044_115,200716_std_1589170044044_115,Kgx4-ejQc
std_1589170046050_116,200716_std_1589170046050_116,meN8-3rpM
std_1589170048054_117,200716_std_1589170048054_117,ht86-dEA3
std_1589170050060_118,200716_std_1589170050060_118,ofUe-Zawe
std_1589170052065_119,200716_std_1589170052065_119,FUf8-6Tbd
std_1589170054069_120,200716_std_1589170054069_120,C4hH-9Duw
std_1589170056075_121,200716_std_1589170056075_121,PthW-ZP39
std_1589170058080_122,200716_std_1589170058080_122,UJgW-BYP2
std_1589170060086_123,200716_std_1589170060086_123,m82X-iB4q
std_1589170062090_124,200716_std_1589170062090_124,4K8J-db47
std_1589170064095_125,200716_std_1589170064095_125,WXdH-mwd8
std_1589258802553_335,200716_std_1589258802553_335,7C92-rCt2
std_1589258804558_336,200716_std_1589258804558_336,iFqz-uowT
std_1589258806562_337,200716_std_1589258806562_337,WuVx-Bma6
std_1589258808568_338,200716_std_1589258808568_338,2cy3-JpkM
std_1589258810572_339,200716_std_1589258810572_339,2eTm-ad9E
std_1589258812577_340,200716_std_1589258812577_340,r8bK-M6si
std_1589258814582_341,200716_std_1589258814582_341,u68K-4BYw
std_1589258816587_342,200716_std_1589258816587_342,7qBc-xbNQ
std_1589258818591_343,200716_std_1589258818591_343,D8BM-qPuj
std_1589258820611_344,200716_std_1589258820611_344,87K6-UYx8
std_1589258822620_345,200716_std_1589258822620_345,wCqc-4Lo2
std_1589258824625_346,200716_std_1589258824625_346,wk9K-BzJa
std_1589258826640_347,200716_std_1589258826640_347,2nNQ-3Y3o
std_1589258828644_348,200716_std_1589258828644_348,NJrD-4867
std_1589258830649_349,200716_std_1589258830649_349,zQN6-h4LA
std_1589258832654_350,200716_std_1589258832654_350,VkLN-GJp8
std_1589258834672_351,200716_std_1589258834672_351,Hpx7-6HLt
std_1589258836682_352,200716_std_1589258836682_352,9KCg-qfGE
std_1589258838691_353,200716_std_1589258838691_353,Q38d-8zQG
std_1589258840697_354,200716_std_1589258840697_354,X4FU-e42K
std_1589258842703_355,200716_std_1589258842703_355,3c3N-MxcN
std_1589258844706_356,200716_std_1589258844706_356,J6ru-xavD
std_1589258846711_357,200716_std_1589258846711_357,UxM6-VeC4
