tchextid,studentuuid,stdextid,groupid
tch_20200707-221253_1,14696f28-c072-11ea-840b-0242ac110002,std_1594140678228_1,51792094-d81b-4ba2-b429-6c125ac0aa41
tch_20200707-221253_1,05c6ca9f-c072-11ea-94cc-0242ac110002,std_1594140653676_1,51792094-d81b-4ba2-b429-6c125ac0aa41
tch_20200707-221253_2,19fbabdf-c072-11ea-94cc-0242ac110002,std_1594140687569_2,eb93a9ac-bd8c-4c56-981a-18b8bc77705a
tch_20200707-221253_1,fa3efa01-c071-11ea-94cc-0242ac110002,std_1594140634319_1,51792094-d81b-4ba2-b429-6c125ac0aa41
tch_20200707-221253_2,0e87b251-c072-11ea-840b-0242ac110002,std_1594140668282_2,eb93a9ac-bd8c-4c56-981a-18b8bc77705a
tch_20200707-221253_2,0204b906-c072-11ea-94cc-0242ac110002,std_1594140647360_2,eb93a9ac-bd8c-4c56-981a-18b8bc77705a
tch_20200707-221253_1,ed72ea84-c071-11ea-840b-0242ac110002,std_1594140612850_1,51792094-d81b-4ba2-b429-6c125ac0aa41
tch_20200707-221253_2,f3ff65cb-c071-11ea-bcda-0242ac110002,std_1594140623839_2,eb93a9ac-bd8c-4c56-981a-18b8bc77705a
tch_20200707-221253_3,2fe0d635-c072-11ea-94cc-0242ac110002,std_1594140724317_3,be83b3ed-617b-47b1-96c9-461937353f55
tch_20200707-221253_1,d48d034b-c071-11ea-94cc-0242ac110002,std_1594140571083_1,9e2c4656-aefd-40be-88cd-ce61ac907f7c
tch_20200707-221253_3,1f89f111-c072-11ea-bcda-0242ac110002,std_1594140696913_3,be83b3ed-617b-47b1-96c9-461937353f55
tch_20200707-221253_1,c83e6143-c071-11ea-bcda-0242ac110002,std_1594140550439_1,9e2c4656-aefd-40be-88cd-ce61ac907f7c
tch_20200707-221253_2,dae06e38-c071-11ea-bcda-0242ac110002,std_1594140581657_2,1b249bcf-9be7-497d-bbe1-19d76ec1741e
tch_20200707-221253_3,13180fe0-c072-11ea-840b-0242ac110002,std_1594140676015_3,be83b3ed-617b-47b1-96c9-461937353f55
tch_20200707-221253_4,3700914e-c072-11ea-bcda-0242ac110002,std_1594140736273_4,d0708f7a-0037-4055-a5ec-d22509a87213
tch_20200707-221253_1,b92a837f-c071-11ea-840b-0242ac110002,std_1594140525124_1,9e2c4656-aefd-40be-88cd-ce61ac907f7c
tch_20200707-221253_5,3839379d-c072-11ea-94cc-0242ac110002,std_1594140738303_5,d2b9ecf7-bd7b-40d2-a75c-588bf203f0bf
tch_20200707-221253_2,ce8261c3-c071-11ea-bcda-0242ac110002,std_1594140560929_2,1b249bcf-9be7-497d-bbe1-19d76ec1741e
tch_20200707-221253_3,052ea8fb-c072-11ea-840b-0242ac110002,std_1594140652671_3,be83b3ed-617b-47b1-96c9-461937353f55
tch_20200707-221253_4,27a65be3-c072-11ea-840b-0242ac110002,std_1594140710516_4,d0708f7a-0037-4055-a5ec-d22509a87213
tch_20200707-221253_1,aa1c9a43-c071-11ea-94cc-0242ac110002,std_1594140499857_1,9e2c4656-aefd-40be-88cd-ce61ac907f7c
tch_20200707-221253_2,c0facab7-c071-11ea-bcda-0242ac110002,std_1594140538264_2,1b249bcf-9be7-497d-bbe1-19d76ec1741e
tch_20200707-221253_5,29dc0056-c072-11ea-840b-0242ac110002,std_1594140714199_5,d2b9ecf7-bd7b-40d2-a75c-588bf203f0bf
tch_20200707-221253_4,1a2ea272-c072-11ea-94cc-0242ac110002,std_1594140687901_4,d0708f7a-0037-4055-a5ec-d22509a87213
tch_20200707-221253_2,b425e0b4-c071-11ea-840b-0242ac110002,std_1594140516695_2,1b249bcf-9be7-497d-bbe1-19d76ec1741e
tch_20200707-221253_5,1d2dd90d-c072-11ea-94cc-0242ac110002,std_1594140692940_5,d2b9ecf7-bd7b-40d2-a75c-588bf203f0bf
tch_20200707-221253_4,0d13afe1-c072-11ea-840b-0242ac110002,std_1594140665934_4,d0708f7a-0037-4055-a5ec-d22509a87213
