studentextuserjid,classcode,classid,invitationid
perf_std_1042_0810,gTfN-fcP4,dab275cd-b515-11e9-a587-0242ac110003,1e33a966-6f74-4bcf-9f75-8f6425ffe478
perf_std_1042_0808,ijc4-egh7,d9d0c8c1-b515-11e9-ad14-0242ac110003,312fc830-6523-4e91-9fee-7a749ce1ec7c
perf_std_1042_0807,T2bh-Paea,d81c618a-b515-11e9-9198-0242ac110003,57065805-2217-41c5-93ea-2a55f06964e0
perf_std_1042_0813,JhK3-aiZH,dbf248f9-b515-11e9-a587-0242ac110003,a317f3f4-561b-4d07-bbf6-f569baaa9f03
perf_std_1042_0809,hcCe-hdcZ,d8aba951-b515-11e9-a587-0242ac110003,8a331496-765d-4eea-9a81-27e046c5d1be
perf_std_1042_0816,97Qd-j3hb,dd965bf1-b515-11e9-aead-0242ac110003,1533d7b6-a5b3-4c7d-b50e-46726f92ed9a
perf_std_1042_0811,HjDd-ZifD,db1a3895-b515-11e9-9198-0242ac110003,c40e1e0d-d33b-46cb-a5cd-8301652c9624
perf_std_1042_0814,48W4-NdbY,db2ab364-b515-11e9-a587-0242ac110003,5f6e66d4-219c-404d-89e0-d301aa82a7b3
perf_std_1042_0812,29N3-2jNi,df4e44c6-b515-11e9-a587-0242ac110003,5d1b3416-af07-4344-a2cd-80c971a0e835
perf_std_1042_0822,J6Ye-2W8d,e3a9fdc7-b515-11e9-89b9-0242ac110002,eff33d59-2831-408b-9245-2e68dce07062
perf_std_1042_0815,R86R-LZ4d,db28422d-b515-11e9-ad14-0242ac110003,9f14941e-47a7-49a6-bbd6-19e5fe6a4c67
perf_std_1042_0821,4adg-96hg,e0a5e658-b515-11e9-aead-0242ac110003,c6bf45e2-efe6-4369-bff6-8e6ef931b446
perf_std_1042_0819,W46j-TbY7,e0fabc69-b515-11e9-a587-0242ac110003,1563cd74-14e4-499d-b15d-c77afbe681a0
perf_std_1042_0817,c2hf-PX8A,dff7f29d-b515-11e9-a587-0242ac110003,a3199ecd-5862-4f17-9816-72b4768eb839
perf_std_1042_0818,cg6W-a9K7,e0dbc348-b515-11e9-89b9-0242ac110002,1df92533-b4c6-410a-aa1c-b5dacf375cc0
perf_std_1042_0820,hcj7-643c,e1a13577-b515-11e9-aead-0242ac110003,603381ff-de04-4828-86eb-49da0d569fe3
perf_std_1042_0824,7AQ7-CfAL,e3e77bf2-b515-11e9-ad14-0242ac110003,58e8398c-405c-4ca8-8f47-567d567b85b1
perf_std_1042_0825,C939-6chc,e27e75fd-b515-11e9-aead-0242ac110003,acaaf4a2-060f-4eb8-af6e-a90560777a0a
perf_std_1042_0823,8Gac-fZDX,e27ceff6-b515-11e9-89b9-0242ac110002,81fbf582-2c5b-4364-99de-32fe47c08e09
perf_std_1042_0827,NKCb-N372,7c441d5e-b515-11e9-a587-0242ac110003,8371dda2-5050-46b3-96bc-ab4032c4d5be
perf_std_1042_0826,HXEa-3CQR,7d567750-b515-11e9-ad14-0242ac110003,d37a07ee-aad0-4f0d-9e3c-6765ba2cc439
perf_std_1042_0829,ja9W-Q9jf,7dc2587d-b515-11e9-a587-0242ac110003,444935df-60f5-437a-8233-3d5955543c82
perf_std_1042_0832,4PgL-9c4b,7ce0f925-b515-11e9-a587-0242ac110003,4fadd7d0-2635-475b-97f6-3ef6157ad842
perf_std_1042_0828,beBE-eEZD,7dc6ec3c-b515-11e9-9198-0242ac110003,de63e133-6c3e-4537-8d6b-8f2b791a2781
perf_std_1042_0834,egbf-MG4d,80f9683d-b515-11e9-9198-0242ac110003,2943236a-4661-4b65-91bc-5edde68078ff
perf_std_1042_0830,h832-6a2H,7f81e305-b515-11e9-aead-0242ac110003,570e9ad4-9030-479e-82b8-edd438bd152b
perf_std_1042_0831,GifP-2C7L,7c04072e-b515-11e9-89b9-0242ac110002,e0519436-fa3b-402c-abc7-fee8ab94d718
perf_std_1042_0833,4feX-24AM,8058941c-b515-11e9-89b9-0242ac110002,78a0911c-1ee5-42d8-b272-41c01465a5de
perf_std_1042_0837,9YVg-Bjhb,853a1e81-b515-11e9-9198-0242ac110003,415c7067-0446-4e6e-a1ce-c60cf8124fbe
perf_std_1042_0840,ebea-dbcA,878b1313-b515-11e9-9198-0242ac110003,0b220c49-77b9-460b-a25c-fb2883495363
perf_std_1042_0836,3R2a-j4id,810c7a4b-b515-11e9-89b9-0242ac110002,02f06536-26cf-47b3-9518-155cecbcb74e
perf_std_1042_0838,6giC-jR69,828f2296-b515-11e9-89b9-0242ac110002,658d2067-f553-474e-a4fc-a87b7ed4a273
perf_std_1042_0835,afcR-ecWi,81b6c4d0-b515-11e9-ad14-0242ac110003,c55375ef-1fa3-425a-abea-1f20b304917e
perf_std_1042_0842,7d6d-6f2N,85ac8f3e-b515-11e9-89b9-0242ac110002,66448dde-17ef-4372-81fd-07b112094132
perf_std_1042_0844,U9c9-b8e6,8844c660-b515-11e9-89b9-0242ac110002,50875289-fb6d-4214-8375-97480c7bbdb9
perf_std_1042_0841,6Yh8-7Kdi,85b0fc26-b515-11e9-a587-0242ac110003,2e2bc3e5-42c9-4d55-8d25-bafb73bec40e
