studentextuserjid,classcode,classid,invitationid,tch
s42_1594913543859_25,Z6YK-V9z2,395c6ce2-c779-11ea-af23-0242ac110002,a2bcfe04-8afb-4a08-b047-8885f7daecdd,t42_20200716-205339_25
s42_1594913541331_20,243k-7eoB,13499179-c779-11ea-89f8-0242ac110002,624e1176-bba5-4b88-8801-6ec197664723,t42_20200716-205339_20
s42_1594913540080_24,Kz86-qA6U,35cfc342-c779-11ea-89f8-0242ac110002,97d03979-c43e-4364-92b0-cdfc25a9ff7a,t42_20200716-205339_24
s42_1594913543399_18,m2hr-HPkf,fc2f1b90-c778-11ea-acee-0242ac110002,fa61f8e2-ec49-4266-9e85-f3ec4ddbb3e3,t42_20200716-205339_18
s42_1594913542394_15,K242-vmPA,e2930415-c778-11ea-af23-0242ac110002,b8a213fd-6626-43a6-88fd-26bdd4c5a06b,t42_20200716-205339_15
s42_1594913542460_32,c8Mv-8Rgs,7a4f9f7a-c779-11ea-af23-0242ac110002,a72a5666-eb14-4a48-a4b7-62e0c8b13c84,t42_20200716-205339_32
s42_1594913544295_28,G6Kb-MvCk,56d26348-c779-11ea-af23-0242ac110002,a9d8dc15-e4e4-4f4f-8e48-55d697af0bf5,t42_20200716-205339_28
s42_1594913543857_16,vp6Q-DP7R,e9e519c4-c778-11ea-acee-0242ac110002,b8ea323c-1fd0-4801-abc5-a2cd6e724f31,t42_20200716-205339_16
s42_1594913545588_19,VPYf-CEv9,03d0d7cf-c779-11ea-89f8-0242ac110002,e57d17e7-5d04-47b1-8cc5-783a84414b27,t42_20200716-205339_19
s42_1594913544625_30,s3oq-CnMV,6bc90e8d-c779-11ea-96b3-0242ac110002,7387391c-5c15-4d53-b15c-65af93457d26,t42_20200716-205339_30
s42_1594913549513_26,mjM3-vRBw,4a86cd7e-c779-11ea-89f8-0242ac110002,fd2f538f-2dac-43a8-9dad-18a457ace85a,t42_20200716-205339_26
s42_1594913544617_27,76uN-bFpr,50f25414-c779-11ea-96b3-0242ac110002,a3738873-039e-47d9-a9f2-b699183317a4,t42_20200716-205339_27
s42_1594913548875_31,8FMe-wNLn,779ed6e8-c779-11ea-96b3-0242ac110002,e9d41b78-4d7b-4094-b1bb-d4ea4c4b73af,t42_20200716-205339_31
s42_1594913550835_23,a87A-9xF2,2e60622b-c779-11ea-89f8-0242ac110002,4112c370-8c94-41f0-b484-b0ec6ecb26d0,t42_20200716-205339_23
s42_1594913551653_21,cJK3-rzoQ,1e02a03e-c779-11ea-89f8-0242ac110002,96b0e020-4a90-424d-bb0d-555874a598db,t42_20200716-205339_21
s42_1594913548268_17,yF4c-W7Rp,f755a782-c778-11ea-acee-0242ac110002,8a737436-09cd-4bcb-a36b-dd9871e30308,t42_20200716-205339_17
s42_1594913550005_29,UjR2-WRx4,61804de7-c779-11ea-89f8-0242ac110002,c50ee97a-e7e8-4e21-8740-f5f4339cd00a,t42_20200716-205339_29
s42_1594913554139_20,243k-7eoB,13499179-c779-11ea-89f8-0242ac110002,54ce7c8d-aaf8-48cc-b6a2-eef021db259a,t42_20200716-205339_20
s42_1594913549224_22,WZVM-UJBE,1f348fec-c779-11ea-af23-0242ac110002,776aa766-35e4-498a-b55b-de454dc9a714,t42_20200716-205339_22
s42_1594913554135_25,Z6YK-V9z2,395c6ce2-c779-11ea-af23-0242ac110002,fc79834f-8a20-4943-90d4-2e3f2faf1775,t42_20200716-205339_25
s42_1594913553259_14,XB98-h2xw,db507f5a-c778-11ea-96b3-0242ac110002,c3e48ad1-cf75-4a5c-b595-7413aab18836,t42_20200716-205339_14
s42_1594913554730_18,m2hr-HPkf,fc2f1b90-c778-11ea-acee-0242ac110002,08f5d288-687d-4d55-860d-fe66f4682c9b,t42_20200716-205339_18
s42_1594913554419_24,Kz86-qA6U,35cfc342-c779-11ea-89f8-0242ac110002,50990e39-dffc-40f7-81cb-9be62ea89c42,t42_20200716-205339_24
