std_extuserid,classcode,classid,invitationid,tch
s41_1594111410229_98,y7wN-R42G,8366b97c-c02d-11ea-94cc-0242ac110002,5919d701-7d03-4bc2-9dfb-b1cb8242a4e8,t241_20200707-135401_98
s41_1594111410173_94,QRTB-393f,6b57aa17-c02d-11ea-840b-0242ac110002,576e6b3d-0f36-414d-93b7-f0e4ad879142,t241_20200707-135401_94
s41_1594111414954_85,4Yp7-W68W,3464967e-c02d-11ea-94cc-0242ac110002,5141d98d-5541-4cb2-8b24-f01f48f63377,t241_20200707-135401_85
s41_1594111414184_90,jo34-DR9X,5295ed55-c02d-11ea-840b-0242ac110002,a80ceea9-e683-47c3-ad7c-a18546c95292,t241_20200707-135401_90
s41_1594111413226_95,f4R3-9R8U,704431ca-c02d-11ea-94cc-0242ac110002,70f95dae-7071-4bba-92ba-b1b8973b75dd,t241_20200707-135401_95
s41_1594111413976_93,bWJh-YTAg,6626c788-c02d-11ea-94cc-0242ac110002,26cb327e-5e38-477d-8188-3c572e47d9f1,t241_20200707-135401_93
s41_1594111415201_96,T4BU-BDkC,7789c3d9-c02d-11ea-840b-0242ac110002,abec429e-35f4-428d-af5d-d78fc1ce08e3,t241_20200707-135401_96
s41_1594111415006_86,3B2G-dgh8,3a899d97-c02d-11ea-94cc-0242ac110002,12a2e5ee-b939-4cac-b22f-900ce7f08c68,t241_20200707-135401_86
s41_1594111415895_87,uai4-34WF,40c22cc1-c02d-11ea-94cc-0242ac110002,c39ad2f0-bafd-4a63-843a-44b6a2073d58,t241_20200707-135401_87
s41_1594111416892_97,zbjs-Qpth,7e115e11-c02d-11ea-840b-0242ac110002,f3b77ad9-1042-4e7c-b13b-1e0df4713ac5,t241_20200707-135401_97
s41_1594111417053_88,WfXg-hArf,47a49165-c02d-11ea-94cc-0242ac110002,219c8d92-feb5-4254-9e5b-4781bd54fd86,t241_20200707-135401_88
s41_1594111419770_91,QpzG-syhn,59857132-c02d-11ea-840b-0242ac110002,c4351c89-7ada-43be-9429-90ddaedaad1d,t241_20200707-135401_91
s41_1594111419789_100,uDYe-7tUZ,8f41d8fd-c02d-11ea-840b-0242ac110002,c4ac09cf-0ff7-48ff-9806-17eac1fcdc64,t241_20200707-135401_100
s41_1594111422428_92,hdx2-B9pK,5eda089d-c02d-11ea-840b-0242ac110002,85626169-cacc-4462-8f1b-1336e6acd0f1,t241_20200707-135401_92
s41_1594111425855_98,y7wN-R42G,8366b97c-c02d-11ea-94cc-0242ac110002,2ccf102c-06a6-4f81-96d4-5c7a93c2e739,t241_20200707-135401_98
s41_1594111423491_99,HJUy-FpNJ,88f6fa7a-c02d-11ea-94cc-0242ac110002,fa150886-77fa-4eec-bd78-1d751ab921d4,t241_20200707-135401_99
s41_1594111427085_94,QRTB-393f,6b57aa17-c02d-11ea-840b-0242ac110002,65f68538-687c-4c42-b3a6-4c59d9e14405,t241_20200707-135401_94
s41_1594111429795_95,f4R3-9R8U,704431ca-c02d-11ea-94cc-0242ac110002,dbe579c6-785a-441d-8ca2-c5528020fc66,t241_20200707-135401_95
s41_1594111430143_93,bWJh-YTAg,6626c788-c02d-11ea-94cc-0242ac110002,e02f88e8-5af4-4fa0-b540-c740085bfcab,t241_20200707-135401_93
s41_1594111428685_90,jo34-DR9X,5295ed55-c02d-11ea-840b-0242ac110002,4386141c-d36d-43e2-bde9-beb853c541b3,t241_20200707-135401_90
s41_1594111430229_96,T4BU-BDkC,7789c3d9-c02d-11ea-840b-0242ac110002,9bb317f7-f9ab-48c0-86fb-b8c51c903264,t241_20200707-135401_96
s41_1594111430865_86,3B2G-dgh8,3a899d97-c02d-11ea-94cc-0242ac110002,5d214cc0-3766-45a5-abc1-cd02d1556e24,t241_20200707-135401_86
s41_1594111431339_87,uai4-34WF,40c22cc1-c02d-11ea-94cc-0242ac110002,1c2fab6f-1396-49f0-aef7-2325db8e773f,t241_20200707-135401_87
s41_1594111432888_88,WfXg-hArf,47a49165-c02d-11ea-94cc-0242ac110002,651008eb-672f-43a8-b2b0-1f230388da7d,t241_20200707-135401_88
s41_1594111435151_100,uDYe-7tUZ,8f41d8fd-c02d-11ea-840b-0242ac110002,b1120b4e-3ba5-4ac4-b7b4-a6664f3259fe,t241_20200707-135401_100
s41_1594111433540_91,QpzG-syhn,59857132-c02d-11ea-840b-0242ac110002,e18c270a-dd24-4dc3-8dab-14c987959942,t241_20200707-135401_91
s41_1594111431779_97,zbjs-Qpth,7e115e11-c02d-11ea-840b-0242ac110002,513b5a3d-ff10-4b72-a5c6-f519d95d7496,t241_20200707-135401_97
s41_1594111438890_98,y7wN-R42G,8366b97c-c02d-11ea-94cc-0242ac110002,06358d63-1350-41b6-9046-706cefd7b0ca,t241_20200707-135401_98
s41_1594111437367_92,hdx2-B9pK,5eda089d-c02d-11ea-840b-0242ac110002,57b70ead-dcbd-4891-bb1a-4f6e5ee9dea2,t241_20200707-135401_92
s41_1594111439494_99,HJUy-FpNJ,88f6fa7a-c02d-11ea-94cc-0242ac110002,82410f2f-9dfe-449e-93b7-8dd15cdf85d7,t241_20200707-135401_99
s41_1594111442902_95,f4R3-9R8U,704431ca-c02d-11ea-94cc-0242ac110002,80f8a184-645f-47cd-96c8-fc0e9f77ee59,t241_20200707-135401_95
s41_1594111441738_94,QRTB-393f,6b57aa17-c02d-11ea-840b-0242ac110002,84b0cb24-ca12-4711-9749-21945a80bc61,t241_20200707-135401_94
s41_1594111445042_93,bWJh-YTAg,6626c788-c02d-11ea-94cc-0242ac110002,1d78f5a5-b2c8-4751-9413-958422903305,t241_20200707-135401_93
s41_1594111445349_90,jo34-DR9X,5295ed55-c02d-11ea-840b-0242ac110002,b406bc4e-83b4-456f-9f3a-9311d73634ab,t241_20200707-135401_90
s41_1594111448299_91,QpzG-syhn,59857132-c02d-11ea-840b-0242ac110002,7b434875-8dc3-437a-aa23-1e4284e765e0,t241_20200707-135401_91
s41_1594111445599_96,T4BU-BDkC,7789c3d9-c02d-11ea-840b-0242ac110002,42165fdb-6da4-420d-91d3-01a2e141cf6a,t241_20200707-135401_96
s41_1594111448099_100,uDYe-7tUZ,8f41d8fd-c02d-11ea-840b-0242ac110002,58741c9d-b819-4994-9e63-a27bb4262ad3,t241_20200707-135401_100
s41_1594111447613_88,WfXg-hArf,47a49165-c02d-11ea-94cc-0242ac110002,7073c337-6238-4712-8039-589285dc2c26,t241_20200707-135401_88
s41_1594111452825_92,hdx2-B9pK,5eda089d-c02d-11ea-840b-0242ac110002,07167f1d-86c0-4d37-aadd-d74b798dbea7,t241_20200707-135401_92
s41_1594111448630_97,zbjs-Qpth,7e115e11-c02d-11ea-840b-0242ac110002,beeae16b-1f27-42e7-bb3d-672e811a2af2,t241_20200707-135401_97
s41_1594111452101_98,y7wN-R42G,8366b97c-c02d-11ea-94cc-0242ac110002,5e16549a-523c-4425-bac2-2cfd92a864c3,t241_20200707-135401_98
s41_1594111455263_99,HJUy-FpNJ,88f6fa7a-c02d-11ea-94cc-0242ac110002,f3c85e27-3317-42e8-8a60-7d63738ce36d,t241_20200707-135401_99
s41_1594111518694_96,T4BU-BDkC,7789c3d9-c02d-11ea-840b-0242ac110002,57685b6a-5a54-421a-ad64-1c9066ede9ec,t241_20200707-135401_96
s41_1594111516622_94,QRTB-393f,6b57aa17-c02d-11ea-840b-0242ac110002,9b0003f1-7c4b-4eea-881c-b3a6826d31c6,t241_20200707-135401_94
s41_1594111519189_100,uDYe-7tUZ,8f41d8fd-c02d-11ea-840b-0242ac110002,f19cebbc-0e7c-40f3-81c1-5d0be0fd61ff,t241_20200707-135401_100
s41_1594111520195_97,zbjs-Qpth,7e115e11-c02d-11ea-840b-0242ac110002,35485038-ff67-46b8-bde3-34c21cda78be,t241_20200707-135401_97
s41_1594111520113_98,y7wN-R42G,8366b97c-c02d-11ea-94cc-0242ac110002,8eb2482e-3792-4ebd-92b5-300717c2fba9,t241_20200707-135401_98
s41_1594111523859_93,bWJh-YTAg,6626c788-c02d-11ea-94cc-0242ac110002,5f98db10-0a65-4a29-b3ce-3886f1f22f91,t241_20200707-135401_93
s41_1594111527550_95,f4R3-9R8U,704431ca-c02d-11ea-94cc-0242ac110002,6afe3e8a-1dff-48eb-9673-6c6decfa0940,t241_20200707-135401_95
s41_1594111528933_99,HJUy-FpNJ,88f6fa7a-c02d-11ea-94cc-0242ac110002,1df21d9b-318b-4969-8c08-52bcce06e202,t241_20200707-135401_99
s41_1594111531518_96,T4BU-BDkC,7789c3d9-c02d-11ea-840b-0242ac110002,7fd513ab-710e-48be-9dda-ca02fa2d3ef5,t241_20200707-135401_96
s41_1594111533390_100,uDYe-7tUZ,8f41d8fd-c02d-11ea-840b-0242ac110002,f73338ef-c714-49ca-bdae-eb5d940b5644,t241_20200707-135401_100
