tchtextuserjid,classcode,classid,invitationid,tch
t145_1607951018411_2,UbNz-WvEk,84d122c6-3e0c-11eb-a47c-0242ac110003,8e98e934-06ed-48b7-80e2-f7e8a50bd9da,t245_20201214-183049_2
t145_1607951028032_3,8bBc-8P7Y,9e6c4faf-3e0c-11eb-a47c-0242ac110003,60daa339-7cca-4be4-80f6-c488fa905cea,t245_20201214-183049_3
t145_1607951027814_1,QscQ-x8r7,65c4fc4b-3e0c-11eb-a47c-0242ac110003,2f11c4ab-393d-4cf7-93cd-014c85c0c138,t245_20201214-183049_1
t145_1607951032629_2,UbNz-WvEk,84d122c6-3e0c-11eb-a47c-0242ac110003,06a24047-ae15-48e4-af20-4b69fdbb4feb,t245_20201214-183049_2
t145_1607951038651_3,8bBc-8P7Y,9e6c4faf-3e0c-11eb-a47c-0242ac110003,6b92e9ba-1e0c-413b-a5b6-c59d6bdb1080,t245_20201214-183049_3
t145_1607951040733_1,QscQ-x8r7,65c4fc4b-3e0c-11eb-a47c-0242ac110003,3e595421-9b32-41b4-a750-9d1a10611356,t245_20201214-183049_1
t145_1607951043775_2,UbNz-WvEk,84d122c6-3e0c-11eb-a47c-0242ac110003,8621ee2b-3837-4c83-9559-3b03fb605ddf,t245_20201214-183049_2
t145_1607951052031_3,8bBc-8P7Y,9e6c4faf-3e0c-11eb-a47c-0242ac110003,802c515c-ecba-4a5f-8fa2-0da3802a05f6,t245_20201214-183049_3
t145_1607951053900_1,QscQ-x8r7,65c4fc4b-3e0c-11eb-a47c-0242ac110003,7f0cfac0-cefa-4477-b26a-5cf67380eed8,t245_20201214-183049_1
t145_1607951059967_2,UbNz-WvEk,84d122c6-3e0c-11eb-a47c-0242ac110003,71a807d4-6ef7-4575-be3d-284554f7c5cc,t245_20201214-183049_2
t145_1607951066636_3,8bBc-8P7Y,9e6c4faf-3e0c-11eb-a47c-0242ac110003,c99d44d8-ebaa-40c4-bfea-f153eaf430b3,t245_20201214-183049_3
t145_1607951067872_1,QscQ-x8r7,65c4fc4b-3e0c-11eb-a47c-0242ac110003,eab06299-e3d6-4c67-af25-580f64a15842,t245_20201214-183049_1
t145_1607951075219_2,UbNz-WvEk,84d122c6-3e0c-11eb-a47c-0242ac110003,49c736d7-8a65-4154-8325-2f9217d58222,t245_20201214-183049_2
t145_1607951082451_3,8bBc-8P7Y,9e6c4faf-3e0c-11eb-a47c-0242ac110003,415b7747-71fe-447d-9f1f-6badccbc8ade,t245_20201214-183049_3
t145_1607951083586_1,QscQ-x8r7,65c4fc4b-3e0c-11eb-a47c-0242ac110003,a776c243-b5ed-472c-98e7-e294cd099b2c,t245_20201214-183049_1
t145_1607951090451_4,ro4r-9CHt,c12bba28-3e0c-11eb-a47c-0242ac110003,cd71677e-8048-4312-94a1-e07b6d3a4630,t245_20201214-183049_4
t145_1607951093718_3,8bBc-8P7Y,9e6c4faf-3e0c-11eb-a47c-0242ac110003,72e85a23-3a4e-47d7-a05a-abe1a84d3f87,t245_20201214-183049_3
t145_1607951092197_2,UbNz-WvEk,84d122c6-3e0c-11eb-a47c-0242ac110003,9805931f-737c-4e6b-9743-14e776efa09a,t245_20201214-183049_2
t145_1607951095831_1,QscQ-x8r7,65c4fc4b-3e0c-11eb-a47c-0242ac110003,1eb5f36b-1f9c-441b-9f1e-7beb71ddac1b,t245_20201214-183049_1
t145_1607951102718_4,ro4r-9CHt,c12bba28-3e0c-11eb-a47c-0242ac110003,9a0a9060-7279-4791-a9dc-ee6fae7f5470,t245_20201214-183049_4
t145_1607951108588_2,UbNz-WvEk,84d122c6-3e0c-11eb-a47c-0242ac110003,16cc8b76-a0d1-40fb-8c88-1aa3168fd560,t245_20201214-183049_2
t145_1607951107085_3,8bBc-8P7Y,9e6c4faf-3e0c-11eb-a47c-0242ac110003,e4cea89f-5c6a-4253-bcce-ddaaa0a298a3,t245_20201214-183049_3
