tchextuserjid,classcode,classid,invitationid,tch
t144_1607934507553_1,yd8h-a2Dj,214081df-3de6-11eb-90a7-0242ac110003,896fdd55-9c41-4aaa-b3e6-908422e61320,t244_20201214-135750_1
t144_1607934527798_1,yd8h-a2Dj,214081df-3de6-11eb-90a7-0242ac110003,a520bca8-1493-4367-8554-3721f733d840,t244_20201214-135750_1
t144_1607934550629_1,yd8h-a2Dj,214081df-3de6-11eb-90a7-0242ac110003,28c70ae0-e13b-45df-905a-9b3c73e82a73,t244_20201214-135750_1
t144_1607934556779_2,8ke7-HV6h,3fdca89e-3de6-11eb-a47c-0242ac110003,9fcd5a30-d703-4d68-b008-c833b59eb476,t244_20201214-135750_2
t144_1607934578410_2,8ke7-HV6h,3fdca89e-3de6-11eb-a47c-0242ac110003,54abd0c3-f60d-4528-9404-8fe766a05c39,t244_20201214-135750_2
t144_1607934578334_1,yd8h-a2Dj,214081df-3de6-11eb-90a7-0242ac110003,55053e32-9707-479f-8cde-9eb3dd677eb7,t244_20201214-135750_1
t144_1607934601379_2,8ke7-HV6h,3fdca89e-3de6-11eb-a47c-0242ac110003,9ddc0052-3ec0-42c5-90e2-8c3e4518272a,t244_20201214-135750_2
t144_1607934606067_3,324M-o6W7,60786fb6-3de6-11eb-90a7-0242ac110003,e158ff44-3f04-457e-aa3c-80c01026b73c,t244_20201214-135750_3
t144_1607934604144_1,yd8h-a2Dj,214081df-3de6-11eb-90a7-0242ac110003,7c7acb47-f839-49ac-8b52-5eec70c7d514,t244_20201214-135750_1
t144_1607934621659_2,8ke7-HV6h,3fdca89e-3de6-11eb-a47c-0242ac110003,5a67ff76-f444-40ee-8913-6f36cbdae6d5,t244_20201214-135750_2
t144_1607934631734_1,yd8h-a2Dj,214081df-3de6-11eb-90a7-0242ac110003,4c961c0d-319c-4feb-8501-e8114f3c50d8,t244_20201214-135750_1
t144_1607934628401_3,324M-o6W7,60786fb6-3de6-11eb-90a7-0242ac110003,64ff02ae-cb32-4f09-bd54-c4f5efec500c,t244_20201214-135750_3
t144_1607934642961_2,8ke7-HV6h,3fdca89e-3de6-11eb-a47c-0242ac110003,acc9ecf8-c792-42ab-82a2-c50e96379b6c,t244_20201214-135750_2
t144_1607934653225_1,yd8h-a2Dj,214081df-3de6-11eb-90a7-0242ac110003,f554b011-c71f-4667-94a4-840304296727,t244_20201214-135750_1
t144_1607934653715_3,324M-o6W7,60786fb6-3de6-11eb-90a7-0242ac110003,973b4362-d020-4d6c-8459-8ae51146e3ef,t244_20201214-135750_3
t144_1607934653644_4,BonM-Zs4Z,7bf15d77-3de6-11eb-90a7-0242ac110003,9addaf20-5936-4a0e-9f3d-a5434d9a963a,t244_20201214-135750_4
t144_1607934668610_2,8ke7-HV6h,3fdca89e-3de6-11eb-a47c-0242ac110003,fcb9ab55-047c-420e-ab75-3e1201ef739c,t244_20201214-135750_2
t144_1607934676963_1,yd8h-a2Dj,214081df-3de6-11eb-90a7-0242ac110003,5d1f937d-c710-4ece-b128-81a1c14a0cb8,t244_20201214-135750_1
t144_1607934677324_3,324M-o6W7,60786fb6-3de6-11eb-90a7-0242ac110003,dbddbfc5-957b-4f0f-a8a9-6a7943d3f65a,t244_20201214-135750_3
t144_1607934677965_4,BonM-Zs4Z,7bf15d77-3de6-11eb-90a7-0242ac110003,ec78251a-c12f-4342-8636-1a21a39dfd43,t244_20201214-135750_4
t144_1607934688789_2,8ke7-HV6h,3fdca89e-3de6-11eb-a47c-0242ac110003,4ffa8dbc-7aae-4e81-9589-c10e5a3c104f,t244_20201214-135750_2
t144_1607934701078_1,yd8h-a2Dj,214081df-3de6-11eb-90a7-0242ac110003,f222a0a2-444b-4fb0-810a-a70c2af27262,t244_20201214-135750_1
t144_1607934705571_4,BonM-Zs4Z,7bf15d77-3de6-11eb-90a7-0242ac110003,343b1cf6-3630-48a6-9ba9-de31fae490c3,t244_20201214-135750_4
t144_1607934701350_3,324M-o6W7,60786fb6-3de6-11eb-90a7-0242ac110003,680f5033-3b58-4d90-b99d-f2dbdb28899b,t244_20201214-135750_3
t144_1607934708038_5,23xt-mYeo,9a9c786b-3de6-11eb-a47c-0242ac110003,86da4b56-1596-4a48-a910-45a8f95762eb,t244_20201214-135750_5
t144_1607934709970_2,8ke7-HV6h,3fdca89e-3de6-11eb-a47c-0242ac110003,8dac295e-6980-4b1c-b354-e92d8b460975,t244_20201214-135750_2
t144_1607934720154_1,yd8h-a2Dj,214081df-3de6-11eb-90a7-0242ac110003,4128f555-6ed6-48da-9017-c1edc6e78742,t244_20201214-135750_1
t144_1607934724829_4,BonM-Zs4Z,7bf15d77-3de6-11eb-90a7-0242ac110003,49498907-38f7-4063-b0b2-3936e341122f,t244_20201214-135750_4
t144_1607934725247_3,324M-o6W7,60786fb6-3de6-11eb-90a7-0242ac110003,1ec651d9-cd6f-4057-bd90-aac8fc01d73f,t244_20201214-135750_3
t144_1607934733916_2,8ke7-HV6h,3fdca89e-3de6-11eb-a47c-0242ac110003,8728a761-3d4c-4c10-973c-2fcc8bfebc4e,t244_20201214-135750_2
t144_1607934730006_5,23xt-mYeo,9a9c786b-3de6-11eb-a47c-0242ac110003,0641c99f-5bbe-4a3e-848c-b784571108cf,t244_20201214-135750_5
t144_1607934739131_1,yd8h-a2Dj,214081df-3de6-11eb-90a7-0242ac110003,4bb10cfe-924e-4766-87c3-9611dd1427fe,t244_20201214-135750_1
t144_1607934746610_4,BonM-Zs4Z,7bf15d77-3de6-11eb-90a7-0242ac110003,6a4f8246-4d64-40af-a0a4-e0c8b2625f49,t244_20201214-135750_4
t144_1607934751794_3,324M-o6W7,60786fb6-3de6-11eb-90a7-0242ac110003,ae9e188e-b4d2-4f52-9d0f-2c31814d4b68,t244_20201214-135750_3
t144_1607934756370_5,23xt-mYeo,9a9c786b-3de6-11eb-a47c-0242ac110003,811d2ba8-6def-443c-ad4b-019a007692d4,t244_20201214-135750_5
t144_1607934756045_2,8ke7-HV6h,3fdca89e-3de6-11eb-a47c-0242ac110003,b5198dab-cf85-4ae8-a1fa-ff29063f5543,t244_20201214-135750_2
