teacher,classcode,c,d,e,f,g,h
2c692d27b4f441f4b7b8b400d49f1989,,,,,,,
tch_20200519-152222_1,class_20200519-152222_1,jCDX-938s,,,,,
tch_20200519-152222_2,class_20200519-152222_2,o6n2-Kkdq,,,,,
tch_20200519-152222_3,class_20200519-152222_3,AnmB-23xE,,,,,
tch_20200519-152222_4,class_20200519-152222_4,jGK2-ueT3,,,,,
tch_20200519-152222_5,class_20200519-152222_5,rBet-d98C,,,,,
tch_20200519-152222_6,class_20200519-152222_6,6U6f-veav,,,,,
tch_20200519-152222_7,class_20200519-152222_7,cNjx-q9tn,,,,,
tch_20200519-152222_8,class_20200519-152222_8,Kxso-sz3x,,,,,
tch_20200519-152222_9,class_20200519-152222_9,8HT7-ta2F,,,,,
tch_20200519-152222_10,class_20200519-152222_10,YJZ3-nq3U,,,,,
tch_20200519-152222_11,class_20200519-152222_11,tC9W-6mDt,,,,,
tch_20200519-152222_12,class_20200519-152222_12,GF2W-7VQz,,,,,
tch_20200519-152222_13,class_20200519-152222_13,ckK2-BXom,,,,,
tch_20200519-152222_14,class_20200519-152222_14,3N6E-R369,,,,,
tch_20200519-152222_15,class_20200519-152222_15,Q34n-496J,,,,,
tch_20200519-152222_16,class_20200519-152222_16,x7qZ-7ox7,,,,,
tch_20200519-152222_17,class_20200519-152222_17,8duL-bu6n,,,,,
tch_20200519-152222_18,class_20200519-152222_18,G3V2-s3eX,,,,,
tch_20200519-152222_20,class_20200519-152222_20,6tuV-tE73,,,,,
tch_20200519-152222_19,class_20200519-152222_19,RyHk-3oso,,,,,
tch_20200519-152222_21,class_20200519-152222_21,Mgw6-Vshy,,,,,
tch_20200519-152222_22,class_20200519-152222_22,zrC9-V4o8,,,,,
tch_20200519-152222_23,class_20200519-152222_23,Ynz3-PpwA,,,,,
tch_20200519-152222_24,class_20200519-152222_24,tDh7-69Jq,,,,,
tch_20200519-152222_25,class_20200519-152222_25,wFE7-zPHU,,,,,
tch_20200519-152222_26,class_20200519-152222_26,sN2x-BKFy,,,,,
tch_20200519-152222_27,class_20200519-152222_27,D2wh-RLA9,,,,,
tch_20200519-152222_28,class_20200519-152222_28,gPpU-HCdL,,,,,
tch_20200519-152222_29,class_20200519-152222_29,u27o-7Ux7,,,,,
tch_20200519-152222_30,class_20200519-152222_30,jxF2-WJPt,,,,,
tch_20200519-152222_31,class_20200519-152222_31,46N9-TBgL,,,,,
tch_20200519-152222_32,class_20200519-152222_32,F3xW-CL4X,,,,,
tch_20200519-152222_33,class_20200519-152222_33,fv4T-Zk6x,,,,,
tch_20200519-152222_34,class_20200519-152222_34,sovF-2vsd,,,,,
tch_20200519-152222_35,class_20200519-152222_35,ep83-MAVQ,,,,,
