tch,assignmenttitle,ct,cc
tch_20200511-174541_26,asgmt_200716_tch_20200511-174541_26,class_20200511-174541_26,4f3b-JHPc
tch_20200511-174541_27,asgmt_200716_tch_20200511-174541_27,class_20200511-174541_27,hJQR-983U
tch_20200511-174541_29,asgmt_200716_tch_20200511-174541_29,class_20200511-174541_29,cdXZ-87P6
tch_20200511-174541_31,asgmt_200716_tch_20200511-174541_31,class_20200511-174541_31,PVWc-2VNY
tch_20200511-174541_30,asgmt_200716_tch_20200511-174541_30,class_20200511-174541_30,EgVU-asp8
tch_20200511-174541_32,asgmt_200716_tch_20200511-174541_32,class_20200511-174541_32,w74w-jbmu
tch_20200511-174541_33,asgmt_200716_tch_20200511-174541_33,class_20200511-174541_33,Fx62-ARP7
tch_20200511-174541_34,asgmt_200716_tch_20200511-174541_34,class_20200511-174541_34,cfh3-49r6
tch_20200511-174541_35,asgmt_200716_tch_20200511-174541_35,class_20200511-174541_35,38wR-sTVL
tch_20200511-174541_36,asgmt_200716_tch_20200511-174541_36,class_20200511-174541_36,F34R-Dpve
tch_20200511-174541_37,asgmt_200716_tch_20200511-174541_37,class_20200511-174541_37,BNVa-s3sN
tch_20200511-174541_38,asgmt_200716_tch_20200511-174541_38,class_20200511-174541_38,y7oB-MFj3
tch_20200511-174541_39,asgmt_200716_tch_20200511-174541_39,class_20200511-174541_39,ijU2-8J9u
tch_20200511-174541_40,asgmt_200716_tch_20200511-174541_40,class_20200511-174541_40,vnJ8-7vpA
tch_20200511-174541_41,asgmt_200716_tch_20200511-174541_41,class_20200511-174541_41,4w6L-7hoy
tch_20200511-174541_43,asgmt_200716_tch_20200511-174541_43,class_20200511-174541_43,J8X3-aiFn
tch_20200511-174541_42,asgmt_200716_tch_20200511-174541_42,class_20200511-174541_42,f74K-67tM
tch_20200511-174541_45,asgmt_200716_tch_20200511-174541_45,class_20200511-174541_45,b2e7-j39f
tch_20200511-174541_44,asgmt_200716_tch_20200511-174541_44,class_20200511-174541_44,j6V3-vYoz
tch_20200511-174541_46,asgmt_200716_tch_20200511-174541_46,class_20200511-174541_46,83D9-pC2P
tch_20200511-174541_47,asgmt_200716_tch_20200511-174541_47,class_20200511-174541_47,JB24-8Ajv
tch_20200511-174541_48,asgmt_200716_tch_20200511-174541_48,class_20200511-174541_48,6ytL-QRY8
tch_20200511-174541_49,asgmt_200716_tch_20200511-174541_49,class_20200511-174541_49,QHD9-KzTE
tch_20200511-174541_50,asgmt_200716_tch_20200511-174541_50,class_20200511-174541_50,8fn7-TFHA
tch_20200511-174541_51,asgmt_200716_tch_20200511-174541_51,class_20200511-174541_51,krs3-gcHZ
tch_20200511-174541_52,asgmt_200716_tch_20200511-174541_52,class_20200511-174541_52,JPaL-TRH8
tch_20200511-174541_53,asgmt_200716_tch_20200511-174541_53,class_20200511-174541_53,m6UF-aBaG
tch_20200511-174541_55,asgmt_200716_tch_20200511-174541_55,class_20200511-174541_55,hEW3-iky2
tch_20200511-174541_54,asgmt_200716_tch_20200511-174541_54,class_20200511-174541_54,FrG3-j28F
tch_20200511-174541_56,asgmt_200716_tch_20200511-174541_56,class_20200511-174541_56,AV8M-yW29
tch_20200511-174541_57,asgmt_200716_tch_20200511-174541_57,class_20200511-174541_57,2dux-8LD4
tch_20200511-174541_58,asgmt_200716_tch_20200511-174541_58,class_20200511-174541_58,8iGt-bt6e
tch_20200511-174541_59,asgmt_200716_tch_20200511-174541_59,class_20200511-174541_59,2fcZ-TxA3
tch_20200511-174541_60,asgmt_200716_tch_20200511-174541_60,class_20200511-174541_60,3pNr-q9ty
tch_20200511-174541_61,asgmt_200716_tch_20200511-174541_61,class_20200511-174541_61,62n7-AB4z
tch_20200511-174541_62,asgmt_200716_tch_20200511-174541_62,class_20200511-174541_62,DQ49-cenm
tch_20200511-174541_63,asgmt_200716_tch_20200511-174541_63,class_20200511-174541_63,8yvJ-w3Kt
tch_20200511-174541_65,asgmt_200716_tch_20200511-174541_65,class_20200511-174541_65,6paX-uisd
tch_20200511-174541_64,asgmt_200716_tch_20200511-174541_64,class_20200511-174541_64,49j7-E9ZN
tch_20200511-174541_66,asgmt_200716_tch_20200511-174541_66,class_20200511-174541_66,G969-d3s9
tch_20200511-174541_67,asgmt_200716_tch_20200511-174541_67,class_20200511-174541_67,VFds-JV97
tch_20200511-174541_68,asgmt_200716_tch_20200511-174541_68,class_20200511-174541_68,JaPC-ku4j
tch_20200511-174541_69,asgmt_200716_tch_20200511-174541_69,class_20200511-174541_69,C9r3-HoN9
tch_20200511-174541_70,asgmt_200716_tch_20200511-174541_70,class_20200511-174541_70,XTP2-Fys3
tch_20200511-174541_71,asgmt_200716_tch_20200511-174541_71,class_20200511-174541_71,WGs3-fb89
tch_20200511-174541_72,asgmt_200716_tch_20200511-174541_72,class_20200511-174541_72,8QPe-W8pt
tch_20200511-174541_73,asgmt_200716_tch_20200511-174541_73,class_20200511-174541_73,8Nvr-WDGt
tch_20200511-174541_74,asgmt_200716_tch_20200511-174541_74,class_20200511-174541_74,vE3p-UZqH
tch_20200511-174541_75,asgmt_200716_tch_20200511-174541_75,class_20200511-174541_75,vRrG-ZM6H
tch_20200511-174541_77,asgmt_200716_tch_20200511-174541_77,class_20200511-174541_77,Bx2p-7Uqs
tch_20200511-174541_76,asgmt_200716_tch_20200511-174541_76,class_20200511-174541_76,9CdJ-ot4H
tch_20200511-174541_78,asgmt_200716_tch_20200511-174541_78,class_20200511-174541_78,aTi6-4bPG
tch_20200511-174541_79,asgmt_200716_tch_20200511-174541_79,class_20200511-174541_79,RMa8-92r2
tch_20200511-174541_80,asgmt_200716_tch_20200511-174541_80,class_20200511-174541_80,U4yT-tGZd
tch_20200511-174541_81,asgmt_200716_tch_20200511-174541_81,class_20200511-174541_81,X7zJ-9QYr
tch_20200511-174541_82,asgmt_200716_tch_20200511-174541_82,class_20200511-174541_82,2wkZ-e6yt
tch_20200511-174541_83,asgmt_200716_tch_20200511-174541_83,class_20200511-174541_83,F3iU-t86f
tch_20200511-174541_84,asgmt_200716_tch_20200511-174541_84,class_20200511-174541_84,KLdi-XM9P
tch_20200511-174541_86,asgmt_200716_tch_20200511-174541_86,class_20200511-174541_86,Ka9Y-WRbo
tch_20200511-174541_85,asgmt_200716_tch_20200511-174541_85,class_20200511-174541_85,d2kn-87aQ
tch_20200511-174541_87,asgmt_200716_tch_20200511-174541_87,class_20200511-174541_87,N8jp-LmPG
tch_20200511-174541_88,asgmt_200716_tch_20200511-174541_88,class_20200511-174541_88,qCMr-8q2n
tch_20200511-174541_89,asgmt_200716_tch_20200511-174541_89,class_20200511-174541_89,wWen-9Dn3
tch_20200511-174541_90,asgmt_200716_tch_20200511-174541_90,class_20200511-174541_90,Vz4s-P792
tch_20200511-174541_91,asgmt_200716_tch_20200511-174541_91,class_20200511-174541_91,TMj3-4e8P
tch_20200511-174541_92,asgmt_200716_tch_20200511-174541_92,class_20200511-174541_92,Lts4-9Lb6
tch_20200511-174541_93,asgmt_200716_tch_20200511-174541_93,class_20200511-174541_93,798p-QyX3
tch_20200511-174541_94,asgmt_200716_tch_20200511-174541_94,class_20200511-174541_94,9Hw3-oMK7
tch_20200511-174541_95,asgmt_200716_tch_20200511-174541_95,class_20200511-174541_95,6nv6-Ar7e
tch_20200511-174541_96,asgmt_200716_tch_20200511-174541_96,class_20200511-174541_96,89XD-48FA
tch_20200511-174541_97,asgmt_200716_tch_20200511-174541_97,class_20200511-174541_97,us8u-mpWZ
tch_20200511-174541_98,asgmt_200716_tch_20200511-174541_98,class_20200511-174541_98,NfYL-2Agh
tch_20200511-174541_99,asgmt_200716_tch_20200511-174541_99,class_20200511-174541_99,47e4-uwx3
tch_20200511-174541_100,asgmt_200716_tch_20200511-174541_100,class_20200511-174541_100,U8j3-mvY2
tch_20200511-174541_101,asgmt_200716_tch_20200511-174541_101,class_20200511-174541_101,9hE2-7X4X
tch_20200511-174541_102,asgmt_200716_tch_20200511-174541_102,class_20200511-174541_102,aG3n-p2CY
tch_20200511-174541_104,asgmt_200716_tch_20200511-174541_104,class_20200511-174541_104,pFv9-t68p
tch_20200511-174541_103,asgmt_200716_tch_20200511-174541_103,class_20200511-174541_103,dFnV-Fvmc
tch_20200511-174541_106,asgmt_200716_tch_20200511-174541_106,class_20200511-174541_106,2Wt4-iEqY
tch_20200511-174541_105,asgmt_200716_tch_20200511-174541_105,class_20200511-174541_105,dakm-rAoa
tch_20200511-174541_107,asgmt_200716_tch_20200511-174541_107,class_20200511-174541_107,mC68-WjeL
tch_20200511-174541_109,asgmt_200716_tch_20200511-174541_109,class_20200511-174541_109,Px7V-uQ6r
tch_20200511-174541_108,asgmt_200716_tch_20200511-174541_108,class_20200511-174541_108,qpdc-86T9
tch_20200511-174541_110,asgmt_200716_tch_20200511-174541_110,class_20200511-174541_110,ivgK-PT7a
tch_20200511-174541_111,asgmt_200716_tch_20200511-174541_111,class_20200511-174541_111,RPZv-hwH9
tch_20200511-174541_114,asgmt_200716_tch_20200511-174541_114,class_20200511-174541_114,8vxW-L9Jd
tch_20200511-174541_112,asgmt_200716_tch_20200511-174541_112,class_20200511-174541_112,Co6X-4DHR
tch_20200511-174541_113,asgmt_200716_tch_20200511-174541_113,class_20200511-174541_113,f2E9-xPXB
tch_20200511-174541_115,asgmt_200716_tch_20200511-174541_115,class_20200511-174541_115,rv7t-9VfH
tch_20200511-174541_116,asgmt_200716_tch_20200511-174541_116,class_20200511-174541_116,jK69-uZ26
tch_20200511-174541_117,asgmt_200716_tch_20200511-174541_117,class_20200511-174541_117,zAuE-j8kM
tch_20200511-174541_118,asgmt_200716_tch_20200511-174541_118,class_20200511-174541_118,Wea2-Bk3k
tch_20200511-174541_120,asgmt_200716_tch_20200511-174541_120,class_20200511-174541_120,9eaw-DLFK
tch_20200511-174541_119,asgmt_200716_tch_20200511-174541_119,class_20200511-174541_119,9HPu-2spi
tch_20200511-174541_121,asgmt_200716_tch_20200511-174541_121,class_20200511-174541_121,Lji3-d6YU
tch_20200511-174541_122,asgmt_200716_tch_20200511-174541_122,class_20200511-174541_122,sFK7-nUPK
tch_20200511-174541_123,asgmt_200716_tch_20200511-174541_123,class_20200511-174541_123,xNB9-M3WB
tch_20200511-174541_124,asgmt_200716_tch_20200511-174541_124,class_20200511-174541_124,vt7Z-tM6Z
tch_20200511-174541_125,asgmt_200716_tch_20200511-174541_125,class_20200511-174541_125,b297-3mD4
tch_20200511-174541_126,asgmt_200716_tch_20200511-174541_126,class_20200511-174541_126,79jo-TyUd
tch_20200511-174541_127,asgmt_200716_tch_20200511-174541_127,class_20200511-174541_127,4tA6-9drK
tch_20200511-174541_128,asgmt_200716_tch_20200511-174541_128,class_20200511-174541_128,M3BA-gY23
tch_20200511-174541_129,asgmt_200716_tch_20200511-174541_129,class_20200511-174541_129,EH2J-m36D
tch_20200511-174541_130,asgmt_200716_tch_20200511-174541_130,class_20200511-174541_130,Ad83-EFok
tch_20200511-174541_131,asgmt_200716_tch_20200511-174541_131,class_20200511-174541_131,3T9k-2pje
tch_20200511-174541_132,asgmt_200716_tch_20200511-174541_132,class_20200511-174541_132,BtHt-48T2
tch_20200511-174541_133,asgmt_200716_tch_20200511-174541_133,class_20200511-174541_133,mGMP-pR98
tch_20200511-174541_135,asgmt_200716_tch_20200511-174541_135,class_20200511-174541_135,dt3H-6VN6
tch_20200511-174541_134,asgmt_200716_tch_20200511-174541_134,class_20200511-174541_134,HK9a-47Zq
tch_20200511-174541_136,asgmt_200716_tch_20200511-174541_136,class_20200511-174541_136,3PLd-M3PK
tch_20200511-174541_137,asgmt_200716_tch_20200511-174541_137,class_20200511-174541_137,k9vr-H8Hy
tch_20200511-174541_138,asgmt_200716_tch_20200511-174541_138,class_20200511-174541_138,R9P9-sNY7
tch_20200511-174541_139,asgmt_200716_tch_20200511-174541_139,class_20200511-174541_139,qyUA-zrYP
tch_20200511-174541_140,asgmt_200716_tch_20200511-174541_140,class_20200511-174541_140,y8Yi-qkMs
tch_20200511-174541_141,asgmt_200716_tch_20200511-174541_141,class_20200511-174541_141,6MqJ-LrwD
tch_20200511-174541_143,asgmt_200716_tch_20200511-174541_143,class_20200511-174541_143,ZRu9-vK3p
tch_20200511-174541_142,asgmt_200716_tch_20200511-174541_142,class_20200511-174541_142,CqbU-9s2p
tch_20200511-174541_144,asgmt_200716_tch_20200511-174541_144,class_20200511-174541_144,F4az-mw3g
tch_20200511-174541_145,asgmt_200716_tch_20200511-174541_145,class_20200511-174541_145,Lyo6-M9Cy
tch_20200511-174541_146,asgmt_200716_tch_20200511-174541_146,class_20200511-174541_146,zHmU-Kq2Q
tch_20200511-174541_147,asgmt_200716_tch_20200511-174541_147,class_20200511-174541_147,rPeB-s7dN
tch_20200511-174541_149,asgmt_200716_tch_20200511-174541_149,class_20200511-174541_149,8iYx-6fwF
tch_20200511-174541_148,asgmt_200716_tch_20200511-174541_148,class_20200511-174541_148,6jL7-v76y
tch_20200511-174541_150,asgmt_200716_tch_20200511-174541_150,class_20200511-174541_150,e4vL-9A6r
tch_20200511-174541_151,asgmt_200716_tch_20200511-174541_151,class_20200511-174541_151,2r2L-xz8x
tch_20200511-174541_152,asgmt_200716_tch_20200511-174541_152,class_20200511-174541_152,iHCj-oTW2
tch_20200511-174541_153,asgmt_200716_tch_20200511-174541_153,class_20200511-174541_153,Q67N-b7hr
tch_20200511-174541_155,asgmt_200716_tch_20200511-174541_155,class_20200511-174541_155,vjnQ-8V9n
tch_20200511-174541_154,asgmt_200716_tch_20200511-174541_154,class_20200511-174541_154,NCk2-rNaH
tch_20200511-174541_157,asgmt_200716_tch_20200511-174541_157,class_20200511-174541_157,KY8F-y7b9
tch_20200511-174541_156,asgmt_200716_tch_20200511-174541_156,class_20200511-174541_156,823K-asdj
tch_20200511-174541_158,asgmt_200716_tch_20200511-174541_158,class_20200511-174541_158,aTNC-WCU9
tch_20200511-174541_159,asgmt_200716_tch_20200511-174541_159,class_20200511-174541_159,Lj2c-Er3u
tch_20200511-174541_160,asgmt_200716_tch_20200511-174541_160,class_20200511-174541_160,7ywU-JkKU
tch_20200511-174541_161,asgmt_200716_tch_20200511-174541_161,class_20200511-174541_161,247f-EiQP
tch_20200511-174541_162,asgmt_200716_tch_20200511-174541_162,class_20200511-174541_162,T28Y-kV6U
tch_20200511-174541_163,asgmt_200716_tch_20200511-174541_163,class_20200511-174541_163,AL6B-8qpZ
tch_20200511-174541_164,asgmt_200716_tch_20200511-174541_164,class_20200511-174541_164,L698-omq6
tch_20200511-174541_165,asgmt_200716_tch_20200511-174541_165,class_20200511-174541_165,bAU7-zkZs
tch_20200511-174541_166,asgmt_200716_tch_20200511-174541_166,class_20200511-174541_166,BTJF-6i3r
tch_20200511-174541_167,asgmt_200716_tch_20200511-174541_167,class_20200511-174541_167,GKY8-tVsC
tch_20200511-174541_168,asgmt_200716_tch_20200511-174541_168,class_20200511-174541_168,7px8-YC7h
tch_20200511-174541_169,asgmt_200716_tch_20200511-174541_169,class_20200511-174541_169,WR4a-2rb9
tch_20200511-174541_170,asgmt_200716_tch_20200511-174541_170,class_20200511-174541_170,2szq-syhX
tch_20200511-174541_171,asgmt_200716_tch_20200511-174541_171,class_20200511-174541_171,sMuC-PDLi
tch_20200511-174541_172,asgmt_200716_tch_20200511-174541_172,class_20200511-174541_172,obhg-F4vX
tch_20200511-174541_173,asgmt_200716_tch_20200511-174541_173,class_20200511-174541_173,yZmE-mz3F
tch_20200511-174541_174,asgmt_200716_tch_20200511-174541_174,class_20200511-174541_174,HDiZ-Dwg6
tch_20200511-174541_175,asgmt_200716_tch_20200511-174541_175,class_20200511-174541_175,B4if-VfjV
tch_20200511-174541_176,asgmt_200716_tch_20200511-174541_176,class_20200511-174541_176,EU7f-9Rs6
tch_20200511-174541_177,asgmt_200716_tch_20200511-174541_177,class_20200511-174541_177,7Ucd-Zb2b
tch_20200511-174541_178,asgmt_200716_tch_20200511-174541_178,class_20200511-174541_178,V4yA-Nuce
tch_20200511-174541_179,asgmt_200716_tch_20200511-174541_179,class_20200511-174541_179,K23w-Dgby
tch_20200511-174541_180,asgmt_200716_tch_20200511-174541_180,class_20200511-174541_180,D64W-GJuz
tch_20200511-174541_181,asgmt_200716_tch_20200511-174541_181,class_20200511-174541_181,YhJ3-uG68
tch_20200511-174541_182,asgmt_200716_tch_20200511-174541_182,class_20200511-174541_182,tMpQ-9A28
tch_20200511-174541_183,asgmt_200716_tch_20200511-174541_183,class_20200511-174541_183,4bt4-WPm8
tch_20200511-174541_184,asgmt_200716_tch_20200511-174541_184,class_20200511-174541_184,9gY9-x9Mc
tch_20200511-174541_185,asgmt_200716_tch_20200511-174541_185,class_20200511-174541_185,J8AM-2yQU
tch_20200511-174541_187,asgmt_200716_tch_20200511-174541_187,class_20200511-174541_187,m6ak-K9NT
tch_20200511-174541_186,asgmt_200716_tch_20200511-174541_186,class_20200511-174541_186,M7LN-sH92
tch_20200511-174541_188,asgmt_200716_tch_20200511-174541_188,class_20200511-174541_188,Q9z9-4Xus
tch_20200511-174541_189,asgmt_200716_tch_20200511-174541_189,class_20200511-174541_189,awY7-Xg63
tch_20200511-174541_190,asgmt_200716_tch_20200511-174541_190,class_20200511-174541_190,mzP4-qbL3
