teacher,classtitle,classcode
R-3_teacher_1022_20181123-150020_1,R-3_perf_class_20181123-150020_1,48da-MK2g
R-3_teacher_1022_20181123-150020_2,R-3_perf_class_20181123-150020_2,B7ie-4heM
R-3_teacher_1022_20181123-150020_4,R-3_perf_class_20181123-150020_4,j3C3-YbdT
R-3_teacher_1022_20181123-150020_3,R-3_perf_class_20181123-150020_3,AgU7-AEAj
R-3_teacher_1022_20181123-150020_5,R-3_perf_class_20181123-150020_5,6iZa-CP2h
R-3_teacher_1022_20181123-150020_6,R-3_perf_class_20181123-150020_6,ji27-WZ2f
R-3_teacher_1022_20181123-150020_8,R-3_perf_class_20181123-150020_8,ajeH-h7N7
R-3_teacher_1022_20181123-150020_7,R-3_perf_class_20181123-150020_7,6bje-g2a9
R-3_teacher_1022_20181123-150020_9,R-3_perf_class_20181123-150020_9,69e8-cUg8
R-3_teacher_1022_20181123-150020_11,R-3_perf_class_20181123-150020_11,CMja-j86E
R-3_teacher_1022_20181123-150020_10,R-3_perf_class_20181123-150020_10,TBVj-H79E
R-3_teacher_1022_20181123-150020_12,R-3_perf_class_20181123-150020_12,QjYh-fJ6b
R-3_teacher_1022_20181123-150020_13,R-3_perf_class_20181123-150020_13,eXaf-8hP6
R-3_teacher_1022_20181123-150020_14,R-3_perf_class_20181123-150020_14,daDQ-fdWa
R-3_teacher_1022_20181123-150020_15,R-3_perf_class_20181123-150020_15,A7e6-LdBD
R-3_teacher_1022_20181123-150020_16,R-3_perf_class_20181123-150020_16,bHD2-K498
R-3_teacher_1022_20181123-150020_17,R-3_perf_class_20181123-150020_17,TbC4-cQ4j
R-3_teacher_1022_20181123-150020_19,R-3_perf_class_20181123-150020_19,3hXU-4Kgi
R-3_teacher_1022_20181123-150020_18,R-3_perf_class_20181123-150020_18,FfZ2-dbdc
R-3_teacher_1022_20181123-150020_22,R-3_perf_class_20181123-150020_22,26Rg-jUiP
R-3_teacher_1022_20181123-150020_20,R-3_perf_class_20181123-150020_20,27Gh-8XjL
R-3_teacher_1022_20181123-150020_23,R-3_perf_class_20181123-150020_23,he6V-9Mgi
R-3_teacher_1022_20181123-150020_21,R-3_perf_class_20181123-150020_21,jGP3-4fTe
R-3_teacher_1022_20181123-150020_25,R-3_perf_class_20181123-150020_25,7CLi-afeh
R-3_teacher_1022_20181123-150020_24,R-3_perf_class_20181123-150020_24,E6Ei-hdN6
R-3_teacher_1022_20181123-150020_26,R-3_perf_class_20181123-150020_26,6DQZ-8gKc
R-3_teacher_1022_20181123-150020_27,R-3_perf_class_20181123-150020_27,hGDC-caUD
