teacher,classtitle,classcode
R-3_teacher_1022_20181123-150020_101,R-3_perf_class_20181123-150020_101,97Yc-A4dC
R-3_teacher_1022_20181123-150020_102,R-3_perf_class_20181123-150020_102,aNbd-fe4j
R-3_teacher_1022_20181123-150020_100,R-3_perf_class_20181123-150020_100,4iha-C6Gc
R-3_teacher_1022_20181123-150020_103,R-3_perf_class_20181123-150020_103,ZgjD-8dRX
R-3_teacher_1022_20181123-150020_104,R-3_perf_class_20181123-150020_104,bWNG-e3bU
R-3_teacher_1022_20181123-150020_105,R-3_perf_class_20181123-150020_105,L6j9-W634
R-3_teacher_1022_20181123-150020_106,R-3_perf_class_20181123-150020_106,ijGb-a2Ce
R-3_teacher_1022_20181123-150020_107,R-3_perf_class_20181123-150020_107,RU9g-873E
R-3_teacher_1022_20181123-150020_110,R-3_perf_class_20181123-150020_110,hDAh-49eY
R-3_teacher_1022_20181123-150020_109,R-3_perf_class_20181123-150020_109,cNWf-9adZ
R-3_teacher_1022_20181123-150020_108,R-3_perf_class_20181123-150020_108,8L2j-aHZh
R-3_teacher_1022_20181123-150020_111,R-3_perf_class_20181123-150020_111,BVZ4-hd84
R-3_teacher_1022_20181123-150020_113,R-3_perf_class_20181123-150020_113,DP78-ZY7g
R-3_teacher_1022_20181123-150020_112,R-3_perf_class_20181123-150020_112,89eh-Fc4c
R-3_teacher_1022_20181123-150020_116,R-3_perf_class_20181123-150020_116,c7Uj-7fRg
R-3_teacher_1022_20181123-150020_114,R-3_perf_class_20181123-150020_114,64dP-UjbK
R-3_teacher_1022_20181123-150020_117,R-3_perf_class_20181123-150020_117,ZGEg-97TN
R-3_teacher_1022_20181123-150020_115,R-3_perf_class_20181123-150020_115,G3V6-hb9A
R-3_teacher_1022_20181123-150020_119,R-3_perf_class_20181123-150020_119,Xgjb-Gg64
R-3_teacher_1022_20181123-150020_118,R-3_perf_class_20181123-150020_118,jVF2-dbKf
R-3_teacher_1022_20181123-150020_120,R-3_perf_class_20181123-150020_120,fFc7-B3jb
R-3_teacher_1022_20181123-150020_121,R-3_perf_class_20181123-150020_121,gLV6-i7AK
R-3_teacher_1022_20181123-150020_122,R-3_perf_class_20181123-150020_122,KEeM-BXT7
R-3_teacher_1022_20181123-150020_123,R-3_perf_class_20181123-150020_123,FR2D-jAVX
R-3_teacher_1022_20181123-150020_125,R-3_perf_class_20181123-150020_125,eFiP-jUXG
R-3_teacher_1022_20181123-150020_124,R-3_perf_class_20181123-150020_124,Y3ZM-a8U6
R-3_teacher_1022_20181123-150020_127,R-3_perf_class_20181123-150020_127,6acZ-h2Qj
R-3_teacher_1022_20181123-150020_126,R-3_perf_class_20181123-150020_126,WcN9-jHeL
R-3_teacher_1022_20181123-150020_130,R-3_perf_class_20181123-150020_130,KfjN-6jcY
R-3_teacher_1022_20181123-150020_129,R-3_perf_class_20181123-150020_129,48ij-EB3i
R-3_teacher_1022_20181123-150020_128,R-3_perf_class_20181123-150020_128,8Fd6-3QgM
R-3_teacher_1022_20181123-150020_131,R-3_perf_class_20181123-150020_131,74d7-2ceb
R-3_teacher_1022_20181123-150020_132,R-3_perf_class_20181123-150020_132,cXfU-4d6T
R-3_teacher_1022_20181123-150020_133,R-3_perf_class_20181123-150020_133,7d4e-dTVg
R-3_teacher_1022_20181123-150020_134,R-3_perf_class_20181123-150020_134,CgFc-gYbA
R-3_teacher_1022_20181123-150020_135,R-3_perf_class_20181123-150020_135,aLNa-8Nig
R-3_teacher_1022_20181123-150020_136,R-3_perf_class_20181123-150020_136,d4Uc-QfhR
R-3_teacher_1022_20181123-150020_139,R-3_perf_class_20181123-150020_139,N7Ge-9WXW
R-3_teacher_1022_20181123-150020_138,R-3_perf_class_20181123-150020_138,6Lf7-6i47
R-3_teacher_1022_20181123-150020_137,R-3_perf_class_20181123-150020_137,J8MZ-gBgd
R-3_teacher_1022_20181123-150020_140,R-3_perf_class_20181123-150020_140,HPhg-Je2d
R-3_teacher_1022_20181123-150020_141,R-3_perf_class_20181123-150020_141,VRQ3-W9JH
R-3_teacher_1022_20181123-150020_142,R-3_perf_class_20181123-150020_142,2Jhb-HUZb
R-3_teacher_1022_20181123-150020_143,R-3_perf_class_20181123-150020_143,YiEj-eg8F
R-3_teacher_1022_20181123-150020_144,R-3_perf_class_20181123-150020_144,RhZe-NR6L
R-3_teacher_1022_20181123-150020_145,R-3_perf_class_20181123-150020_145,D2Ab-a7Nd
R-3_teacher_1022_20181123-150020_147,R-3_perf_class_20181123-150020_147,DaDQ-Ab7e
R-3_teacher_1022_20181123-150020_148,R-3_perf_class_20181123-150020_148,jbWL-gYcg
R-3_teacher_1022_20181123-150020_146,R-3_perf_class_20181123-150020_146,R3QC-dcY2
R-3_teacher_1022_20181123-150020_149,R-3_perf_class_20181123-150020_149,2cFY-8LfX
R-3_teacher_1022_20181123-150020_150,R-3_perf_class_20181123-150020_150,62F8-NcdL
R-3_teacher_1022_20181123-150020_151,R-3_perf_class_20181123-150020_151,73Wg-He2X
R-3_teacher_1022_20181123-150020_152,R-3_perf_class_20181123-150020_152,7giN-idaf
R-3_teacher_1022_20181123-150020_153,R-3_perf_class_20181123-150020_153,9eg4-aibe
R-3_teacher_1022_20181123-150020_155,R-3_perf_class_20181123-150020_155,fgiW-9N2d
R-3_teacher_1022_20181123-150020_154,R-3_perf_class_20181123-150020_154,j4hR-4TU7
R-3_teacher_1022_20181123-150020_156,R-3_perf_class_20181123-150020_156,dj7e-E3Ue
R-3_teacher_1022_20181123-150020_157,R-3_perf_class_20181123-150020_157,i83c-MdUe
R-3_teacher_1022_20181123-150020_160,R-3_perf_class_20181123-150020_160,hcX2-9ba9
R-3_teacher_1022_20181123-150020_158,R-3_perf_class_20181123-150020_158,Ba3K-gPMZ
R-3_teacher_1022_20181123-150020_159,R-3_perf_class_20181123-150020_159,87J8-9hd4
R-3_teacher_1022_20181123-150020_161,R-3_perf_class_20181123-150020_161,dcNh-P6d6
R-3_teacher_1022_20181123-150020_162,R-3_perf_class_20181123-150020_162,KEQE-3jhe
R-3_teacher_1022_20181123-150020_163,R-3_perf_class_20181123-150020_163,BbXC-472h
R-3_teacher_1022_20181123-150020_164,R-3_perf_class_20181123-150020_164,cXad-c7Bh
R-3_teacher_1022_20181123-150020_165,R-3_perf_class_20181123-150020_165,fiTi-Z728
R-3_teacher_1022_20181123-150020_166,R-3_perf_class_20181123-150020_166,e7AX-f873
R-3_teacher_1022_20181123-150020_167,R-3_perf_class_20181123-150020_167,jiKe-PYGE
R-3_teacher_1022_20181123-150020_170,R-3_perf_class_20181123-150020_170,68eL-6Mce
R-3_teacher_1022_20181123-150020_169,R-3_perf_class_20181123-150020_169,Yb79-3Kd9
R-3_teacher_1022_20181123-150020_172,R-3_perf_class_20181123-150020_172,ac78-b6i9
R-3_teacher_1022_20181123-150020_171,R-3_perf_class_20181123-150020_171,cj8a-hGha
R-3_teacher_1022_20181123-150020_173,R-3_perf_class_20181123-150020_173,QTic-g3ej
R-3_teacher_1022_20181123-150020_174,R-3_perf_class_20181123-150020_174,W34D-i897
R-3_teacher_1022_20181123-150020_176,R-3_perf_class_20181123-150020_176,QW4e-ghij
R-3_teacher_1022_20181123-150020_175,R-3_perf_class_20181123-150020_175,9G2c-bgPF
R-3_teacher_1022_20181123-150020_177,R-3_perf_class_20181123-150020_177,h87U-fah4
R-3_teacher_1022_20181123-150020_178,R-3_perf_class_20181123-150020_178,3CJB-j8BN
R-3_teacher_1022_20181123-150020_180,R-3_perf_class_20181123-150020_180,c24Z-HKHf
R-3_teacher_1022_20181123-150020_179,R-3_perf_class_20181123-150020_179,8Vfd-McaV
R-3_teacher_1022_20181123-150020_183,R-3_perf_class_20181123-150020_183,78Kc-f962
