extuserid,groupid,tchextuserid
std_1592931871875_130,1e3c8100-d681-46da-bb6c-68056b5d4e88,tch_20200623-215505_130
std_1592931898475_132,96508b68-0c0e-4cc1-ac58-f9035a6e7a42,tch_20200623-215505_132
std_1592931741283_130,5746f7db-8446-4711-8ec2-4772937c83fa,tch_20200623-215505_130
std_1592931902260_133,128d35bf-4928-42b6-9cd7-ba9361b350e0,tch_20200623-215505_133
std_1592931762735_132,c0514403-ac2b-475a-97c0-28a1d699b0b2,tch_20200623-215505_132
std_1592931607413_130,c013cd9f-f57d-470b-b70c-4f416fc4ef22,tch_20200623-215505_130
std_1592931909630_134,2d6fc202-1da1-4b35-8994-8e12f475181e,tch_20200623-215505_134
std_1592931772404_133,24027503-c256-4a3f-9703-74695df5c802,tch_20200623-215505_133
std_1592931626065_132,2ee6e915-a2f7-406b-9f96-bbf2eaf36ab8,tch_20200623-215505_132
std_1592931478955_130,3282c91e-547e-4dec-baf7-d8a16ebefc17,tch_20200623-215505_130
std_1592931920929_135,d20f4cc2-1afa-4a4d-87e8-73bc7642a2ea,tch_20200623-215505_135
std_1592931774502_134,a3474622-05d1-4440-a649-f544d5880726,tch_20200623-215505_134
std_1592931644973_133,eeee43d8-d839-425c-b4fb-1e92411e1d7d,tch_20200623-215505_133
std_1592931488724_132,08c8c04a-dedf-4274-bd1b-36f842808dbd,tch_20200623-215505_132
std_1592931923724_136,0341bcd0-d37a-4ef2-8773-633a0b1e6a49,tch_20200623-215505_136
std_1592931789116_135,1d82a377-7343-4afc-b79d-44da2b1e9471,tch_20200623-215505_135
std_1592931641532_134,a1709f18-a648-4d39-b2cf-f1ddc1fb1e86,tch_20200623-215505_134
std_1592931506454_133,75aa1cb5-ccbc-4a96-a035-462e79d79762,tch_20200623-215505_133
std_1592931941346_137,8bcc3c0b-529d-485f-8407-62b342807507,tch_20200623-215505_137
std_1592931793612_136,2188f218-717f-4c2d-9ac0-87a73ff8c71e,tch_20200623-215505_136
std_1592931664994_135,8f9c025a-9022-4129-abe6-e89d1b4f9172,tch_20200623-215505_135
std_1592931504723_134,311d923f-02f2-4c7c-b2a2-ce415c9e8e9a,tch_20200623-215505_134
std_1592931951247_138,852e5963-479a-45c1-9fab-5fb53ef18b84,tch_20200623-215505_138
std_1592931810648_137,a2b6fe92-ce1d-4c2a-8c40-3099e9ebbf41,tch_20200623-215505_137
std_1592931660845_136,f8e7ba4d-99c4-41da-933b-158cd468860a,tch_20200623-215505_136
std_1592931956088_139,8d84cc49-573b-4b2b-9848-6193c83d343b,tch_20200623-215505_139
std_1592931533517_135,dab02b61-d85f-4878-b828-472aedaf0ffc,tch_20200623-215505_135
std_1592931827460_138,777cad69-c41c-450f-8beb-d6d1813d01ac,tch_20200623-215505_138
std_1592931671763_137,7840283f-4b7e-4a09-8f16-b767136f2b39,tch_20200623-215505_137
std_1592931528986_136,c4907512-43c7-4359-b01a-5cae986590d3,tch_20200623-215505_136
std_1592931960936_141,a08e8ce9-d0b3-4f0a-9bfe-aa43af78da48,tch_20200623-215505_141
std_1592931828223_139,b5dfc96c-fcae-41c0-a4e0-72ca93f8a676,tch_20200623-215505_139
std_1592931696385_138,ff72a35f-27f8-4887-9358-22cb649d3fb8,tch_20200623-215505_138
std_1592931534856_137,9b067175-812b-41c8-923b-74de22617209,tch_20200623-215505_137
std_1592931978841_140,b2e578bd-04d5-4a07-acd0-28a2068699a6,tch_20200623-215505_140
std_1592931834644_141,64f1849d-1424-4853-938a-82d7a9fbaa47,tch_20200623-215505_141
std_1592931689441_139,aa764d71-3664-44f8-8718-c9f01e39dc4f,tch_20200623-215505_139
std_1592931994654_142,4035534b-f921-4003-8e5f-2126468d1c0a,tch_20200623-215505_142
std_1592931562298_138,fd1427e8-1c66-4ae1-8e1e-8d45cf8590d6,tch_20200623-215505_138
std_1592931849929_140,0a6dcf44-f254-4757-bafd-677510aae694,tch_20200623-215505_140
std_1592931706759_141,141ec6dd-b30e-400b-88d6-65b4e24fac61,tch_20200623-215505_141
std_1592931991045_143,404917ef-53d8-421c-bf84-27b62dd700a5,tch_20200623-215505_143
std_1592931560848_139,f09b2fc7-f891-4dac-809e-057c38314071,tch_20200623-215505_139
std_1592931858182_142,0f46ab35-1875-4716-97f3-e26669799e2e,tch_20200623-215505_142
std_1592931720648_140,e009b4cb-d87d-4d17-bfdd-46bd41f7ce33,tch_20200623-215505_140
std_1592931573211_141,bdedc7c5-7640-43f0-ba25-860916f6879c,tch_20200623-215505_141
std_1592932007970_144,ad25b6ca-2dcd-466c-8891-f009fbfd3c9a,tch_20200623-215505_144
std_1592931868063_143,31cf003e-c9e6-44e2-bed5-230a9fff461e,tch_20200623-215505_143
std_1592931727137_142,2a12a0e6-8388-4993-9c1e-d6214b2340ca,tch_20200623-215505_142
std_1592931594914_140,259e8dfb-17cb-4c1d-bcc8-0709d9b2bb19,tch_20200623-215505_140
std_1592932024520_145,2f8ef14f-2b62-4bee-84c6-81b9ca0a1ccd,tch_20200623-215505_145
std_1592931877622_144,5fb2020b-1b45-406c-9af5-2518f88ef73b,tch_20200623-215505_144
std_1592931739369_143,ce8123e1-8428-463a-9eab-01f27dcbbe3d,tch_20200623-215505_143
std_1592931598110_142,5df21561-4a1b-45ca-993b-a53c08901852,tch_20200623-215505_142
std_1592932032261_148,75d7d16f-4bf5-47e6-8d20-20d072efd107,tch_20200623-215505_148
std_1592931902240_145,2b59ebea-5501-4d79-9d54-42418d56cd39,tch_20200623-215505_145
std_1592931750564_144,32a2053f-7d92-43f3-b8e2-07901fddb727,tch_20200623-215505_144
std_1592931606786_143,cc4a4f11-4a69-4c6c-852d-70ef3fea3811,tch_20200623-215505_143
std_1592932034936_147,5b906b3c-22b6-4060-b52c-8bbaf4dca027,tch_20200623-215505_147
std_1592931894352_148,0a3d2676-01a6-46b2-b99b-f188d65cb6dd,tch_20200623-215505_148
std_1592931766252_145,d78e4142-e69e-41e4-9b02-a57181e0ee9d,tch_20200623-215505_145
std_1592931622279_144,a0ef9df6-2c91-41f8-95cf-caeceb894b24,tch_20200623-215505_144
std_1592932055760_146,ef505487-45c7-427e-a1fd-d6dc0c8e8a42,tch_20200623-215505_146
std_1592931909760_147,67e0199a-192d-4c73-a35a-7e859b388aa6,tch_20200623-215505_147
std_1592931759196_148,066167af-7e07-4e3c-8524-ba3f8f363cc2,tch_20200623-215505_148
std_1592931633612_145,dac49454-4790-4d68-b010-63c40bf49549,tch_20200623-215505_145
std_1592932064148_150,0c846522-0317-4fed-a539-c1e87272e2e5,tch_20200623-215505_150
std_1592931918432_146,bca91c67-bd91-4185-bf23-abbc19061f82,tch_20200623-215505_146
std_1592931776851_147,592da8f8-cda7-4837-b0dd-411be47cd532,tch_20200623-215505_147
std_1592931630674_148,37a92cc6-6b64-4ca6-b9bc-8f54cb133426,tch_20200623-215505_148
std_1592932080059_151,bb07fbf6-887e-42c8-bf59-010a4592ab97,tch_20200623-215505_151
std_1592931935765_150,bd4904d8-5a31-4afa-8631-21ef553d2118,tch_20200623-215505_150
std_1592931785358_146,3feaa0f5-b937-4e12-b798-e6884fefcf0a,tch_20200623-215505_146
std_1592931643396_147,8b17e88b-0db4-42d0-adb5-d4f2b6af5fe6,tch_20200623-215505_147
std_1592932080772_149,f8aef194-b52c-4425-a192-afa0b39c1dbb,tch_20200623-215505_149
std_1592931950285_151,9b907a85-2751-4a2d-a0b5-09d5bba5a74a,tch_20200623-215505_151
std_1592931804119_150,70faab6c-3793-49a5-9033-65e4eac58ad7,tch_20200623-215505_150
std_1592931657780_146,62019fe9-7306-4d15-a769-e8ba88a0d7aa,tch_20200623-215505_146
std_1592932083599_152,5bbd603b-992a-4433-bf73-fbed7a50c2dd,tch_20200623-215505_152
std_1592931944749_149,7ce7a260-0a5e-4e3c-944c-58da66511ba3,tch_20200623-215505_149
std_1592931815649_151,fb791404-d25e-4ea3-97b3-6d703140d079,tch_20200623-215505_151
std_1592931666884_150,18bc30a0-eef7-40fa-a625-ba270d06143d,tch_20200623-215505_150
std_1592932105885_153,66355ec6-95eb-4de7-b2fc-49cb1268b1e2,tch_20200623-215505_153
std_1592931960869_152,0b292aec-e47c-4242-be9d-159e19b484ae,tch_20200623-215505_152
std_1592931811260_149,d1ece6b2-c166-4672-8933-5fa3847798e7,tch_20200623-215505_149
std_1592931681415_151,93bf2b33-2961-450f-aebc-ff6c0d29742b,tch_20200623-215505_151
std_1592932121283_156,f4964d40-3c46-48e1-b05f-cf3e4d610b05,tch_20200623-215505_156
std_1592931968670_153,5e2c5a37-ad98-4df7-8865-9e3408184347,tch_20200623-215505_153
std_1592931826097_152,b455e019-d2ca-4abb-bb51-cdfb64658a54,tch_20200623-215505_152
std_1592931673452_149,fc7e34e3-0f31-418f-9bac-3d4f276bda60,tch_20200623-215505_149
std_1592932138615_155,7e9de6cb-8628-4e0a-b698-bb2687e771a4,tch_20200623-215505_155
std_1592931986894_156,65e217de-cf52-47b3-965b-ba77f1560a13,tch_20200623-215505_156
std_1592931845098_153,f4b73299-75e2-4b24-9fc5-9fe5dce83b5d,tch_20200623-215505_153
std_1592931699845_152,c95720b6-9bee-4283-816e-c442aacc01a3,tch_20200623-215505_152
std_1592932143860_154,08a87f19-840e-4499-afc5-880e540eb719,tch_20200623-215505_154
std_1592932002036_155,ce0b64ae-21da-475f-b5de-b8d61ac8dabb,tch_20200623-215505_155
std_1592931857070_156,344cb27d-9075-482a-b9ca-7347c71a63c2,tch_20200623-215505_156
std_1592931709708_153,6911c4bd-3d2d-4ace-9775-071df2f200cb,tch_20200623-215505_153
std_1592932148537_158,0442bf24-5ce6-44ea-89ab-6cf6c9eb01cc,tch_20200623-215505_158
std_1592932001520_154,d58e2fec-d654-4923-8816-93e2cfa8d876,tch_20200623-215505_154
std_1592931861145_155,2904ef6c-2198-4870-9194-f139e6364ca8,tch_20200623-215505_155
std_1592931725655_156,0755cc5f-121f-4c9d-9fbe-6bc2127037c7,tch_20200623-215505_156
