studentextuserid,classcode
std_1590567553286_923,uAZy-49e8
std_1590567554294_924,74Ub-6PyN
std_1590567555304_925,Ytg2-efPD
std_1590567556311_926,AztL-QRLG
std_1590567557318_927,7Gi7-xHNL
std_1590567558325_928,PiJ8-RnYR
std_1590567559333_929,428m-QC6H
std_1590567560341_930,AZ39-gsUu
std_1590567561349_931,9n3J-n48i
std_1590567562358_932,uZ29-L3Xn
std_1590567563365_933,9qT6-egxd
std_1590567564373_934,UyWB-9h26
std_1590567565383_935,C9L3-hqM3
std_1590567566390_936,7f9r-4dAN
std_1590567567398_937,PAx3-74K3
std_1590567568406_938,XJcn-8QT9
std_1590567569416_939,2wC9-r2Q7
std_1590567570423_940,TLNb-K6bH
std_1590567571431_941,4w37-mah8
std_1590567572440_942,qk6b-gm4H
std_1590567573448_943,4oNJ-q8hw
std_1590567574456_944,bk9N-B3PZ
std_1590567575462_945,62W4-H2dw
std_1590567576470_946,XP89-8EXA
std_1590567577479_947,3ZYM-TKhz
std_1590567578487_948,W279-trxh
std_1590567579495_949,7x7r-iu2i
std_1590567580503_950,4bXN-76T6
std_1590567581511_951,eBZy-NW4X
std_1590567582518_952,yChr-BDPx
std_1590567583526_953,8P4f-nPwf
std_1590567584533_954,QTcB-H8PT
std_1590567585542_955,jtCh-Wnab
std_1590567586551_956,9D4C-W427
std_1590567587559_957,2Rt6-8pPn
std_1590567588567_958,B3Mp-WJiz
std_1590567589574_959,RK2E-dtFs
std_1590567590582_960,msZ6-Gdak
std_1590567591591_961,Ehmv-Y3xb
std_1590567592598_962,tdU6-8yr8
std_1590567593606_963,3Gc2-XgT7
std_1590567594614_964,DbCa-B8vy
std_1590567595623_965,j49g-pKx9
std_1590567596632_966,Xyvt-XF3x
std_1590567597641_967,2U9Q-3inY
std_1590567598649_968,ETC9-3p9b
std_1590567599658_969,MBEm-zhFp
std_1590567600666_970,2Pk9-4Woa
std_1590567601674_971,R9yi-2zmH
std_1590567602682_972,9vJz-thJP
std_1590567603689_973,cmsv-pU9L
std_1590567604697_974,p98N-tG3L
std_1590567605705_975,VmzJ-72h6
std_1590567606713_976,KQmP-JYw6
std_1590567607722_977,9AB4-NbRD
std_1590567608730_978,wPXJ-tmxj
std_1590567609738_979,yv73-xJzm
std_1590567610746_980,fm8K-BA27
std_1590567611754_981,238p-2EPV
std_1590567612762_982,Nc3x-VBV4
std_1590567613769_983,FWCx-vP28
std_1590567614777_984,w74B-8bp3
std_1590567615784_985,2aQi-U7Dk
std_1590567616793_986,Yc28-62Du
std_1590567617800_987,xU8H-QTZo
std_1590567618809_988,G4Nv-axR7
std_1590567619817_989,n97m-jFgW
std_1590567620826_990,YTh9-8UYb
std_1590567621836_991,3ULW-9k7k
std_1590567622843_992,BjAQ-j3fA
std_1590567623852_993,2T92-t2No
std_1590567624860_994,yEWn-W4wE
std_1590567625869_995,G3f4-m2Uh
std_1590567626878_996,HufJ-bQZ8
std_1590567627885_997,d8Wk-HcD8
std_1590567628893_998,Yerj-94uY
std_1590567629901_999,hEqh-Mrc7
std_1590567630910_1000,Q8bN-genD
std_1590567631920_1001,7G7H-3dsd
std_1590567632928_1002,9ZWB-Hm9V
std_1590567633936_1003,Wk23-J9Jk
std_1590567634943_1004,3d68-6UX4
std_1590567635951_1005,9ZC9-4T7X
std_1590567636959_1006,Rr2B-k2v8
std_1590567637968_1007,3ARV-axB9
std_1590567638977_1008,h9P6-9mrx
std_1590567639985_1009,j2Ld-t42M
std_1590567640993_1010,V7EH-9TJn
std_1590567642001_1011,8FeF-gQjK
std_1590567643008_1012,2dnL-UWQg
std_1590567644016_1013,C4ex-MB7E
std_1590567645024_1014,yrFT-8EsA
std_1590567646032_1015,iJ3w-76Rt
std_1590567647040_1016,fH8p-bo2C
std_1590567648048_1017,Rm2y-9rdY
std_1590567649056_1018,w98X-JziZ
std_1590567650064_1019,YkQM-zpfV
std_1590567651072_1020,G3Kt-6ua4
std_1590567652080_1021,k3Xs-ytd7
std_1590567653088_1022,v6Hn-7opv
std_1590567654096_1023,3xf4-j8HC
std_1590567655104_1024,Dq76-nz8K
std_1590567656112_1025,Nvce-PDfM
std_1590567657119_1026,U89X-bg7y
std_1590567658129_1027,oTDi-HT3N
std_1590567659138_1028,XQWp-o89c
std_1590567660145_1029,U32f-U7fb
std_1590567661154_1030,gha3-w7X8
std_1590567662161_1031,fskq-z4B7
std_1590567663170_1032,67tx-BuJQ
std_1590567664179_1033,ky8h-3L9w
std_1590567665186_1034,Z2Lc-gAuC
std_1590567666194_1035,J6J6-tLUy
std_1590567667202_1036,VNf8-J4Ks
std_1590567668210_1037,9XEV-64Kp
std_1590567669218_1038,Q7dQ-btFx
std_1590567670225_1039,kC3T-sh9y
std_1590567671233_1040,4Czs-t2Ft
std_1590567672241_1041,7Agz-93wd
std_1590567673249_1042,nW4r-nxJN
std_1590567674257_1043,g4TU-JHgR
std_1590567675266_1044,YT28-ptqN
std_1590567676274_1045,qmj4-PtV8
std_1590567677281_1046,uvmv-4bjX
std_1590567678289_1047,C3En-YHAH
std_1590567679297_1048,Lfqh-pk6P
std_1590567680305_1049,r4v4-MWL6
std_1590567681312_1050,cH8U-7QFx
std_1590567682321_1051,nf2w-jC9k
std_1590567683328_1052,qo28-2Y2v
std_1590567684337_1053,UiWx-ZPAp
std_1590567685343_1054,FVw4-o7F9
std_1590567686351_1055,uAZy-49e8
std_1590567687359_1056,74Ub-6PyN
std_1590567688369_1057,Ytg2-efPD
std_1590567689375_1058,AztL-QRLG
std_1590567690383_1059,7Gi7-xHNL
std_1590567691392_1060,PiJ8-RnYR
std_1590567692399_1061,428m-QC6H
std_1590567693408_1062,AZ39-gsUu
std_1590567694415_1063,9n3J-n48i
std_1590567695423_1064,uZ29-L3Xn
std_1590567696431_1065,9qT6-egxd
std_1590567697439_1066,UyWB-9h26
std_1590567698447_1067,C9L3-hqM3
std_1590567699456_1068,7f9r-4dAN
std_1590567700463_1069,PAx3-74K3
std_1590567701470_1070,XJcn-8QT9
std_1590567702479_1071,2wC9-r2Q7
std_1590567703486_1072,TLNb-K6bH
std_1590567704494_1073,4w37-mah8
std_1590567705559_1074,qk6b-gm4H
std_1590567706567_1075,4oNJ-q8hw
std_1590567707575_1076,bk9N-B3PZ
std_1590567708582_1077,62W4-H2dw
std_1590567709590_1078,XP89-8EXA
std_1590567710598_1079,3ZYM-TKhz
std_1590567711606_1080,W279-trxh
std_1590567712614_1081,7x7r-iu2i
std_1590567713624_1082,4bXN-76T6
std_1590567714634_1083,eBZy-NW4X
std_1590567715642_1084,yChr-BDPx
std_1590567716651_1085,8P4f-nPwf
std_1590567717659_1086,QTcB-H8PT
std_1590567718668_1087,jtCh-Wnab
std_1590567719677_1088,9D4C-W427
std_1590567720685_1089,2Rt6-8pPn
std_1590567721694_1090,B3Mp-WJiz
std_1590567722701_1091,RK2E-dtFs
std_1590567723710_1092,msZ6-Gdak
std_1590567724718_1093,Ehmv-Y3xb
std_1590567725726_1094,tdU6-8yr8
std_1590567726734_1095,3Gc2-XgT7
std_1590567727742_1096,DbCa-B8vy
std_1590567728750_1097,j49g-pKx9
std_1590567729758_1098,Xyvt-XF3x
std_1590567730767_1099,2U9Q-3inY
std_1590567731774_1100,ETC9-3p9b
std_1590567732782_1101,MBEm-zhFp
std_1590567733791_1102,2Pk9-4Woa
std_1590567734798_1103,R9yi-2zmH
std_1590567735806_1104,9vJz-thJP
std_1590567736814_1105,cmsv-pU9L
std_1590567737821_1106,p98N-tG3L
std_1590567738829_1107,VmzJ-72h6
std_1590567739837_1108,KQmP-JYw6
std_1590567740845_1109,9AB4-NbRD
std_1590567741853_1110,wPXJ-tmxj
std_1590567742861_1111,yv73-xJzm
std_1590567743869_1112,fm8K-BA27
std_1590567744878_1113,238p-2EPV
std_1590567745885_1114,Nc3x-VBV4
std_1590567746894_1115,FWCx-vP28
std_1590567747901_1116,w74B-8bp3
std_1590567748910_1117,2aQi-U7Dk
std_1590567749917_1118,Yc28-62Du
std_1590567750926_1119,xU8H-QTZo
std_1590567751933_1120,G4Nv-axR7
std_1590567752941_1121,n97m-jFgW
std_1590567753949_1122,YTh9-8UYb
std_1590129533897_1875,oT9N-sduQ
std_1590129535908_1876,hwu6-B2W3
std_1590129539927_1878,C8oJ-4Viz
std_1590129541938_1879,R486-84ZW
std_1590129543947_1880,Ze34-prdx
std_1590129545960_1881,639f-9XfW
std_1590129547968_1882,G426-u93f
std_1590129549977_1883,hPm6-74gA
std_1590129551990_1884,LaX2-aN49
std_1590129553996_1885,Zqor-Dtdo
std_1590129556005_1886,Fr83-BT6d
std_1590129558015_1887,KW7n-636t
std_1590129560030_1888,ZqXB-4HpF
std_1590129562039_1889,9oQf-97p6
std_1590129564047_1890,dUM9-V8vA
std_1590129566058_1891,8pgo-43C2
std_1590129568071_1892,jdkL-kE4e
std_1590129572093_1894,Phuo-uUK7
std_1590129574106_1895,VLzH-ZM43
std_1590129576120_1896,b6mF-7wjB
std_1590129578131_1897,P2gQ-UiRG
std_1590129580143_1898,VKNG-eCia
std_1590129582155_1899,CvV2-4sqQ
std_1590129584167_1900,nw79-U79m
std_1590129586178_1901,K8jm-489Q
std_1590129588187_1902,i6X4-9Y6U
std_1590129590199_1903,3b3M-EApM
std_1590129592212_1904,6UwH-97qw
std_1590129594223_1905,gksT-QpQc
std_1590129596234_1906,4jPN-AG8r
std_1590129598246_1907,iXJM-ZvZQ
std_1590129600257_1908,HPNu-Uu6Y
std_1590129602263_1909,H2Ad-VbWp
std_1590129604274_1910,2dPB-tLQK
std_1590129606283_1911,6nGw-pBE6
std_1590129608295_1912,fd4V-qhkf
std_1590129612315_1914,8s7t-G8oF
std_1590129614326_1915,j9u3-4yJt
std_1590129616336_1916,qN4q-f8Z3
std_1590129618346_1917,wG9H-9D7E
std_1590129620358_1918,DPUA-HM9x
std_1590129622364_1919,fcv7-iL9e
std_1590129624373_1920,ndc2-gbra
std_1590129626384_1921,W734-tpM4
