user_id,resource_id
f2ed4b9ef05245a6a398788bd58fbfe8,perf_test_50VU_run2_course-000-001_#_perf_test_50VU_run2_res-000-001
perf_test_50VU_run2_user-1,perf_test_50VU_run2_course-000-001_#_perf_test_50VU_run2_res-000-001
perf_test_50VU_run2_user-2,perf_test_50VU_run2_course-000-002_#_perf_test_50VU_run2_res-000-002
perf_test_50VU_run2_user-3,perf_test_50VU_run2_course-000-003_#_perf_test_50VU_run2_res-000-003
perf_test_50VU_run2_user-4,perf_test_50VU_run2_course-000-004_#_perf_test_50VU_run2_res-000-004
perf_test_50VU_run2_user-5,perf_test_50VU_run2_course-000-005_#_perf_test_50VU_run2_res-000-005
perf_test_50VU_run2_user-6,perf_test_50VU_run2_course-000-006_#_perf_test_50VU_run2_res-000-006
perf_test_50VU_run2_user-7,perf_test_50VU_run2_course-000-007_#_perf_test_50VU_run2_res-000-007
perf_test_50VU_run2_user-8,perf_test_50VU_run2_course-000-008_#_perf_test_50VU_run2_res-000-008
perf_test_50VU_run2_user-9,perf_test_50VU_run2_course-000-009_#_perf_test_50VU_run2_res-000-009
perf_test_50VU_run2_user-10,perf_test_50VU_run2_course-000-010_#_perf_test_50VU_run2_res-000-010
perf_test_50VU_run2_user-11,perf_test_50VU_run2_course-000-011_#_perf_test_50VU_run2_res-000-011
perf_test_50VU_run2_user-12,perf_test_50VU_run2_course-000-012_#_perf_test_50VU_run2_res-000-012
perf_test_50VU_run2_user-13,perf_test_50VU_run2_course-000-013_#_perf_test_50VU_run2_res-000-013
perf_test_50VU_run2_user-14,perf_test_50VU_run2_course-000-014_#_perf_test_50VU_run2_res-000-014
perf_test_50VU_run2_user-15,perf_test_50VU_run2_course-000-015_#_perf_test_50VU_run2_res-000-015
perf_test_50VU_run2_user-16,perf_test_50VU_run2_course-000-016_#_perf_test_50VU_run2_res-000-016
perf_test_50VU_run2_user-17,perf_test_50VU_run2_course-000-017_#_perf_test_50VU_run2_res-000-017
perf_test_50VU_run2_user-18,perf_test_50VU_run2_course-000-018_#_perf_test_50VU_run2_res-000-018
perf_test_50VU_run2_user-19,perf_test_50VU_run2_course-000-019_#_perf_test_50VU_run2_res-000-019
perf_test_50VU_run2_user-20,perf_test_50VU_run2_course-000-020_#_perf_test_50VU_run2_res-000-020
perf_test_50VU_run2_user-21,perf_test_50VU_run2_course-000-021_#_perf_test_50VU_run2_res-000-021
perf_test_50VU_run2_user-22,perf_test_50VU_run2_course-000-022_#_perf_test_50VU_run2_res-000-022
perf_test_50VU_run2_user-23,perf_test_50VU_run2_course-000-023_#_perf_test_50VU_run2_res-000-023
perf_test_50VU_run2_user-24,perf_test_50VU_run2_course-000-024_#_perf_test_50VU_run2_res-000-024
perf_test_50VU_run2_user-25,perf_test_50VU_run2_course-000-025_#_perf_test_50VU_run2_res-000-025
perf_test_50VU_run2_user-26,perf_test_50VU_run2_course-000-026_#_perf_test_50VU_run2_res-000-026
