extuserid,groupid,tchextuserid
std_1592934097066_365,3a3539a0-bbf6-4e7b-bdf3-a42f94ad6338,tch_20200623-215505_365
std_1592934238155_363,b9aea339-102b-47eb-b869-123a8b243af5,tch_20200623-215505_363
std_1592933944230_364,958aaf50-8f55-4be1-ad4b-a2e291129247,tch_20200623-215505_364
std_1592933788563_360,aa51b742-1cc1-4eae-ad2f-9aa8b16a2d72,tch_20200623-215505_360
std_1592934097983_363,eaaf44d3-e361-48b9-816e-ccc65e111653,tch_20200623-215505_363
std_1592934240456_367,b77341ad-2e94-45db-84bd-92792f8840e6,tch_20200623-215505_367
std_1592933820696_364,19075515-abe9-4f1b-b9b0-2b304b07189a,tch_20200623-215505_364
std_1592933963218_365,e045ff7b-077c-4aec-bd1f-ae18aeee1941,tch_20200623-215505_365
std_1592934099469_367,114a1455-e897-42f7-bc5e-811f5f5ddb50,tch_20200623-215505_367
std_1592933957720_363,133d4000-7412-4eb0-9c96-8b93e8b12dd4,tch_20200623-215505_363
std_1592934249998_366,c5bdcd43-3b5f-4202-830a-23d70af1b39f,tch_20200623-215505_366
std_1592933833801_365,f2713ac2-7982-4856-9af2-3c448c48e3e0,tch_20200623-215505_365
std_1592934109766_366,3bab63bf-135c-4a69-9aab-e444b45aad36,tch_20200623-215505_366
std_1592934270885_369,43a4a4ab-e415-4f29-ab9d-9942085d3c54,tch_20200623-215505_369
std_1592933966035_367,56440ab6-c50f-4318-af42-2d23de739de9,tch_20200623-215505_367
std_1592933775243_363,9c020105-6c01-4531-a730-b0d2e5f51ac6,tch_20200623-215505_363
std_1592934281309_368,cc94e8e4-5b42-4be9-8ac5-fff67890bb56,tch_20200623-215505_368
std_1592933974781_366,e1c7bbe4-a12e-4086-b803-a53bd6a432e9,tch_20200623-215505_366
std_1592934133363_369,1aa1c878-9702-490b-8b37-f6493a68ab84,tch_20200623-215505_369
std_1592933840632_367,cc4c6dba-1968-4ff8-b729-075e7ba678de,tch_20200623-215505_367
std_1592934144865_368,2eecaade-d0ec-4665-98cf-adbf1dc65506,tch_20200623-215505_368
std_1592934279956_370,da1a0f88-0980-42ce-9679-44203ce5622d,tch_20200623-215505_370
std_1592933845765_366,c910fc72-6bc0-40bb-a3dd-f6ca7e84bba3,tch_20200623-215505_366
std_1592934008476_369,61aa778c-e5b3-4845-890c-313f6ebd187b,tch_20200623-215505_369
std_1592934295424_371,22b5511a-c6eb-4a4a-a909-73ecc30f4edf,tch_20200623-215505_371
std_1592934149059_370,a4f53bef-44e2-4e0d-b997-b1a9e638a4e6,tch_20200623-215505_370
std_1592934011854_368,197cb9cc-9a52-4640-8bdd-9abaadc8d51b,tch_20200623-215505_368
std_1592933886870_369,01a08892-b4e5-45ae-97c4-9e441789a8b2,tch_20200623-215505_369
