teacher,classtitle,classcode,ap1,ap2,ap3,ap4,ap5
tch_20200602-184708_225,class_20200602-184708_225,u6md-AYsz,ddf45a4c-bb9e-4806-9ca1-ace46a723005,03a58c88-1664-453a-b176-a8663f1e02b9,1fa32bc6-48d2-46f4-a3a6-ca74294db247,49b68f1a-7137-492b-9838-39f86d321ec6,230f3e2e-c20c-440a-893f-02f9f2d5c8d4
tch_20200602-184708_231,class_20200602-184708_231,W9QD-cUw2,ea17148b-76ce-4f8b-bfd8-ccf9bab6685f,d33c842a-c61d-4ebd-9756-22965a69a0ab,8d33847d-ffc6-49d2-9837-d53a10e60c77,e3f3efa2-6218-403f-9ac2-33b76ee2b0a6,b15db62e-8056-45a0-b1cd-5a433356be3a
tch_20200602-184708_230,class_20200602-184708_230,A727-R7HT,ced9a309-3fbe-4cec-8980-5195517efd05,8c238f2d-73cc-4d31-8549-375ec2fe1f67,7c1a4396-7751-4246-be6f-224bae19ba04,55d1b29f-3b70-408a-ab52-62fd2491e2a5,290d4086-a2b4-4ff4-b59e-0412a9537858
tch_20200602-184708_229,class_20200602-184708_229,4LGj-J246,73661069-c9cb-46d6-815b-9b22a2684098,69a97b75-dfd8-4b23-8777-cc15cc095e68,7644f9b7-3f30-4459-a27c-2c15b5732d62,2a64ebff-39bc-43e1-bfca-7b50177f859c,4f388480-1069-494f-9a5f-f6d25ff506f4
tch_20200602-184708_232,class_20200602-184708_232,eRg2-67fJ,30b0041f-e1e7-4b40-9c35-122ec02854db,5283dee8-58bf-4b5b-8bb6-914392b95b59,9d19bffe-a4e7-488a-a4c7-dd315225a953,323ed423-dc6d-4de1-a704-645a9bcca8fa,e36877a6-eccb-4cc5-b9c4-1295b57787b4
tch_20200602-184708_236,class_20200602-184708_236,4z37-BZJA,c50f07c5-c124-4d3c-bd88-39df636d7f35,6401afc1-cca9-48fe-bb27-3f2aa0e10c4c,e9416f56-fae5-43f1-a6cc-9efc0ee34188,74fa7998-b6d3-4c7d-828d-9b9fc7e82c9e,c8a3a62a-15c0-430e-84c2-90bc60742c4b
tch_20200602-184708_234,class_20200602-184708_234,uxmV-9pH7,1940b261-9b5d-42ce-9b68-72c319ff43dc,96e0e393-64dc-41f9-9a25-0eb95fbb7b37,03a25295-6a56-48ed-958b-7210becf5580,5ab516d4-dd1a-4048-83ca-8f62229ceaa1,c16f8d10-c8c1-44a5-89af-b4af545674a1
tch_20200602-184708_235,class_20200602-184708_235,JLrj-7U4A,46e01577-2387-4f4c-b5e8-6a847388438f,b93d768d-d281-4479-8484-3eb04039ed7f,1264e4ff-8599-4854-8c76-79f99f0831c1,f6206601-b150-4f4b-a31d-43bdb8dff9c9,cd620dd1-571c-4de3-b10a-25504f88b22a
tch_20200602-184708_233,class_20200602-184708_233,u7Xp-Je8N,d11c2842-7b3d-4567-b04f-eb077a2ed6ec,a8a553b1-f057-4498-9a94-deeaceac9c39,40adcf18-2e4b-4831-a7ee-aef6b4232608,740322e1-f59e-4b74-a3e4-f2131327f92d,389b2e10-3723-4636-a702-282a7c6389a0
tch_20200602-184708_239,class_20200602-184708_239,QUWV-kbaq,1834af15-95ba-44bd-b9a1-35da0a0133df,08b45ecc-323e-45a3-8693-8cd2ff6817f3,b1da60fa-97cc-4dfa-86e0-4dff9d8a99ff,621d2102-37f6-429c-9894-379c2260e1eb,e536c035-960c-4e35-9e13-b85d53858cb2
