tch,classtitle,classcode,ap1,ap2,ap3,ap4,ap5
tch_20200714-194906_26,class_20200714-194906_26,4e2N-kdv9,d988e1e3-4e35-4ffa-b0e4-5c0b3afb3d85,7c1c4ed6-92b1-40a7-9da8-3b5c9fa3e02e,82a1f28a-57c5-4789-a76f-c76ffce917ba,5bff9d36-c186-4b93-91b4-9944198f725b,fc561e34-8711-4556-9db8-6b353d0207f2
tch_20200714-194906_25,class_20200714-194906_25,cHqm-L4T7,ab380644-bcab-4a21-8bc6-19e9e8e17d13,93fe122f-1b98-424d-8bbd-0ab16d7c538d,f50bf7db-00e4-4435-8821-6013c7721e27,90ff4817-bdc0-4c94-a6f6-cfd96460b10c,38a704dd-42bf-47be-bd23-7f1e9cf8aa87
tch_20200714-194906_27,class_20200714-194906_27,RgCB-U2ER,a2a8d81c-6bb2-49bc-bd33-32c4796f5a66,02552b40-0dab-4d57-a612-6d7cb61ef156,f8e74c5d-217e-4881-831d-620b6ab02c73,1243c4d5-cce9-45d3-b38f-a4f9275a2567,fed57d50-a0d4-41cf-9f8e-37be5a711fb2
tch_20200714-194906_28,class_20200714-194906_28,fxVL-Z4E8,d87603df-b90a-4ffb-af6a-85f88871947f,b5e1cfbf-a03e-4336-91ac-739200d6c70c,1ff0bf2b-e9c8-44d8-b0d2-c6336fd198c3,2e2c9954-3c03-4561-af1d-556f5f83b987,2be197b7-b029-4b88-82a1-ed5edae57e6d
tch_20200714-194906_29,class_20200714-194906_29,f2fa-8Cch,b933d841-d2d6-45e0-8026-524db13419da,83144777-f70d-45c2-99dc-36e4e30989e1,9a373bba-49e1-4097-8eaa-fa49f82bf3c6,c61daecb-3d7b-4731-9492-569c3284bcba,bd33bada-a127-4b21-a36e-1e0cd8582965
tch_20200714-194906_30,class_20200714-194906_30,Jez3-k2P2,2cc78227-8475-4b72-9694-3964cf5d6f6e,5ebcd934-4c84-4526-9b89-84ddfac771c8,02e2e2f4-3b36-4c30-8130-ea4f79e3c90d,228177de-68e9-4029-ae47-3ee5fa5c571e,13031f1a-897c-4cf3-a668-9e088ceadc51
tch_20200714-194906_31,class_20200714-194906_31,UKHw-j6aW,4802f1d8-e6e8-4eab-bcac-e7c969ef8462,b842313f-d38d-480c-88d8-585b15304fe8,c090e7e0-fbf2-43e6-897f-b6acc0d92519,c9843f07-392a-4c69-bb88-3e1756a3728a,208074d3-7899-40ad-ab96-32da681dc921
tch_20200714-194906_32,class_20200714-194906_32,DwnZ-c4e4,e57fb0d3-5e96-4395-827e-ca7d06133c5f,e7df11f3-33b9-42da-b87e-f8c14301ee8d,5bc9e5f9-12d5-4c78-a654-7cf297344008,c32e8a24-0810-4cd9-96a4-8fcc45cfc344,7e73a499-08f3-4711-82d2-afea9a88bd87
tch_20200714-194906_33,class_20200714-194906_33,Ux8U-tdrj,45ae930e-638a-4636-8811-bb8a241096c9,aeb0557f-6bd5-493b-a966-9e28ab2eed2e,98734663-d957-4689-85ef-95ff9b1892a4,371eda66-3e4f-4570-b2e1-f55cd3ae23e0,7839e79a-e865-4a51-b6a1-6e4b34e714ac
tch_20200714-194906_34,class_20200714-194906_34,X83g-JEZn,aa631577-5703-4217-a76b-033e0b132c30,6f0b563d-7998-4bbe-86a3-936d58a9afbd,a12cb331-ffeb-47c7-884b-e3ab6d128f8c,76073527-f204-4eeb-9d03-2ca064ca045d,ef541bf9-abe1-4644-98ce-955cfaa76300
tch_20200714-194906_36,class_20200714-194906_36,owb2-9smF,55a22450-095f-4b9f-9f12-cf6a125c4d1d,21c6e0f0-9a5f-4b2b-83d3-b870a91a8eef,0fb06cb0-2591-4d20-868a-70230c4359ae,8201d280-e2c8-416b-bc74-4f16451872c6,bd3bd7b1-468e-4566-bfab-d7cb9f20769d
tch_20200714-194906_35,class_20200714-194906_35,4rxE-4VU9,a55d5b96-a9b5-46fb-8421-fa2f59570cfc,6c070de2-98b1-47ed-8974-45387fea508b,feb02197-8d5c-4e95-bb03-740a102c775d,697f1a34-4174-4910-924e-b8d25d0677d3,fa9513cb-cad0-4156-a568-dd4ae514a264
