std_extuserid,classcode,classid,invitationid,tch
s41_1594820762300_1,YrmD-E8j3,6f01e1c9-c6a1-11ea-acee-0242ac110002,9751118e-1273-43ea-8684-0e664a3c427e,t241_20200715-191504_1
s41_1594820776561_1,YrmD-E8j3,6f01e1c9-c6a1-11ea-acee-0242ac110002,d9e2370e-e1a3-492a-8ff0-3a35471a17bc,t241_20200715-191504_1
s41_1594820785796_2,Rd9s-aKtA,7fd76bea-c6a1-11ea-acee-0242ac110002,3df8a044-7a4e-4583-971e-b214b587133f,t241_20200715-191504_2
s41_1594820793786_1,YrmD-E8j3,6f01e1c9-c6a1-11ea-acee-0242ac110002,52b3ec10-0c15-467b-9648-409dfddd3013,t241_20200715-191504_1
s41_1594820803014_2,Rd9s-aKtA,7fd76bea-c6a1-11ea-acee-0242ac110002,950be23e-99b3-4557-bbc7-ad853238eb30,t241_20200715-191504_2
s41_1594820810999_1,YrmD-E8j3,6f01e1c9-c6a1-11ea-acee-0242ac110002,bd47c926-4f18-4c4f-a337-39a5960e1b77,t241_20200715-191504_1
s41_1594820820397_2,Rd9s-aKtA,7fd76bea-c6a1-11ea-acee-0242ac110002,c9b7b88a-eb2c-432c-9694-0e5e0caf92c4,t241_20200715-191504_2
s41_1594820820362_3,LTKn-mAkD,914a6ee4-c6a1-11ea-af23-0242ac110002,90150931-9a99-48d8-958d-cc7819784f27,t241_20200715-191504_3
s41_1594820826550_1,YrmD-E8j3,6f01e1c9-c6a1-11ea-acee-0242ac110002,342495e9-7b3b-4cdc-befa-ce1467c2ac47,t241_20200715-191504_1
s41_1594820833801_3,LTKn-mAkD,914a6ee4-c6a1-11ea-af23-0242ac110002,6d8b1da6-f442-482c-b559-62bda8077d6f,t241_20200715-191504_3
s41_1594820833642_2,Rd9s-aKtA,7fd76bea-c6a1-11ea-acee-0242ac110002,9941c3a6-7635-45a2-bb43-8e975c52a220,t241_20200715-191504_2
s41_1594820840114_1,YrmD-E8j3,6f01e1c9-c6a1-11ea-acee-0242ac110002,e7bdac0a-9789-4ea1-88b7-7a4f9d108f44,t241_20200715-191504_1
s41_1594820849494_2,Rd9s-aKtA,7fd76bea-c6a1-11ea-acee-0242ac110002,de879701-a489-4052-ac6a-7604c3034e79,t241_20200715-191504_2
s41_1594820849489_3,LTKn-mAkD,914a6ee4-c6a1-11ea-af23-0242ac110002,7395021d-3c1f-4647-a93b-0d2a2444aa5b,t241_20200715-191504_3
s41_1594820854236_4,LYiV-9rQZ,a4d9257d-c6a1-11ea-89f8-0242ac110002,f999db28-82c1-423b-a230-09f69164a43d,t241_20200715-191504_4
s41_1594820856460_1,YrmD-E8j3,6f01e1c9-c6a1-11ea-acee-0242ac110002,ceacc377-891e-43ff-ac30-0e3ae69e8657,t241_20200715-191504_1
s41_1594820867735_3,LTKn-mAkD,914a6ee4-c6a1-11ea-af23-0242ac110002,3dec6f01-a07a-4f28-8f1c-3037866e913d,t241_20200715-191504_3
s41_1594820864276_2,Rd9s-aKtA,7fd76bea-c6a1-11ea-acee-0242ac110002,cc064f37-851f-4113-9c0e-b7d20a083cf9,t241_20200715-191504_2
s41_1594820871834_4,LYiV-9rQZ,a4d9257d-c6a1-11ea-89f8-0242ac110002,eff19ee0-8315-443e-bee6-9e0dfbb6eb87,t241_20200715-191504_4
s41_1594820874124_1,YrmD-E8j3,6f01e1c9-c6a1-11ea-acee-0242ac110002,7453fc25-a0ae-47a1-84ba-a635488912c7,t241_20200715-191504_1
s41_1594820881646_3,LTKn-mAkD,914a6ee4-c6a1-11ea-af23-0242ac110002,7e7c49f0-cd42-4e4e-8dce-b130db96a9f1,t241_20200715-191504_3
s41_1594820882259_2,Rd9s-aKtA,7fd76bea-c6a1-11ea-acee-0242ac110002,4418ebdd-9dad-496c-8c05-cc35003f1b5d,t241_20200715-191504_2
s41_1594820882964_5,yP9p-2gw7,b5a07f37-c6a1-11ea-89f8-0242ac110002,23f675b9-dcad-492d-b546-55bb50149a9c,t241_20200715-191504_5
s41_1594820887820_1,YrmD-E8j3,6f01e1c9-c6a1-11ea-acee-0242ac110002,cd04d9c4-644a-4b51-a983-cbcc4ae318a1,t241_20200715-191504_1
s41_1594820887811_4,LYiV-9rQZ,a4d9257d-c6a1-11ea-89f8-0242ac110002,c2311c12-30ae-452f-8e5d-56249b4d1e90,t241_20200715-191504_4
s41_1594820897197_2,Rd9s-aKtA,7fd76bea-c6a1-11ea-acee-0242ac110002,2e42de77-e287-47c8-8ba2-0c4fcd0692e7,t241_20200715-191504_2
s41_1594820895981_3,LTKn-mAkD,914a6ee4-c6a1-11ea-af23-0242ac110002,546b894d-d577-4886-9c27-c3080cd5a9d5,t241_20200715-191504_3
s41_1594820900487_5,yP9p-2gw7,b5a07f37-c6a1-11ea-89f8-0242ac110002,dd01774d-0508-4db9-aab2-a185621bd971,t241_20200715-191504_5
s41_1594820903368_1,YrmD-E8j3,6f01e1c9-c6a1-11ea-acee-0242ac110002,2c8a457b-eb20-45ae-a2d6-3d03df40c89a,t241_20200715-191504_1
s41_1594820903767_4,LYiV-9rQZ,a4d9257d-c6a1-11ea-89f8-0242ac110002,29040a72-b157-4495-adcd-d82bcdfe684c,t241_20200715-191504_4
s41_1594820910619_2,Rd9s-aKtA,7fd76bea-c6a1-11ea-acee-0242ac110002,eae09390-4f4b-4d2a-a3e3-923f24f0e0c3,t241_20200715-191504_2
s41_1594820911465_3,LTKn-mAkD,914a6ee4-c6a1-11ea-af23-0242ac110002,76521ec4-6eea-435f-a435-bf88c4a24d17,t241_20200715-191504_3
s41_1594820914302_6,QmLt-GK2w,c8699bed-c6a1-11ea-96b3-0242ac110002,217dd5d4-4b14-402c-88fe-1ccb062afadd,t241_20200715-191504_6
s41_1594820916575_5,yP9p-2gw7,b5a07f37-c6a1-11ea-89f8-0242ac110002,f39df467-cdbb-4a53-9891-d20d9cefad4c,t241_20200715-191504_5
s41_1594820919223_4,LYiV-9rQZ,a4d9257d-c6a1-11ea-89f8-0242ac110002,0619f327-d14a-4b1d-8a6e-15e858473ddf,t241_20200715-191504_4
s41_1594820917473_1,YrmD-E8j3,6f01e1c9-c6a1-11ea-acee-0242ac110002,f90706a0-393c-4d12-89b5-adbf598aeb91,t241_20200715-191504_1
s41_1594820926280_2,Rd9s-aKtA,7fd76bea-c6a1-11ea-acee-0242ac110002,2c2824b9-3047-4d62-a320-74e4b030c452,t241_20200715-191504_2
s41_1594820926615_3,LTKn-mAkD,914a6ee4-c6a1-11ea-af23-0242ac110002,cab38643-c350-4e79-b3de-b4d8b59367b6,t241_20200715-191504_3
s41_1594820929149_6,QmLt-GK2w,c8699bed-c6a1-11ea-96b3-0242ac110002,2edcdb5b-8939-4015-ab2f-2e8b3ffa2124,t241_20200715-191504_6
s41_1594820930387_5,yP9p-2gw7,b5a07f37-c6a1-11ea-89f8-0242ac110002,1267dd64-30aa-4d15-90f0-13a1597102ef,t241_20200715-191504_5
s41_1594820931815_4,LYiV-9rQZ,a4d9257d-c6a1-11ea-89f8-0242ac110002,f061dbca-5456-4ee2-bd56-d09ee91de1a9,t241_20200715-191504_4
s41_1594820933391_1,YrmD-E8j3,6f01e1c9-c6a1-11ea-acee-0242ac110002,f07eb6a3-26cc-4f69-ba9b-aec9687d55eb,t241_20200715-191504_1
s41_1594820938799_2,Rd9s-aKtA,7fd76bea-c6a1-11ea-acee-0242ac110002,25b6020a-c3fa-4a45-8c99-d6de3f4e8c2d,t241_20200715-191504_2
s41_1594820936063_7,6uWg-qYnz,d9580572-c6a1-11ea-96b3-0242ac110002,e798b769-7515-446a-b75b-341d7b450c1b,t241_20200715-191504_7
s41_1594820939815_3,LTKn-mAkD,914a6ee4-c6a1-11ea-af23-0242ac110002,54f9b8ea-d0b8-425e-830a-28a18f1aed24,t241_20200715-191504_3
s41_1594820943590_6,QmLt-GK2w,c8699bed-c6a1-11ea-96b3-0242ac110002,5153fe73-d48a-48fd-90cb-29efa2877ec5,t241_20200715-191504_6
s41_1594820953357_7,6uWg-qYnz,d9580572-c6a1-11ea-96b3-0242ac110002,f626b73b-2007-4850-b693-045ff9deb05b,t241_20200715-191504_7
s41_1594820956569_6,QmLt-GK2w,c8699bed-c6a1-11ea-96b3-0242ac110002,c635af92-5edb-454f-9938-0d54c0896202,t241_20200715-191504_6
s41_1594820958288_4,LYiV-9rQZ,a4d9257d-c6a1-11ea-89f8-0242ac110002,ace3ea31-698b-46e2-8bf8-f2b7af203951,t241_20200715-191504_4
s41_1594820959893_5,yP9p-2gw7,b5a07f37-c6a1-11ea-89f8-0242ac110002,d519d728-fc16-4950-822b-6801300c3bad,t241_20200715-191504_5
s41_1594820959894_1,YrmD-E8j3,6f01e1c9-c6a1-11ea-acee-0242ac110002,0542d4c7-2dd4-4d43-ba45-2842833850f8,t241_20200715-191504_1
s41_1594820969501_7,6uWg-qYnz,d9580572-c6a1-11ea-96b3-0242ac110002,f8dbd671-ebd1-41a0-89ad-fec6d632b010,t241_20200715-191504_7
s41_1594820968343_3,LTKn-mAkD,914a6ee4-c6a1-11ea-af23-0242ac110002,dc8cd32e-587d-4e4a-9fe0-751c946d1bf3,t241_20200715-191504_3
s41_1594820967568_2,Rd9s-aKtA,7fd76bea-c6a1-11ea-acee-0242ac110002,d641af02-c5dd-4d68-9ef5-0cc0dfc333cc,t241_20200715-191504_2
s41_1594820969961_8,med6-oZ8F,eb9d9a96-c6a1-11ea-96b3-0242ac110002,3ac525a7-5df4-4ffa-8709-bdecf08fd616,t241_20200715-191504_8
s41_1594820972064_6,QmLt-GK2w,c8699bed-c6a1-11ea-96b3-0242ac110002,06b2989b-b654-40ab-a5ca-57f8dab073b9,t241_20200715-191504_6
s41_1594820974206_4,LYiV-9rQZ,a4d9257d-c6a1-11ea-89f8-0242ac110002,9dc045a3-b57e-442f-ada4-bb17a58322af,t241_20200715-191504_4
s41_1594820975946_5,yP9p-2gw7,b5a07f37-c6a1-11ea-89f8-0242ac110002,c801e3bf-2896-4e4f-8ac2-835b4206a87b,t241_20200715-191504_5
s41_1594820976254_1,YrmD-E8j3,6f01e1c9-c6a1-11ea-acee-0242ac110002,894a6260-ad30-4289-a20f-5133d54b5d58,t241_20200715-191504_1
s41_1594820983779_7,6uWg-qYnz,d9580572-c6a1-11ea-96b3-0242ac110002,f6af7df6-8059-4dfb-b92a-a69ee5310842,t241_20200715-191504_7
s41_1594820984652_2,Rd9s-aKtA,7fd76bea-c6a1-11ea-acee-0242ac110002,220211a5-ba39-4dd6-9e95-4c9048ce0d5d,t241_20200715-191504_2
s41_1594820984244_3,LTKn-mAkD,914a6ee4-c6a1-11ea-af23-0242ac110002,275ee487-bba6-468b-9fc5-213a97925230,t241_20200715-191504_3
s41_1594820986152_8,med6-oZ8F,eb9d9a96-c6a1-11ea-96b3-0242ac110002,192b15de-efce-47d9-9071-b6095ca14c20,t241_20200715-191504_8
s41_1594820989360_4,LYiV-9rQZ,a4d9257d-c6a1-11ea-89f8-0242ac110002,3e416cbf-7de6-4a76-86d6-47fdd597628d,t241_20200715-191504_4
s41_1594820988131_6,QmLt-GK2w,c8699bed-c6a1-11ea-96b3-0242ac110002,7237c873-2de2-42e8-856a-c14f036de960,t241_20200715-191504_6
s41_1594820991822_1,YrmD-E8j3,6f01e1c9-c6a1-11ea-acee-0242ac110002,8c4b94b1-3c27-47f8-904d-b86dfa2570ba,t241_20200715-191504_1
s41_1594820991533_5,yP9p-2gw7,b5a07f37-c6a1-11ea-89f8-0242ac110002,152a5508-1a5d-4ae2-9fc1-62e2ef191b93,t241_20200715-191504_5
s41_1594820997992_7,6uWg-qYnz,d9580572-c6a1-11ea-96b3-0242ac110002,9803a3d2-21cc-4c05-bfa8-0a366fd6f6ed,t241_20200715-191504_7
s41_1594821000017_3,LTKn-mAkD,914a6ee4-c6a1-11ea-af23-0242ac110002,6c0d9237-641b-4566-8977-466bdf8ace99,t241_20200715-191504_3
s41_1594820998383_2,Rd9s-aKtA,7fd76bea-c6a1-11ea-acee-0242ac110002,01fc9f88-6e68-4ae6-b386-00979a42fa45,t241_20200715-191504_2
