teacher,classcode,c,d,e,f,g,h
tch_20200511-194843_1163,class_20200511-194843_1163,TsPg-3p9D,,,,,
tch_20200511-194843_1167,class_20200511-194843_1167,4Ts7-Vu78,,,,,
tch_20200511-194843_1166,class_20200511-194843_1166,dgJf-4dkL,,,,,
tch_20200511-194843_1170,class_20200511-194843_1170,x4w2-7C9m,,,,,
tch_20200511-194843_1168,class_20200511-194843_1168,7a37-Wkb4,,,,,
tch_20200511-194843_1169,class_20200511-194843_1169,9N3P-wPLd,,,,,
tch_20200511-194843_1171,class_20200511-194843_1171,y46s-dTv9,,,,,
tch_20200511-194843_1173,class_20200511-194843_1173,nQ4C-WU93,,,,,
tch_20200511-194843_1172,class_20200511-194843_1172,K9Qo-hVDU,,,,,
tch_20200511-194843_1174,class_20200511-194843_1174,W9J8-Q7bE,,,,,
tch_20200511-194843_1175,class_20200511-194843_1175,XR78-pTYr,,,,,
tch_20200511-194843_1176,class_20200511-194843_1176,yKvL-Z4Rz,,,,,
tch_20200511-194843_1177,class_20200511-194843_1177,KYDH-ivBd,,,,,
tch_20200511-194843_1178,class_20200511-194843_1178,d4p6-Jxc2,,,,,
tch_20200511-194843_1179,class_20200511-194843_1179,vfyw-3Czw,,,,,
tch_20200511-194843_1180,class_20200511-194843_1180,iEjX-Jewx,,,,,
tch_20200511-194843_1181,class_20200511-194843_1181,E2u9-dQJK,,,,,
tch_20200511-194843_1184,class_20200511-194843_1184,kT6t-Wanq,,,,,
tch_20200511-194843_1182,class_20200511-194843_1182,f9s7-M49B,,,,,
tch_20200511-194843_1183,class_20200511-194843_1183,7RkT-oZ3T,,,,,
tch_20200511-194843_1185,class_20200511-194843_1185,7Xjg-j8oe,,,,,
tch_20200511-194843_1186,class_20200511-194843_1186,Qrqr-3LoN,,,,,
tch_20200511-194843_1187,class_20200511-194843_1187,ozjP-Jm78,,,,,
tch_20200511-194843_1188,class_20200511-194843_1188,f9JM-oxc7,,,,,
tch_20200511-194843_1189,class_20200511-194843_1189,yhen-xi9g,,,,,
tch_20200511-194843_1190,class_20200511-194843_1190,GJgW-ByEw,,,,,
tch_20200511-194843_1191,class_20200511-194843_1191,k7d4-78Nk,,,,,
tch_20200511-194843_1192,class_20200511-194843_1192,Y7sT-J8yX,,,,,
tch_20200511-194843_1193,class_20200511-194843_1193,xdjT-9Xcv,,,,,
tch_20200511-194843_1194,class_20200511-194843_1194,6r93-7aFL,,,,,
tch_20200511-194843_1195,class_20200511-194843_1195,9vW3-Vgmr,,,,,
tch_20200511-194843_1196,class_20200511-194843_1196,F6pd-LxiL,,,,,
tch_20200511-194843_1197,class_20200511-194843_1197,FPL3-oPNh,,,,,
tch_20200511-194843_1198,class_20200511-194843_1198,3c3V-UFaL,,,,,
tch_20200511-194843_1199,class_20200511-194843_1199,jVWi-6ABH,,,,,
tch_20200511-194843_1200,class_20200511-194843_1200,ViX8-i6T3,,,,,
tch_20200511-194843_1201,class_20200511-194843_1201,eqgn-a6u2,,,,,
tch_20200511-194843_1203,class_20200511-194843_1203,ZkFY-J746,,,,,
tch_20200511-194843_1204,class_20200511-194843_1204,Jq7M-83ju,,,,,
tch_20200511-194843_1202,class_20200511-194843_1202,pJcy-sZq3,,,,,
tch_20200511-194843_1205,class_20200511-194843_1205,RVq3-7ZiZ,,,,,
tch_20200511-194843_1206,class_20200511-194843_1206,p42E-n3g7,,,,,
tch_20200511-194843_1207,class_20200511-194843_1207,98mQ-q38Q,,,,,
tch_20200511-194843_1208,class_20200511-194843_1208,c2qe-3JC4,,,,,
tch_20200511-194843_1209,class_20200511-194843_1209,LD4a-Ld7K,,,,,
tch_20200511-194843_1210,class_20200511-194843_1210,JzKF-e27L,,,,,
tch_20200511-194843_1211,class_20200511-194843_1211,cG2c-3Yn6,,,,,
tch_20200511-194843_1212,class_20200511-194843_1212,eKH4-Nn72,,,,,
tch_20200511-194843_1213,class_20200511-194843_1213,F36y-b8Lq,,,,,
tch_20200511-194843_1215,class_20200511-194843_1215,U978-gvrH,,,,,
tch_20200511-194843_1214,class_20200511-194843_1214,NqxJ-nTse,,,,,
tch_20200511-194843_1217,class_20200511-194843_1217,i6X8-G9bR,,,,,
tch_20200511-194843_1216,class_20200511-194843_1216,N4e6-nAmx,,,,,
tch_20200511-194843_1218,class_20200511-194843_1218,UijT-2PwK,,,,,
tch_20200511-194843_1219,class_20200511-194843_1219,Kn7C-vNFG,,,,,
tch_20200511-194843_1221,class_20200511-194843_1221,VsL8-q4jH,,,,,
tch_20200511-194843_1220,class_20200511-194843_1220,pyp7-m8N9,,,,,
tch_20200511-194843_1222,class_20200511-194843_1222,8Px8-N6Gt,,,,,
tch_20200511-194843_1223,class_20200511-194843_1223,vrjH-P79p,,,,,
tch_20200511-194843_1224,class_20200511-194843_1224,6d29-AWe8,,,,,
tch_20200511-194843_1225,class_20200511-194843_1225,Y437-NcEL,,,,,
tch_20200511-194843_1226,class_20200511-194843_1226,4hMF-8f8V,,,,,
tch_20200511-194843_1227,class_20200511-194843_1227,foYj-sG2j,,,,,
tch_20200511-194843_1228,class_20200511-194843_1228,289x-rQAj,,,,,
tch_20200511-194843_1229,class_20200511-194843_1229,hpAk-Q469,,,,,
tch_20200511-194843_1230,class_20200511-194843_1230,yhFc-iX37,,,,,
