extuserid,classcode,category,pe_category,pe_end_index,attempt_end_index,category_type
std_eN7q-UnqM_1706497843206_19,eN7q-UnqM,L2,l2pe,6,4,L
std_6LXa-7q3Q_1703845327136_67,6LXa-7q3Q,M4,m4pe,13,4,M
std_d3B8-Kg2F_1706499224661_82,d3B8-Kg2F,M5,m5pe,4,4,M
std_Hjo7-Jv4F_1703845393686_72,Hjo7-Jv4F,H1,h1pe,7,4,H
std_4Bei-8DaA_1706497925884_25,4Bei-8DaA,L2,l2pe,6,4,L
std_qbEM-7zKm_1703845807516_83,qbEM-7zKm,H3,h3pe,9,4,H
std_6cXQ-fZ24_1703848420074_2,6cXQ-fZ24,L1,l1pe,4,3,L
std_6Y4r-j2Wo_1705576280186_80,6Y4r-j2Wo,L8,l8pe,4,4,L
std_yYwV-zktv_1706502612039_48,yYwV-zktv,L7,l7pe,4,3,L
std_6Y4r-j2Wo_1705576250589_80,6Y4r-j2Wo,L8,l8pe,4,4,L
std_8Abi-9J6s_1703848450405_4,8Abi-9J6s,L1,l1pe,4,3,L
std_4ojs-7YBg_1706499225383_95,4ojs-7YBg,H3,h3pe,9,4,H
std_4nfp-doMr_1703848693380_13,4nfp-doMr,L2,l2pe,6,4,L
std_hLpm-NcjK_1706502448406_39,hLpm-NcjK,L7,l7pe,4,3,L
std_RL2o-A8i8_1706499195659_92,RL2o-A8i8,H3,h3pe,9,4,H
std_dnaj-J7yL_1706497674865_11,dnaj-J7yL,L1,l1pe,4,3,L
std_J7CM-E2qb_1706503471534_83,J7CM-E2qb,M5,m5pe,4,4,M
std_P7m7-K8hR_1703844862176_53,P7m7-K8hR,M1,m1pe,11,4,M
95f5247d6aad4453be1e32a4b7246aa6,f2p7-LQNh,H2,h2pe,17,4,H
std_AvC2-X834_1705638112273_11,AvC2-X834,L7,l7pe,4,3,L
std_qzgR-hqH4_1706502357581_32,qzgR-hqH4,L3,l3pe,10,4,L
std_f2p7-LQNh_1703845651621_80,f2p7-LQNh,H2,h2pe,17,4,H
std_NvFp-4m3s_1706497926568_23,NvFp-4m3s,L2,l2pe,6,4,L
std_4nfp-doMr_1703848684791_13,4nfp-doMr,L2,l2pe,6,4,L
std_6Tcg-K47f_1705574819779_9,6Tcg-K47f,L8,l8pe,4,4,L
std_73d2-6B3e_1705576828955_108,73d2-6B3e,L8,l8pe,4,4,L
std_4o9w-7F3Y_1706501954599_11,4o9w-7F3Y,L1,l1pe,4,3,L
std_P7m7-K8hR_1703844870168_53,P7m7-K8hR,M1,m1pe,11,4,M
std_qoW4-8Hxz_1706501952211_10,qoW4-8Hxz,L1,l1pe,4,3,L
std_BHdy-2mwi_1703845267156_68,BHdy-2mwi,M4,m4pe,13,4,M
std_NG2H-4ZR2_1706497876033_22,NG2H-4ZR2,L2,l2pe,6,4,L
std_Tn42-ZuB7_1703845550776_79,Tn42-ZuB7,H2,h2pe,17,4,H
std_46pV-i787_1706502638978_50,46pV-i787,L8,l8pe,4,4,L
std_7G93-984q_1706501987005_15,7G93-984q,L1,l1pe,4,3,L
std_oU7Y-m468_1706502493863_41,oU7Y-m468,L7,l7pe,4,3,L
std_PJvU-onK7_1706497785061_15,PJvU-onK7,L1,l1pe,4,3,L
std_pCjg-4fQL_1706502990363_69,pCjg-4fQL,M1,m1pe,11,4,M
std_aDwj-36W9_1703848737095_17,aDwj-36W9,L2,l2pe,6,4,L
std_aDEK-gyCj_1706499327757_99,aDEK-gyCj,H5,h5pe,7,4,H
std_6cXQ-fZ24_1703848383136_2,6cXQ-fZ24,L1,l1pe,4,3,L
std_8yp3-KTE2_1705638446999_29,8yp3-KTE2,L7,l7pe,4,3,L
std_V6xb-kb6o_1706497518417_2,V6xb-kb6o,L1,l1pe,4,3,L
std_dA4N-E6JY_1706498748203_69,dA4N-E6JY,M1,m1pe,11,4,M
std_LT93-8t42_1706497744995_12,LT93-8t42,L1,l1pe,4,3,L
std_b9it-dD8A_1706497661074_7,b9it-dD8A,L1,l1pe,4,3,L
std_qzgR-hqH4_1706502353077_32,qzgR-hqH4,L3,l3pe,10,4,L
std_646K-UEow_1706499307858_93,646K-UEow,H3,h3pe,9,4,H
std_4nfp-doMr_1703848646908_13,4nfp-doMr,L2,l2pe,6,4,L
std_kp96-98kZ_1706498924442_75,kp96-98kZ,M3,m3pe,5,4,M
std_3ks3-xTFo_1705930945465_8,3ks3-xTFo,H6,h6pe,10,4,H
std_v8yF-b6V8_1706497587275_5,v8yF-b6V8,L1,l1pe,4,3,L
std_4o9w-7F3Y_1706501990219_11,4o9w-7F3Y,L1,l1pe,4,3,L
std_zuEc-6K2D_1706497692440_10,zuEc-6K2D,L1,l1pe,4,3,L
std_b9it-dD8A_1706497658849_7,b9it-dD8A,L1,l1pe,4,3,L
std_Wcqv-Lmkn_1706498261888_44,Wcqv-Lmkn,L7,l7pe,4,3,L
std_72NR-FQD2_1705575337066_34,72NR-FQD2,L8,l8pe,4,4,L
std_hs6p-tZVr_1706502248775_26,hs6p-tZVr,L2,l2pe,6,4,L
std_8cvo-e7Ch_1706502554327_46,8cvo-e7Ch,L7,l7pe,4,3,L
std_i32p-v2Pg_1706498632035_61,i32p-v2Pg,L9,l9pe,4,3,L
std_qbEM-7zKm_1703845838304_83,qbEM-7zKm,H3,h3pe,9,4,H
std_crZd-f93s_1703848575815_9,crZd-f93s,L1,l1pe,4,3,L
