stdextid,firstname,classcode
std_1616148713625_1,1007_200821_2_std_1616148713625_1,iEps-2xm4
std_1616148716683_2,1007_200821_2_std_1616148716683_2,fcy8-X4E3
std_1616148728115_1,1007_200821_2_std_1616148728115_1,iEps-2xm4
std_1616148736437_3,1007_200821_2_std_1616148736437_3,gTdM-Wtog
std_1616148731878_2,1007_200821_2_std_1616148731878_2,fcy8-X4E3
std_1616148746302_1,1007_200821_2_std_1616148746302_1,iEps-2xm4
std_1616148749260_3,1007_200821_2_std_1616148749260_3,gTdM-Wtog
std_1616148752088_2,1007_200821_2_std_1616148752088_2,fcy8-X4E3
std_1616148760661_1,1007_200821_2_std_1616148760661_1,iEps-2xm4
std_1616148766075_3,1007_200821_2_std_1616148766075_3,gTdM-Wtog
std_1616148768444_2,1007_200821_2_std_1616148768444_2,fcy8-X4E3
std_1616148775590_1,1007_200821_2_std_1616148775590_1,iEps-2xm4
std_1616148781239_4,1007_200821_2_std_1616148781239_4,BeEy-fPgD
std_1616148780653_3,1007_200821_2_std_1616148780653_3,gTdM-Wtog
std_1616148785500_2,1007_200821_2_std_1616148785500_2,fcy8-X4E3
std_1616148789702_1,1007_200821_2_std_1616148789702_1,iEps-2xm4
std_1616148794203_4,1007_200821_2_std_1616148794203_4,BeEy-fPgD
std_1616148801239_3,1007_200821_2_std_1616148801239_3,gTdM-Wtog
std_1616148797000_5,1007_200821_2_std_1616148797000_5,j4E8-vaAs
std_1616148802746_2,1007_200821_2_std_1616148802746_2,fcy8-X4E3
std_1616148803696_1,1007_200821_2_std_1616148803696_1,iEps-2xm4
std_1616148812231_6,1007_200821_2_std_1616148812231_6,wXC8-k6TR
std_1616148812054_3,1007_200821_2_std_1616148812054_3,gTdM-Wtog
std_1616148814108_2,1007_200821_2_std_1616148814108_2,fcy8-X4E3
std_1616148811956_4,1007_200821_2_std_1616148811956_4,BeEy-fPgD
std_1616148812209_5,1007_200821_2_std_1616148812209_5,j4E8-vaAs
std_1616148821271_1,1007_200821_2_std_1616148821271_1,iEps-2xm4
std_1616148827500_2,1007_200821_2_std_1616148827500_2,fcy8-X4E3
std_1616148826378_7,1007_200821_2_std_1616148826378_7,AoHT-392x
std_1616148826281_6,1007_200821_2_std_1616148826281_6,wXC8-k6TR
std_1616148826906_3,1007_200821_2_std_1616148826906_3,gTdM-Wtog
std_1616148832000_5,1007_200821_2_std_1616148832000_5,j4E8-vaAs
std_1616148833764_1,1007_200821_2_std_1616148833764_1,iEps-2xm4
std_1616148831812_4,1007_200821_2_std_1616148831812_4,BeEy-fPgD
std_1616148840303_2,1007_200821_2_std_1616148840303_2,fcy8-X4E3
std_1616148843107_6,1007_200821_2_std_1616148843107_6,wXC8-k6TR
std_1616148841201_7,1007_200821_2_std_1616148841201_7,AoHT-392x
std_1616148844718_3,1007_200821_2_std_1616148844718_3,gTdM-Wtog
std_1616148850025_8,1007_200821_2_std_1616148850025_8,uw38-q9FP
std_1616148850512_1,1007_200821_2_std_1616148850512_1,iEps-2xm4
std_1616148850803_4,1007_200821_2_std_1616148850803_4,BeEy-fPgD
std_1616148854963_6,1007_200821_2_std_1616148854963_6,wXC8-k6TR
std_1616148861148_8,1007_200821_2_std_1616148861148_8,uw38-q9FP
std_1616148853782_2,1007_200821_2_std_1616148853782_2,fcy8-X4E3
std_1616148855853_7,1007_200821_2_std_1616148855853_7,AoHT-392x
std_1616148859143_3,1007_200821_2_std_1616148859143_3,gTdM-Wtog
std_1616148864675_1,1007_200821_2_std_1616148864675_1,iEps-2xm4
std_1616148846108_5,1007_200821_2_std_1616148846108_5,j4E8-vaAs
std_1616148868744_4,1007_200821_2_std_1616148868744_4,BeEy-fPgD
std_1616148874413_2,1007_200821_2_std_1616148874413_2,fcy8-X4E3
std_1616148876433_7,1007_200821_2_std_1616148876433_7,AoHT-392x
std_1616148873045_10,1007_200821_2_std_1616148873045_10,67QC-Y2ah
std_1616148873636_8,1007_200821_2_std_1616148873636_8,uw38-q9FP
std_1616148872025_6,1007_200821_2_std_1616148872025_6,wXC8-k6TR
std_1616148877452_3,1007_200821_2_std_1616148877452_3,gTdM-Wtog
std_1616148885866_2,1007_200821_2_std_1616148885866_2,fcy8-X4E3
std_1616148879264_5,1007_200821_2_std_1616148879264_5,j4E8-vaAs
std_1616148878720_1,1007_200821_2_std_1616148878720_1,iEps-2xm4
std_1616148887384_7,1007_200821_2_std_1616148887384_7,AoHT-392x
std_1616148887450_10,1007_200821_2_std_1616148887450_10,67QC-Y2ah
std_1616148881461_9,1007_200821_2_std_1616148881461_9,ok94-Fq2c
std_1616148884054_4,1007_200821_2_std_1616148884054_4,BeEy-fPgD
std_1616148896213_3,1007_200821_2_std_1616148896213_3,gTdM-Wtog
std_1616148890592_6,1007_200821_2_std_1616148890592_6,wXC8-k6TR
std_1616148890016_8,1007_200821_2_std_1616148890016_8,uw38-q9FP
std_1616148897848_2,1007_200821_2_std_1616148897848_2,fcy8-X4E3
std_1616148900698_7,1007_200821_2_std_1616148900698_7,AoHT-392x
std_1616148902060_10,1007_200821_2_std_1616148902060_10,67QC-Y2ah
std_1616148900847_11,1007_200821_2_std_1616148900847_11,imk6-4RPe
std_1616148903005_4,1007_200821_2_std_1616148903005_4,BeEy-fPgD
std_1616148898709_1,1007_200821_2_std_1616148898709_1,iEps-2xm4
std_1616148898545_5,1007_200821_2_std_1616148898545_5,j4E8-vaAs
std_1616148902108_9,1007_200821_2_std_1616148902108_9,ok94-Fq2c
std_1616148907021_3,1007_200821_2_std_1616148907021_3,gTdM-Wtog
