teacher,classcode,c,d,e,f,g,h
tch_20200511-194843_919,class_20200511-194843_919,9qM4-Ps9t,,,,,
tch_20200511-194843_920,class_20200511-194843_920,bKRN-8ozT,,,,,
tch_20200511-194843_922,class_20200511-194843_922,fLGw-3ojU,,,,,
tch_20200511-194843_921,class_20200511-194843_921,z93t-CbyN,,,,,
tch_20200511-194843_923,class_20200511-194843_923,jqvB-Qx67,,,,,
tch_20200511-194843_924,class_20200511-194843_924,zG8o-2Lsh,,,,,
tch_20200511-194843_926,class_20200511-194843_926,86iV-EN6v,,,,,
tch_20200511-194843_925,class_20200511-194843_925,CVvq-dL28,,,,,
tch_20200511-194843_927,class_20200511-194843_927,oZJ7-VAKp,,,,,
tch_20200511-194843_928,class_20200511-194843_928,TJN4-bu7h,,,,,
tch_20200511-194843_929,class_20200511-194843_929,Re86-cpws,,,,,
tch_20200511-194843_930,class_20200511-194843_930,4X8U-hM9v,,,,,
tch_20200511-194843_932,class_20200511-194843_932,LhKL-onbn,,,,,
tch_20200511-194843_931,class_20200511-194843_931,e9R8-wrF8,,,,,
tch_20200511-194843_933,class_20200511-194843_933,eBi3-P9V2,,,,,
tch_20200511-194843_934,class_20200511-194843_934,p8e7-c9MV,,,,,
tch_20200511-194843_935,class_20200511-194843_935,P9h4-Bg83,,,,,
tch_20200511-194843_937,class_20200511-194843_937,jw9Z-RwYL,,,,,
tch_20200511-194843_936,class_20200511-194843_936,D6gL-iEAo,,,,,
tch_20200511-194843_939,class_20200511-194843_939,6dL8-pCBq,,,,,
tch_20200511-194843_938,class_20200511-194843_938,cDjN-P6cd,,,,,
tch_20200511-194843_940,class_20200511-194843_940,YU4W-4d3D,,,,,
tch_20200511-194843_941,class_20200511-194843_941,u2aJ-hTjD,,,,,
tch_20200511-194843_942,class_20200511-194843_942,cvd6-Z2mq,,,,,
tch_20200511-194843_943,class_20200511-194843_943,x6s8-6393,,,,,
tch_20200511-194843_945,class_20200511-194843_945,8Fq9-Fecd,,,,,
tch_20200511-194843_944,class_20200511-194843_944,YyoJ-7nPG,,,,,
tch_20200511-194843_946,class_20200511-194843_946,h69P-a9Ax,,,,,
tch_20200511-194843_947,class_20200511-194843_947,iZ2v-whQ7,,,,,
tch_20200511-194843_948,class_20200511-194843_948,sg3C-mLow,,,,,
tch_20200511-194843_949,class_20200511-194843_949,EatD-Z8D8,,,,,
