tchextid,stduuid,stdextid,classcode
tch_20200715-172006_85,d7c2d7f7-cb0f-11ea-96b3-0242ac110002,std_1595307950061_385,n6hu-LMPx
tch_20200715-172006_66,d88e171d-cb0f-11ea-96b3-0242ac110002,std_1595307951765_366,W634-Rk3u
tch_20200715-172006_87,dc867b02-cb0f-11ea-89f8-0242ac110002,std_1595307958086_387,MDhu-M72D
tch_20200715-172006_75,dc3f383c-cb0f-11ea-96b3-0242ac110002,std_1595307957950_375,392k-7us6
tch_20200715-172006_74,dbcdffae-cb0f-11ea-89f8-0242ac110002,std_1595307957190_374,L234-y38x
tch_20200715-172006_68,df22341f-cb0f-11ea-89f8-0242ac110002,std_1595307962775_368,k7Hx-ZqtJ
tch_20200715-172006_81,df95dd38-cb0f-11ea-96b3-0242ac110002,std_1595307963563_381,YD8T-VNuY
tch_20200715-172006_73,ddc16bbd-cb0f-11ea-89f8-0242ac110002,std_1595307960441_373,XbXq-42EW
tch_20200715-172006_80,dda5cd28-cb0f-11ea-96b3-0242ac110002,std_1595307960304_380,Mag6-PjnN
tch_20200715-172006_69,df379108-cb0f-11ea-96b3-0242ac110002,std_1595307962917_369,fXL6-yrpN
tch_20200715-172006_88,deef3d22-cb0f-11ea-acee-0242ac110002,std_1595307962095_388,8Cob-6h8p
tch_20200715-172006_89,e1520c5b-cb0f-11ea-96b3-0242ac110002,std_1595307966108_389,j9d9-4VFR
tch_20200715-172006_67,df56630e-cb0f-11ea-89f8-0242ac110002,std_1595307963032_367,Hios-c9Af
tch_20200715-172006_82,e21339f8-cb0f-11ea-96b3-0242ac110002,std_1595307967731_382,9hso-iGc8
tch_20200715-172006_76,e2b4f750-cb0f-11ea-acee-0242ac110002,std_1595307968757_376,jRs2-A3mc
tch_20200715-172006_77,e3c5cb23-cb0f-11ea-89f8-0242ac110002,std_1595307970573_377,oUa9-yV78
tch_20200715-172006_70,e3cf4153-cb0f-11ea-96b3-0242ac110002,std_1595307970648_370,BGNY-3zj9
tch_20200715-172006_83,e30ba36e-cb0f-11ea-96b3-0242ac110002,std_1595307969353_383,y43d-ogYM
tch_20200715-172006_71,e549d37c-cb0f-11ea-acee-0242ac110002,std_1595307973120_371,69G3-wBaj
tch_20200715-172006_78,e5cc987f-cb0f-11ea-acee-0242ac110002,std_1595307973988_378,sMGk-ZCV7
tch_20200715-172006_79,e8318a66-cb0f-11ea-af23-0242ac110002,std_1595307978003_379,bGth-9Va7
tch_20200715-172006_90,e3b77371-cb0f-11ea-af23-0242ac110002,std_1595307970119_390,mUm2-aoqu
tch_20200715-172006_91,e6170e49-cb0f-11ea-89f8-0242ac110002,std_1595307974132_391,Cb46-7mc9
tch_20200715-172006_84,e52b9cc6-cb0f-11ea-acee-0242ac110002,std_1595307972917_384,XHiC-T2L7
tch_20200715-172006_86,e81e505e-cb0f-11ea-af23-0242ac110002,std_1595307977860_386,KRQh-NQGi
tch_20200715-172006_85,e8dfcb21-cb0f-11ea-acee-0242ac110002,std_1595307979108_385,n6hu-LMPx
tch_20200715-172006_92,e879dd9a-cb0f-11ea-96b3-0242ac110002,std_1595307978144_392,UPT4-rTCY
tch_20200715-172006_72,e710b05e-cb0f-11ea-96b3-0242ac110002,std_1595307976119_372,4W9C-3zD6
tch_20200715-172006_74,eb7bd2b7-cb0f-11ea-89f8-0242ac110002,std_1595307983505_374,L234-y38x
tch_20200715-172006_81,ed247999-cb0f-11ea-89f8-0242ac110002,std_1595307986297_381,YD8T-VNuY
tch_20200715-172006_87,eab28f4b-cb0f-11ea-acee-0242ac110002,std_1595307982187_387,MDhu-M72D
tch_20200715-172006_93,eadc8608-cb0f-11ea-af23-0242ac110002,std_1595307982156_393,2jRX-vixu
tch_20200715-172006_75,eb424ce1-cb0f-11ea-acee-0242ac110002,std_1595307983116_375,392k-7us6
