std_extuserid,classcode,classid,invitationid,tch
s41_1594110986297_42,v74e-639y,34113bf2-c02c-11ea-94cc-0242ac110002,1f06ca72-0d66-4869-8783-c1afa8d4b669,t241_20200707-135401_42
s41_1594110986430_60,sZ2u-7TDH,9e8d5d54-c02c-11ea-840b-0242ac110002,10695a88-18dd-42ad-8b79-a465f64eddbe,t241_20200707-135401_60
s41_1594110986136_57,R7gy-F78u,8d9c82dd-c02c-11ea-840b-0242ac110002,559bac78-5861-4fff-9ebd-824dfc856965,t241_20200707-135401_57
s41_1594110985461_70,287V-P8hJ,db631877-c02c-11ea-840b-0242ac110002,d1bf2f6a-72e5-43c0-b2b4-b40e44885f34,t241_20200707-135401_70
s41_1594110990601_59,Mh46-JqYG,99211e97-c02c-11ea-94cc-0242ac110002,93731d99-bf82-4ca3-bbab-9db3aab15710,t241_20200707-135401_59
s41_1594110987837_46,9Y29-K94n,4a9c69d4-c02c-11ea-840b-0242ac110002,2e29e788-ccb2-4322-8b4b-e49d45f775f3,t241_20200707-135401_46
s41_1594110987408_66,T647-47qt,c2e7dac7-c02c-11ea-840b-0242ac110002,835cb3f7-95f9-4624-8acf-1131c809298c,t241_20200707-135401_66
s41_1594110989255_49,zU2h-VdWF,5dfe6bad-c02c-11ea-94cc-0242ac110002,616cd5d5-db0e-4521-b69c-3dcff9f3f302,t241_20200707-135401_49
s41_1594110992471_44,U9yj-2Y38,3f510624-c02c-11ea-840b-0242ac110002,42e56f2e-baed-4d48-8d7d-7f8d305d3d35,t241_20200707-135401_44
s41_1594110992740_62,879s-C2cn,abe5cf64-c02c-11ea-94cc-0242ac110002,c86c203c-5237-48da-a1f3-afaf6706da22,t241_20200707-135401_62
s41_1594110991576_47,87bR-QWhG,4ffe214a-c02c-11ea-94cc-0242ac110002,5144d374-2048-4a40-bf8a-79a559b9fed3,t241_20200707-135401_47
s41_1594110991493_48,AwkF-eivQ,565ed1e6-c02c-11ea-94cc-0242ac110002,64874168-2865-42a9-8953-6bf5433f5860,t241_20200707-135401_48
s41_1594110991957_43,aWy2-cZCv,383b845f-c02c-11ea-94cc-0242ac110002,83ae5bbc-118a-4b09-b232-b32c07c0918c,t241_20200707-135401_43
s41_1594110991172_71,evrB-b8fY,e07acf18-c02c-11ea-94cc-0242ac110002,d264b7ab-e686-47f5-a307-f8baf4cac3c9,t241_20200707-135401_71
s41_1594110993101_65,VJ3p-wL8G,be2263bc-c02c-11ea-94cc-0242ac110002,828543ec-3e3f-4527-b87b-760fd9122a70,t241_20200707-135401_65
s41_1594110993100_53,jN4b-R4r8,74d8a352-c02c-11ea-840b-0242ac110002,f990d5e4-01eb-4d04-82e1-25577c6f5eec,t241_20200707-135401_53
s41_1594110994713_68,27PQ-Fyac,cf5a7fd8-c02c-11ea-840b-0242ac110002,8756974f-42aa-4048-bd19-2bb22c4b74f2,t241_20200707-135401_68
s41_1594110994140_58,KZur-Vx6b,9229d313-c02c-11ea-840b-0242ac110002,f40b6a37-08d5-4f75-bc3f-39542603aaaa,t241_20200707-135401_58
s41_1594110994375_63,yX2c-7tzy,b15e698d-c02c-11ea-840b-0242ac110002,b5358112-9588-4fee-a851-2d303f12766f,t241_20200707-135401_63
s41_1594110997149_64,EhYc-WU7T,b7d401a6-c02c-11ea-840b-0242ac110002,b4ab3170-f15d-47bd-a90a-fe439670dfb7,t241_20200707-135401_64
s41_1594110999815_67,PywM-mqu4,c96d0377-c02c-11ea-94cc-0242ac110002,75e0d89f-aa82-4d13-9a68-88312908cdd5,t241_20200707-135401_67
s41_1594111000000_51,9sjB-YNUg,69952fdd-c02c-11ea-94cc-0242ac110002,03d32e1e-c84e-47b4-ab98-55b2d265bb2e,t241_20200707-135401_51
s41_1594110995613_52,vUhA-Vj6X,6fc9ee05-c02c-11ea-94cc-0242ac110002,0c7bfbc6-31b4-474f-9664-3888a63ab246,t241_20200707-135401_52
s41_1594111000426_54,D2eC-mLiN,7b6a9d82-c02c-11ea-94cc-0242ac110002,b06ba5c9-b4e2-4049-82dc-814a3e2c7df5,t241_20200707-135401_54
s41_1594111000004_61,4Wx2-m6x2,a611f56a-c02c-11ea-840b-0242ac110002,9ad6f5b2-2805-4c8b-aa8a-02251d572be5,t241_20200707-135401_61
s41_1594110999994_50,687k-vLEA,62d34c19-c02c-11ea-94cc-0242ac110002,147a50b3-31fb-4747-8736-a88d1352d71a,t241_20200707-135401_50
s41_1594110998616_56,MuE2-G362,8767c41e-c02c-11ea-840b-0242ac110002,139e8edf-70d0-4e78-8275-06a48a08b954,t241_20200707-135401_56
s41_1594110999180_55,3D2w-Z97J,80ebc3c1-c02c-11ea-840b-0242ac110002,0086f74f-4717-436f-85a5-6c1b2ae9f1e4,t241_20200707-135401_55
s41_1594111000221_69,tgJ3-6gpg,d4edce6a-c02c-11ea-840b-0242ac110002,9f85ab93-23e5-4ac3-9355-f44a3a40197d,t241_20200707-135401_69
s41_1594110999312_45,AVL2-McCV,44addb7e-c02c-11ea-840b-0242ac110002,0ac5fa0d-b2e6-40c8-bd7f-9bcc4b1184ed,t241_20200707-135401_45
s41_1594111002363_57,R7gy-F78u,8d9c82dd-c02c-11ea-840b-0242ac110002,e1ce6330-e00a-4e7f-b30d-e359b8c5ce27,t241_20200707-135401_57
s41_1594111002606_70,287V-P8hJ,db631877-c02c-11ea-840b-0242ac110002,db404c29-881e-4b62-bc79-be067de3c728,t241_20200707-135401_70
s41_1594111001063_60,sZ2u-7TDH,9e8d5d54-c02c-11ea-840b-0242ac110002,58da6f54-ec54-48be-85cd-eee2ed6b2164,t241_20200707-135401_60
s41_1594111003259_59,Mh46-JqYG,99211e97-c02c-11ea-94cc-0242ac110002,8e26c3e8-44fd-4f21-a79e-98437d4eb416,t241_20200707-135401_59
s41_1594111002795_72,y6vB-g9jv,e63a0f71-c02c-11ea-840b-0242ac110002,49c0244e-abfc-4c5b-aa12-885fe7428a5d,t241_20200707-135401_72
s41_1594111005263_44,U9yj-2Y38,3f510624-c02c-11ea-840b-0242ac110002,0fe8b2cf-314e-4fb8-a844-38d7460a6962,t241_20200707-135401_44
