teacherextuserid,classcode,classid,invitationid,tch
t145_1594827784857_11,MDm3-oYDj,aa6afa51-c6b1-11ea-acee-0242ac110002,7221850a-dbd8-45e9-9762-6fdfe37ccaa9,t245_20200715-210618_11
t145_1594827785653_7,qAX9-ts76,63f67af5-c6b1-11ea-af23-0242ac110002,19ef5bae-50a1-45cb-a388-e22de60aa925,t245_20200715-210618_7
t145_1594827791420_10,GNh2-j8W8,9b26be71-c6b1-11ea-89f8-0242ac110002,f4baf528-5055-42bb-9841-114eccd08621,t245_20200715-210618_10
t145_1594827788293_13,u283-2scV,cea6a4da-c6b1-11ea-af23-0242ac110002,ae60c2c7-2efa-43ee-bf1b-eafd5d63cacb,t245_20200715-210618_13
t145_1594827788815_12,zp2q-WGyR,bc417972-c6b1-11ea-acee-0242ac110002,f0bb06f1-758c-4bf1-8b76-56accc2672e8,t245_20200715-210618_12
t145_1594827791084_9,u6hd-6Gs8,8682a092-c6b1-11ea-af23-0242ac110002,9fb61fec-2d19-46a7-80b1-db2d960923a9,t245_20200715-210618_9
t145_1594827797377_5,sf9Z-Xua3,3dd6f4b7-c6b1-11ea-89f8-0242ac110002,10971f36-e0c8-4e08-ac34-f1805a5d5ddf,t245_20200715-210618_5
t145_1594827799798_7,qAX9-ts76,63f67af5-c6b1-11ea-af23-0242ac110002,0e4e2c97-cd63-4a60-8a02-6f117d03a5ad,t245_20200715-210618_7
t145_1594827798547_8,aEw4-7kaq,77bdf4e2-c6b1-11ea-96b3-0242ac110002,12dd3e8f-9437-49b9-9352-2bb4888f610d,t245_20200715-210618_8
t145_1594827798389_6,79eW-VQZB,5396e3c1-c6b1-11ea-89f8-0242ac110002,9ec5ade4-e2ef-460c-aa99-3e609992e0c7,t245_20200715-210618_6
t145_1594827798602_11,MDm3-oYDj,aa6afa51-c6b1-11ea-acee-0242ac110002,a3ea57bd-d54a-42c2-b91f-a21d19472078,t245_20200715-210618_11
t145_1594827805994_12,zp2q-WGyR,bc417972-c6b1-11ea-acee-0242ac110002,94a3bbca-8a38-4d23-bbc6-bf1329bd0e30,t245_20200715-210618_12
t145_1594827804191_10,GNh2-j8W8,9b26be71-c6b1-11ea-89f8-0242ac110002,b94b96de-27d9-4d6b-aacc-de01711d0315,t245_20200715-210618_10
t145_1594827804455_13,u283-2scV,cea6a4da-c6b1-11ea-af23-0242ac110002,99e99d08-98f7-4b7b-a50b-dba0522f1b43,t245_20200715-210618_13
t145_1594827806026_9,u6hd-6Gs8,8682a092-c6b1-11ea-af23-0242ac110002,002d24f4-f61f-48c5-97d9-95986a0045e2,t245_20200715-210618_9
t145_1594827811510_6,79eW-VQZB,5396e3c1-c6b1-11ea-89f8-0242ac110002,d9d59b8e-ff26-4809-bf2d-934b9991a771,t245_20200715-210618_6
t145_1594827810548_7,qAX9-ts76,63f67af5-c6b1-11ea-af23-0242ac110002,aadf7dec-d840-4587-92be-307a9c31178b,t245_20200715-210618_7
t145_1594827811161_8,aEw4-7kaq,77bdf4e2-c6b1-11ea-96b3-0242ac110002,3eba11d5-5d03-4c3b-8636-382b52e3970e,t245_20200715-210618_8
t145_1594827810950_14,rkq9-Vu93,e36501d1-c6b1-11ea-96b3-0242ac110002,886be748-2d12-407d-8e2f-1b3c59a63a8d,t245_20200715-210618_14
t145_1594827816907_10,GNh2-j8W8,9b26be71-c6b1-11ea-89f8-0242ac110002,80bb9a30-efdd-4b3c-b2a8-3d01bd87a7e9,t245_20200715-210618_10
t145_1594827814569_11,MDm3-oYDj,aa6afa51-c6b1-11ea-acee-0242ac110002,6ba096a4-e21b-40a1-9f24-d815eb22cc82,t245_20200715-210618_11
t145_1594827816182_12,zp2q-WGyR,bc417972-c6b1-11ea-acee-0242ac110002,bff004ac-b2cc-4c2d-ad5c-1d91960f0208,t245_20200715-210618_12
t145_1594827820456_9,u6hd-6Gs8,8682a092-c6b1-11ea-af23-0242ac110002,c0ad719d-bd56-4b3d-a31d-3c994716f24a,t245_20200715-210618_9
t145_1594827819123_13,u283-2scV,cea6a4da-c6b1-11ea-af23-0242ac110002,925b3097-e2c5-4311-ac51-b249d51b3895,t245_20200715-210618_13
t145_1594827822125_6,79eW-VQZB,5396e3c1-c6b1-11ea-89f8-0242ac110002,e0ad2bda-1db4-48e9-bc58-64f6f0cdc348,t245_20200715-210618_6
t145_1594827824812_7,qAX9-ts76,63f67af5-c6b1-11ea-af23-0242ac110002,75bed509-96f3-42bf-8c96-c94ef4974cbd,t245_20200715-210618_7
