teacherextuserid,classtitle,classcode,category
tch_20230820-021925_111,cntxt_class_20230820-021925_111,hyu3-f72x,3B10PE
tch_20230820-021925_112,cntxt_class_20230820-021925_112,8ZhR-qWrB,3B10PE
tch_20230820-021925_113,cntxt_class_20230820-021925_113,xMH2-bpX6,3B10PE
tch_20230820-021925_114,cntxt_class_20230820-021925_114,27j4-2fm9,3B10PE
tch_20230820-021925_116,cntxt_class_20230820-021925_116,rMbL-woG2,3B10PE
tch_20230820-021925_115,cntxt_class_20230820-021925_115,XyZx-98CV,3B10PE
tch_20230820-021925_117,cntxt_class_20230820-021925_117,Db83-E64z,3B10PE
tch_20230820-021925_118,cntxt_class_20230820-021925_118,hyWu-fYiM,3B10PE
tch_20230820-021925_119,cntxt_class_20230820-021925_119,imh9-3ViM,3B10PE
tch_20230820-021925_120,cntxt_class_20230820-021925_120,sM3D-W8qi,3B10PE
tch_20230820-090910_51,cntxt_class_20230820-090910_51,HxLZ-b683,3B10PE
tch_20230820-090910_52,cntxt_class_20230820-090910_52,9Q27-omq8,3B10PE
tch_20230820-090910_53,cntxt_class_20230820-090910_53,4yk2-3WxR,3B10PE
tch_20230820-090910_54,cntxt_class_20230820-090910_54,NrXR-j9tL,3B10PE
tch_20230820-090910_55,cntxt_class_20230820-090910_55,Cr9c-Bu7G,3B10PE
tch_20230820-090910_57,cntxt_class_20230820-090910_57,CRL2-3i6j,3B10PE
tch_20230820-090910_56,cntxt_class_20230820-090910_56,892n-a6AG,3B10PE
tch_20230820-090910_58,cntxt_class_20230820-090910_58,TAM9-uq4A,3B10PE
tch_20230820-090910_59,cntxt_class_20230820-090910_59,KYwn-E2Bo,3B10PE
tch_20230820-090910_60,cntxt_class_20230820-090910_60,6JEK-78Qf,3B10PE
tch_20230820-090910_81,cntxt_class_20230820-090910_81,jtcx-w4at,3B10PE
tch_20230820-090910_82,cntxt_class_20230820-090910_82,JZ2M-48Qe,3B10PE
tch_20230820-090910_83,cntxt_class_20230820-090910_83,7d8u-k73D,3B10PE
tch_20230820-090910_84,cntxt_class_20230820-090910_84,8TZ2-q9ib,3B10PE
tch_20230820-090910_85,cntxt_class_20230820-090910_85,9fkW-3V2F,3B10PE
tch_20230820-090910_86,cntxt_class_20230820-090910_86,odPe-Jo83,3B10PE
tch_20230820-090910_87,cntxt_class_20230820-090910_87,U8x2-4Tj3,3B10PE
tch_20230820-090910_88,cntxt_class_20230820-090910_88,HD2a-6z3d,3B10PE
tch_20230820-090910_89,cntxt_class_20230820-090910_89,26nw-MLKN,3B10PE
tch_20230820-090910_90,cntxt_class_20230820-090910_90,djXw-h4vB,3B10PE
tch_20230820-090910_111,cntxt_class_20230820-090910_111,3JNj-vWh8,3B10PE
tch_20230820-090910_112,cntxt_class_20230820-090910_112,3B3e-oCV3,3B10PE
tch_20230820-090910_113,cntxt_class_20230820-090910_113,2B7P-DfPJ,3B10PE
tch_20230820-090910_114,cntxt_class_20230820-090910_114,9xBa-oyev,3B10PE
tch_20230820-090910_115,cntxt_class_20230820-090910_115,2h3v-b73R,3B10PE
tch_20230820-090910_116,cntxt_class_20230820-090910_116,iuCW-2KYr,3B10PE
tch_20230820-090910_117,cntxt_class_20230820-090910_117,zWXU-93kt,3B10PE
tch_20230820-090910_118,cntxt_class_20230820-090910_118,XzR3-PuE7,3B10PE
tch_20230820-090910_119,cntxt_class_20230820-090910_119,3n3f-7Nuf,3B10PE
tch_20230820-090910_120,cntxt_class_20230820-090910_120,B2M2-TuHE,3B10PE
tch_20230820-110142_51,cntxt_class_20230820-110142_51,ZoJh-w7TW,3B10PE
tch_20230820-110142_52,cntxt_class_20230820-110142_52,XmYo-Fi9K,3B10PE
tch_20230820-110142_53,cntxt_class_20230820-110142_53,9CUP-HweM,3B10PE
tch_20230820-110142_54,cntxt_class_20230820-110142_54,Y27g-YXAr,3B10PE
tch_20230820-110142_55,cntxt_class_20230820-110142_55,4Ckm-dnCk,3B10PE
tch_20230820-110142_56,cntxt_class_20230820-110142_56,X6e8-awas,3B10PE
tch_20230820-110142_57,cntxt_class_20230820-110142_57,d36x-9FAa,3B10PE
tch_20230820-110142_58,cntxt_class_20230820-110142_58,hqXw-bkmt,3B10PE
tch_20230820-110142_59,cntxt_class_20230820-110142_59,k7qw-3E3d,3B10PE
tch_20230820-110142_60,cntxt_class_20230820-110142_60,BdsD-GhQM,3B10PE
