teacherextuserid,classtitle,classcode,category
tch_20231113-143639_1,class_20231113-143639_1,4a2p-VwRe,3B10PE
tch_20231113-143639_2,class_20231113-143639_2,nVK7-XrVf,3B10PE
tch_20231113-143639_3,class_20231113-143639_3,8yTo-3Vpa,3B10PE
tch_20231113-143639_4,class_20231113-143639_4,Z9zk-ehb9,3B10PE
tch_20231113-143639_5,class_20231113-143639_5,23UJ-jxin,3B10PE
tch_20231113-143639_6,class_20231113-143639_6,gU2q-gnzW,3B10PE
tch_20231113-143639_7,class_20231113-143639_7,sc2u-MXsT,3B10PE
tch_20231113-143639_8,class_20231113-143639_8,b4uC-huYi,3B10PE
tch_20231113-143639_9,class_20231113-143639_9,exv4-fCuN,3B10PE
tch_20231113-143639_10,class_20231113-143639_10,oHiB-7H4x,3B10PE
tch_20231113-143639_11,class_20231113-143639_11,DHw8-6AaG,3B10PE
tch_20231113-143639_12,class_20231113-143639_12,zWf9-gTFA,3B10PE
tch_20231113-143639_13,class_20231113-143639_13,CdG3-NF9G,3B10PE
tch_20231113-143639_14,class_20231113-143639_14,Dg6v-kbP7,3B10PE
tch_20231113-143639_15,class_20231113-143639_15,dM4G-7AM9,3B10PE
tch_20231113-143639_16,class_20231113-143639_16,79dD-pX6G,3B10PE
tch_20231113-143639_17,class_20231113-143639_17,wUW4-3R4A,3B10PE
tch_20231113-143639_18,class_20231113-143639_18,scMW-B6Xg,3B10PE
tch_20231113-143639_19,class_20231113-143639_19,3mQ6-4Z7q,3B10PE
tch_20231113-143639_20,class_20231113-143639_20,2Nkt-cJRL,3B10PE
tch_20231113-143639_21,class_20231113-143639_21,yieA-9yDy,3B10PE
tch_20231113-143639_22,class_20231113-143639_22,TVG3-4cjP,3B10PE
tch_20231113-143639_23,class_20231113-143639_23,Y2UP-8CBn,3B10PE
tch_20231113-143639_24,class_20231113-143639_24,9367-9QC7,3B10PE
tch_20231113-143639_25,class_20231113-143639_25,wG6r-Q6jm,3B10PE
tch_20231113-143639_26,class_20231113-143639_26,9fDk-8DW3,3B10PE
tch_20231113-143639_27,class_20231113-143639_27,tJY3-JDc8,3B10PE
tch_20231113-143639_28,class_20231113-143639_28,zcBF-t2Qg,3B10PE
tch_20231113-143639_29,class_20231113-143639_29,az7W-Az7s,3B10PE
tch_20231113-143639_30,class_20231113-143639_30,ju7m-Te7J,3B10PE
tch_20231113-143639_31,class_20231113-143639_31,uzrq-U7Em,3B10PE
tch_20231113-143639_32,class_20231113-143639_32,7Yu3-ZJhC,3B10PE
tch_20231113-143639_33,class_20231113-143639_33,D28X-z936,3B10PE
tch_20231113-143639_34,class_20231113-143639_34,Ev26-ti8n,3B10PE
tch_20231113-143639_35,class_20231113-143639_35,F6Br-w492,3B10PE
tch_20231113-143639_36,class_20231113-143639_36,2s6d-TE49,3B10PE
tch_20231113-143639_37,class_20231113-143639_37,8NZL-TeK2,3B10PE
tch_20231113-143639_38,class_20231113-143639_38,wT4C-UsqM,3B10PE
tch_20231113-143639_39,class_20231113-143639_39,4AJi-8EcD,3B10PE
tch_20231113-143639_40,class_20231113-143639_40,wnpP-6f6x,3B10PE
tch_20231113-143639_41,class_20231113-143639_41,23t6-JD2t,3B10PE
tch_20231113-143639_42,class_20231113-143639_42,V2i4-ca6B,3B10PE
tch_20231113-143639_43,class_20231113-143639_43,Ea8n-F8U6,3B10PE
tch_20231113-143639_44,class_20231113-143639_44,B8tA-whJ4,3B10PE
tch_20231113-143639_45,class_20231113-143639_45,Yb8K-wsPz,3B10PE
tch_20231113-143639_46,class_20231113-143639_46,HiH3-8WZt,3B10PE
tch_20231113-143639_47,class_20231113-143639_47,jv6j-fLv7,3B10PE
tch_20231113-143639_48,class_20231113-143639_48,2x74-yVpM,3B10PE
tch_20231113-143639_49,class_20231113-143639_49,mnRJ-9v7C,3B10PE
tch_20231113-143639_50,class_20231113-143639_50,F9un-uAzQ,3B10PE
