extuserid,studentuserid1,studentext,classcode
tch_20231113-132202_1,9b6a1ab5-a319-4aa7-9f96-7d39888df75b,std_1699950942862_1,C6o8-2Uay
tch_20231113-132202_2,82ef4ed6-3ce1-482d-8e15-130b4d34099b,std_1699950952863_2,Nx2c-Ev3Y
tch_20231113-132202_3,de7c8c4b-994c-432a-9ed2-4018133a27e1,std_1699950962877_3,wWgh-2qWe
tch_20231113-132202_4,dfd2a313-c9c4-4ee5-8853-d4b13681a6a1,std_1699950972887_4,c3nT-uU38
tch_20231113-132202_1,2362afe5-ee1c-478b-90e0-a665cf7b525f,std_1699950973846_1,C6o8-2Uay
tch_20231113-132202_2,fca384cc-aa79-4eb2-87fb-636f00516ca3,std_1699950979852_2,Nx2c-Ev3Y
tch_20231113-132202_5,e952cff0-47bf-48b2-a70a-5735ea40780b,std_1699950982878_5,A6a2-kryq
tch_20231113-132202_3,0e314d34-de25-4c54-b2d8-e5baf9f246c6,std_1699950985464_3,wWgh-2qWe
tch_20231113-132202_6,c67a86cc-88e0-44f9-9694-61eb32646c2d,std_1699950992892_6,C6jy-jz9c
tch_20231113-132202_4,965f4735-010c-4064-9155-31336597267a,std_1699950998933_4,c3nT-uU38
tch_20231113-132202_1,cd74e154-229b-429c-8340-fa5dc11651ba,std_1699951000612_1,C6o8-2Uay
tch_20231113-132202_2,c57d90a9-4325-450e-b002-36409b694411,std_1699951003110_2,Nx2c-Ev3Y
tch_20231113-132202_7,3a7ca0b6-fb48-4f1d-8209-542a19b9b383,std_1699951002895_7,YZ6Y-Bbu4
tch_20231113-132202_5,ffb9157a-ac61-41e4-8f36-cf6326796674,std_1699951006235_5,A6a2-kryq
tch_20231113-132202_3,9216653b-d468-4b2a-9d2b-da00f552ead8,std_1699951014244_3,wWgh-2qWe
tch_20231113-132202_6,63bb830e-1316-4aba-8725-7b67a755143b,std_1699951015522_6,C6jy-jz9c
tch_20231113-132202_8,4120771a-9462-4dbc-a51e-e93651b9f855,std_1699951012899_8,idg3-9bjP
tch_20231113-132202_1,8abd2baa-edf9-453d-a99e-d14474f49e76,std_1699951027174_1,C6o8-2Uay
tch_20231113-132202_4,9ffa52b5-8b1e-4d90-a7f8-84381365f4a1,std_1699951025502_4,c3nT-uU38
tch_20231113-132202_9,d3107c0c-91a7-4c95-ae4a-78e5ad2a2c78,std_1699951022898_9,dhvQ-HG6W
tch_20231113-132202_2,1eb9d971-b543-4b5d-85d9-1dd03086ca86,std_1699951029657_2,Nx2c-Ev3Y
tch_20231113-132202_10,fb791e14-76c1-4523-98b5-dc9aeac429a5,std_1699951032910_10,Aa4u-eKGk
tch_20231113-132202_7,b2cdf26a-d8e9-494b-b237-3e017b81e6d0,std_1699951030991_7,YZ6Y-Bbu4
tch_20231113-132202_5,97abe7a9-e2a5-46ec-bcb7-86c70c6e881b,std_1699951036282_5,A6a2-kryq
tch_20231113-132202_6,d6ac938e-3e24-4f73-b8a0-9c6304ce9f2e,std_1699951040287_6,C6jy-jz9c
tch_20231113-132202_3,ab2dd242-caeb-4bcb-b533-b14179c0a99f,std_1699951038554_3,wWgh-2qWe
tch_20231113-132202_8,5023a1ec-f4fb-4dd5-9d8e-f7de53e09940,std_1699951042002_8,idg3-9bjP
tch_20231113-132202_11,554056b3-28fa-43a3-a325-30a2e3b1167b,std_1699951042910_11,27oa-92B2
tch_20231113-132202_4,787d8e41-ce17-45bf-a547-1083e32d315f,std_1699951050581_4,c3nT-uU38
tch_20231113-132202_9,99701104-7e8a-454d-8ae5-c2941db87850,std_1699951051433_9,dhvQ-HG6W
tch_20231113-132202_12,3dc97d18-bb14-46d1-9f80-c7afa2135061,std_1699951049877_1,39cr-Gz2g
tch_20231113-132202_13,8cd91802-0071-4f05-adb3-b2c64bef36f6,std_1699951052926_12,sGXe-dNwF
tch_20231113-132202_14,02d27858-7154-4e2d-9baa-a1991e30951e,std_1699951056653_2,6LDM-CtDw
tch_20231113-132202_7,137c48a6-ec82-4b78-b17a-cc60d6793bb6,std_1699951061459_7,YZ6Y-Bbu4
tch_20231113-132202_5,ae1d96cd-ea1f-4a41-9c99-8d3bb9e553ed,std_1699951064297_5,A6a2-kryq
tch_20231113-132202_10,48e26256-20cd-4248-9914-4571efd5591f,std_1699951061061_10,Aa4u-eKGk
tch_20231113-132202_15,76d145eb-0c84-48b3-8619-a048af672c04,std_1699951062931_13,v2Tn-i3TE
tch_20231113-132202_16,a9ae39d5-5c7c-4bfc-a017-ffd417ba6769,std_1699951066602_3,NLsp-2RuV
tch_20231113-132202_8,db8dce6f-6fa1-4e94-9435-4990df8b6116,std_1699951068542_8,idg3-9bjP
tch_20231113-132202_6,91b52579-d1e9-475c-ac89-08d9cc11866a,std_1699951065923_6,C6jy-jz9c
tch_20231113-132202_18,edbf2491-a5c0-42ff-8ca9-63f82ed7a80a,std_1699951074585_4,rwZT-BN67
tch_20231113-132202_11,c0f64b00-3c21-4a5a-a0c8-fb9e34ec746f,std_1699951073972_11,27oa-92B2
tch_20231113-132202_17,5ec43649-1530-413a-b549-48091613b2ca,std_1699951072926_14,FGCk-9kt2
tch_20231113-132202_9,9325ec2b-01c0-4a2c-ab97-e5dfdae02a6c,std_1699951076171_9,dhvQ-HG6W
tch_20231113-132202_12,7b09de0f-4d44-4d7e-8072-664d07b04874,std_1699951077837_1,39cr-Gz2g
tch_20231113-132202_14,9f6365eb-1702-43dd-a37e-e3c4e769f479,std_1699951086942_2,6LDM-CtDw
tch_20231113-132202_13,b1e1641d-d451-49a1-ab2c-22336e80c606,std_1699951083816_12,sGXe-dNwF
tch_20231113-132202_19,90e6c5f7-9280-4b99-9488-3f49612843bc,std_1699951082941_15,GWpe-2sX8
tch_20231113-132202_7,31982fbd-3b62-464c-bcc9-1828abdaab55,std_1699951087333_7,YZ6Y-Bbu4
tch_20231113-132202_20,2a527696-f131-47d9-a338-a4152cea0ecb,std_1699951089381_5,L3wa-uR6C
tch_20231113-132202_16,3df50afd-1385-4677-a8ef-aa0d67f54d8f,std_1699951090712_3,NLsp-2RuV
tch_20231113-132202_8,38614cb5-aeca-4280-934d-8a2fb2bf2872,std_1699951092719_8,idg3-9bjP
tch_20231113-132202_10,dd3621f9-b05f-4efc-be97-7845c54d0f0c,std_1699951089530_10,Aa4u-eKGk
