extuserid,classcode,noOfBundles
std_1661153942211_41,q64G-HK73,4
std_1661152406418_15,oa8E-eRFb,3
std_1661152471733_17,p2dJ-s7m3,3
std_1661151733376_6,974C-347d,3
std_1661151634979_5,b6jX-PV94,2
std_1661153495739_34,kmu7-LWgK,2
std_1661151659436_6,974C-347d,3
std_1661151589073_1,bG43-QoeH,4
std_1661154078260_46,mG7K-6Yar,3
std_1661152643708_21,tg49-8hFh,3
std_1661153606917_37,D4pr-v94v,3
std_1661153819916_41,q64G-HK73,3
std_1661153215786_31,pc64-8NZ8,3
std_1661151887842_8,J639-QZCw,4
std_1661153865305_40,78xL-g3uK,3
std_1661154082092_44,aeV6-MRBZ,2
std_1661154033254_43,9V4y-TvQ3,4
std_1661153174011_29,6g4X-cbHi,2
std_1661151638434_3,LiZK-9d3H,3
std_1661151792198_5,b6jX-PV94,3
std_1661153437050_33,Q84g-6wWb,2
std_1661153301662_33,Q84g-6wWb,3
std_1661154179713_46,mG7K-6Yar,3
std_1661153491391_32,ExHy-6Wzg,3
std_1661154246870_46,mG7K-6Yar,2
std_1661154225826_45,pxdj-R6B3,3
std_1661151515616_4,7Krp-M37w,3
std_1661151496988_4,7Krp-M37w,2
std_1661152223837_16,4YE4-7fDY,3
std_1661154312515_50,m6vR-39Mq,4
std_1661154214582_48,kt8X-mnfh,3
std_1661152838179_23,YMW3-zHzk,3
std_1661151669371_2,gWra-63A2,3
std_1661151842535_6,974C-347d,2
std_1661151579601_3,LiZK-9d3H,2
std_1661154109812_46,mG7K-6Yar,2
std_1661153169844_27,y3p3-dHYL,4
std_1661153893158_43,9V4y-TvQ3,4
std_1661152853740_25,4TMg-7FbR,3
std_1661154022548_43,9V4y-TvQ3,3
std_1661151997732_8,J639-QZCw,2
std_1661153951142_42,uk7g-t28K,3
std_1661151516140_3,LiZK-9d3H,3
std_1661152415087_16,4YE4-7fDY,2
std_1661151615262_4,7Krp-M37w,2
std_1661153509121_37,D4pr-v94v,3
std_1661153054430_26,JgDQ-73q6,3
std_1661151565415_4,7Krp-M37w,3
std_1661153571125_35,24Xe-Vq8d,3
std_1661151688856_3,LiZK-9d3H,3
std_1661151936728_9,nuJ7-dziy,3
std_1661152483903_17,p2dJ-s7m3,3
std_1661154275626_50,m6vR-39Mq,3
std_1661154084879_45,pxdj-R6B3,3
std_1661153199688_29,6g4X-cbHi,4
std_1661152354649_15,oa8E-eRFb,2
std_1661151890571_9,nuJ7-dziy,3
std_1661152064197_10,c8Av-JQ9N,3
std_1661151679689_6,974C-347d,2
std_1661153976942_41,q64G-HK73,3
std_1661151495031_1,bG43-QoeH,4
std_1661151884905_7,9A7d-Vmsb,4
std_1661152950822_26,JgDQ-73q6,3
std_1661153624842_36,967y-Qy93,3
std_1661154269871_47,JP9w-7F8B,3
std_1661151909226_9,nuJ7-dziy,4
std_1661151929005_11,4r8m-TtnE,2
std_1661151903425_7,9A7d-Vmsb,3
std_1661152537458_20,3bWp-2d8P,3
std_1661152323398_17,p2dJ-s7m3,3
std_1661152589668_22,fn9j-rHC2,4
std_1661152199315_15,oa8E-eRFb,3
std_1661151744680_5,b6jX-PV94,3
std_1661153834376_40,78xL-g3uK,3
std_1661152298463_15,oa8E-eRFb,3
std_1661152722951_24,v7B8-972L,3
std_1661154263814_49,pxsF-XEQ7,4
std_1661152310354_15,oa8E-eRFb,2
std_1661152673358_23,YMW3-zHzk,3
std_1661152414839_19,CUKo-qc6v,3
std_1661154505871_50,m6vR-39Mq,3
std_1661153783002_38,Cenv-U6jv,3
std_1661151916429_10,c8Av-JQ9N,3
std_1661152525592_21,tg49-8hFh,2
std_1661152923841_25,4TMg-7FbR,3
std_1661152433756_17,p2dJ-s7m3,3
std_1661154328462_50,m6vR-39Mq,3
std_1661152197183_13,oZo7-tRkT,3
std_1661152918795_26,JgDQ-73q6,4
std_1661152050480_9,nuJ7-dziy,4
std_1661152975889_26,JgDQ-73q6,4
std_1661152055002_13,oZo7-tRkT,3
std_1661152930981_27,y3p3-dHYL,3
std_1661152952253_24,v7B8-972L,3
std_1661153168254_28,w2K9-4DtC,3
std_1661153696261_38,Cenv-U6jv,2
std_1661153654398_40,78xL-g3uK,2
std_1661152375024_15,oa8E-eRFb,4
std_1661153247070_32,ExHy-6Wzg,4
std_1661152657036_20,3bWp-2d8P,3
std_1661152857090_22,fn9j-rHC2,4
std_1661153625803_35,24Xe-Vq8d,3
std_1661152199665_12,Gh9j-8eZh,2
std_1661154285185_49,pxsF-XEQ7,2
std_1661153756133_39,p4xa-ACKu,4
std_1661151548412_2,gWra-63A2,2
std_1661152427312_16,4YE4-7fDY,3
std_1661153686088_37,D4pr-v94v,3
std_1661151648638_4,7Krp-M37w,3
std_1661153660802_37,D4pr-v94v,3
std_1661152800617_25,4TMg-7FbR,3
std_1661154355385_47,JP9w-7F8B,2
std_1661151822948_8,J639-QZCw,4
std_1661152730589_22,fn9j-rHC2,4
std_1661153830874_41,q64G-HK73,2
std_1661151696504_4,7Krp-M37w,3
std_1661152458055_20,3bWp-2d8P,4
std_1661151763230_8,J639-QZCw,3
std_1661152730579_21,tg49-8hFh,3
std_1661152644519_23,YMW3-zHzk,3
std_1661152181287_12,Gh9j-8eZh,3
std_1661152340109_17,p2dJ-s7m3,3
std_1661154086745_43,9V4y-TvQ3,4
std_1661153143547_27,y3p3-dHYL,4
std_1661151517544_2,gWra-63A2,2
std_1661152163833_12,Gh9j-8eZh,3
std_1661153837405_39,p4xa-ACKu,4
std_1661154156642_43,9V4y-TvQ3,2
std_1661154490866_50,m6vR-39Mq,2
std_1661152122918_11,4r8m-TtnE,2
std_1661152280961_13,oZo7-tRkT,3
std_1661154175539_45,pxdj-R6B3,3
std_1661151806377_5,b6jX-PV94,3
std_1661151962873_9,nuJ7-dziy,2
std_1661152091760_11,4r8m-TtnE,3
std_1661153760304_41,q64G-HK73,3
std_1661152822679_26,JgDQ-73q6,4
std_1661152471494_16,4YE4-7fDY,3
std_1661153274000_31,pc64-8NZ8,4
std_1661153249010_31,pc64-8NZ8,2
std_1661153962810_41,q64G-HK73,3
std_1661153992125_45,pxdj-R6B3,2
std_1661153974100_43,9V4y-TvQ3,4
std_1661154364560_48,kt8X-mnfh,4
std_1661152395470_16,4YE4-7fDY,2
std_1661153744903_37,D4pr-v94v,4
std_1661152166230_15,oa8E-eRFb,2
std_1661151550095_1,bG43-QoeH,3
std_1661152407218_14,24c2-8Xp7,2
std_1661152646552_22,fn9j-rHC2,3
std_1661152956993_25,4TMg-7FbR,2
std_1661153158064_27,y3p3-dHYL,4
std_1661152011714_8,J639-QZCw,3
std_1661151666074_4,7Krp-M37w,2
std_1661153288842_31,pc64-8NZ8,2
std_1661153828916_38,Cenv-U6jv,3
std_1661151786560_6,974C-347d,3
std_1661152235411_13,oZo7-tRkT,2
std_1661154202155_47,JP9w-7F8B,3
std_1661152567834_17,p2dJ-s7m3,3
std_1661153305644_31,pc64-8NZ8,3
std_1661154049985_43,9V4y-TvQ3,4
std_1661152431433_19,CUKo-qc6v,3
std_1661154330993_48,kt8X-mnfh,3
std_1661153537618_34,kmu7-LWgK,2
std_1661152021045_10,c8Av-JQ9N,4
std_1661151845414_7,9A7d-Vmsb,3
std_1661153270928_33,Q84g-6wWb,3
std_1661153156120_31,pc64-8NZ8,3
std_1661153416576_33,Q84g-6wWb,2
std_1661153473132_37,D4pr-v94v,3
std_1661151387404_1,bG43-QoeH,3
std_1661152287653_14,24c2-8Xp7,3
std_1661152577956_22,fn9j-rHC2,3
std_1661153672782_37,D4pr-v94v,3
std_1661152689610_19,CUKo-qc6v,3
std_1661152526782_18,Lump-aKJf,2
std_1661154288292_46,mG7K-6Yar,3
std_1661152562064_19,CUKo-qc6v,2
std_1661152417928_18,Lump-aKJf,4
std_1661152486011_18,Lump-aKJf,3
std_1661153854498_40,78xL-g3uK,4
std_1661151981928_9,nuJ7-dziy,3
std_1661154233367_48,kt8X-mnfh,4
std_1661154299669_48,kt8X-mnfh,4
std_1661154400347_49,pxsF-XEQ7,3
std_1661152266145_13,oZo7-tRkT,3
std_1661152688037_23,YMW3-zHzk,4
std_1661151598314_4,7Krp-M37w,3
std_1661153195538_32,ExHy-6Wzg,2
std_1661153771441_41,q64G-HK73,4
std_1661152825689_24,v7B8-972L,2
std_1661152775284_22,fn9j-rHC2,3
std_1661153473846_33,Q84g-6wWb,3
std_1661152579140_21,tg49-8hFh,4
std_1661151809574_8,J639-QZCw,3
std_1661153332223_32,ExHy-6Wzg,3
std_1661152954562_28,w2K9-4DtC,2
std_1661152422851_15,oa8E-eRFb,3
std_1661153006428_24,v7B8-972L,3
std_1661152611467_21,tg49-8hFh,2
std_1661151869217_8,J639-QZCw,3
std_1661153709281_39,p4xa-ACKu,3
std_1661153133940_28,w2K9-4DtC,3
std_1661151720878_6,974C-347d,3
std_1661151437546_2,gWra-63A2,3
std_1661152024296_12,Gh9j-8eZh,3
std_1661154312814_49,pxsF-XEQ7,3
std_1661151374688_2,gWra-63A2,3
std_1661153483312_35,24Xe-Vq8d,4
std_1661152233976_15,oa8E-eRFb,3
std_1661152769757_21,tg49-8hFh,4
std_1661151653550_3,LiZK-9d3H,4
std_1661153924836_41,q64G-HK73,3
std_1661152704279_23,YMW3-zHzk,4
std_1661151777524_5,b6jX-PV94,2
std_1661152443688_20,3bWp-2d8P,2
std_1661153312549_32,ExHy-6Wzg,3
std_1661154563390_50,m6vR-39Mq,4
std_1661151323228_1,bG43-QoeH,2
std_1661152184352_11,4r8m-TtnE,2
std_1661153832992_42,uk7g-t28K,3
std_1661154055241_42,uk7g-t28K,2
std_1661153882562_40,78xL-g3uK,3
std_1661152468648_19,CUKo-qc6v,2
std_1661152606096_22,fn9j-rHC2,2
std_1661153105472_30,EN9w-3K3g,3
