stdextid,groupid,tchextid
std_1659437248257_1,050f2a63-12ff-4eea-bbce-b25d7b72926b,tch_20220802-161405_1
std_1659437376308_1,3f3a1cf5-cc9f-4456-8421-5ee3204d86b3,tch_20220802-161405_1
std_1659437304942_2,8fa6e8cd-e1be-45ce-91d8-e3ad199b0558,tch_20220802-161405_2
std_1659437508941_1,2b724975-56e7-451a-b0c5-a38cbc37cf66,tch_20220802-161405_1
std_1659437425616_2,2deda086-ad47-4edc-a1f4-d3f630ca4d4b,tch_20220802-161405_2
std_1659437560636_2,2765ac3a-a364-4f31-9d22-08274c2e0e45,tch_20220802-161405_2
std_1659437362771_3,558c3b6e-6ea1-406d-bd65-cd92d7e70364,tch_20220802-161405_3
std_1659437495805_3,4dd2e848-e67c-4e52-821e-2b544e49bf12,tch_20220802-161405_3
std_1659437638513_3,4e610ad9-562c-43df-87d4-9e2c8f8f6596,tch_20220802-161405_3
std_1659437414432_4,52cc1181-35a8-4077-b306-48b8dce77756,tch_20220802-161405_4
std_1659437550442_4,fcb74afa-9509-4e8b-865d-f911d7a3fb86,tch_20220802-161405_4
std_1659437474098_5,f14f71a8-d88f-426e-a327-b95c07d3d033,tch_20220802-161405_5
std_1659437691321_4,800c0de5-1837-4e9a-99c1-74e1d205c907,tch_20220802-161405_4
std_1659437596121_5,3552abb2-f2cf-41c9-ac9e-613da910e8bb,tch_20220802-161405_5
std_1659437729783_5,b1c1980f-c860-42c8-bd90-b38cd48e006e,tch_20220802-161405_5
std_1659437541088_6,a47fe4ff-251e-4275-99ab-bf792b6eed52,tch_20220802-161405_6
std_1659437672680_6,1799eb99-29c9-4145-8ac2-ecf3e8381c0e,tch_20220802-161405_6
std_1659437592518_7,98da331a-df58-44c8-a0a3-4e303babffe8,tch_20220802-161405_7
std_1659437803809_6,0e4a0ecc-78c3-4f65-9fcc-7a5b21e4a3ad,tch_20220802-161405_6
std_1659437728980_7,e3521c49-279e-4e01-a0f2-2d6e7c895284,tch_20220802-161405_7
std_1659437863398_7,058f115b-1cf5-4007-a549-33b0a006e7b4,tch_20220802-161405_7
std_1659437661473_8,cf694bb8-a702-488b-8de8-fee170f52cb1,tch_20220802-161405_8
std_1659437798892_8,103720c2-063d-4311-a66f-5dd6803ec56e,tch_20220802-161405_8
std_1659437711548_9,448c9613-2b72-4c2c-aad6-008b6e069430,tch_20220802-161405_9
std_1659437938376_8,793f82d1-0204-4857-8218-f5cc0fd7a290,tch_20220802-161405_8
std_1659437850895_9,70b5322f-ef3c-4678-9a7b-88b67fd33582,tch_20220802-161405_9
std_1659437781230_10,74d2a5e7-59fb-4090-b717-6cf9289b4f1c,tch_20220802-161405_10
std_1659437983266_9,ba415a26-56dd-4157-a993-d8c26672414a,tch_20220802-161405_9
std_1659437909775_10,a51e6360-8a97-466c-afdf-6eca51559c66,tch_20220802-161405_10
std_1659438038521_10,d263fba8-1d58-4bd3-ad45-d6352afe807e,tch_20220802-161405_10
std_1659437840189_11,764a425f-c7a2-4bd1-8467-32fedf03d5e7,tch_20220802-161405_11
std_1659437972024_11,63eab247-d055-433d-a823-bae3a9578c57,tch_20220802-161405_11
std_1659438107628_11,b6cddf46-1cfb-47f6-b9a6-0718020a2d43,tch_20220802-161405_11
std_1659437905076_12,d3dc4fb9-6b9f-46b6-ba14-277dd5b59335,tch_20220802-161405_12
std_1659438036696_12,77b9a262-cee6-4805-9884-c6cba9c52141,tch_20220802-161405_12
std_1659437953946_13,949c9cc5-7769-43c1-907b-61d5afd099c0,tch_20220802-161405_13
std_1659438168948_12,ed599e36-7358-4965-bcce-552751c142c2,tch_20220802-161405_12
std_1659438086809_13,7456a9c2-7ae5-4f13-ae0c-6ef5ca040d71,tch_20220802-161405_13
std_1659438221151_13,44f37771-1446-499c-b8a6-e23569bfc435,tch_20220802-161405_13
std_1659438023922_14,6bc715ed-303e-46a9-bcfa-49cd1962c90a,tch_20220802-161405_14
std_1659438151055_14,5b7d2da4-7976-40e7-87d2-257aeaa47815,tch_20220802-161405_14
std_1659438288557_14,63283d63-3d43-4f14-9310-a4bf604ad285,tch_20220802-161405_14
std_1659438087111_15,908e365b-3d85-4b37-80d5-9aecfad68648,tch_20220802-161405_15
std_1659438217387_15,cb246a48-2aef-4682-97b0-975acbd69d0c,tch_20220802-161405_15
std_1659438355075_15,595f81e5-d9cb-4e93-9d74-bf2027d8789c,tch_20220802-161405_15
std_1659438145974_16,55a5768b-ee39-402c-948a-8760e9928ccb,tch_20220802-161405_16
std_1659438275937_16,70f0a73b-ea88-4aa5-9b84-4dffeccb6388,tch_20220802-161405_16
std_1659438410592_16,fa72f133-5090-44e9-8329-5d6a77955b4f,tch_20220802-161405_16
std_1659438209196_17,974e3c38-91be-4e87-9461-cc2f4e88c2d6,tch_20220802-161405_17
