extuserid,classcode,classid,invid,tchextuserid
s42_1661530319058_3,ibEk-mYuZ,e0072c36-4959-4ef5-91c5-a53c45a3c354,26e3899e-4cbe-42d9-b40c-2bdf44d02287,t42_20220826-213742_3
s42_1661530317416_7,n73a-7X4b,bb5a9d49-5cb4-4c2a-80b9-182160294007,b29f7819-83fc-4a42-a667-ee6a6e23738f,t42_20220826-213742_7
s42_1661530320786_1,Naoi-R4yB,efec81e5-ff9b-4a33-8d22-5d745642f84f,8df6d59e-e549-401a-aa0d-57cdf26bca52,t42_20220826-213742_1
s42_1661530328034_8,38Qh-FDP2,646375a3-fe18-473d-8039-e89fba198639,e7dcf132-6d69-4cff-92c1-10be08239429,t42_20220826-213742_8
s42_1661530321207_5,DzL6-q2fo,25fa752a-ddc0-46c1-934d-757520fcd832,39096087-b04d-43b2-bcf6-53c1813cb896,t42_20220826-213742_5
s42_1661530328212_4,TVpt-4dJ3,b45f4bcf-4bb0-4f8d-9c81-86b2a9d7d3d6,a1fc4842-8230-43fc-8b68-a06d3c86797c,t42_20220826-213742_4
s42_1661530332699_7,n73a-7X4b,bb5a9d49-5cb4-4c2a-80b9-182160294007,6d4fd31c-c264-4fe2-a549-b47efee72968,t42_20220826-213742_7
s42_1661530330923_6,CZbA-9HKG,4755a907-6c31-44c4-acc1-47c8e47f4f6a,f3ebe9a4-be13-4298-b78d-d1de755839c7,t42_20220826-213742_6
s42_1661530332084_2,4Y2Y-LXna,c1f6f5f9-bacf-49a6-baab-3981f265ae6c,5a3505b0-8407-40cf-a238-25f4a6834a31,t42_20220826-213742_2
s42_1661530328995_9,7c63-4tf8,106d3c1f-c431-41cb-94e8-31decec608b6,72774f21-d2cb-4bcd-83c7-2eac5ae3e105,t42_20220826-213742_9
s42_1661530332575_3,ibEk-mYuZ,e0072c36-4959-4ef5-91c5-a53c45a3c354,acf4ca83-d938-4b72-84c7-45f06281a96a,t42_20220826-213742_3
s42_1661530339389_4,TVpt-4dJ3,b45f4bcf-4bb0-4f8d-9c81-86b2a9d7d3d6,b861cf33-f75b-4d69-aa06-886ca3f80b37,t42_20220826-213742_4
s42_1661530339208_5,DzL6-q2fo,25fa752a-ddc0-46c1-934d-757520fcd832,cd0256c7-63c8-44df-bdce-2c7337f64025,t42_20220826-213742_5
s42_1661530336624_10,XfXV-prhg,f68d7546-3f44-4c43-a510-2b974a0a72da,a77d039f-57de-4552-847e-6c1376477616,t42_20220826-213742_10
s42_1661530338000_1,Naoi-R4yB,efec81e5-ff9b-4a33-8d22-5d745642f84f,34086f80-d1ce-49a6-b5c6-8473cdb0c89e,t42_20220826-213742_1
s42_1661530338767_8,38Qh-FDP2,646375a3-fe18-473d-8039-e89fba198639,985e2944-14bd-4b91-b50d-e7c2bc8bce04,t42_20220826-213742_8
s42_1661530343950_7,n73a-7X4b,bb5a9d49-5cb4-4c2a-80b9-182160294007,b106a8d3-34f7-45fd-b218-9652f9ee6c73,t42_20220826-213742_7
s42_1661530345146_2,4Y2Y-LXna,c1f6f5f9-bacf-49a6-baab-3981f265ae6c,2c3ed23d-6269-430b-ba74-a414db962993,t42_20220826-213742_2
s42_1661530344504_6,CZbA-9HKG,4755a907-6c31-44c4-acc1-47c8e47f4f6a,c0e86beb-1124-4789-a212-b7f5c2d7e017,t42_20220826-213742_6
s42_1661530348950_3,ibEk-mYuZ,e0072c36-4959-4ef5-91c5-a53c45a3c354,f6c5d9b8-9b50-4c48-8e3f-a4c4a5e1d210,t42_20220826-213742_3
s42_1661530345400_9,7c63-4tf8,106d3c1f-c431-41cb-94e8-31decec608b6,f119cec1-807a-46bd-863a-ecddfe2dcb33,t42_20220826-213742_9
s42_1661530352285_11,q9h2-saF8,5765c716-8994-4284-a7e3-d6689ef981b0,f0ca2635-0662-414a-ab24-13ea83f98478,t42_20220826-213742_11
s42_1661530351773_4,TVpt-4dJ3,b45f4bcf-4bb0-4f8d-9c81-86b2a9d7d3d6,dcc28f2b-4433-4253-bff2-a7b30d6c34d1,t42_20220826-213742_4
s42_1661530353146_10,XfXV-prhg,f68d7546-3f44-4c43-a510-2b974a0a72da,0483ee3e-fca2-4ec5-b7fa-df4d825dde12,t42_20220826-213742_10
s42_1661530355443_8,38Qh-FDP2,646375a3-fe18-473d-8039-e89fba198639,eee224ac-d4c7-494e-aa45-e6ad3ba65fb8,t42_20220826-213742_8
s42_1661530352975_5,DzL6-q2fo,25fa752a-ddc0-46c1-934d-757520fcd832,06faaef3-58ed-4964-b7d3-b9324d0df301,t42_20220826-213742_5
s42_1661530357923_7,n73a-7X4b,bb5a9d49-5cb4-4c2a-80b9-182160294007,ee615599-115b-415f-a7c7-88d56fe4ad41,t42_20220826-213742_7
s42_1661530353950_1,Naoi-R4yB,efec81e5-ff9b-4a33-8d22-5d745642f84f,bc2354fa-4661-460e-98e3-3978611632a9,t42_20220826-213742_1
s42_1661530360426_2,4Y2Y-LXna,c1f6f5f9-bacf-49a6-baab-3981f265ae6c,d4794037-9929-4cb0-a827-c7df437590d3,t42_20220826-213742_2
s42_1661530364095_11,q9h2-saF8,5765c716-8994-4284-a7e3-d6689ef981b0,4efde30b-34b4-4d2b-949b-fcdf0b25b36f,t42_20220826-213742_11
s42_1661530365611_13,Nk3A-7A8d,46380b3b-f2b3-4c90-9b88-28f76ff30acc,cef86e69-9197-422f-b152-ae429f68b339,t42_20220826-213742_13
s42_1661530362149_9,7c63-4tf8,106d3c1f-c431-41cb-94e8-31decec608b6,0330f6c7-426a-4602-81c0-143eb2dd2c02,t42_20220826-213742_9
s42_1661530361393_3,ibEk-mYuZ,e0072c36-4959-4ef5-91c5-a53c45a3c354,efc5de6d-6733-42e4-950d-eb8b0716b7e7,t42_20220826-213742_3
s42_1661530361014_6,CZbA-9HKG,4755a907-6c31-44c4-acc1-47c8e47f4f6a,c7da3448-e511-4366-9ced-a2d7a88eacd8,t42_20220826-213742_6
s42_1661530364743_4,TVpt-4dJ3,b45f4bcf-4bb0-4f8d-9c81-86b2a9d7d3d6,71b8a539-07a0-4f3e-af6e-aae98807c28e,t42_20220826-213742_4
s42_1661530366673_10,XfXV-prhg,f68d7546-3f44-4c43-a510-2b974a0a72da,8ac63243-a2c3-4147-8b54-b4f76b6a0b11,t42_20220826-213742_10
s42_1661530368408_5,DzL6-q2fo,25fa752a-ddc0-46c1-934d-757520fcd832,402ab896-a87a-4062-a400-868306585862,t42_20220826-213742_5
s42_1661530368057_8,38Qh-FDP2,646375a3-fe18-473d-8039-e89fba198639,d3962fed-29c8-454a-88bd-7256efa2dfc9,t42_20220826-213742_8
s42_1661530371447_1,Naoi-R4yB,efec81e5-ff9b-4a33-8d22-5d745642f84f,dce8b5db-60e6-48eb-849b-2810e4c87254,t42_20220826-213742_1
s42_1661530372744_2,4Y2Y-LXna,c1f6f5f9-bacf-49a6-baab-3981f265ae6c,913fb06f-e028-4503-bc08-9c3c08d89c73,t42_20220826-213742_2
s42_1661530370356_7,n73a-7X4b,bb5a9d49-5cb4-4c2a-80b9-182160294007,bba77fd3-2a04-4266-b3e8-3e53b56318d0,t42_20220826-213742_7
s42_1661530376638_13,Nk3A-7A8d,46380b3b-f2b3-4c90-9b88-28f76ff30acc,b6aee321-f850-4868-b584-2c20764939e6,t42_20220826-213742_13
s42_1661530377362_3,ibEk-mYuZ,e0072c36-4959-4ef5-91c5-a53c45a3c354,f6b12b55-f1a8-4884-8c0a-7bfdc3b8a80a,t42_20220826-213742_3
s42_1661530379988_4,TVpt-4dJ3,b45f4bcf-4bb0-4f8d-9c81-86b2a9d7d3d6,87a1f88c-1244-4a01-bbd1-9f7edb8a02cb,t42_20220826-213742_4
