extuserid,classcode,classid,invid,tchextuserid,category,pe_category,pe_end_index,category_type
std_6MKd-8QHY_1732090986888_16,i43W-64G7,1c93d38b-f9e2-4958-8550-25682e4565de,a470299b-bf7d-4af3-8486-3f40f1103370,tch_H1_20241119-101959_13,H1,h1pe,5,H
std_avqt-9yLj_1732091000363_89,W76L-2yom,e37a84a1-0751-468a-8c4f-aba0df2be447,f22d5532-e590-4aa3-8d60-640980e8815c,tch_L7_20241119-101959_7,L7,l7pe,3,L
std_8VBe-Lb8B_1732086897045_15,ACXT-cGR7,b6eabcb0-e32e-4846-bcf4-811b4e62c988,148af8f2-b5f2-4a9b-a6e7-f8219fa25891,tch_H1_20241119-154312_13,H1,h1pe,5,H
std_6Nwg-fur6_1731319767260_80,Yk9a-oK6v,a4e07402-8294-46f5-822a-90fc30d24433,75e0b720-a40a-44d0-aa67-fbc941f1c8ba,tch_M3_20241119-152307_11,M3,m3pe,5,M
std_3u9W-Fw2g_1731318853507_19,wNrP-Kou7,bb9867df-21e8-4126-8e0f-6d0b4136da15,793f4d4c-2466-4d96-bbbd-d3c4df24bf79,tch_L2_20241119-164807_4,L2,l2pe,5,L
std_9pr9-234s_1731319697515_78,7ujd-sD27,319f996e-285c-4aed-bbfc-5d3e01c2a85d,64a9cda1-6887-4346-a1fe-4cbc1132ceb4,tch_M3_20241119-101959_11,M3,m3pe,5,M
std_EbqY-Ri9f_1731319537660_68,uV3t-p6v7,08c728b5-76e2-45ed-807e-3e557277089b,b5622a81-9e60-48b7-9f90-c463261820f0,tch_L9_20241119-142553_9,L9,l9pe,4,L
std_fj28-ZB4R_1731318982837_27,6ABh-Mgd6,3ff5fac8-ba10-4aad-afc9-851fdb534a39,428927de-ee9f-4be0-80f3-3f490471dd44,tch_L2_20241119-095105_4,L2,l2pe,5,L
std_PG4b-G9dX_1732087853839_91,kA23-er7Q,940f9853-6910-4c60-b677-d07888884fc2,27cbdd9a-445f-47a9-8d45-32d0de580b3f,tch_L7_20241119-154312_6,L7,l7pe,3,L
std_2v7s-hKwL_1731319332854_53,4jFs-6AKJ,cec3f4ca-6709-4a11-b41e-e2f9a0eadc73,3d0adb13-8b9a-46a2-af54-19a12a1a8af9,tch_L8_20241119-135502_8,L8,l8pe,4,L
std_8b3e-wa8E_1731319605413_65,jRzr-YhG7,bf8935cc-8ffd-461b-8952-4038a0c9ab52,5c1d0af3-822c-4d22-8d18-db9a09626603,tch_L9_20241119-101959_9,L9,l9pe,4,L
std_Tr9T-98EC_1731318670508_10,eNE6-si8g,576b3be1-1dff-456c-aecb-13458ae6ff34,c836ffd9-efda-4b21-b15f-5a1f54d6bcbb,tch_L1_20241119-161702_1,L1,l1pe,4,L
