teacher,classname1,classname2,classcode,classidtoupdate
tch_20200519-152222_1,class_120924_1_tch_20200519-152222_1,class_20200519-152222_1,Ra4d-jZ3t,d4703b2d-9bf1-406f-ae00-bd2d1b971b61
tch_20200519-152222_2,class_120924_1_tch_20200519-152222_2,class_20200519-152222_2,Bc2t-9PsW,ca0d8546-9eac-4c5f-8589-f11b4352bad0
tch_20200519-152222_3,class_120924_1_tch_20200519-152222_3,class_20200519-152222_3,8s84-Hfni,c7a78cfc-019f-49cb-ba66-681c5a3efb1f
tch_20200519-152222_4,class_120924_1_tch_20200519-152222_4,class_20200519-152222_4,B36p-6YHR,e401630a-2ccf-4240-869a-bde83d511321
tch_20200519-152222_5,class_120924_1_tch_20200519-152222_5,class_20200519-152222_5,opL9-H9ey,4a8ec8a2-f807-4e2a-bcd6-521f3baa8a2b
tch_20200519-152222_6,class_120924_1_tch_20200519-152222_6,class_20200519-152222_6,eQYn-P7f6,afc01a53-2ed1-48d8-a7d5-d3f95bb479ef
tch_20200519-152222_7,class_120924_1_tch_20200519-152222_7,class_20200519-152222_7,k8k8-buZK,af41f3bf-fe32-4c5f-a747-876ab3e6faf8
tch_20200519-152222_8,class_120924_1_tch_20200519-152222_8,class_20200519-152222_8,8GDP-poLt,37ccdf11-76d2-48c2-802f-935a225cad9e
tch_20200519-152222_9,class_120924_1_tch_20200519-152222_9,class_20200519-152222_9,896k-Qj6j,a3ef8dd0-b906-469f-8727-7d87db364ef9
tch_20200519-152222_10,class_120924_1_tch_20200519-152222_10,class_20200519-152222_10,U6gc-Mu7o,06f290dc-2279-42e8-974d-74c15bbc7094
tch_20200519-152222_11,class_120924_1_tch_20200519-152222_11,class_20200519-152222_11,tC9W-6mDt,e10b7bb3-43c9-4637-bcf7-b2882e5dc5e2
tch_20200519-152222_12,class_120924_1_tch_20200519-152222_12,class_20200519-152222_12,GF2W-7VQz,c808ae7e-ccb9-412b-9f2d-4dbb858f08b6
tch_20200519-152222_13,class_120924_1_tch_20200519-152222_13,class_20200519-152222_13,ckK2-BXom,e6298653-33aa-4da9-a841-c74886a5dafc
