extuserid,classcode,category,pe_category,attempt_end_index,category_type
std_pCjg-4fQL_1706503023568_69,pCjg-4fQL,M1,m1pe,4,M
std_RL2o-A8i8_1706499159049_92,RL2o-A8i8,H3,h3pe,4,H
std_s793-R8ge_1706514101250_44,s793-R8ge,L7,l7pe,3,L
std_F8RF-uky4_1706507932544_55,F8RF-uky4,L8,l8pe,4,L
std_esZh-TJ3P_1706503152757_79,esZh-TJ3P,M4,m4pe,4,M
std_48Pg-L3p3_1732021709677_85,48Pg-L3p3,M3,m3pe,4,M
std_Fc78-7ekF_1732021083842_59,Fc78-7ekF,L8,l8pe,4,L
std_dqNL-JLPj_1706502732346_53,dqNL-JLPj,L8,l8pe,4,L
std_4xe4-PW98_1706511481662_63,4xe4-PW98,L9,l9pe,3,L
std_3zBJ-9gNz_1706507972327_58,3zBJ-9gNz,L8,l8pe,4,L
6d2568a19a254445838766b2209fe9db,Tn42-ZuB7,H2,h2pe,4,H
std_ZAmD-R27e_1706511560791_69,ZAmD-R27e,M1,m1pe,4,M
std_njJP-9E6L_1706514549214_69,njJP-9E6L,M1,m1pe,4,M
std_vdo6-tZAu_1706514116879_46,vdo6-tZAu,L7,l7pe,3,L
std_3BU3-jC28_1706503510651_87,3BU3-jC28,H1,h1pe,4,H
std_38wY-BpEy_1706498520184_58,38wY-BpEy,L8,l8pe,4,L
std_BNZH-y6Te_1706497606534_8,BNZH-y6Te,L1,l1pe,3,L
std_EPwD-4Zsu_1706521082257_82,EPwD-4Zsu,M5,m5pe,4,M
std_F8RF-uky4_1706507936364_55,F8RF-uky4,L8,l8pe,4,L
std_a4nJ-KPB6_1706497565027_4,a4nJ-KPB6,L1,l1pe,3,L
std_6ZDe-AQfK_1706514369578_59,6ZDe-AQfK,L9,l9pe,3,L
std_AqT4-QpVZ_1706511279488_52,AqT4-QpVZ,L8,l8pe,4,L
std_t7NE-6LYd_1706513650668_20,t7NE-6LYd,L2,l2pe,4,L
std_u9Q9-E4L3_1706499028051_78,u9Q9-E4L3,M3,m3pe,4,M
std_g9yk-TcCu_1732020551837_29,g9yk-TcCu,L2,l2pe,4,L
std_t3GL-dmx3_1732021047986_56,t3GL-dmx3,L7,l7pe,3,L
std_BqWd-hszK_1706511569107_66,BqWd-hszK,L9,l9pe,3,L
std_EkjD-k2so_1706507301456_21,EkjD-k2so,L2,l2pe,4,L
std_m7wr-qtM3_1732021028000_57,m7wr-qtM3,L7,l7pe,3,L
std_Lbh3-p9pE_1706508641303_94,Lbh3-p9pE,H3,h3pe,4,H
std_ANwd-yxHM_1706514584772_71,ANwd-yxHM,M2,m2pe,4,M
std_J7CM-E2qb_1706503431450_83,J7CM-E2qb,M5,m5pe,4,M
std_fgrf-UvCg_1706498384600_49,fgrf-UvCg,L8,l8pe,4,L
std_9wMf-xJtK_1706502861880_61,9wMf-xJtK,L9,l9pe,3,L
std_63yT-383X_1732012347474_16,63yT-383X,L1,l1pe,3,L
std_zn4m-bqnG_1706520974497_80,zn4m-bqnG,M4,m4pe,4,M
std_hUbR-vKVu_1706510549500_13,hUbR-vKVu,L1,l1pe,3,L
std_wLbY-2s6s_1732020456482_26,wLbY-2s6s,L2,l2pe,4,L
std_Emy8-Prw4_1706503356807_90,Emy8-Prw4,H2,h2pe,4,H
std_ZutZ-s7QM_1732013287026_62,ZutZ-s7QM,L8,l8pe,4,L
std_Qd3P-e9sR_1732012519719_25,Qd3P-e9sR,L2,l2pe,4,L
std_rPxg-BrjR_1706502543116_44,rPxg-BrjR,L7,l7pe,3,L
std_hyxg-U6fk_1706501792060_3,hyxg-U6fk,L1,l1pe,3,L
std_xtUR-QPYD_1732012322786_14,xtUR-QPYD,L1,l1pe,3,L
std_qV7Q-72hi_1732012258363_11,qV7Q-72hi,L1,l1pe,3,L
std_nF7n-3i6x_1732012608181_28,nF7n-3i6x,L2,l2pe,4,L
std_zuEc-6K2D_1706497650990_10,zuEc-6K2D,L1,l1pe,3,L
std_NG2H-4ZR2_1706497908014_22,NG2H-4ZR2,L2,l2pe,4,L
std_pFQj-T9uH_1706502228918_25,pFQj-T9uH,L2,l2pe,4,L
std_B9Nr-6LZA_1706507610574_37,B9Nr-6LZA,L7,l7pe,3,L
std_3987-nryG_1706516830813_32,3987-nryG,L3,l3pe,4,L
std_yfx8-V678_1706517745346_83,yfx8-V678,M5,m5pe,4,M
std_njJP-9E6L_1706514552814_69,njJP-9E6L,M1,m1pe,4,M
std_2dxz-ueNC_1706514674153_77,2dxz-ueNC,M3,m3pe,4,M
std_Zb9q-w8jr_1706507134398_11,Zb9q-w8jr,L1,l1pe,3,L
std_A6bE-H49D_1706506950238_1,A6bE-H49D,L1,l1pe,3,L
