extuserid,class,classcode,bundleCount
tch_20220828-070412_1,Perf_class_20220828-070412_1,GeyB-w3qE,0
tch_20220828-070412_2,Perf_class_20220828-070412_2,F9Yg-svW7,0
tch_20220828-070412_3,Perf_class_20220828-070412_3,Ac9d-3s7p,0
tch_20220828-070412_4,Perf_class_20220828-070412_4,jDJP-LxKC,0
tch_20220828-070412_5,Perf_class_20220828-070412_5,ba3d-Cq2m,0
tch_20220828-070412_6,Perf_class_20220828-070412_6,d24p-D3Cw,0
tch_20220828-070412_7,Perf_class_20220828-070412_7,N6tF-PCKd,0
tch_20220828-070412_9,Perf_class_20220828-070412_9,KxYR-QhEj,0
tch_20220828-070412_8,Perf_class_20220828-070412_8,GbLQ-jyxq,0
tch_20220828-070412_10,Perf_class_20220828-070412_10,82W9-y92A,0
tch_20220828-070412_11,Perf_class_20220828-070412_11,4sRB-43Uf,1
tch_20220828-070412_12,Perf_class_20220828-070412_12,9U72-tPkg,1
tch_20220828-070412_13,Perf_class_20220828-070412_13,d3K8-MyBM,1
tch_20220828-070412_14,Perf_class_20220828-070412_14,786J-rV9s,1
tch_20220828-070412_15,Perf_class_20220828-070412_15,bxtG-je3j,1
tch_20220828-070412_17,Perf_class_20220828-070412_17,JWiz-eZPb,1
tch_20220828-070412_16,Perf_class_20220828-070412_16,abdZ-cPCK,1
tch_20220828-070412_18,Perf_class_20220828-070412_18,Zgof-KTcU,1
tch_20220828-070412_19,Perf_class_20220828-070412_19,38CU-G92o,1
tch_20220828-070412_20,Perf_class_20220828-070412_20,mhgT-3zKH,1
tch_20220828-070412_21,Perf_class_20220828-070412_21,jo9d-p3QL,2
tch_20220828-070412_22,Perf_class_20220828-070412_22,t7bo-xL92,2
tch_20220828-070412_23,Perf_class_20220828-070412_23,uWdi-dwZC,2
tch_20220828-070412_24,Perf_class_20220828-070412_24,Fu98-dRbQ,2
tch_20220828-070412_25,Perf_class_20220828-070412_25,6R3K-gWCf,2
tch_20220828-070412_26,Perf_class_20220828-070412_26,38mx-mL8D,2
tch_20220828-070412_27,Perf_class_20220828-070412_27,KM9c-2R9x,2
tch_20220828-070412_28,Perf_class_20220828-070412_28,RBZ8-N3bn,2
tch_20220828-070412_29,Perf_class_20220828-070412_29,px2b-6NHA,2
tch_20220828-070412_30,Perf_class_20220828-070412_30,bpb6-LFv6,2
tch_20220828-070412_31,Perf_class_20220828-070412_31,3uvg-CKg6,2
tch_20220828-070412_32,Perf_class_20220828-070412_32,x6w2-upj6,2
tch_20220828-070412_33,Perf_class_20220828-070412_33,bp8L-Wt4j,2
tch_20220828-070412_34,Perf_class_20220828-070412_34,6UhV-p8v7,2
tch_20220828-070412_35,Perf_class_20220828-070412_35,f3B2-u7oa,2
tch_20220828-070412_36,Perf_class_20220828-070412_36,w26D-KULx,2
tch_20220828-070412_37,Perf_class_20220828-070412_37,n9qi-6sYW,2
tch_20220828-070412_38,Perf_class_20220828-070412_38,p9cP-8XLv,2
tch_20220828-070412_39,Perf_class_20220828-070412_39,2F7Q-XtD8,2
tch_20220828-070412_40,Perf_class_20220828-070412_40,A2Gr-Xp6C,2
tch_20220828-070412_41,Perf_class_20220828-070412_41,nqDN-3Eu8,2
tch_20220828-070412_42,Perf_class_20220828-070412_42,4v4R-eT9j,2
tch_20220828-070412_43,Perf_class_20220828-070412_43,8N3L-t4G7,3
tch_20220828-070412_44,Perf_class_20220828-070412_44,8H39-AqsE,3
tch_20220828-070412_45,Perf_class_20220828-070412_45,Zf89-aB37,3
tch_20220828-070412_46,Perf_class_20220828-070412_46,8ucZ-8hWG,3
tch_20220828-070412_47,Perf_class_20220828-070412_47,8b8X-9muN,3
tch_20220828-070412_49,Perf_class_20220828-070412_49,nPRe-if9F,4
tch_20220828-070412_48,Perf_class_20220828-070412_48,k7e6-P4qM,4
tch_20220828-070412_50,Perf_class_20220828-070412_50,8gt7-c2ZY,4
tch_20220828-070412_51,Perf_class_20220828-070412_51,pLAZ-myEt,0
tch_20220828-070412_52,Perf_class_20220828-070412_52,GLJv-6Rnx,0
tch_20220828-070412_54,Perf_class_20220828-070412_54,6C6v-EkNw,0
tch_20220828-070412_53,Perf_class_20220828-070412_53,3Yd8-6Rk6,0
tch_20220828-070412_55,Perf_class_20220828-070412_55,zWYf-Ye3m,0
tch_20220828-070412_56,Perf_class_20220828-070412_56,cTfm-4mPW,0
tch_20220828-070412_57,Perf_class_20220828-070412_57,LPZd-9s3P,0
tch_20220828-070412_59,Perf_class_20220828-070412_59,Kczj-JbF9,0
tch_20220828-070412_58,Perf_class_20220828-070412_58,kXWA-6szT,0
tch_20220828-070412_60,Perf_class_20220828-070412_60,h6RD-Rus3,0
tch_20220828-070412_61,Perf_class_20220828-070412_61,odBE-2J8y,1
tch_20220828-070412_62,Perf_class_20220828-070412_62,nop6-sUnM,1
tch_20220828-070412_63,Perf_class_20220828-070412_63,9pgy-67bg,1
tch_20220828-070412_64,Perf_class_20220828-070412_64,2RZ6-Lt34,1
tch_20220828-070412_66,Perf_class_20220828-070412_66,VPqa-nvCo,1
tch_20220828-070412_65,Perf_class_20220828-070412_65,hcfi-ArHz,1
tch_20220828-070412_67,Perf_class_20220828-070412_67,cMDR-2FKt,1
tch_20220828-070412_68,Perf_class_20220828-070412_68,pbfa-m2h4,1
tch_20220828-070412_69,Perf_class_20220828-070412_69,ukn8-G8an,1
tch_20220828-070412_70,Perf_class_20220828-070412_70,3UaE-4utB,1
tch_20220828-070412_71,Perf_class_20220828-070412_71,w4xy-eE4E,2
tch_20220828-070412_72,Perf_class_20220828-070412_72,UkMA-Lp3J,2
tch_20220828-070412_73,Perf_class_20220828-070412_73,P8k4-Y2G2,2
tch_20220828-070412_74,Perf_class_20220828-070412_74,YyRJ-EJ8n,2
tch_20220828-070412_75,Perf_class_20220828-070412_75,VD38-djU8,2
tch_20220828-070412_76,Perf_class_20220828-070412_76,snj6-4MLE,2
tch_20220828-070412_77,Perf_class_20220828-070412_77,8dn8-d9CT,2
tch_20220828-070412_78,Perf_class_20220828-070412_78,3y84-eL7c,2
tch_20220828-070412_79,Perf_class_20220828-070412_79,LE6W-Jau3,2
tch_20220828-070412_80,Perf_class_20220828-070412_80,DRjr-Gc7W,2
