extuserid,classcode,classid,invid,tchextuserid
t145_1661357935102_1,c4BJ-2K9P,c65e683e-a61c-4ba2-b84d-057c3ac985c8,ab26edf9-5eb3-44b8-8a23-7878bb2bc366,t245_20220824-214811_1
t145_1661357951779_2,8489-FHRp,9a90b18d-9576-42e8-879c-079f1a53db9f,13511349-fa33-4b6a-acde-771befdde9a8,t245_20220824-214811_2
t145_1661357953387_1,c4BJ-2K9P,c65e683e-a61c-4ba2-b84d-057c3ac985c8,570b958d-65d2-4ba9-b138-64c2efe59da3,t245_20220824-214811_1
t145_1661357967418_1,c4BJ-2K9P,c65e683e-a61c-4ba2-b84d-057c3ac985c8,3969222b-8d20-41d4-9cbc-f38bacb72094,t245_20220824-214811_1
t145_1661357966786_2,8489-FHRp,9a90b18d-9576-42e8-879c-079f1a53db9f,240cb052-e864-486c-8b72-d8a39ae165a5,t245_20220824-214811_2
t145_1661357970970_3,BTJ9-w7TE,9f5bbb48-9eae-490e-8ec9-5575e2c5c6a0,e3bc0856-2855-4c30-8068-359aa5775da3,t245_20220824-214811_3
t145_1661357981648_2,8489-FHRp,9a90b18d-9576-42e8-879c-079f1a53db9f,2eeca02f-afd1-4015-855e-04206195ec92,t245_20220824-214811_2
t145_1661357979518_1,c4BJ-2K9P,c65e683e-a61c-4ba2-b84d-057c3ac985c8,2e1183be-a6ef-4e63-afb4-ae99160099a9,t245_20220824-214811_1
t145_1661357987493_3,BTJ9-w7TE,9f5bbb48-9eae-490e-8ec9-5575e2c5c6a0,d0612f47-332f-4d7d-82f8-76752c7480a8,t245_20220824-214811_3
t145_1661357990229_4,sG6E-Nscr,5ea3798d-a514-4a13-aaaf-c27b9e5acf26,517c2001-6a2b-4932-9317-55d6bd01ca8f,t245_20220824-214811_4
t145_1661357997083_1,c4BJ-2K9P,c65e683e-a61c-4ba2-b84d-057c3ac985c8,aaf03219-8950-49eb-bfcb-cc3db1a3d24e,t245_20220824-214811_1
t145_1661357996851_2,8489-FHRp,9a90b18d-9576-42e8-879c-079f1a53db9f,4794106a-3b2e-48ab-919c-8a0ca1c085eb,t245_20220824-214811_2
t145_1661358000145_3,BTJ9-w7TE,9f5bbb48-9eae-490e-8ec9-5575e2c5c6a0,b7fae713-088e-46e1-81c0-00b388ce10eb,t245_20220824-214811_3
t145_1661358008045_1,c4BJ-2K9P,c65e683e-a61c-4ba2-b84d-057c3ac985c8,6edeee2a-c69b-4f2d-852d-b4edef905417,t245_20220824-214811_1
t145_1661358009412_2,8489-FHRp,9a90b18d-9576-42e8-879c-079f1a53db9f,69246434-b5f6-455f-9131-2b139eb5df48,t245_20220824-214811_2
t145_1661358007803_4,sG6E-Nscr,5ea3798d-a514-4a13-aaaf-c27b9e5acf26,482a326d-f4b2-499e-b9c6-5548689622e4,t245_20220824-214811_4
t145_1661358012394_3,BTJ9-w7TE,9f5bbb48-9eae-490e-8ec9-5575e2c5c6a0,2ccf31eb-1a32-48ad-bd5a-a41f800b9931,t245_20220824-214811_3
