tchextuserid,studentuserid1,stdextuserid,classcode
tch_20220801-133814_1,4900868e-2209-43a6-918b-3e63fe4627a3,std_1659615959726_1,Zg47-hGAw
tch_20220801-133814_2,1622e781-b7f3-4512-8dc4-3aa341a8477d,std_1659615967793_2,ks9Y-K8uf
tch_20220801-133814_3,bca7131e-4cdb-462c-a322-926931bdccb5,std_1659615975587_3,oQNv-L3jZ
tch_20220801-133814_4,d8bdd845-0007-4677-b296-cd5057a7d3dc,std_1659615983587_4,q69g-9h7Q
tch_20220801-133814_1,8fbbffb5-a882-47cb-af5d-8b1b463b555d,std_1659615985183_1,Zg47-hGAw
tch_20220801-133814_5,58d218d2-f9be-42b3-9e47-6dcf7601e944,std_1659615991588_5,y23x-du3i
tch_20220801-133814_2,1772262b-75eb-42f4-9737-932f1f8934d2,std_1659615994255_2,ks9Y-K8uf
tch_20220801-133814_6,abdfdd87-b805-48fa-9e85-9c6346be3d84,std_1659615999587_6,8iHi-ApVm
tch_20220801-133814_3,f944ff70-eac7-4def-a8c9-6fecb1ae9ed5,std_1659616001811_3,oQNv-L3jZ
tch_20220801-133814_4,e5b0c7b3-0ede-4a30-b084-c6ad130d64fd,std_1659616008367_4,q69g-9h7Q
tch_20220801-133814_1,e820c40b-90e8-4c6a-81eb-bda07fc17fe9,std_1659616012046_1,Zg47-hGAw
tch_20220801-133814_7,cd526444-7c41-4359-b7b6-2cf54c45e6c1,std_1659616007588_7,T9Yx-2DZW
tch_20220801-133814_8,2c087c96-01f5-4d18-865e-0eac7aaf10bc,std_1659616015587_8,7E3m-go46
tch_20220801-133814_5,bfc338e3-e372-474a-8e84-ed3737dde3b1,std_1659616017536_5,y23x-du3i
tch_20220801-133814_2,61734975-94fa-4e40-b2d8-ce93dd3a1bcd,std_1659616020786_2,ks9Y-K8uf
tch_20220801-133814_9,c9064fbf-a0fa-486e-98fd-316038fc471d,std_1659616023587_9,R8CZ-dzju
tch_20220801-133814_3,7d335fd5-3410-402d-ba1c-da332f5c8ae8,std_1659616027753_3,oQNv-L3jZ
tch_20220801-133814_6,09eeb0c8-87c6-435d-a874-209b1fd6a81d,std_1659616025921_6,8iHi-ApVm
tch_20220801-133814_10,27e90e8f-e2e3-4812-ab11-2330daadc1eb,std_1659616031587_10,9N8P-3X2h
tch_20220801-133814_4,277178e5-ff1e-4e5e-956b-deb595086ce0,std_1659616034365_4,q69g-9h7Q
tch_20220801-133814_7,ccd140fd-8a9d-457f-9223-80ecf8aaa44c,std_1659616038795_7,T9Yx-2DZW
tch_20220801-133814_1,aa4c1fa7-d49e-4f0e-a638-9ece769fbaa2,std_1659616037315_1,Zg47-hGAw
tch_20220801-133814_11,81d66e50-0162-4e8b-94c6-5962308a228b,std_1659616039618_11,w6W8-9Ygn
tch_20220801-133814_5,d0b3fa18-1e9c-4c41-9b00-a87886aefbce,std_1659616042432_5,y23x-du3i
tch_20220801-133814_8,57e883cc-1b67-4176-bd8b-f88d4dc48002,std_1659616042225_8,7E3m-go46
tch_20220801-133814_12,bfaec4d2-17d4-4041-8cd3-974ece63275c,std_1659616047633_12,Qcef-TMou
tch_20220801-133814_2,59810974-02ef-4e4e-b7f9-328a5f19964c,std_1659616048348_2,ks9Y-K8uf
tch_20220801-133814_9,b490ae3b-5020-4107-b9b7-53a034b7b66a,std_1659616049893_9,R8CZ-dzju
tch_20220801-133814_13,54f49c6c-13e5-4a49-ade5-258015e16ebb,std_1659616055649_13,kUr9-euDn
tch_20220801-133814_10,0d9f4b9f-ddb4-44c3-93eb-f1c1e5e66bab,std_1659616056103_10,9N8P-3X2h
tch_20220801-133814_3,2af19b84-1a2d-4828-896a-46ef447d43db,std_1659616055411_3,oQNv-L3jZ
tch_20220801-133814_6,b06e08a4-cd59-49bf-b4f8-7febbba686a4,std_1659616055552_6,8iHi-ApVm
tch_20220801-133814_4,8fa6ae4e-029f-45ff-a754-bb86488d2b32,std_1659616058011_4,q69g-9h7Q
tch_20220801-133814_7,284fd5b9-67a5-4e22-8ade-b101ef948ff2,std_1659616064221_7,T9Yx-2DZW
tch_20220801-133814_8,088a62e5-e835-4283-b253-5f7a8cfead8f,std_1659616070416_8,7E3m-go46
tch_20220801-133814_14,7624fc4f-69e3-40fd-982c-ea39a0f90e25,std_1659616063727_14,d2pn-aDZA
tch_20220801-133814_15,26eb15fd-4219-4fd6-9124-2ed41ea0cdac,std_1659616071663_15,9DKf-Y9hG
tch_20220801-133814_5,f089be40-02ad-4d5a-a3e8-728b2af23236,std_1659616068530_5,y23x-du3i
tch_20220801-133814_11,5cabc1a7-7f40-49a4-9067-4a58b814b5a3,std_1659616066324_11,w6W8-9Ygn
tch_20220801-133814_6,bea1551d-b29f-415a-862a-072d17e571c8,std_1659616082021_6,8iHi-ApVm
tch_20220801-133814_9,2aa0c4e2-a4a6-41df-a9e5-516c0cec55a4,std_1659616077279_9,R8CZ-dzju
tch_20220801-133814_12,7859e4d6-a6b0-4f4e-9636-e67bbcc001ce,std_1659616075128_12,Qcef-TMou
tch_20220801-133814_16,02e4c968-01a0-414a-ad2b-5db29d9c4dce,std_1659616079680_16,zw4r-AkXG
tch_20220801-133814_10,b6a0668c-4d3b-49ab-9c8b-fae386033dbd,std_1659616081479_10,9N8P-3X2h
tch_20220801-133814_13,589492d3-ec92-4f30-9dbb-d142f023b1a2,std_1659616081360_13,kUr9-euDn
tch_20220801-133814_7,34d64036-c9fc-409d-beca-267cc3dd7af9,std_1659616094444_7,T9Yx-2DZW
tch_20220801-133814_17,b60d0667-56e6-4ef7-8986-b78166579a01,std_1659616087741_17,FwTZ-vy3B
tch_20220801-133814_8,f4e827a5-23dc-4bee-bdcc-ed803d52d625,std_1659616095458_8,7E3m-go46
tch_20220801-133814_14,760158bf-5d38-41cd-8601-1076742680cd,std_1659616095651_14,d2pn-aDZA
