extuserid,class,classcode,bundleCount
tch_20220828-171509_2,Perf_class_20220828-171509_2,VuFo-HJAV,0
tch_20220828-171509_3,Perf_class_20220828-171509_3,2VuA-HQZV,0
tch_20220828-171509_1,Perf_class_20220828-171509_1,iYB7-mX96,0
tch_20220828-171509_4,Perf_class_20220828-171509_4,vX7N-9siX,0
tch_20220828-171509_7,Perf_class_20220828-171509_7,ngTi-sZQx,0
tch_20220828-171509_5,Perf_class_20220828-171509_5,46Y3-AaDC,0
tch_20220828-171509_8,Perf_class_20220828-171509_8,t3Va-Y87i,0
tch_20220828-171509_6,Perf_class_20220828-171509_6,D6LP-cP6a,0
tch_20220828-171509_9,Perf_class_20220828-171509_9,Knj2-4wnd,0
tch_20220828-171509_13,Perf_class_20220828-171509_13,XLd6-86Pw,0
tch_20220828-171509_10,Perf_class_20220828-171509_10,3LKP-fhrT,1
tch_20220828-171509_11,Perf_class_20220828-171509_11,enRN-9EiJ,1
tch_20220828-171509_14,Perf_class_20220828-171509_14,4XUX-7ea7,1
tch_20220828-171509_12,Perf_class_20220828-171509_12,H72e-qQLx,1
tch_20220828-171509_15,Perf_class_20220828-171509_15,6pZ4-8uyh,1
tch_20220828-171509_17,Perf_class_20220828-171509_17,PiAL-bxJY,1
tch_20220828-171509_18,Perf_class_20220828-171509_18,naxr-9Vh9,1
tch_20220828-171509_16,Perf_class_20220828-171509_16,6gF4-7Mco,1
tch_20220828-171509_22,Perf_class_20220828-171509_22,Tk8g-omWP,1
tch_20220828-171509_19,Perf_class_20220828-171509_19,Rzw2-keYV,1
tch_20220828-171509_20,Perf_class_20220828-171509_20,W4mv-68UB,2
tch_20220828-171509_21,Perf_class_20220828-171509_21,qJc2-Qswh,2
tch_20220828-171509_23,Perf_class_20220828-171509_23,KWjy-bKEd,2
tch_20220828-171509_24,Perf_class_20220828-171509_24,ZyJq-s69E,2
tch_20220828-171509_25,Perf_class_20220828-171509_25,cFre-3ugH,2
tch_20220828-171509_26,Perf_class_20220828-171509_26,GLg3-n3Aa,2
tch_20220828-171509_28,Perf_class_20220828-171509_28,8gtu-X9Dq,2
tch_20220828-171509_29,Perf_class_20220828-171509_29,EsP9-d7Qr,2
tch_20220828-171509_27,Perf_class_20220828-171509_27,6XT6-Q8cv,2
tch_20220828-171509_30,Perf_class_20220828-171509_30,P4g9-Ab3J,2
tch_20220828-171509_34,Perf_class_20220828-171509_34,4ZYN-DBD4,2
tch_20220828-171509_32,Perf_class_20220828-171509_32,Vwtj-6hC3,2
tch_20220828-171509_33,Perf_class_20220828-171509_33,qw9q-Qq29,2
tch_20220828-171509_31,Perf_class_20220828-171509_31,cNsq-d273,2
tch_20220828-171509_35,Perf_class_20220828-171509_35,g6WF-D2f9,2
tch_20220828-171509_37,Perf_class_20220828-171509_37,8Xqw-KXzN,2
tch_20220828-171509_36,Perf_class_20220828-171509_36,NW8U-pQwG,2
tch_20220828-171509_38,Perf_class_20220828-171509_38,sbMp-dHgt,2
tch_20220828-171509_39,Perf_class_20220828-171509_39,U4XM-8bfq,2
tch_20220828-171509_40,Perf_class_20220828-171509_40,2ZFR-7y28,2
tch_20220828-171509_42,Perf_class_20220828-171509_42,zHQ9-aU8i,2
tch_20220828-171509_41,Perf_class_20220828-171509_41,YXy2-y2GR,2
tch_20220828-171509_43,Perf_class_20220828-171509_43,9wxt-8doC,3
tch_20220828-171509_46,Perf_class_20220828-171509_46,2hCD-Y7sU,3
tch_20220828-171509_44,Perf_class_20220828-171509_44,wftX-7863,3
tch_20220828-171509_45,Perf_class_20220828-171509_45,cN64-2sXu,3
tch_20220828-171509_47,Perf_class_20220828-171509_47,gK8P-ne8V,3
tch_20220828-171509_51,Perf_class_20220828-171509_51,8JFA-B7WR,4
tch_20220828-171509_48,Perf_class_20220828-171509_48,CW8z-94HG,4
tch_20220828-171509_49,Perf_class_20220828-171509_49,6b4D-ygj2,4
tch_20220828-171509_50,Perf_class_20220828-171509_50,tZbD-hdAs,0
tch_20220828-171509_53,Perf_class_20220828-171509_53,cvnG-o9hZ,0
tch_20220828-171509_55,Perf_class_20220828-171509_55,C9ZB-YhUD,0
tch_20220828-171509_52,Perf_class_20220828-171509_52,uGPk-trAK,0
tch_20220828-171509_56,Perf_class_20220828-171509_56,wW2o-r8WD,0
tch_20220828-171509_54,Perf_class_20220828-171509_54,mrBE-64Md,0
tch_20220828-171509_57,Perf_class_20220828-171509_57,78W9-ihpq,0
tch_20220828-171509_58,Perf_class_20220828-171509_58,yo4C-Lv8i,0
tch_20220828-171509_60,Perf_class_20220828-171509_60,kJMB-hx4h,0
tch_20220828-171509_59,Perf_class_20220828-171509_59,8ruE-nrUT,0
tch_20220828-171509_63,Perf_class_20220828-171509_63,4rKD-t4oT,1
tch_20220828-171509_61,Perf_class_20220828-171509_61,8T4h-qR8Y,1
tch_20220828-171509_62,Perf_class_20220828-171509_62,ktXs-Wp39,1
